cipher,val
20,a
22,b
24,c
26,d
28,e
30,f
32,g
36,i
40,l
41,r
42,m
43,s
44,n
46,o
48,p
52,r
54,s
56,t
58,u
60,x
62,y
64,z
66,&
68,st
70,nt
72,ns
74,er
95,ca
101,puis
102,si
103,va
105,ce
107,fai
109,ma
112,so
113,ve
115,ci
119,me
120,on
121,particulier
122,su
123,vi
124,avec
125,co
127,facil
129,mi
130,oit
132,sans
133,vo
134,autre
138,Hongrois
139,mo
146,demande
148,honneur
150,ou
154,an
159,Majeste
160,oblig
164,aussi
170,ordinaire
174,Austriche
175,cette
177,France
178,heur
181,Pologne
184,au
189,ment
190,ordre
191,qua
198,ja
201,que
202,secret
203,voir
206,entre
208,je
211,qui
213,vous
215,contraire
216,eux
222,service
223,vostre
228,io
229,ministre
231,quu
232,seul
234,argent
236,en
237,for
238,ju
239,mais
246,est
249,moyen
256,Espagnol
258,jamais
261,quelle
266,election
269,Mr
271,quelque
274,Alleman
278,il
280,pa
281,quil
285,cour
287,ga
288,jour
289,Madame
290,pe
293,xa
296,engage
297,ge
298,interest
299,maison
300,pi
301,quoique
307,gi
310,po
311,ra
320,pu
321,re
322,ta
324,ba
325,comme
328,intention
331,ri
332,te
334,be
335,Cardinal
339,na
341,ro
342,ti
344,bi
346,encore
347,gener
348,la
349,ne
351,ru
352,to
354,bo
355,da
356,Empereur
357,gouvern
358,le
359,ni
361,Roy
362,tu
363,zi
364,bu
365,de
368,li
369,no
370,par
374,beaucoup
375,di
377,grand
378,lo
379,nu
382,tant
385,do
388,lu
390,point
392,tion
394,Bethune
395,du
398,lettre
399,Nonce
404,bon
405,dans
410,Pape
414,bien
420,pour
423,ki
426,fa
436,fe
438,luy
442,tout
446,fi
447,he
449,nous
451,Reine
455,donne
456,fo
458,leur
461,sa
462,temps
468,long
470,pendant
471,se
