doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1531_excellente_chronijck,body,0,0,True,*i.r,Dits die Excellente Chronijcke Van Vlaenderen.,dits die excellente chronijcke van vlaenderen,dits die excellente chroniicke uan ulaenderen
1531_excellente_chronijck,body,1,0,True,*i.r,"Beghinnende van Liederick Buck den eersten forestier tot den laetsten, die door haar Vrome feyten, namaels Grauen van Vlaenderen gemaect Worden, achteruolghende die rechte affcompste der voorschreuen Grauen, tot desen onsen doorluchtisten hoochgeboren Keyser Karalo, altijt vermeerder des Rycx gheboren te Ghendt. Etcs.",beghinnende van liederick buck den eersten forestier tot den laetsten die door haar vrome feyten namaels grauen van vlaenderen gemaect worden achteruolghende die rechte affcompste der voorschreuen grauen tot desen onsen doorluchtisten hoochgeboren keyser karalo altijt vermeerder des rycx gheboren te ghendt etcs,beghinnende uan liederick buck den eersten forestier tot den laetsten die door haar urome feyten namaels grauen uan ulaenderen gemaect worden achteruolghende die rechte affcompste der uoorschreuen grauen tot desen onsen doorluchtisten hoochgeboren keyser karalo altiit uermeerder des rycx gheboren te ghendt etcs
1531_excellente_chronijck,body,2,0,True,*i.r,Gheprint t' Antwerpen.,gheprint t antwerpen,gheprint t antwerpen
1531_excellente_chronijck,body,3,0,True,*i.r,Bij mij Willem Vorsterman.,bij mij willem vorsterman,bii mii willem uorsterman
1531_excellente_chronijck,head,4,0,True,*ij.r,¶ Prologhe.,prologhe,prologhe
1531_excellente_chronijck,body,5,0,False,*ij.r,"OMme des willen dat ledicheyt een voester ende moeder es van alle ghebreckelijcheden daer by alle errueren ende alle quaethede wassende ende gheuoet es, so sal elck goed kersten mensche die naer sijn vermogen pijnen te schuwene, ende hemseluen daghelicx onledich maken met gheorloefde saken, ende gode van hemelrijc, voren ende alder eerst smorghens gheloeft ende ghedanct hebbende van sijnder oueruloeyende gracie, dat hi hem vander hellen verlost, ende dyen nacht ghespaert heeft, ende in sonden niet en heeft laten steruen.",omme des willen dat ledicheyt een voester ende moeder es van alle ghebreckelijcheden daer by alle errueren ende alle quaethede wassende ende gheuoet es so sal elck goed kersten mensche die naer sijn vermogen pijnen te schuwene ende hemseluen daghelicx onledich maken met gheorloefde saken ende gode van hemelrijc voren ende alder eerst smorghens gheloeft ende ghedanct hebbende van sijnder oueruloeyende gracie dat hi hem vander hellen verlost ende dyen nacht ghespaert heeft ende in sonden niet en heeft laten steruen,omme des willen dat ledicheyt een uoester ende moeder es uan alle ghebreckeliicheden daer by alle errueren ende alle quaethede wassende ende gheuoet es so sal elck goed kersten mensche die naer siin uermogen piinen te schuwene ende hemseluen daghelicx onledich maken met gheorloefde saken ende gode uan hemelriic uoren ende alder eerst smorghens gheloeft ende ghedanct hebbende uan siinder oueruloeyende gracie dat hi hem uander hellen uerlost ende dyen nacht ghespaert heeft ende in sonden niet en heeft laten steruen
1531_excellente_chronijck,body,5,1,False,*ij.r,"Naer welcker dancbaerhede sal hem dan onledich maken met sulcker negociatien als hem van noode es, ende sinen state aencleeft, ende emmers als hi omme recreatie te nemene ledich wesen soude van sinen tijtlicken wercke sal hem occuperen met lesene ende visiterene diueersche oude gesten ende coronijcken, merckende hoe eenege Prouincien ende landen bi goeden regimente in eeren gheresen sijn, ende andere bi ignorantie ende andere malicien ghedestrueert ende vergaen sijn, ten fijne dat si bi dien, die in regimente ende regierende sijn, si met wijsheden regieren moghen ende leeren regieren van grade te grade elck int sijne, schuwende sulcke inconuenienten daer bi dat wijlen andere Prouincien ende landen ghedestrueert sijn, exempel nemende aen die ghene die met discretien, iusticien ende wijsheden huere landen geregiert hebben, ende aen dye suppoost ende ondersaten die also begheerden eendrachtelick gheregiert te sijne, elc sijne goede onderesaten in huere staten naer volgende, ende hem met sulcker occupancien omme recreacie te nemen onledich maken, so dat hem onse aduersaris die helsche viant niet ledich en vinde, peynsende om dye woorden van sinte Hieronimus aldus luydende.",naer welcker dancbaerhede sal hem dan onledich maken met sulcker negociatien als hem van noode es ende sinen state aencleeft ende emmers als hi omme recreatie te nemene ledich wesen soude van sinen tijtlicken wercke sal hem occuperen met lesene ende visiterene diueersche oude gesten ende coronijcken merckende hoe eenege prouincien ende landen bi goeden regimente in eeren gheresen sijn ende andere bi ignorantie ende andere malicien ghedestrueert ende vergaen sijn ten fijne dat si bi dien die in regimente ende regierende sijn si met wijsheden regieren moghen ende leeren regieren van grade te grade elck int sijne schuwende sulcke inconuenienten daer bi dat wijlen andere prouincien ende landen ghedestrueert sijn exempel nemende aen die ghene die met discretien iusticien ende wijsheden huere landen geregiert hebben ende aen dye suppoost ende ondersaten die also begheerden eendrachtelick gheregiert te sijne elc sijne goede onderesaten in huere staten naer volgende ende hem met sulcker occupancien omme recreacie te nemen onledich maken so dat hem onse aduersaris die helsche viant niet ledich en vinde peynsende om dye woorden van sinte hieronimus aldus luydende,naer welcker dancbaerhede sal hem dan onledich maken met sulcker negociatien als hem uan noode es ende sinen state aencleeft ende emmers als hi omme recreatie te nemene ledich wesen soude uan sinen tiitlicken wercke sal hem occuperen met lesene ende uisiterene diueersche oude gesten ende coroniicken merckende hoe eenege prouincien ende landen bi goeden regimente in eeren gheresen siin ende andere bi ignorantie ende andere malicien ghedestrueert ende uergaen siin ten fiine dat si bi dien die in regimente ende regierende siin si met wiisheden regieren moghen ende leeren regieren uan grade te grade elck int siine schuwende sulcke inconuenienten daer bi dat wiilen andere prouincien ende landen ghedestrueert siin exempel nemende aen die ghene die met discretien iusticien ende wiisheden huere landen geregiert hebben ende aen dye suppoost ende ondersaten die also begheerden eendrachtelick gheregiert te siine elc siine goede onderesaten in huere staten naer uolgende ende hem met sulcker occupancien omme recreacie te nemen onledich maken so dat hem onse aduersaris die helsche uiant niet ledich en uinde peynsende om dye woorden uan sinte hieronimus aldus luydende
1531_excellente_chronijck,body,5,2,False,*ij.r,"Semper aliquid boni operis facito, ne te dyabolus inueniat ociosum.",semper aliquid boni operis facito ne te dyabolus inueniat ociosum,semper aliquid boni operis facito ne te dyabolus inueniat ociosum
1531_excellente_chronijck,body,5,3,False,*ij.r,"Waer bi hi ons vermaent altijts wat goede wercken te doene, ende niet ledich te sijne, omme die woorden te achteruolghene, ende om mi seluen eerst onledich te makene, so heb ic van diueerschen Prouincien ende landen die Coronijcke ouersien ende ghelesen onder alle die welcke ic gheene so vol edele wercken van iusticien, van wapenen, ende van reynder amoruesheden vinde, als die schone ende warachteghe Coronijcke vanden edelen vruchtbareghen lande ende graefschepe van Vlaendren, die welcke ic omme alle goede menschen recreatie int lesen van diere, naemaels te nemene ende ledicheyt te schuwene, voor mi ghenomen hebbe dye te extraherene ende te verrgaderen wt diueersche auctenticke copulatien, ter eeren ende weerdicheyt vanden alder mogensten ende edelsten prinche Kaerle van Oostenrijc, byder gracien gods.coninc.van Spaengien, van Arragon, van Lyons, van Cecilien, van Grenate, van Napels, van Nauarre etc inboorne ende erfachtich graue vanden voornomden lande, die welcke vanden alder edelsten Princhen ende princerssen van kerstenhede ghedescendeert es, so ghi in dese naeruolgende Coronijcke beuinden sult, ne maer om datte te volbringene, ofte ooc te beghinnene, so es mi van noode die hulpe ende gracie des helichs gheests, sonder die welcke een woort ofte lettere daer of te stellende mi ondoenlic ware.",waer bi hi ons vermaent altijts wat goede wercken te doene ende niet ledich te sijne omme die woorden te achteruolghene ende om mi seluen eerst onledich te makene so heb ic van diueerschen prouincien ende landen die coronijcke ouersien ende ghelesen onder alle die welcke ic gheene so vol edele wercken van iusticien van wapenen ende van reynder amoruesheden vinde als die schone ende warachteghe coronijcke vanden edelen vruchtbareghen lande ende graefschepe van vlaendren die welcke ic omme alle goede menschen recreatie int lesen van diere naemaels te nemene ende ledicheyt te schuwene voor mi ghenomen hebbe dye te extraherene ende te verrgaderen wt diueersche auctenticke copulatien ter eeren ende weerdicheyt vanden alder mogensten ende edelsten prinche kaerle van oostenrijc byder gracien gods coninc van spaengien van arragon van lyons van cecilien van grenate van napels van nauarre etc inboorne ende erfachtich graue vanden voornomden lande die welcke vanden alder edelsten princhen ende princerssen van kerstenhede ghedescendeert es so ghi in dese naeruolgende coronijcke beuinden sult ne maer om datte te volbringene ofte ooc te beghinnene so es mi van noode die hulpe ende gracie des helichs gheests sonder die welcke een woort ofte lettere daer of te stellende mi ondoenlic ware,waer bi hi ons uermaent altiits wat goede wercken te doene ende niet ledich te siine omme die woorden te achteruolghene ende om mi seluen eerst onledich te makene so heb ic uan diueerschen prouincien ende landen die coroniicke ouersien ende ghelesen onder alle die welcke ic gheene so uol edele wercken uan iusticien uan wapenen ende uan reynder amoruesheden uinde als die schone ende warachteghe coroniicke uanden edelen uruchtbareghen lande ende graefschepe uan ulaendren die welcke ic omme alle goede menschen recreatie int lesen uan diere naemaels te nemene ende ledicheyt te schuwene uoor mi ghenomen hebbe dye te extraherene ende te uerrgaderen wt diueersche auctenticke copulatien ter eeren ende weerdicheyt uanden alder mogensten ende edelsten prinche kaerle uan oostenriic byder gracien gods coninc uan spaengien uan arragon uan lyons uan cecilien uan grenate uan napels uan nauarre etc inboorne ende erfachtich graue uanden uoornomden lande die welcke uanden alder edelsten princhen ende princerssen uan kerstenhede ghedescendeert es so ghi in dese naeruolgende coroniicke beuinden sult ne maer om datte te uolbringene ofte ooc te beghinnene so es mi uan noode die hulpe ende gracie des helichs gheests sonder die welcke een woort ofte lettere daer of te stellende mi ondoenlic ware
1531_excellente_chronijck,body,5,4,True,*ij.r,"Daer om bid ic gode ic aerm snoode mensche vol ghebreclicheden, dat hy mi een spaercsken vander gracien des helichs gheests seynde omme dit werc te volbringene, so dat sijn lof daer bi vermeerdert worde van allen menschen, die tselue in naercommenden tijden visenteren ende lesen sullen, beuindende daer bi dat tvoorseyde van gode beghift es, met vele wtuercorene dinghen, die te lanc waren omme te scriuen, daer of ic nochtans dmarch van dien metten princepalen, ende int corte by gracien voorseyde, meene te stellene, ten eynde dat ic, ofte yemant anders den tijt gheleuende, tveruolch vander seluer Coronijcke noch te ghesciene vanden voorseyde coninc Karel ende [sijn] naercommers, grauen vanden voorseyde [landen continueren] ende int ghescrifte stellen mach, [omme] dat, datte een eewege memorie [vander edelder] generatie ende feyten van allen den [voorseyde] heeren ende princen voorseyde lants [wesen mach] die welcke vanden beghinne [van heurlieder] troncke ende dominie, van [grade te grade tot]ten dage van heden, in [hoocheden edelheden] ende mogentheden, [ghemultipliceert ende gewassen] sijn, mits welcken, [ende omme van desen]",daer om bid ic gode ic aerm snoode mensche vol ghebreclicheden dat hy mi een spaercsken vander gracien des helichs gheests seynde omme dit werc te volbringene so dat sijn lof daer bi vermeerdert worde van allen menschen die tselue in naercommenden tijden visenteren ende lesen sullen beuindende daer bi dat tvoorseyde van gode beghift es met vele wtuercorene dinghen die te lanc waren omme te scriuen daer of ic nochtans dmarch van dien metten princepalen ende int corte by gracien voorseyde meene te stellene ten eynde dat ic ofte yemant anders den tijt gheleuende tveruolch vander seluer coronijcke noch te ghesciene vanden voorseyde coninc karel ende sijn naercommers grauen vanden voorseyde landen continueren ende int ghescrifte stellen mach omme dat datte een eewege memorie vander edelder generatie ende feyten van allen den voorseyde heeren ende princen voorseyde lants wesen mach die welcke vanden beghinne van heurlieder troncke ende dominie van grade te grade totten dage van heden in hoocheden edelheden ende mogentheden ghemultipliceert ende gewassen sijn mits welcken ende omme van desen,daer om bid ic gode ic aerm snoode mensche uol ghebreclicheden dat hy mi een spaercsken uander gracien des helichs gheests seynde omme dit werc te uolbringene so dat siin lof daer bi uermeerdert worde uan allen menschen die tselue in naercommenden tiiden uisenteren ende lesen sullen beuindende daer bi dat tuoorseyde uan gode beghift es met uele wtuercorene dinghen die te lanc waren omme te scriuen daer of ic nochtans dmarch uan dien metten princepalen ende int corte by gracien uoorseyde meene te stellene ten eynde dat ic ofte yemant anders den tiit gheleuende tueruolch uander seluer coroniicke noch te ghesciene uanden uoorseyde coninc karel ende siin naercommers grauen uanden uoorseyde landen continueren ende int ghescrifte stellen mach omme dat datte een eewege memorie uander edelder generatie ende feyten uan allen den uoorseyde heeren ende princen uoorseyde lants wesen mach die welcke uanden beghinne uan heurlieder troncke ende dominie uan grade te grade totten dage uan heden in hoocheden edelheden ende mogentheden ghemultipliceert ende gewassen siin mits welcken ende omme uan desen
