doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1540_souterliedekens,body,0,0,True,A1r,§ Souter Liedekens,souter liedekens,souter liedekens
1540_souterliedekens,body,1,0,True,A1r,"Ghemaect ter eeren Gods, op alle die Psalmen van Dauid: tot stichtinghe, ende een gheestelijcke vermakinghe van allen Christen menschen.",ghemaect ter eeren gods op alle die psalmen van dauid tot stichtinghe ende een gheestelijcke vermakinghe van allen christen menschen,ghemaect ter eeren gods op alle die psalmen uan dauid tot stichtinghe ende een gheesteliicke uermakinghe uan allen christen menschen
1540_souterliedekens,body,2,0,True,A1r,Colloss. int .iij. Cap.,colloss int iij cap,colloss int iii cap
1540_souterliedekens,body,3,0,True,A1r,"§ Leert ende vermaent v seluen met psalmen ende lofsanghen, ende gheestelike liedekens inder ghenaden, ende singhet den Heere in uwer herten.",leert ende vermaent v seluen met psalmen ende lofsanghen ende gheestelike liedekens inder ghenaden ende singhet den heere in uwer herten,leert ende uermaent u seluen met psalmen ende lofsanghen ende gheestelike liedekens inder ghenaden ende singhet den heere in uwer herten
1540_souterliedekens,body,4,0,False,A1r,"§ Gheprent Thantwerpen, op die Lombaerde veste teghen die gulden hant ouer, By my Symon Cock.",gheprent thantwerpen op die lombaerde veste teghen die gulden hant ouer by my symon cock,gheprent thantwerpen op die lombaerde ueste teghen die gulden hant ouer by my symon cock
1540_souterliedekens,body,4,1,False,A1r,Anno .,anno,anno
1540_souterliedekens,body,4,2,False,A1r,M.CCCCC. ende .,m ccccc ende,m ccccc ende
1540_souterliedekens,body,4,3,True,A1r,XL. Den .xij. in Iunio.,xl den xij in iunio,xl den xii in iunio
1540_souterliedekens,body,5,0,True,A1r,§ Cum Gratia et Priuilegio.,cum gratia et priuilegio,cum gratia et priuilegio
1540_souterliedekens,head,6,0,True,A1v,§ Dye Prologhe.,dye prologhe,dye prologhe
1540_souterliedekens,body,7,0,False,A1v,"Also ons Christus onse Here, voer al int eerste van ons ghebet heeft leeren bidden, dat den naem Gods ons hemelscen vaders, gheheylicht moet worden so canmen daer sekerlijc wt bemercken, dat die selfde heylichmakinge des godliken naems, een van de principaelste oefeningen zijn moet, daer hem een goet Christen mensce altijt, met woerden, wercken, ende ghedachten, mede behoort te becommeren, ende die niet en behoort achter te laten, mer altijt te helpen vorderen.",also ons christus onse here voer al int eerste van ons ghebet heeft leeren bidden dat den naem gods ons hemelscen vaders gheheylicht moet worden so canmen daer sekerlijc wt bemercken dat die selfde heylichmakinge des godliken naems een van de principaelste oefeningen zijn moet daer hem een goet christen mensce altijt met woerden wercken ende ghedachten mede behoort te becommeren ende die niet en behoort achter te laten mer altijt te helpen vorderen,also ons christus onse here uoer al int eerste uan ons ghebet heeft leeren bidden dat den naem gods ons hemelscen uaders gheheylicht moet worden so canmen daer sekerliic wt bemercken dat die selfde heylichmakinge des godliken naems een uan de principaelste oefeningen ziin moet daer hem een goet christen mensce altiit met woerden wercken ende ghedachten mede behoort te becommeren ende die niet en behoort achter te laten mer altiit te helpen uorderen
