doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1477_dictes,body,0,0,False,2,WHere it is so that euery humayn Creature by the suffran̄ce of our lord god is born̄ & ordeigned to be subgette and thral vnto the stormes of fortune And so in diuerse & many sondry wyses man is perplexid with worldly aduersitees / Of the whiche I Antoine wydeuille Erle Ryuyeres / lord Scales &c̄ haue largely & in many diffirent maners haue had my parte And of hem releued by thynfynyte grace & goodnes of our said lord thurgh the meane of the Mediatrice of Mercy / whiche ḡce euidently to me knowen & vnderstonde hath compelled me to sette a parte alle ingratitude / And droof me by reson & conscience as fer as my wrecchednes wold suffyse to gyue therfore synguler louynges & thankes / And exorted me to dispose my recouerd lyf to his seruyce / in folowīg his lawes and com̄andemēts / And in satisfaccōn & recōpence of myn̄ Inyquytees & fawtes before don̄ / to seke & excecute ye werkes that myght be most acceptable to hym / And as fer as myn fraylnes wold suffre me I rested in that wyll & purpose Duryng that season I vnderstode the Iubylee & pardon̄ to be at the holy Appostle Seynt Iames in Spayne whiche was the yere of grace a thousand .CCCC.lxxiij. Thēne I determyned me to take that voyage & shipped from southampton̄ in the moneth of Iuyll the said yere / And so sayled from thens til I come in to the Spaynyssh see there lackyng syght of alle londes / the wynde beyng good and the weder fayr / Thenne for a recreacon̄ & a passyng of tyme I had delyte & axed to rede som̄e good historye And amōg other ther was that season in my cōpanye a worshipful gentylman̄ callid lowys de Bretaylles / whiche gretly delited hym in alle vertuouse and honest thynges / that sayd to me / he hath there a book that he trusted I shuld lyke it right wele / and brought it to me / whyche book I had neuer seen before. and is called the saynges or dictis of the Philosophers.,where it is so that euery humayn creature by the suffran̄ce of our lord god is born̄ & ordeigned to be subgette and thral vnto the stormes of fortune and so in diuerse & many sondry wyses man is perplexid with worldly aduersitees of the whiche i antoine wydeuille erle ryuyeres lord scales &c̄ haue largely & in many diffirent maners haue had my parte and of hem releued by thynfynyte grace & goodnes of our said lord thurgh the meane of the mediatrice of mercy whiche ḡce euidently to me knowen & vnderstonde hath compelled me to sette a parte alle ingratitude and droof me by reson & conscience as fer as my wrecchednes wold suffyse to gyue therfore synguler louynges & thankes and exorted me to dispose my recouerd lyf to his seruyce in folowīg his lawes and com̄andemēts and in satisfaccōn & recōpence of myn̄ inyquytees & fawtes before don̄ to seke & excecute ye werkes that myght be most acceptable to hym and as fer as myn fraylnes wold suffre me i rested in that wyll & purpose duryng that season i vnderstode the iubylee & pardon̄ to be at the holy appostle seynt iames in spayne whiche was the yere of grace a thousand cccclxxiij thēne i determyned me to take that voyage & shipped from southampton̄ in the moneth of iuyll the said yere and so sayled from thens til i come in to the spaynyssh see there lackyng syght of alle londes the wynde beyng good and the weder fayr thenne for a recreacon̄ & a passyng of tyme i had delyte & axed to rede som̄e good historye and amōg other ther was that season in my cōpanye a worshipful gentylman̄ callid lowys de bretaylles whiche gretly delited hym in alle vertuouse and honest thynges that sayd to me he hath there a book that he trusted i shuld lyke it right wele and brought it to me whyche book i had neuer seen before and is called the saynges or dictis of the philosophers,where it is so that euery humayn creature by the suffrannce of our lord god is bornn et ordeigned to be subgette and thral unto the stormes of fortune and so in diuerse et many sondry wyses man is perplexid with worldly aduersitees of the whiche i antoine wydeuille erle ryuyeres lord scales etc haue largely et in many diffirent maners haue had my parte and of hem releued by thynfynyte grace et goodnes of our said lord thurgh the meane of the mediatrice of mercy whiche gce euidently to me knowen et understonde hath compelled me to sette a parte alle ingratitude and droof me by reson et conscience as fer as my wrecchednes wold suffyse to gyue therfore synguler louynges et thankes and exorted me to dispose my recouerd lyf to his seruyce in folowing his lawes and commandements and in satisfacconn et recompence of mynn inyquytees et fawtes before donn to seke et excecute ye werkes that myght be most acceptable to hym and as fer as myn fraylnes wold suffre me i rested in that wyll et purpose duryng that season i understode the iubylee et pardonn to be at the holy appostle seynt iames in spayne whiche was the yere of grace a thousand cccclxxiii thenne i determyned me to take that uoyage et shipped from southamptonn in the moneth of iuyll the said yere and so sayled from thens til i come in to the spaynyssh see there lackyng syght of alle londes the wynde beyng good and the weder fayr thenne for a recreaconn et a passyng of tyme i had delyte et axed to rede somme good historye and among other ther was that season in my companye a worshipful gentylmann callid lowys de bretaylles whiche gretly delited hym in alle uertuouse and honest thynges that sayd to me he hath there a book that he trusted i shuld lyke it right wele and brought it to me whyche book i had neuer seen before and is called the saynges or dictis of the philosophers
1477_dictes,body,0,1,False,3,And as I vnderstande it was translated out of latyn in to frenshe by a worshipful man callid messire Iehan de Teonuille prouost of parys Whan I had heeded and loked vpon it as I had tyme and space I gaaf therto a veray affection.,and as i vnderstande it was translated out of latyn in to frenshe by a worshipful man callid messire iehan de teonuille prouost of parys whan i had heeded and loked vpon it as i had tyme and space i gaaf therto a veray affection,and as i understande it was translated out of latyn in to frenshe by a worshipful man callid messire iehan de teonuille prouost of parys whan i had heeded and loked upon it as i had tyme and space i gaaf therto a ueray affection
1477_dictes,body,0,2,False,3,And in especial by cause of the holsom̄ and swete saynges of the paynems / whyche is a glorious fayr myrrour to alle good cristen people to beholde and vnderstonde.,and in especial by cause of the holsom̄ and swete saynges of the paynems whyche is a glorious fayr myrrour to alle good cristen people to beholde and vnderstonde,and in especial by cause of the holsomm and swete saynges of the paynems whyche is a glorious fayr myrrour to alle good cristen people to beholde and understonde
1477_dictes,body,0,3,False,3,Ouer that a grete comforte to euery wel disposed saule / It speketh also vniuersally to thexample. weel and doctryne of alle kynges prynces and to people of euery estate / It lawdes vertu and science / It blames vices and ignorance.,ouer that a grete comforte to euery wel disposed saule it speketh also vniuersally to thexample weel and doctryne of alle kynges prynces and to people of euery estate it lawdes vertu and science it blames vices and ignorance,ouer that a grete comforte to euery wel disposed saule it speketh also uniuersally to thexample weel and doctryne of alle kynges prynces and to people of euery estate it lawdes uertu and science it blames uices and ignorance
1477_dictes,body,0,4,False,3,And alle it I coude not at that season ner in al that pilgremage tyme haue leyzer to ouersee it wele at my pleasure· what for the disposicions that belongeth to a taker of a Iubylee and pardon.,and alle it i coude not at that season ner in al that pilgremage tyme haue leyzer to ouersee it wele at my pleasure what for the disposicions that belongeth to a taker of a iubylee and pardon,and alle it i coude not at that season ner in al that pilgremage tyme haue leyzer to ouersee it wele at my pleasure what for the disposicions that belongeth to a taker of a iubylee and pardon
1477_dictes,body,0,5,False,3,And also for the grete acqueyntaunce that I fonde there of worshipful folkes / with whom it was fittyng I shold kepe good and hoonest companye / yet neuertheles it rested styl in the desyrous fauour of my mynde / entendyng vtterly to take therwith gretter acqueyntaunce at som other conuenyent tyme· And so remaynyng in that oppynyon after suche season as it lysted the kynges grace comaunde me to gyue myn attendaunce vppon my lord the Prince. and that I was in his seruyse / whan I had leyser I loked vpon the sayd booke.,and also for the grete acqueyntaunce that i fonde there of worshipful folkes with whom it was fittyng i shold kepe good and hoonest companye yet neuertheles it rested styl in the desyrous fauour of my mynde entendyng vtterly to take therwith gretter acqueyntaunce at som other conuenyent tyme and so remaynyng in that oppynyon after suche season as it lysted the kynges grace comaunde me to gyue myn attendaunce vppon my lord the prince and that i was in his seruyse whan i had leyser i loked vpon the sayd booke,and also for the grete acqueyntaunce that i fonde there of worshipful folkes with whom it was fittyng i shold kepe good and hoonest companye yet neuertheles it rested styl in the desyrous fauour of my mynde entendyng utterly to take therwith gretter acqueyntaunce at som other conuenyent tyme and so remaynyng in that oppynyon after suche season as it lysted the kynges grace comaunde me to gyue myn attendaunce uppon my lord the prince and that i was in his seruyse whan i had leyser i loked upon the sayd booke
1477_dictes,body,0,6,False,3,And at the last concluded in my self to trāslate it in to thenglyssh tonge / wiche in my Iugement was not before.,and at the last concluded in my self to trāslate it in to thenglyssh tonge wiche in my iugement was not before,and at the last concluded in my self to translate it in to thenglyssh tonge wiche in my iugement was not before
1477_dictes,body,0,7,False,4,Thynkyng also ful necessary to my said lord the vnderstādyng therof.,thynkyng also ful necessary to my said lord the vnderstādyng therof,thynkyng also ful necessary to my said lord the understandyng therof
1477_dictes,body,0,8,True,4,And leest I coude not at al tymes be so wele ocupied or sholde falle in ydlenes / whanI myght / now and thenne I felle in hande with all And drewe bothe the sentēce and the wordes as nygh as coude / Neuertheles I haue seyn & herde of other of the same bookes whiche difference and be of other inportaunce / And therfore I drede that suche as shold liste to rede the translacon̄ & haue veray intelligence of ony of thoos bookes / eyther in latyne or in frenshe sholde fynde errours in my werke / whiche I wold not afferme cause of the contrary / But allegge the deffaulte to myn̄ vnconnyng / with the dyuersytees of the bookes / humbly desyryn̄g the reformacon̄ therof with myn excuse / and the rather syn after my rudenes not expert / I in my maner folowed my copye and the ground I had to speke vpon / as here after ensiewis.,and leest i coude not at al tymes be so wele ocupied or sholde falle in ydlenes whani myght now and thenne i felle in hande with all and drewe bothe the sentēce and the wordes as nygh as coude neuertheles i haue seyn & herde of other of the same bookes whiche difference and be of other inportaunce and therfore i drede that suche as shold liste to rede the translacon̄ & haue veray intelligence of ony of thoos bookes eyther in latyne or in frenshe sholde fynde errours in my werke whiche i wold not afferme cause of the contrary but allegge the deffaulte to myn̄ vnconnyng with the dyuersytees of the bookes humbly desyryn̄g the reformacon̄ therof with myn excuse and the rather syn after my rudenes not expert i in my maner folowed my copye and the ground i had to speke vpon as here after ensiewis,and leest i coude not at al tymes be so wele ocupied or sholde falle in ydlenes whani myght now and thenne i felle in hande with all and drewe bothe the sentence and the wordes as nygh as coude neuertheles i haue seyn et herde of other of the same bookes whiche difference and be of other inportaunce and therfore i drede that suche as shold liste to rede the translaconn et haue ueray intelligence of ony of thoos bookes eyther in latyne or in frenshe sholde fynde errours in my werke whiche i wold not afferme cause of the contrary but allegge the deffaulte to mynn unconnyng with the dyuersytees of the bookes humbly desyrynng the reformaconn therof with myn excuse and the rather syn after my rudenes not expert i in my maner folowed my copye and the ground i had to speke upon as here after ensiewis
1477_dictes,body,1,0,False,6,SEdechias was the first Philosophir by whoom through the wil and pleaser of oure lorde god Sapience was vnderstande and lawes resceyued. whiche Sedechias saide that euery creature of good beleue ought to haue in hym sixtene vertues ¶The first vertue is to drede and knowe god and his angellys ¶The seconde vertue is to haue discrecion to discrene the goode from the badde and to vse vertu and flevices ¶The thride vertue is to obeye the kynges or princes that god hath ordeygned to reygne vpon hym and that haue lordship and power vpon the people ¶The fourthe. vertue is to worship hys fadre & hys modre ¶The fyfthe vertue is to do Iustely and truely to euery creature aftir his possibilite ¶The sixthe vertue is to distribute his almes to the pouer people· ¶The seuenthe vertue is to kepe and defende straungers and pilgrymes ¶ The eyghte vertue is to bynde and determine him self to serue our lorde god ¶The nynthe vertue is to eschewe fornicacion ¶The tenthe vertue is to haue pacience.,sedechias was the first philosophir by whoom through the wil and pleaser of oure lorde god sapience was vnderstande and lawes resceyued whiche sedechias saide that euery creature of good beleue ought to haue in hym sixtene vertues the first vertue is to drede and knowe god and his angellys the seconde vertue is to haue discrecion to discrene the goode from the badde and to vse vertu and flevices the thride vertue is to obeye the kynges or princes that god hath ordeygned to reygne vpon hym and that haue lordship and power vpon the people the fourthe vertue is to worship hys fadre & hys modre the fyfthe vertue is to do iustely and truely to euery creature aftir his possibilite the sixthe vertue is to distribute his almes to the pouer people the seuenthe vertue is to kepe and defende straungers and pilgrymes the eyghte vertue is to bynde and determine him self to serue our lorde god the nynthe vertue is to eschewe fornicacion the tenthe vertue is to haue pacience,sedechias was the first philosophir by whoom through the wil and pleaser of oure lorde god sapience was understande and lawes resceyued whiche sedechias saide that euery creature of good beleue ought to haue in hym sixtene uertues the first uertue is to drede and knowe god and his angellys the seconde uertue is to haue discrecion to discrene the goode from the badde and to use uertu and fleuices the thride uertue is to obeye the kynges or princes that god hath ordeygned to reygne upon hym and that haue lordship and power upon the people the fourthe uertue is to worship hys fadre et hys modre the fyfthe uertue is to do iustely and truely to euery creature aftir his possibilite the sixthe uertue is to distribute his almes to the pouer people the seuenthe uertue is to kepe and defende straungers and pilgrymes the eyghte uertue is to bynde and determine him self to serue our lorde god the nynthe uertue is to eschewe fornicacion the tenthe uertue is to haue pacience
