call,line,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
1,1,zuresch,od,adaph,mal,ses,geno,au,,,,,,,,,,,,,
,2,marlan,o,muspa,agiod,pan,ga,ses,,,,,,,,,,,,,
,3,gampedaz,capcneh,go,od,semelabugen,domna,phiam,,,,,,,,,,,,,
,4,ga,vancran,vrepres,adepd,aze,druz,tardemah,,,,,,,,,,,,,
,5,va,cests,grapad,sed,unbar,domiol,adepoad,,,,,,,,,,,,,
,6,chevach,mah,osshe,daph,onizdar,pangephi,odamh,,,,,,,,,,,,,
,7,gemedsal,a,dinoza,hoxpor,adpun,dar,garmes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2,1,ihehusch,gronhadoz,arden,o,na,gempalo,oicasman,,,,,,,,,,,,,
,2,vandres,orda,veveiah,nos,plignaphe,zamponon,aneph,,,,,,,,,,,,,
,3,ophed,a,medox,marune,gena,pres,no,,,,,,,,,,,,,
,4,dasmat,vorts,manget,a-deune,damph,naxt,os,,,,,,,,,,,,,
,5,vandemhnaxat,orophas,vor,minodal,amudas,ger,pa,,,,,,,,,,,,,
,6,o,daxzum,bances,ordan,pa,pres,umblosda,,,,,,,,,,,,,
,7,vorx,nadon,patrophes,undes,adon,ganebns,ihehudz,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3,1,palse,duxma,ge,na,dem,oh,elog,,,,,,,,,,,,,
,2,da,ved,ge,ma,fedes,o,ned,,,,,,,,,,,,,
,3,a,tha,lepah,nes,din,ihehudetha,dan,,,,,,,,,,,,,
,4,vangem,onphe,dabin,oh,nax,palse,ge,,,,,,,,,,,,,
,5,dah,maz,gem,fatesged,oh,mal,dan,,,,,,,,,,,,,
,6,gemph,naha,lax,vu,lutudah,ages,magel,,,,,,,,,,,,,
,7,osch,macom,adeph,a,dosch,ma,handa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,1,pah,o,mata,nax,lasco,vana,ar,,,,,,,,,,,,,
,2,von,zimah,la,de,de,pah,o,,,,,,,,,,,,,
,3,gram,nes,ca,pan,amphan,van,zebog,,,,,,,,,,,,,
,4,ahah,dauez,ol,ga,van,gredo,oha,,,,,,,,,,,,,
,5,ne,daph,aged,onedon,pan,le,ges,,,,,,,,,,,,,
,6,ma,gas,axa,nah,alpod,ne,alida,,,,,,,,,,,,,
,7,phar,or,ad,gemesad,argla,nado,oges,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5,1,mabeth,ar,mices,achaph,pax,mara,geduth,,,,,,,,,,,,,
,2,alides,orcanor,manch,arseth,olontax,ar,geban,,,,,,,,,,,,,
,3,vox,portex,ah,pamo,agematon,burise,ganport,,,,,,,,,,,,,
,4,vdrios,paseh,machel,len,arvin,zembuges,vox,,,,,,,,,,,,,
,5,mara,gons,ihehusch,dah,parsodan,maah,alsplan,,,,,,,,,,,,,
,6,donglses,adipr,aginot,archad,dons,a,dax,,,,,,,,,,,,,
,7,van,famlet,a,dex,arge,pa,gens,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
6,1,van,danzan,oripat,es,vami,gest,ageff,,,,,,,,,,,,,
,2,ormatenodah,zalpala,doniton,pasdaes,ganpogan,vndanpel,adin,,,,,,,,,,,,,
,3,achaph,maradon,oxamax,anolphe,dan,ieh,voxad,,,,,,,,,,,,,
,4,mar,vox,ihedutharh,aggs,pal,med,lefe,,,,,,,,,,,,,
,5,ian,lefa,dox,parnix,o,droes,marsibleh,,,,,,,,,,,,,
,6,aho,dan,adeph,uloh,iads,ascleh,da,,,,,,,,,,,,,
,7,verox,ans,dalph,che,damph,lam,achos,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7,1,amidan,gah,lesco,van,gedon,amchih,ax,,,,,,,,,,,,,
,2,or,madol,cramsa,ne,da,vadgs,lesgamph,,,,,,,,,,,,,
,3,ar,mara,panosch,aschedh,or,samhamphors,asco,,,,,,,,,,,,,
,4,pascadabaah,asto,a,vdrios,archadas,ors,arni,,,,,,,,,,,,,
,5,pamphica,lan,gebed,druxarh,fres,adma,nah,,,,,,,,,,,,,
,6,pamphes,ea,vanglor,brisfog,mahad,no,poho,,,,,,,,,,,,,
,7,a,palgeh,donla,def,arehas,na,degel,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
