doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1558_bonaventure_perier,head,0,0,True,,NOUVELLE I.,nouvelle i,nouuelle i
1558_bonaventure_perier,head,1,0,True,,EN FORME DE PRÉAMBULE.,en forme de préambule,en forme de preambule
1558_bonaventure_perier,body,2,0,False,,"Je vous gardois ces joyeux Propos à quand la paix seroit faite , afin que vous eussiez de quoi vous réjouir publiquement et privément, et en toutes manières.",je vous gardois ces joyeux propos à quand la paix seroit faite afin que vous eussiez de quoi vous réjouir publiquement et privément et en toutes manières,ie uous gardois ces ioyeux propos a quand la paix seroit faite afin que uous eussiez de quoi uous reiouir publiquement et priuement et en toutes manieres
1558_bonaventure_perier,body,2,1,False,,"Mais quand j’ai vu qu’il s’en falloit le manche, et qu’on ne savoit par où la prendre, j’ai mieux aimé m’avancer pour vous donner moyen de tromper le temps, mêlant des réjouissances parmi vos fâcheries, en attendant qu’elle se fasse de par Dieu.",mais quand jai vu quil sen falloit le manche et quon ne savoit par où la prendre jai mieux aimé mavancer pour vous donner moyen de tromper le temps mêlant des réjouissances parmi vos fâcheries en attendant quelle se fasse de par dieu,mais quand iai uu quil sen falloit le manche et quon ne sauoit par ou la prendre iai mieux aime mauancer pour uous donner moyen de tromper le temps melant des reiouissances parmi uos facheries en attendant quelle se fasse de par dieu
1558_bonaventure_perier,body,2,2,False,,"Et puis, je me suis avisé que c’étoit ici le vrai temps de les vous donner; car c’est aux malades qu’il faut médecine.",et puis je me suis avisé que cétoit ici le vrai temps de les vous donner car cest aux malades quil faut médecine,et puis ie me suis auise que cetoit ici le urai temps de les uous donner car cest aux malades quil faut medecine
1558_bonaventure_perier,body,2,3,False,,"Et vous assurez que je ne fais pas peu de chose pour vous, en vous donnant de quoi vous réjouir, qui est la meilleure chose que puisse faire l’homme.",et vous assurez que je ne fais pas peu de chose pour vous en vous donnant de quoi vous réjouir qui est la meilleure chose que puisse faire lhomme,et uous assurez que ie ne fais pas peu de chose pour uous en uous donnant de quoi uous reiouir qui est la meilleure chose que puisse faire lhomme
1558_bonaventure_perier,body,2,4,False,,"Le plus gentil enseignement pour la vie, c’est _bene vivere et lætari_.",le plus gentil enseignement pour la vie cest bene vivere et lætari,le plus gentil enseignement pour la uie cest bene uiuere et laetari
1558_bonaventure_perier,body,2,5,False,,"L’un vous baillera pour un grand notable , qu’il faut réprimer son courroux; l’autre, peu parler; l’autre, croire conseil; l’autre, être sobre; l’autre, faire des amis.",lun vous baillera pour un grand notable quil faut réprimer son courroux lautre peu parler lautre croire conseil lautre être sobre lautre faire des amis,lun uous baillera pour un grand notable quil faut reprimer son courroux lautre peu parler lautre croire conseil lautre etre sobre lautre faire des amis
1558_bonaventure_perier,body,2,6,False,,"Et bien, tout cela est bon; mais vous avez beau étudier, vous n’en trouverez point de tel qu’est: Bien vivre et se réjouir.",et bien tout cela est bon mais vous avez beau étudier vous nen trouverez point de tel quest bien vivre et se réjouir,et bien tout cela est bon mais uous auez beau etudier uous nen trouuerez point de tel quest bien uiure et se reiouir
1558_bonaventure_perier,body,2,7,False,,Une trop grande patience vous consume; un taire vous tient gehenné ; un conseil vous trompe; une diète vous dessèche; un ami vous abandonne.,une trop grande patience vous consume un taire vous tient gehenné un conseil vous trompe une diète vous dessèche un ami vous abandonne,une trop grande patience uous consume un taire uous tient gehenne un conseil uous trompe une diete uous desseche un ami uous abandonne
