doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
1532_rabelais_pantagruel,body,0,0,True,,Prologue de l’Auteur.,prologue de lauteur,prologue de lauteur
1532_rabelais_pantagruel,body,1,0,False,,"res illustres et tres chevaleureux champions gentilz hommes et aultres, qui voluntiers vous adonnez à toutes gentillesses et honnestetez, vous avez na gueres veu, leu, et sceu les grandes et inestimables chronicques de l’enorme geant Gargantua, et comme vrays fideles les avez creues tout ainsi qu’en texte de Bible ou du sainct Evangile, et y avez maintefoys passé vostre temps avecques les honorables dames et damoyselles, leur en faisans beaulx et longs narrez, alors que estiez hors de propos : dont estes bien dignes de grande louange.",res illustres et tres chevaleureux champions gentilz hommes et aultres qui voluntiers vous adonnez à toutes gentillesses et honnestetez vous avez na gueres veu leu et sceu les grandes et inestimables chronicques de lenorme geant gargantua et comme vrays fideles les avez creues tout ainsi quen texte de bible ou du sainct evangile et y avez maintefoys passé vostre temps avecques les honorables dames et damoyselles leur en faisans beaulx et longs narrez alors que estiez hors de propos dont estes bien dignes de grande louange,res illustres et tres cheualeureux champions gentilz hommes et aultres qui uoluntiers uous adonnez a toutes gentillesses et honnestetez uous auez na gueres ueu leu et sceu les grandes et inestimables chronicques de lenorme geant gargantua et comme urays fideles les auez creues tout ainsi quen texte de bible ou du sainct euangile et y auez maintefoys passe uostre temps auecques les honorables dames et damoyselles leur en faisans beaulx et longs narrez alors que estiez hors de propos dont estes bien dignes de grande louange
1532_rabelais_pantagruel,body,1,1,False,,"Et à la mienne volunte que ung chascun laissast sa propre besoigne, ne se souciast de son mestier et mist ses affaires propres en oubly, afin d’y vacquer entierement sans que son esprit feust de ailleurs distraict ny empesche, jusques à ce que l’on les sceust par cueur, affin que si d’adventure l’art de l’imprimerie cessoit, ou en cas que tous livres perissent, au temps advenir dont chascun les puisse bien au net enseigner à ses enfans : car il y a plus de fruict que par adventure ne pensent ung tas de gros talvassiers tous croustelevez, qui entendent beaucoup moins en ces petites joyeusetez que ne faict Raclet en l’Institute.",et à la mienne volunte que ung chascun laissast sa propre besoigne ne se souciast de son mestier et mist ses affaires propres en oubly afin dy vacquer entierement sans que son esprit feust de ailleurs distraict ny empesche jusques à ce que lon les sceust par cueur affin que si dadventure lart de limprimerie cessoit ou en cas que tous livres perissent au temps advenir dont chascun les puisse bien au net enseigner à ses enfans car il y a plus de fruict que par adventure ne pensent ung tas de gros talvassiers tous croustelevez qui entendent beaucoup moins en ces petites joyeusetez que ne faict raclet en linstitute,et a la mienne uolunte que ung chascun laissast sa propre besoigne ne se souciast de son mestier et mist ses affaires propres en oubly afin dy uacquer entierement sans que son esprit feust de ailleurs distraict ny empesche iusques a ce que lon les sceust par cueur affin que si daduenture lart de limprimerie cessoit ou en cas que tous liures perissent au temps aduenir dont chascun les puisse bien au net enseigner a ses enfans car il y a plus de fruict que par aduenture ne pensent ung tas de gros taluassiers tous crousteleuez qui entendent beaucoup moins en ces petites ioyeusetez que ne faict raclet en linstitute
1532_rabelais_pantagruel,body,1,2,False,,"J’en ay congneu de haultz et puissans seigneurs en bon nombre, qui, allant à chasse de grosses bestes, ou voller pour faucons : s’il advenoit que la beste ne feust rencontree par les brisees, ou que le faulcon se mist à planer, voyant la proye gaigner à tire d’esle, ilz estoient bien marryz, comme entendez assez : mais leur refuge de reconfort et affin de ne se morfondre estoit à recoler les inestimables faictz dudict Gargantua.",jen ay congneu de haultz et puissans seigneurs en bon nombre qui allant à chasse de grosses bestes ou voller pour faucons sil advenoit que la beste ne feust rencontree par les brisees ou que le faulcon se mist à planer voyant la proye gaigner à tire desle ilz estoient bien marryz comme entendez assez mais leur refuge de reconfort et affin de ne se morfondre estoit à recoler les inestimables faictz dudict gargantua,ien ay congneu de haultz et puissans seigneurs en bon nombre qui allant a chasse de grosses bestes ou uoller pour faucons sil aduenoit que la beste ne feust rencontree par les brisees ou que le faulcon se mist a planer uoyant la proye gaigner a tire desle ilz estoient bien marryz comme entendez assez mais leur refuge de reconfort et affin de ne se morfondre estoit a recoler les inestimables faictz dudict gargantua
1532_rabelais_pantagruel,body,1,3,False,,"D’aultres sont par le monde (ce ne sont pas faribolles) qui estans grandement affligez du mal des dentz, apres avoir tous leurs biens despenduz en medecins, ne ont trouve remede plus expedient, que de mettre les dictes chronicques entre deux beaulx linges bien chaulx, et les appliquer au lieu de la douleur, les sinapizant avecques un peu de pouldre d’oribus.",daultres sont par le monde ce ne sont pas faribolles qui estans grandement affligez du mal des dentz apres avoir tous leurs biens despenduz en medecins ne ont trouve remede plus expedient que de mettre les dictes chronicques entre deux beaulx linges bien chaulx et les appliquer au lieu de la douleur les sinapizant avecques un peu de pouldre doribus,daultres sont par le monde ce ne sont pas faribolles qui estans grandement affligez du mal des dentz apres auoir tous leurs biens despenduz en medecins ne ont trouue remede plus expedient que de mettre les dictes chronicques entre deux beaulx linges bien chaulx et les appliquer au lieu de la douleur les sinapizant auecques un peu de pouldre doribus
1532_rabelais_pantagruel,body,1,4,False,,Mais que diray je des pauvres verollez et goutteux ?,mais que diray je des pauvres verollez et goutteux,mais que diray ie des pauures uerollez et goutteux
1532_rabelais_pantagruel,body,1,5,False,,"O, quantes foys nous les avons veu à l’heure quilz estoyent bien oingtz et engressez à poinct, et le visaige leur reluysoit comme la claveure d’un charnier, et les dentz leur tressailloyent comme font les marchettes dung clavier dorgues ou despinette quand on joue dessus, et que le gousier leur escumoit comme a un verrat que les vaultres et levriers ont chasse sept heures : que faisoyent-ilz alors ?",o quantes foys nous les avons veu à lheure quilz estoyent bien oingtz et engressez à poinct et le visaige leur reluysoit comme la claveure dun charnier et les dentz leur tressailloyent comme font les marchettes dung clavier dorgues ou despinette quand on joue dessus et que le gousier leur escumoit comme a un verrat que les vaultres et levriers ont chasse sept heures que faisoyentilz alors,o quantes foys nous les auons ueu a lheure quilz estoyent bien oingtz et engressez a poinct et le uisaige leur reluysoit comme la claueure dun charnier et les dentz leur tressailloyent comme font les marchettes dung clauier dorgues ou despinette quand on ioue dessus et que le gousier leur escumoit comme a un uerrat que les uaultres et leuriers ont chasse sept heures que faisoyentilz alors
1532_rabelais_pantagruel,body,1,6,False,,toute leur consolation nestoit que de ouyr lire quelque page dudict livre.,toute leur consolation nestoit que de ouyr lire quelque page dudict livre,toute leur consolation nestoit que de ouyr lire quelque page dudict liure
1532_rabelais_pantagruel,body,1,7,False,,"Et en avons veu qui se donnoyent à cent pipes de diables, en cas que ilz n’eussent senty allegement manifeste a la lecture dudict livre, lors quon les tenoit es Iymbes, ny plus ny moins que les femmes estans en mal d’enfant quand on leurs list la vie de saincte Marguerite.",et en avons veu qui se donnoyent à cent pipes de diables en cas que ilz neussent senty allegement manifeste a la lecture dudict livre lors quon les tenoit es iymbes ny plus ny moins que les femmes estans en mal denfant quand on leurs list la vie de saincte marguerite,et en auons ueu qui se donnoyent a cent pipes de diables en cas que ilz neussent senty allegement manifeste a la lecture dudict liure lors quon les tenoit es iymbes ny plus ny moins que les femmes estans en mal denfant quand on leurs list la uie de saincte marguerite
1532_rabelais_pantagruel,body,1,8,False,,Est ce rien cela ?,est ce rien cela,est ce rien cela
