doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
crescentiis_figuren_1493,head,0,0,True,1,Petrus de crescentiis zu teusch mit figuren.,petrus de crescentiis zu teusch mit figuren,petrus de crescentiis zu teusch mit figuren
crescentiis_figuren_1493,body,1,0,False,2,"ALs ich, Petrus von Crescentiis, nach vill arbeyt vnd wytem wandeln von erfarung wegen mich gemuͦhet hett vnd vil buͦcher der alten vnd auch der nuwen wysen durch lesen, habe ich erfunden, erlernet vnd gesehen vil vnd mancherley wirckung der buwe leute vnnd besunder der, die do buwen die ecker.",als ich petrus von crescentiis nach vill arbeyt vnd wytem wandeln von erfarung wegen mich gemuͦhet hett vnd vil buͦcher der alten vnd auch der nuwen wysen durch lesen habe ich erfunden erlernet vnd gesehen vil vnd mancherley wirckung der buwe leute vnnd besunder der die do buwen die ecker,als ich petrus uon crescentiis nach uill arbeyt und wytem wandeln uon erfarung wegen mich gemuhet hett und uil bucher der alten und auch der nuwen wysen durch lesen habe ich erfunden erlernet und gesehen uil und mancherley wirckung der buwe leute unnd besunder der die do buwen die ecker
crescentiis_figuren_1493,body,1,1,False,2,"Durch das ich bewegt byn worden vnnd inn mir selber betracht habe, das vnder allen dingen, do durch mann etzwas vberkommen sol, nichts bessers, nichts fruchtbarers oder vberflussigers, auch nichts sussers sy weder der ackergang oder das eren vnd buwen der ecker, vnd auch einem fryhen menschen nichs wirdigers, als Tullius spricht.",durch das ich bewegt byn worden vnnd inn mir selber betracht habe das vnder allen dingen do durch mann etzwas vberkommen sol nichts bessers nichts fruchtbarers oder vberflussigers auch nichts sussers sy weder der ackergang oder das eren vnd buwen der ecker vnd auch einem fryhen menschen nichs wirdigers als tullius spricht,durch das ich bewegt byn worden unnd inn mir selber betracht habe das under allen dingen do durch mann etzwas uberkommen sol nichts bessers nichts fruchtbarers oder uberflussigers auch nichts sussers sy weder der ackergang oder das eren und buwen der ecker und auch einem fryhen menschen nichs wirdigers als tullius spricht
crescentiis_figuren_1493,body,1,2,False,2,"Vnd ich erkandt, das inn dem eren oder buwen der ecker lychtlich funden wirt ein stiller vnd sanfftmuͦtiger stat vnd wirt vß getribben der muͦßiggang vnd auch vermidden die beleydigung oder letzigung der nehsten.",vnd ich erkandt das inn dem eren oder buwen der ecker lychtlich funden wirt ein stiller vnd sanfftmuͦtiger stat vnd wirt vß getribben der muͦßiggang vnd auch vermidden die beleydigung oder letzigung der nehsten,und ich erkandt das inn dem eren oder buwen der ecker lychtlich funden wirt ein stiller und sanfftmutiger stat und wirt uss getribben der mussiggang und auch uermidden die beleydigung oder letzigung der nehsten
crescentiis_figuren_1493,body,1,3,False,2,"Auch mehr, das dürch die erfarung der lere des acker gangs oder buwens lychtlicher vnd vberflußiger wirt erfunden nutzbarkeyt vnnd auch erzeyget lustbarkeyt, also doch das alle dinge nit versumigklich vnd on, sunder mit allem flyß noch rechter ordenunge vnd gewonheyt geehret werden.",auch mehr das dürch die erfarung der lere des acker gangs oder buwens lychtlicher vnd vberflußiger wirt erfunden nutzbarkeyt vnnd auch erzeyget lustbarkeyt also doch das alle dinge nit versumigklich vnd on sunder mit allem flyß noch rechter ordenunge vnd gewonheyt geehret werden,auch mehr das durch die erfarung der lere des acker gangs oder buwens lychtlicher und uberflussiger wirt erfunden nutzbarkeyt unnd auch erzeyget lustbarkeyt also doch das alle dinge nit uersumigklich und on sunder mit allem flyss noch rechter ordenunge und gewonheyt geehret werden
crescentiis_figuren_1493,body,1,4,False,2,"Dor vmb allen guten menschen, die do wollen leben von den zinsen irer besessen guͦter, ist soliche kunst zü begeren vnd zü dem buwen oder eren der ecker alle ire synn vnd gemuͦt zü setzen.",dor vmb allen guten menschen die do wollen leben von den zinsen irer besessen guͦter ist soliche kunst zü begeren vnd zü dem buwen oder eren der ecker alle ire synn vnd gemuͦt zü setzen,dor umb allen guten menschen die do wollen leben uon den zinsen irer besessen guter ist soliche kunst zu begeren und zu dem buwen oder eren der ecker alle ire synn und gemut zu setzen
crescentiis_figuren_1493,body,1,5,False,2,"Vnd also an geruffen die hilff des almechtigen gottes, habe ich mir vorgenommen vnd auch vorgesetzt, alle werck vnd nütz eines iglichen geslechts der ecker, der pflantzen vnd auch thyere vnd die kunst, die dunckel vnd vnuolkommenlich von den alten geben vnd den nuwen gnüg on wißen, nit alleyn nach den synnen vnd offenbaren vrsachen der wysen der kunst philosophie, sunder auch vß bewerter erfarung clarlich inn schrifften zü geben, vnd das allein in dem vertruwen der fryheyt Christi.",vnd also an geruffen die hilff des almechtigen gottes habe ich mir vorgenommen vnd auch vorgesetzt alle werck vnd nütz eines iglichen geslechts der ecker der pflantzen vnd auch thyere vnd die kunst die dunckel vnd vnuolkommenlich von den alten geben vnd den nuwen gnüg on wißen nit alleyn nach den synnen vnd offenbaren vrsachen der wysen der kunst philosophie sunder auch vß bewerter erfarung clarlich inn schrifften zü geben vnd das allein in dem vertruwen der fryheyt christi,und also an geruffen die hilff des almechtigen gottes habe ich mir uorgenommen und auch uorgesetzt alle werck und nutz eines iglichen geslechts der ecker der pflantzen und auch thyere und die kunst die dunckel und unuolkommenlich uon den alten geben und den nuwen gnug on wissen nit alleyn nach den synnen und offenbaren ursachen der wysen der kunst philosophie sunder auch uss bewerter erfarung clarlich inn schrifften zu geben und das allein in dem uertruwen der fryheyt christi
crescentiis_figuren_1493,body,1,6,False,2,"Her vmb so wirt diß buch gnant ‚Von den nützen der dinge, die in eckern gebuwet werden‘ oder auch ‚Von dem nütz der buwe leute‘, wann eß sagt von dem nütz der ecker.",her vmb so wirt diß buch gnant von den nützen der dinge die in eckern gebuwet werden oder auch von dem nütz der buwe leute wann eß sagt von dem nütz der ecker,her umb so wirt diss buch gnant uon den nutzen der dinge die in eckern gebuwet werden oder auch uon dem nutz der buwe leute wann ess sagt uon dem nutz der ecker
crescentiis_figuren_1493,body,1,7,True,2,Vnd heldt in yme zwoͤlff bucher.,vnd heldt in yme zwoͤlff bucher,und heldt in yme zwolff bucher
crescentiis_figuren_1493,body,2,0,False,2,"Das erste buch sagt von erwelen wone stette vnd von hoͤfen vnd husern vnnd von den dingen, die not syn zü eyner wonunge.",das erste buch sagt von erwelen wone stette vnd von hoͤfen vnd husern vnnd von den dingen die not syn zü eyner wonunge,das erste buch sagt uon erwelen wone stette und uon hofen und husern unnd uon den dingen die not syn zu eyner wonunge
