doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_gottfried_1497,head,0,0,True,313,Von ritter gotfrid wie er sein weib erlöst.,von ritter gotfrid wie er sein weib erlöst,uon ritter gotfrid wie er sein weib erlost
nn_gottfried_1497,body,1,0,True,314,IR herren schweigt vnd höret zu,ir herren schweigt vnd höret zu,ir herren schweigt und horet zu
nn_gottfried_1497,body,2,0,True,314,Ein hystori ich sagen thu,ein hystori ich sagen thu,ein hystori ich sagen thu
nn_gottfried_1497,body,3,0,True,314,Von einem ritter wol erkant,von einem ritter wol erkant,uon einem ritter wol erkant
nn_gottfried_1497,body,4,0,True,314,Der selb was her gotfryd genant,der selb was her gotfryd genant,der selb was her gotfryd genant
nn_gottfried_1497,body,5,0,True,314,Darumb so wil ich euch thun kunt,darumb so wil ich euch thun kunt,darumb so wil ich euch thun kunt
nn_gottfried_1497,body,6,0,True,314,was ich von im geschriben funt,was ich von im geschriben funt,was ich uon im geschriben funt
nn_gottfried_1497,body,7,0,True,314,Do er zu seinen iaren kam,do er zu seinen iaren kam,do er zu seinen iaren kam
nn_gottfried_1497,body,8,0,True,314,Der selbig iungling fur sich nam,der selbig iungling fur sich nam,der selbig iungling fur sich nam
nn_gottfried_1497,body,9,0,True,314,Vnd bettet zu allen stunden,vnd bettet zu allen stunden,und bettet zu allen stunden
nn_gottfried_1497,body,10,0,True,314,Fünff pater noster den fünf wunden,fünff pater noster den fünf wunden,funff pater noster den funf wunden
nn_gottfried_1497,body,11,0,True,314,Das in got het in seiner hut,das in got het in seiner hut,das in got het in seiner hut
nn_gottfried_1497,body,12,0,True,314,Behüt in vor vnrechtem gut,behüt in vor vnrechtem gut,behut in uor unrechtem gut
nn_gottfried_1497,body,13,0,True,314,Do er nu zu eim ritter wart,do er nu zu eim ritter wart,do er nu zu eim ritter wart
nn_gottfried_1497,body,14,0,True,314,Er tet nach ritterlicher art,er tet nach ritterlicher art,er tet nach ritterlicher art
nn_gottfried_1497,body,15,0,True,314,Ward der pest durnierer erkant,ward der pest durnierer erkant,ward der pest durnierer erkant
nn_gottfried_1497,body,16,0,True,314,Sein gleich fand man nit in kein lant,sein gleich fand man nit in kein lant,sein gleich fand man nit in kein lant
nn_gottfried_1497,body,17,0,True,314,Wo man hoflich solt geparen,wo man hoflich solt geparen,wo man hoflich solt geparen
nn_gottfried_1497,body,18,0,True,314,Preis tet man von im erfaren,preis tet man von im erfaren,preis tet man uon im erfaren
nn_gottfried_1497,body,19,0,True,314,Vor fürsten frawen vnd auch hern,vor fürsten frawen vnd auch hern,uor fursten frawen und auch hern
nn_gottfried_1497,body,20,0,True,314,Sein ros kund er wol darzu kern,sein ros kund er wol darzu kern,sein ros kund er wol darzu kern
nn_gottfried_1497,body,21,0,True,314,Nach preis so fur er in die lant,nach preis so fur er in die lant,nach preis so fur er in die lant
nn_gottfried_1497,body,22,0,True,314,Er füret auch in seiner hant,er füret auch in seiner hant,er furet auch in seiner hant
nn_gottfried_1497,body,23,0,True,314,Ein sper das was wol armes gros,ein sper das was wol armes gros,ein sper das was wol armes gros
nn_gottfried_1497,body,24,0,True,314,Das feur dick aus den helmen schos,das feur dick aus den helmen schos,das feur dick aus den helmen schos
nn_gottfried_1497,body,25,0,True,315,Wenn nach seiner scharpffen krone,wenn nach seiner scharpffen krone,wenn nach seiner scharpffen krone
nn_gottfried_1497,body,26,0,True,315,Vbt er sich nach preises lone,vbt er sich nach preises lone,ubt er sich nach preises lone
nn_gottfried_1497,body,27,0,True,315,Ein ritter im sein tochter gab,ein ritter im sein tochter gab,ein ritter im sein tochter gab
nn_gottfried_1497,body,28,0,True,315,Czu weib als ich vernommen hab,czu weib als ich vernommen hab,czu weib als ich uernommen hab
nn_gottfried_1497,body,29,0,True,315,Darzu ward im geben ein gut,darzu ward im geben ein gut,darzu ward im geben ein gut
nn_gottfried_1497,body,30,0,True,315,Das im hin nach betrübt sein mut,das im hin nach betrübt sein mut,das im hin nach betrubt sein mut
nn_gottfried_1497,body,31,0,True,315,Das was von eim kloster kommen,das was von eim kloster kommen,das was uon eim kloster kommen
nn_gottfried_1497,body,32,0,True,315,Vnrechtlich hab ich vernommen,vnrechtlich hab ich vernommen,unrechtlich hab ich uernommen
nn_gottfried_1497,body,33,0,True,315,Wenn wer vnrecht gut ynnen hat,wenn wer vnrecht gut ynnen hat,wenn wer unrecht gut ynnen hat
nn_gottfried_1497,body,34,0,True,315,Der selben sele wirt nymmer rat,der selben sele wirt nymmer rat,der selben sele wirt nymmer rat
nn_gottfried_1497,body,35,0,True,315,Des kam die fraw in grosse pein,des kam die fraw in grosse pein,des kam die fraw in grosse pein
nn_gottfried_1497,body,36,0,True,315,Sy solt ewig verloren sein,sy solt ewig verloren sein,sy solt ewig uerloren sein
nn_gottfried_1497,body,37,0,True,315,Gar lange zeit vnd kurtze iar,gar lange zeit vnd kurtze iar,gar lange zeit und kurtze iar
nn_gottfried_1497,body,38,0,True,315,Lebten     sy mit einander zwar,lebten sy mit einander zwar,lebten sy mit einander zwar
nn_gottfried_1497,body,39,0,True,315,Der rytter vnd sein eigen weib,der rytter vnd sein eigen weib,der rytter und sein eigen weib
nn_gottfried_1497,body,40,0,True,315,Der tot kam vnd nam ir den leib,der tot kam vnd nam ir den leib,der tot kam und nam ir den leib
nn_gottfried_1497,body,41,0,True,315,Und tet sy also kurtzlich scheid,und tet sy also kurtzlich scheid,und tet sy also kurtzlich scheid
nn_gottfried_1497,body,42,0,True,315,Dem ritter geschach grosses leid,dem ritter geschach grosses leid,dem ritter geschach grosses leid
nn_gottfried_1497,body,43,0,True,315,Das im sein liebes weib was tot,das im sein liebes weib was tot,das im sein liebes weib was tot
nn_gottfried_1497,body,44,0,True,315,Des kam der ritter in gros not,des kam der ritter in gros not,des kam der ritter in gros not
nn_gottfried_1497,body,45,0,True,315,Doch wer got pitt andechtiglich,doch wer got pitt andechtiglich,doch wer got pitt andechtiglich
nn_gottfried_1497,body,46,0,True,315,Dem selben in gnad got zeigt sich,dem selben in gnad got zeigt sich,dem selben in gnad got zeigt sich
nn_gottfried_1497,body,47,0,True,315,Der ritter pat got den reichen,der ritter pat got den reichen,der ritter pat got den reichen
nn_gottfried_1497,body,48,0,True,316,Mit gros andacht tugentleichen,mit gros andacht tugentleichen,mit gros andacht tugentleichen
nn_gottfried_1497,body,49,0,True,316,Das in got hie auff diset erdn,das in got hie auff diset erdn,das in got hie auff diset erdn
nn_gottfried_1497,body,50,0,True,316,Vor seinem end lies ynnen werdn,vor seinem end lies ynnen werdn,uor seinem end lies ynnen werdn
nn_gottfried_1497,body,51,0,True,316,Ob nun die sel der frawen sein,ob nun die sel der frawen sein,ob nun die sel der frawen sein
nn_gottfried_1497,body,52,0,True,316,Wer in frewden oder in pein,wer in frewden oder in pein,wer in frewden oder in pein
nn_gottfried_1497,body,53,0,True,316,O herr durch dein gnad ir hilff thu,o herr durch dein gnad ir hilff thu,o herr durch dein gnad ir hilff thu
