doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
springer_merfart_1509,head,0,0,True,5,DJe Merfart vnd erfarung nüwer Schiffung vnd Wege zuͦ viln onerkanten Jnseln vnd Kuͦnigreichen/ von dem großmechtigen Portugalischen Kunig Emanuel Erforscht/ funden/ bestritten vnnd Jngenomen/ Auch wunderbarliche Streyt/ ordenung/ leben wesen handlung vnd wunderwercke/ des volcks vnd Thyrer dar inn wonende/ findestu in diessem buchlyn warhaftiglich beschryben vnd abkunterfeyt/ wie ich Balthasar Sprenger sollichs selbs: in kurtzuerschynen zeiten: gesehen vnd erfaren habe. rc GEDRVCKT ANNO. M.D.IX.,dje merfart vnd erfarung nüwer schiffung vnd wege zuͦ viln onerkanten jnseln vnd kuͦnigreichen von dem großmechtigen portugalischen kunig emanuel erforscht funden bestritten vnnd jngenomen auch wunderbarliche streyt ordenung leben wesen handlung vnd wunderwercke des volcks vnd thyrer dar inn wonende findestu in diessem buchlyn warhaftiglich beschryben vnd abkunterfeyt wie ich balthasar sprenger sollichs selbs in kurtzuerschynen zeiten gesehen vnd erfaren habe rc gedrvckt anno mdix,die merfart und erfarung nuwer schiffung und wege zu uiln onerkanten inseln und kunigreichen uon dem grossmechtigen portugalischen kunig emanuel erforscht funden bestritten unnd ingenomen auch wunderbarliche streyt ordenung leben wesen handlung und wunderwercke des uolcks und thyrer dar inn wonende findestu in diessem buchlyn warhaftiglich beschryben und abkunterfeyt wie ich balthasar sprenger sollichs selbs in kurtzuerschynen zeiten gesehen und erfaren habe rc gedruckt anno mdix
springer_merfart_1509,body,1,0,False,[4],"JN dem namen der heiligen onteil barlichen Triualtigkeyt Got Vaters Sons vnnd Heiligen Geist Amen/ Durch den alle ding Hymel Erde vnd die tyeffe abgrunde geschaffen vnd ordinirt sein/ vnd on welchen keyn guter anfang/ mittel/ noch selig ende ereycht werden mage/ Wil ich Balthasar Sprenger von Fylß mit genade vnd hylffe der selben die wunderbarlichen new erfunden lande/ Kunigreich Jnseln vnd gegene mit sampt yren inwonenden men schen/ Thyren vnd wachssenden Fruchten/ wie ich die in waßer vnnd vff lande: mit andern geschickten des Großmechtigen Kunigs zuͦ Portugal: Emanuel genant: vnd der Furtreffen Kaufherren der Fucker/ Welßer/ Hochstetter/ Hyrßfogel, deren im Hofe vnd anderer yrer geselschafften/ erstritten vnd mit macht helffen betzwingen: erfaren vnd gesehen habe/ im anfang des Jars Christi vnsers herren geburt funftzehenhundert vnd Funff/ vff mitwoch noch dem achten der Heiligen drey kunig tag: der do was vff den xv. tag des Jenners: als wir zuͦ Antorff insaßen gegen Lisibon vnd furter in Kallekutten rc. zuͦ segeln mit gottes hilf Vnd ein meil von Lisibon by Rostal: dez Closter also genant: do wir die Schiffungen mit Speiß/ Geschuͤtz vnd ander notturfft: biß vff den xxv: tag des mertzen. dar vff do was der tag der verkuͦndung Marie in der Osterfyertagen: gerust vnd versehen Haben wir vff den selben tag in gottes namen angesegelt gegen Jndiam/ do hin wir bey Fyertausant meylen zuͦ faren hetten Vnd noch vnser zuͦschickung im ingang des Schifs vnd anfarens/ Kam ein wunderbarlicher grausamlicher Fisch bey Rostal vß dem hohen Mere inn Hafen (das ist in die pfordt oder staden des Meres: do man ynschifft/ anfert/ vnd vßledt) der was in der groͤß eins iungen knaben vmb xvij. iare alt/ besch schwartz vnd hat allein vff seinez ruck fisch federn Er bließ erschroͤckenlich das mer uͤber mans hoche in die lufft Vnd inn schnellem hynsegeln erreichten wir die Cost zuͦ Portugal vff den xxvi. tag des Mertzen vff welchen tag vmb vnser schiff inn vnd bey den hafen der angezeigten fisch onzalber vil erschynen vnd zuͦschuͦmmen.",jn dem namen der heiligen onteil barlichen triualtigkeyt got vaters sons vnnd heiligen geist amen durch den alle ding hymel erde vnd die tyeffe abgrunde geschaffen vnd ordinirt sein vnd on welchen keyn guter anfang mittel noch selig ende ereycht werden mage wil ich balthasar sprenger von fylß mit genade vnd hylffe der selben die wunderbarlichen new erfunden lande kunigreich jnseln vnd gegene mit sampt yren inwonenden men schen thyren vnd wachssenden fruchten wie ich die in waßer vnnd vff lande mit andern geschickten des großmechtigen kunigs zuͦ portugal emanuel genant vnd der furtreffen kaufherren der fucker welßer hochstetter hyrßfogel deren im hofe vnd anderer yrer geselschafften erstritten vnd mit macht helffen betzwingen erfaren vnd gesehen habe im anfang des jars christi vnsers herren geburt funftzehenhundert vnd funff vff mitwoch noch dem achten der heiligen drey kunig tag der do was vff den xv tag des jenners als wir zuͦ antorff insaßen gegen lisibon vnd furter in kallekutten rc zuͦ segeln mit gottes hilf vnd ein meil von lisibon by rostal dez closter also genant do wir die schiffungen mit speiß geschuͤtz vnd ander notturfft biß vff den xxv tag des mertzen dar vff do was der tag der verkuͦndung marie in der osterfyertagen gerust vnd versehen haben wir vff den selben tag in gottes namen angesegelt gegen jndiam do hin wir bey fyertausant meylen zuͦ faren hetten vnd noch vnser zuͦschickung im ingang des schifs vnd anfarens kam ein wunderbarlicher grausamlicher fisch bey rostal vß dem hohen mere inn hafen das ist in die pfordt oder staden des meres do man ynschifft anfert vnd vßledt der was in der groͤß eins iungen knaben vmb xvij iare alt besch schwartz vnd hat allein vff seinez ruck fisch federn er bließ erschroͤckenlich das mer uͤber mans hoche in die lufft vnd inn schnellem hynsegeln erreichten wir die cost zuͦ portugal vff den xxvi tag des mertzen vff welchen tag vmb vnser schiff inn vnd bey den hafen der angezeigten fisch onzalber vil erschynen vnd zuͦschuͦmmen,in dem namen der heiligen onteil barlichen triualtigkeyt got uaters sons unnd heiligen geist amen durch den alle ding hymel erde und die tyeffe abgrunde geschaffen und ordinirt sein und on welchen keyn guter anfang mittel noch selig ende ereycht werden mage wil ich balthasar sprenger uon fylss mit genade und hylffe der selben die wunderbarlichen new erfunden lande kunigreich inseln und gegene mit sampt yren inwonenden men schen thyren und wachssenden fruchten wie ich die in wasser unnd uff lande mit andern geschickten des grossmechtigen kunigs zu portugal emanuel genant und der furtreffen kaufherren der fucker welsser hochstetter hyrssfogel deren im hofe und anderer yrer geselschafften erstritten und mit macht helffen betzwingen erfaren und gesehen habe im anfang des iars christi unsers herren geburt funftzehenhundert und funff uff mitwoch noch dem achten der heiligen drey kunig tag der do was uff den xu tag des ienners als wir zu antorff insassen gegen lisibon und furter in kallekutten rc zu segeln mit gottes hilf und ein meil uon lisibon by rostal dez closter also genant do wir die schiffungen mit speiss geschutz und ander notturfft biss uff den xxu tag des mertzen dar uff do was der tag der uerkundung marie in der osterfyertagen gerust und uersehen haben wir uff den selben tag in gottes namen angesegelt gegen indiam do hin wir bey fyertausant meylen zu faren hetten und noch unser zuschickung im ingang des schifs und anfarens kam ein wunderbarlicher grausamlicher fisch bey rostal uss dem hohen mere inn hafen das ist in die pfordt oder staden des meres do man ynschifft anfert und ussledt der was in der gross eins iungen knaben umb xuii iare alt besch schwartz und hat allein uff seinez ruck fisch federn er bliess erschrockenlich das mer uber mans hoche in die lufft und inn schnellem hynsegeln erreichten wir die cost zu portugal uff den xxui tag des mertzen uff welchen tag umb unser schiff inn und bey den hafen der angezeigten fisch onzalber uil erschynen und zuschummen
springer_merfart_1509,body,1,1,True,[4],Vnd vff den andern tag der do wz des xxvij. des Mertzen Schossen die Schiffleut ein onbekanten seltza men Fisch in der Cost im Spangen Sehe/ den sie ein Duͦtschin nanten der was folligklich eins mans langk gleicher gestalt einem Schwein das ongeuerlich fyer guldin bei vns werdt/ vnd het der fisch: als eyn Eber am hyndern teil seins leibs: ein groß geschroͤd/ vnd vorn an seynem mund ein Schnabel geleich eim Fogel doch einer breitern form: vnd inn seinez maul vil kleiner scharpffer zene/ Mit diessem fisch wurden gespeißt inn einem tag Hundert vnd sechßundtzwentzig menschen do von ich selber gessen vnd gespeißt worden bin.,vnd vff den andern tag der do wz des xxvij des mertzen schossen die schiffleut ein onbekanten seltza men fisch in der cost im spangen sehe den sie ein duͦtschin nanten der was folligklich eins mans langk gleicher gestalt einem schwein das ongeuerlich fyer guldin bei vns werdt vnd het der fisch als eyn eber am hyndern teil seins leibs ein groß geschroͤd vnd vorn an seynem mund ein schnabel geleich eim fogel doch einer breitern form vnd inn seinez maul vil kleiner scharpffer zene mit diessem fisch wurden gespeißt inn einem tag hundert vnd sechßundtzwentzig menschen do von ich selber gessen vnd gespeißt worden bin,und uff den andern tag der do wz des xxuii des mertzen schossen die schiffleut ein onbekanten seltza men fisch in der cost im spangen sehe den sie ein dutschin nanten der was folligklich eins mans langk gleicher gestalt einem schwein das ongeuerlich fyer guldin bei uns werdt und het der fisch als eyn eber am hyndern teil seins leibs ein gross geschrod und uorn an seynem mund ein schnabel geleich eim fogel doch einer breitern form und inn seinez maul uil kleiner scharpffer zene mit diessem fisch wurden gespeisst inn einem tag hundert und sechssundtzwentzig menschen do uon ich selber gessen und gespeisst worden bin
springer_merfart_1509,body,2,0,False,[5],Vff Freitag noch Vnser lieben frawen verkundung tag/ der do was vff den Achtundtzwentzigsten tage des Monatz Mertzen/ Do fuͦren wir zuͦ nacht mit vnsern schiffen zwischen zweien Jnseln hyn: vnd leit dye ein von der andern Sechtzig meilen/ vnd fecht sich do an der Moren landt: vnd heist die ein Canaria vnd leit hundert vnd achtzig meylen von Lisibon/ die ander Jlamander: die selb leit hundert vnd funftzig meiln von Lisibon/ vnd sein mer dan halb Moren in diesen landen vnd Jnseln.,vff freitag noch vnser lieben frawen verkundung tag der do was vff den achtundtzwentzigsten tage des monatz mertzen do fuͦren wir zuͦ nacht mit vnsern schiffen zwischen zweien jnseln hyn vnd leit dye ein von der andern sechtzig meilen vnd fecht sich do an der moren landt vnd heist die ein canaria vnd leit hundert vnd achtzig meylen von lisibon die ander jlamander die selb leit hundert vnd funftzig meiln von lisibon vnd sein mer dan halb moren in diesen landen vnd jnseln,uff freitag noch unser lieben frawen uerkundung tag der do was uff den achtundtzwentzigsten tage des monatz mertzen do furen wir zu nacht mit unsern schiffen zwischen zweien inseln hyn und leit dye ein uon der andern sechtzig meilen und fecht sich do an der moren landt und heist die ein canaria und leit hundert und achtzig meylen uon lisibon die ander ilamander die selb leit hundert und funftzig meiln uon lisibon und sein mer dan halb moren in diesen landen und inseln
springer_merfart_1509,body,2,1,False,[5],Vff den lesten tag des mertzen sahen vnd erfunden wir inn Meres fluͦt Neuͤn Jnseln hoch von gebirg vnd wit vnd breit von lan den von Canaria noch einander lygen/ Jn welchen inseln die Schla fen die Cristen verkauffen.,vff den lesten tag des mertzen sahen vnd erfunden wir inn meres fluͦt neuͤn jnseln hoch von gebirg vnd wit vnd breit von lan den von canaria noch einander lygen jn welchen inseln die schla fen die cristen verkauffen,uff den lesten tag des mertzen sahen und erfunden wir inn meres flut neun inseln hoch uon gebirg und wit und breit uon lan den uon canaria noch einander lygen in welchen inseln die schla fen die cristen uerkauffen
springer_merfart_1509,body,2,2,True,[5],Vnd sein diß Jnseln ein Kunigreich dem Kunig von Hyspania zuͦgehoͤrend wir waren der zeit zweyhundert vnd l. meyln wegs von Lisibon biß in diesse gegene mit gotes hilff gesegelt Vff den dritten tag des Apprillen: das was vff Sant Ambrosius obent kamen wir vß der Cost von Geneva/ do furen wir die leng bei der mo ren oder schwartzen land vff zwoͤlff oder funfftzehen meyln fer/ da sahen wir vff den selben obend vnd tag dornoch vil grosser grausamer walfische vnd ye einen groͤsser vnd lenger dann den andern.,vnd sein diß jnseln ein kunigreich dem kunig von hyspania zuͦgehoͤrend wir waren der zeit zweyhundert vnd l meyln wegs von lisibon biß in diesse gegene mit gotes hilff gesegelt vff den dritten tag des apprillen das was vff sant ambrosius obent kamen wir vß der cost von geneva do furen wir die leng bei der mo ren oder schwartzen land vff zwoͤlff oder funfftzehen meyln fer da sahen wir vff den selben obend vnd tag dornoch vil grosser grausamer walfische vnd ye einen groͤsser vnd lenger dann den andern,und sein diss inseln ein kunigreich dem kunig uon hyspania zugehorend wir waren der zeit zweyhundert und l meyln wegs uon lisibon biss in diesse gegene mit gotes hilff gesegelt uff den dritten tag des apprillen das was uff sant ambrosius obent kamen wir uss der cost uon geneua do furen wir die leng bei der mo ren oder schwartzen land uff zwolff oder funfftzehen meyln fer da sahen wir uff den selben obend und tag dornoch uil grosser grausamer walfische und ye einen grosser und lenger dann den andern
springer_merfart_1509,body,3,0,False,[5],Vff den Sechsten tag do fuͦren wir zuͦ schiff an land noch dem Kaben werdon/ do fingen wir viel vnd manigerlei fisch mit dem angel/ als das schyff im lauff was.,vff den sechsten tag do fuͦren wir zuͦ schiff an land noch dem kaben werdon do fingen wir viel vnd manigerlei fisch mit dem angel als das schyff im lauff was,uff den sechsten tag do furen wir zu schiff an land noch dem kaben werdon do fingen wir uiel und manigerlei fisch mit dem angel als das schyff im lauff was
springer_merfart_1509,body,3,1,True,[5],Vff dem Sibenden tag des Aprillen da furen wir in den Kaben ferre hynein inn der Moren land vnd wurffen vnser aͤncker vß/ vff drey meyln bey einem marckt heißt Byssegicks do ist der Moren kunig wonhafftig/ das volck hat hol bawm zu schiffung dar inn sie fischen Jr fyer fuͦren mit tzweien der angetzeigten schiflein zuͦ vns/ vnd retten gut Portugalisch sprach mit vns also das wir ein ander gantz in allen hendeln wol verstunden/ Wir sahen auch in diessem Kunigreich vnd Jnseln wunderbar onschamhafft menschen beyderlei geschlecht vndereinander als die wilden Thyr: etlich allein die Scham bedecken/ die andern nackend/ all schwartz als die wir bei vns Moren nennen vmblauffen: der Moren land sich auch da anheben: Jre wonungen vnd hüser geleichen sich den hütten als die armen dorfleut in vnsern landen über die backoͤffen machen: welch huͤser die inwoner noch irem willen tragen wo hyn sie zuͦ wonen lust haben Jn diessen Jnseln vnd landen ist vberfluͦssigklich vil Fychs/ klein vnd feißt von leibe Es werden dar inn gemacht vyl keß vnd guter zuͦcker an vil enden der ge gene wachssen ist/ darzuͦ vil wilder menschen dar inn/ vnd sunst mani gerlei abentuͤr erfunden werden/ Vnd sunderlich erscheint vnd felt der ende vil golts/ do von der Portugalisch Kunig sein Guldin Muntz schlagen vnd muntzen leßt Aber die ynlendischen diesser Jnseln das golt nit arbeiten noch verwercken kunnen,vff dem sibenden tag des aprillen da furen wir in den kaben ferre hynein inn der moren land vnd wurffen vnser aͤncker vß vff drey meyln bey einem marckt heißt byssegicks do ist der moren kunig wonhafftig das volck hat hol bawm zu schiffung dar inn sie fischen jr fyer fuͦren mit tzweien der angetzeigten schiflein zuͦ vns vnd retten gut portugalisch sprach mit vns also das wir ein ander gantz in allen hendeln wol verstunden wir sahen auch in diessem kunigreich vnd jnseln wunderbar onschamhafft menschen beyderlei geschlecht vndereinander als die wilden thyr etlich allein die scham bedecken die andern nackend all schwartz als die wir bei vns moren nennen vmblauffen der moren land sich auch da anheben jre wonungen vnd hüser geleichen sich den hütten als die armen dorfleut in vnsern landen über die backoͤffen machen welch huͤser die inwoner noch irem willen tragen wo hyn sie zuͦ wonen lust haben jn diessen jnseln vnd landen ist vberfluͦssigklich vil fychs klein vnd feißt von leibe es werden dar inn gemacht vyl keß vnd guter zuͦcker an vil enden der ge gene wachssen ist darzuͦ vil wilder menschen dar inn vnd sunst mani gerlei abentuͤr erfunden werden vnd sunderlich erscheint vnd felt der ende vil golts do von der portugalisch kunig sein guldin muntz schlagen vnd muntzen leßt aber die ynlendischen diesser jnseln das golt nit arbeiten noch verwercken kunnen,uff dem sibenden tag des aprillen da furen wir in den kaben ferre hynein inn der moren land und wurffen unser ancker uss uff drey meyln bey einem marckt heisst byssegicks do ist der moren kunig wonhafftig das uolck hat hol bawm zu schiffung dar inn sie fischen ir fyer furen mit tzweien der angetzeigten schiflein zu uns und retten gut portugalisch sprach mit uns also das wir ein ander gantz in allen hendeln wol uerstunden wir sahen auch in diessem kunigreich und inseln wunderbar onschamhafft menschen beyderlei geschlecht undereinander als die wilden thyr etlich allein die scham bedecken die andern nackend all schwartz als die wir bei uns moren nennen umblauffen der moren land sich auch da anheben ire wonungen und huser geleichen sich den hutten als die armen dorfleut in unsern landen uber die backoffen machen welch huser die inwoner noch irem willen tragen wo hyn sie zu wonen lust haben in diessen inseln und landen ist uberflussigklich uil fychs klein und feisst uon leibe es werden dar inn gemacht uyl kess und guter zucker an uil enden der ge gene wachssen ist darzu uil wilder menschen dar inn und sunst mani gerlei abentur erfunden werden und sunderlich erscheint und felt der ende uil golts do uon der portugalisch kunig sein guldin muntz schlagen und muntzen lesst aber die ynlendischen diesser inseln das golt nit arbeiten noch uerwercken kunnen
springer_merfart_1509,body,4,0,False,[8],Diß volck braucht noch nympt bei ynen gantz kein gelt/ sunder allein seltzam auenturige ding/ als Spigel Messing ring/ lang blawe Cristallein rc. vnd der geleichen manigerlei was yn seltzam ist vnd ynen do hyn bracht wirt/ do geben sie ware vmb ware/ vnnd was sie haben vnd bei yn wechst stuck vor stuck: noch yrer liebe vnd zymlicher achtung der selben ding/ Gewechs der bawm seyn uͤbertreffener groͤsse.,diß volck braucht noch nympt bei ynen gantz kein gelt sunder allein seltzam auenturige ding als spigel messing ring lang blawe cristallein rc vnd der geleichen manigerlei was yn seltzam ist vnd ynen do hyn bracht wirt do geben sie ware vmb ware vnnd was sie haben vnd bei yn wechst stuck vor stuck noch yrer liebe vnd zymlicher achtung der selben ding gewechs der bawm seyn uͤbertreffener groͤsse,diss uolck braucht noch nympt bei ynen gantz kein gelt sunder allein seltzam auenturige ding als spigel messing ring lang blawe cristallein rc und der geleichen manigerlei was yn seltzam ist und ynen do hyn bracht wirt do geben sie ware umb ware unnd was sie haben und bei yn wechst stuck uor stuck noch yrer liebe und zymlicher achtung der selben ding gewechs der bawm seyn ubertreffener grosse
springer_merfart_1509,body,4,1,True,[8],Vnnd wert diß land der angetzeygten Jnseln Tausant vnnd Fyerhundert meylen.,vnnd wert diß land der angetzeygten jnseln tausant vnnd fyerhundert meylen,unnd wert diss land der angetzeygten inseln tausant unnd fyerhundert meylen
