doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
luther_passional_1521,head,0,0,True,,Paſſional Chꝛiſti vnd Antichꝛiſti.,paſſional chꝛiſti vnd antichꝛiſti,passional chisti und antichisti
luther_passional_1521,head,1,0,True,2,Chꝛiſtus.,chꝛiſtus,chistus
luther_passional_1521,body,2,0,False,2,Do Jheſus innen wardt/ das ſie kommen wurden vnd yhnen tzum konig machen/ iſt er abermals vffin bergk geflohen/ er allein. Johan. 6.,do jheſus innen wardt das ſie kommen wurden vnd yhnen tzum konig machen iſt er abermals vffin bergk geflohen er allein johan,do ihesus innen wardt das sie kommen wurden und yhnen tzum konig machen ist er abermals uffin bergk geflohen er allein iohan
luther_passional_1521,body,2,1,False,2,Mein reich iſt nicht von dißer welt. Joh. 18.,mein reich iſt nicht von dißer welt joh,mein reich ist nicht uon disser welt ioh
luther_passional_1521,body,2,2,True,2,Die konnige der welt hirſchen yr/ vnd die gewaldt haben/ werden gnedige hern genandt/ yr aber nicht alßo/ ßonder der do groſſer iſt vnther euch/ ſall ſich nydern/ als der weniger. Luce. 22.,die konnige der welt hirſchen yr vnd die gewaldt haben werden gnedige hern genandt yr aber nicht alßo ßonder der do groſſer iſt vnther euch ſall ſich nydern als der weniger luce,die konnige der welt hirschen yr und die gewaldt haben werden gnedige hern genandt yr aber nicht alsso ssonder der do grosser ist unther euch sall sich nydern als der weniger luce
luther_passional_1521,head,3,0,True,3,Antichꝛiſtus.,antichꝛiſtus,antichistus
luther_passional_1521,body,4,0,False,3,Auß obirkayt die wir ſonder tzweyffell tzum keyßerthumb haben/ vnd auß vnßer gewalt/ ſeynt wir des keyßertumbs/ ßo ſich das voꝛledigt/ ein rechter erbe/ Clementina paſtoꝛalis ad finem de ſententia et re iudi.,auß obirkayt die wir ſonder tzweyffell tzum keyßerthumb haben vnd auß vnßer gewalt ſeynt wir des keyßertumbs ßo ſich das voꝛledigt ein rechter erbe clementina paſtoꝛalis ad finem de ſententia et re iudi,auss obirkayt die wir sonder tzweyffell tzum keysserthumb haben und auss unsser gewalt seynt wir des keyssertumbs sso sich das uoledigt ein rechter erbe clementina pastoalis ad finem de sententia et re iudi
luther_passional_1521,body,4,1,False,3,Summa ſummarum.,summa ſummarum,summa summarum
luther_passional_1521,body,4,2,False,3,Nichts anders iſt in des Bapſts geyſtlichen rechte tzu finden/ dan das es ſeynen abgot vnd Antichꝛiſt vbir alle keyßer/ koͤnig vnd furſten irhebet/ als Petrus voꝛgeſagt hat.,nichts anders iſt in des bapſts geyſtlichen rechte tzu finden dan das es ſeynen abgot vnd antichꝛiſt vbir alle keyßer koͤnig vnd furſten irhebet als petrus voꝛgeſagt hat,nichts anders ist in des bapsts geystlichen rechte tzu finden dan das es seynen abgot und antichist ubir alle keysser konig und fursten irhebet als petrus uogesagt hat
luther_passional_1521,body,4,3,True,3,Es werden kommen vnuoꝛſchambts Biſchoff die die weltlich herſchafft werden voꝛachten. 2. Pet. 2.,es werden kommen vnuoꝛſchambts biſchoff die die weltlich herſchafft werden voꝛachten pet,es werden kommen unuoschambts bischoff die die weltlich herschafft werden uoachten pet
luther_passional_1521,head,5,0,True,4,Chꝛiſtus.,chꝛiſtus,chistus
luther_passional_1521,body,6,0,True,4,Die ſoldner haben geflochten eyne kronen von doͤꝛnen/ vnd auff ſein heubt gedꝛuckt/ darnach mit eynem purper kleydt haben ſie yn bekleydet. Johan. 19.,die ſoldner haben geflochten eyne kronen von doͤꝛnen vnd auff ſein heubt gedꝛuckt darnach mit eynem purper kleydt haben ſie yn bekleydet johan,die soldner haben geflochten eyne kronen uon donen und auff sein heubt geduckt darnach mit eynem purper kleydt haben sie yn bekleydet iohan
luther_passional_1521,head,7,0,True,5,Antichꝛiſtus.,antichꝛiſtus,antichistus
