doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
ellenbog_temmpffe_1524,head,0,0,True,[1],Uon den gifftigen Besen Tem̃pffen vñ Reüchen/ der Metal/ als Silber/ Quecksilber Bley vñ anders So die Edlen handt werckhandwerck des Goltschmidens/ vñ ander arbaiter in des feür sich gebrauchen muͤssen Wie sie sich da mit halten vñ die gift vertreibẽ sollẽ.,uon den gifftigen besen tem̃pffen vñ reüchen der metal als silber quecksilber bley vñ anders so die edlen handt werckhandwerck des goltschmidens vñ ander arbaiter in des feür sich gebrauchen muͤssen wie sie sich da mit halten vñ die gift vertreibẽ sollẽ,uon den gifftigen besen temmpffen und reuchen der metal als silber quecksilber bley und anders so die edlen handt werckhandwerck des goltschmidens und ander arbaiter in des feur sich gebrauchen mussen wie sie sich da mit halten und die gift uertreiben sollen
ellenbog_temmpffe_1524,head,1,0,True,[2],Dem Maisterlichen subteilen vñ edelen handtwerck der goldtschmiderey derkayserlichen stat Augspurg.,dem maisterlichen subteilen vñ edelen handtwerck der goldtschmiderey derkayserlichen stat augspurg,dem maisterlichen subteilen und edelen handtwerck der goldtschmiderey derkayserlichen stat augspurg
ellenbog_temmpffe_1524,body,2,0,False,[2],MEin willigen wolgeflissen dienst die seyen eüch alle berait/ Do ich Vlrich ellenbog in artzney doctor võ Feldtkirch/ yetz Capittel artzet deß hohen stiffts zu Augspurg/ betracht hab/ den großsen hohen vñ mercklichẽ schadẽ der disem maisterlichem hantwerck zuͦstet durch die Reüch vñ dempff der ding/ da mit das gemelt hãtwerck vm̃b geen muͦß.,mein willigen wolgeflissen dienst die seyen eüch alle berait do ich vlrich ellenbog in artzney doctor võ feldtkirch yetz capittel artzet deß hohen stiffts zu augspurg betracht hab den großsen hohen vñ mercklichẽ schadẽ der disem maisterlichem hantwerck zuͦstet durch die reüch vñ dempff der ding da mit das gemelt hãtwerck vm̃b geen muͦß,mein willigen wolgeflissen dienst die seyen euch alle berait do ich ulrich ellenbog in artzney doctor uon feldtkirch yetz capittel artzet dess hohen stiffts zu augspurg betracht hab den grosssen hohen und mercklichen schaden der disem maisterlichem hantwerck zustet durch die reuch und dempff der ding da mit das gemelt hantwerck ummb geen muss
ellenbog_temmpffe_1524,body,2,1,False,[2],Do mocht ich mich nit entziehen noch enthaltẽ dẽ maistern zuͦ dienst vñ hilf ainen radt zuͦ geben/ damit sie zuͦ schadẽ vñ krãckhait nit also schwerlich.durch diß tempf kement.,do mocht ich mich nit entziehen noch enthaltẽ dẽ maistern zuͦ dienst vñ hilf ainen radt zuͦ geben damit sie zuͦ schadẽ vñ krãckhait nit also schwerlichdurch diß tempf kement,do mocht ich mich nit entziehen noch enthalten den maistern zu dienst und hilf ainen radt zu geben damit sie zu schaden und kranckhait nit also schwerlichdurch diss tempf kement
ellenbog_temmpffe_1524,body,2,2,True,[2],Jch bit auch euch herren vñ maister jr nement disen meinen klainen radt/ mit aigner hand geschriben/ in allem guͦttem vñ fraindtschafft auff/ dester lieber will ich euch allen vñ yedem mit fraintlichen diensten willig sein/ damit gebietent vñ schaffent/ Datũ Auguste. am 6. tag Octobris. 1473.,jch bit auch euch herren vñ maister jr nement disen meinen klainen radt mit aigner hand geschriben in allem guͦttem vñ fraindtschafft auff dester lieber will ich euch allen vñ yedem mit fraintlichen diensten willig sein damit gebietent vñ schaffent datũ auguste am tag octobris,ich bit auch euch herren und maister ir nement disen meinen klainen radt mit aigner hand geschriben in allem guttem und fraindtschafft auff dester lieber will ich euch allen und yedem mit fraintlichen diensten willig sein damit gebietent und schaffent datum auguste am tag octobris
ellenbog_temmpffe_1524,head,3,0,True,[3],Uon dem Feür der kolen.,uon dem feür der kolen,uon dem feur der kolen
ellenbog_temmpffe_1524,body,4,0,False,[3],JN ewrẽ subteylẽ hãtwerck prauchent jr kolen zuͦ dẽ feür/ der selbig rauch oder tampff ist gyfftig/ vñ sonderlich so die koln etwas feücht seind/ wañ diser tampf bschwert dz haupt vñ auch prust/ nemlich so ainer lang da bey ist/ vñ wo mã zuͦ lang dabey verhart/ so wirt betruͤbt dz gesicht also dz ainen bedũckt es sey gruͦn vñ blaw vñ der gleychen vor seinẽ augen/ oder fleügen im lufft.,jn ewrẽ subteylẽ hãtwerck prauchent jr kolen zuͦ dẽ feür der selbig rauch oder tampff ist gyfftig vñ sonderlich so die koln etwas feücht seind wañ diser tampf bschwert dz haupt vñ auch prust nemlich so ainer lang da bey ist vñ wo mã zuͦ lang dabey verhart so wirt betruͤbt dz gesicht also dz ainen bedũckt es sey gruͦn vñ blaw vñ der gleychen vor seinẽ augen oder fleügen im lufft,in ewren subteylen hantwerck prauchent ir kolen zu den feur der selbig rauch oder tampff ist gyfftig und sonderlich so die koln etwas feucht seind wann diser tampf bschwert dz haupt und auch prust nemlich so ainer lang da bey ist und wo man zu lang dabey uerhart so wirt betrubt dz gesicht also dz ainen bedunckt es sey grun und blaw und der gleychen uor seinen augen oder fleugen im lufft
ellenbog_temmpffe_1524,body,4,1,False,[3],Diser tampf macht auch schwer vñattürlich schlõf/ vñ zuͦ zeyten schwere gelider/ vñ so mã lang dabey ist so lembt er. Darũb brauhent nit vil feüchter kol/ lond sie an aim fruͤen lufft wol anbrennen/ Zuͦ winter zeyt so jr kolfeür in der werckstat habent so bschluͤssent die fenster nit/ vñbewarẽt eüch vor disem tampff so fast ir mügent/ ist mein radt/ Die gschrifft zaigt an dz gantz gifftig vñ toͤdtlich ist in aim bschlossnen gemach bey disem koltampf lang wonẽ vñ schlaffen/ als dañ etlich grundmaister in der artzney dz beweysent/ vm kürtze willẽ on not anzuͦzaigẽ.,diser tampf macht auch schwer vñattürlich schlõf vñ zuͦ zeyten schwere gelider vñ so mã lang dabey ist so lembt er darũb brauhent nit vil feüchter kol lond sie an aim fruͤen lufft wol anbrennen zuͦ winter zeyt so jr kolfeür in der werckstat habent so bschluͤssent die fenster nit vñbewarẽt eüch vor disem tampff so fast ir mügent ist mein radt die gschrifft zaigt an dz gantz gifftig vñ toͤdtlich ist in aim bschlossnen gemach bey disem koltampf lang wonẽ vñ schlaffen als dañ etlich grundmaister in der artzney dz beweysent vm kürtze willẽ on not anzuͦzaigẽ,diser tampf macht auch schwer unnatturlich schlonf und zu zeyten schwere gelider und so man lang dabey ist so lembt er darumb brauhent nit uil feuchter kol lond sie an aim fruen lufft wol anbrennen zu winter zeyt so ir kolfeur in der werckstat habent so bschlussent die fenster nit unnbewarent euch uor disem tampff so fast ir mugent ist mein radt die gschrifft zaigt an dz gantz gifftig und todtlich ist in aim bschlossnen gemach bey disem koltampf lang wonen und schlaffen als dann etlich grundmaister in der artzney dz beweysent um kurtze willen on not anzuzaigen
ellenbog_temmpffe_1524,body,4,2,True,[3],So ir maister die kolfewr brauchen woͤllẽt vñ vor in fruͤem lufft angezünt vñ auffblasen sein/ so legent weyssen weyrach darein/ odersprentzet ain wenig weins darauff so wirt die gifft vñ schad diß tampff gmindert.,so ir maister die kolfewr brauchen woͤllẽt vñ vor in fruͤem lufft angezünt vñ auffblasen sein so legent weyssen weyrach darein odersprentzet ain wenig weins darauff so wirt die gifft vñ schad diß tampff gmindert,so ir maister die kolfewr brauchen wollent und uor in fruem lufft angezunt und auffblasen sein so legent weyssen weyrach darein odersprentzet ain wenig weins darauff so wirt die gifft und schad diss tampff gmindert
ellenbog_temmpffe_1524,head,5,0,True,[4],Uon dem tampff des Quecksilbers Bleyß/ vñ ander metall damit die goldschmid gewonlich vmbgond.,uon dem tampff des quecksilbers bleyß vñ ander metall damit die goldschmid gewonlich vmbgond,uon dem tampff des quecksilbers bleyss und ander metall damit die goldschmid gewonlich umbgond
