doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
corvinus_bericht_1529,head,0,0,True,1,Warhafftig bericht/ Das das wort Gotts/ ohn tumult/ ohn schwermerey/ zu Gosler vnd Braunschweigk gepredigt wird/ durch Anto. Coruinum zithogallum/ zu Gosler predicanten ynn S. Steffans Pfarr. M. D. XXIX.,warhafftig bericht das das wort gotts ohn tumult ohn schwermerey zu gosler vnd braunschweigk gepredigt wird durch anto coruinum zithogallum zu gosler predicanten ynn s steffans pfarr m d xxix,warhafftig bericht das das wort gotts ohn tumult ohn schwermerey zu gosler und braunschweigk gepredigt wird durch anto coruinum zithogallum zu gosler predicanten ynn s steffans pfarr m d xxix
corvinus_bericht_1529,head,1,0,True,3,Den Ersamen / weisen / vnd wolgelerten Johanni Nordek / Heynrich Lesener / Hessischen Secretarien entpiet ich Antonius Coruinus gnad vnd fried durch Christum.,den ersamen weisen vnd wolgelerten johanni nordek heynrich lesener hessischen secretarien entpiet ich antonius coruinus gnad vnd fried durch christum,den ersamen weisen und wolgelerten iohanni nordek heynrich lesener hessischen secretarien entpiet ich antonius coruinus gnad und fried durch christum
corvinus_bericht_1529,body,2,0,False,3,WAs ich euch vom Brunschweigischen tumult / dazu vom lauff des Euangelij bey vns / auff den itzt vorgangen Reichstag / geschrieben hab / ist euch on zweyffel noch wol bewust / Dieweil euch aber solch newe zeittung nicht fast erfrewet (denn ich weis was mißgefallen yhr an auffrhur / so vnter dem schein des Euangelij angerichtet werden) Vnd ich auch befinde / das das gerücht falsch gewesen / hab ich gedacht dieses gesprech / so ich mit Auctor Sanders einem grossen freunde des Euangelij / nach diesen Ostern gehalten / euch zu senden / Auff das nicht allein die Brunschweiger auffrhur halben / bey euch vnd allen frummen hertzen / sonder auch wir zu Gosler entschuldigt werden / denn was yhnen durch böse leute felschlich auffgelegt / wirt auch von vns gesagt / Wiewol sichs nymer ynn der warheit befinden sol / Sind wir nicht die gelertesten / so wissen wir dennoch von der gnad Gotts / das die Oberkeit ein ordnung Gotts ist / welcher niemand widderstreben / sonder yderman gehorsam sein solle / Straffen müssen wir sie wol mit Göttlichem wort / wo sie Gotts ehr verhindert / Das schwerdt aber müssen vnd sollen wir yhnen lassen / wir wolten deñ / wieder Müntzer / widder Gotts befelh thun / Gott hat mich yo bisher vor schwermerey beschützt / Verhoffen auch / er werde mich auch hinfurt behüten / nicht allein vor des Müntzers / sondern auch des Zwinglij schwermerey / yrthumb / vnd allen secten / Böse leut las ich sagen was sie wöllen / Sie können nicht anders thun / denn yhres vaters art / welcher von anfang gewesen ist ein lügner / Will derhalben auch euch meine lieben pa tronen gebeten haben / yhr wölt diesen Dialogum lesen / vnd bericht aus dem selbigen nemen / wie vnd mit was fleisse / bey vns vnd den Brunschweigern / das Euangelion geprediget werde / vnd euch warnen lassen vor denen / so nicht anders thun / denn das sie das ergeste von yderman singen vnd sagen / vnd vnglück mit lügen anrichten / Wie ich mich bey euch gehalten / dazu die warheit geprediget hab / Also wil ich auch hinfurt / ob Gottwil / der gepür mich halten / Hab ich verwandelt die stedde / nach beruffung des Herrn / so hab ich doch nicht verwandelt das gemüth.,was ich euch vom brunschweigischen tumult dazu vom lauff des euangelij bey vns auff den itzt vorgangen reichstag geschrieben hab ist euch on zweyffel noch wol bewust dieweil euch aber solch newe zeittung nicht fast erfrewet denn ich weis was mißgefallen yhr an auffrhur so vnter dem schein des euangelij angerichtet werden vnd ich auch befinde das das gerücht falsch gewesen hab ich gedacht dieses gesprech so ich mit auctor sanders einem grossen freunde des euangelij nach diesen ostern gehalten euch zu senden auff das nicht allein die brunschweiger auffrhur halben bey euch vnd allen frummen hertzen sonder auch wir zu gosler entschuldigt werden denn was yhnen durch böse leute felschlich auffgelegt wirt auch von vns gesagt wiewol sichs nymer ynn der warheit befinden sol sind wir nicht die gelertesten so wissen wir dennoch von der gnad gotts das die oberkeit ein ordnung gotts ist welcher niemand widderstreben sonder yderman gehorsam sein solle straffen müssen wir sie wol mit göttlichem wort wo sie gotts ehr verhindert das schwerdt aber müssen vnd sollen wir yhnen lassen wir wolten deñ wieder müntzer widder gotts befelh thun gott hat mich yo bisher vor schwermerey beschützt verhoffen auch er werde mich auch hinfurt behüten nicht allein vor des müntzers sondern auch des zwinglij schwermerey yrthumb vnd allen secten böse leut las ich sagen was sie wöllen sie können nicht anders thun denn yhres vaters art welcher von anfang gewesen ist ein lügner will derhalben auch euch meine lieben pa tronen gebeten haben yhr wölt diesen dialogum lesen vnd bericht aus dem selbigen nemen wie vnd mit was fleisse bey vns vnd den brunschweigern das euangelion geprediget werde vnd euch warnen lassen vor denen so nicht anders thun denn das sie das ergeste von yderman singen vnd sagen vnd vnglück mit lügen anrichten wie ich mich bey euch gehalten dazu die warheit geprediget hab also wil ich auch hinfurt ob gottwil der gepür mich halten hab ich verwandelt die stedde nach beruffung des herrn so hab ich doch nicht verwandelt das gemüth,was ich euch uom brunschweigischen tumult dazu uom lauff des euangelii bey uns auff den itzt uorgangen reichstag geschrieben hab ist euch on zweyffel noch wol bewust dieweil euch aber solch newe zeittung nicht fast erfrewet denn ich weis was missgefallen yhr an auffrhur so unter dem schein des euangelii angerichtet werden und ich auch befinde das das gerucht falsch gewesen hab ich gedacht dieses gesprech so ich mit auctor sanders einem grossen freunde des euangelii nach diesen ostern gehalten euch zu senden auff das nicht allein die brunschweiger auffrhur halben bey euch und allen frummen hertzen sonder auch wir zu gosler entschuldigt werden denn was yhnen durch bose leute felschlich auffgelegt wirt auch uon uns gesagt wiewol sichs nymer ynn der warheit befinden sol sind wir nicht die gelertesten so wissen wir dennoch uon der gnad gotts das die oberkeit ein ordnung gotts ist welcher niemand widderstreben sonder yderman gehorsam sein solle straffen mussen wir sie wol mit gottlichem wort wo sie gotts ehr uerhindert das schwerdt aber mussen und sollen wir yhnen lassen wir wolten denn wieder muntzer widder gotts befelh thun gott hat mich yo bisher uor schwermerey beschutzt uerhoffen auch er werde mich auch hinfurt behuten nicht allein uor des muntzers sondern auch des zwinglii schwermerey yrthumb und allen secten bose leut las ich sagen was sie wollen sie konnen nicht anders thun denn yhres uaters art welcher uon anfang gewesen ist ein lugner will derhalben auch euch meine lieben pa tronen gebeten haben yhr wolt diesen dialogum lesen und bericht aus dem selbigen nemen wie und mit was fleisse bey uns und den brunschweigern das euangelion geprediget werde und euch warnen lassen uor denen so nicht anders thun denn das sie das ergeste uon yderman singen und sagen und ungluck mit lugen anrichten wie ich mich bey euch gehalten dazu die warheit geprediget hab also wil ich auch hinfurt ob gottwil der gepur mich halten hab ich uerwandelt die stedde nach beruffung des herrn so hab ich doch nicht uerwandelt das gemuth
corvinus_bericht_1529,body,2,1,False,4,Die gnad Gots sey mit euch / Lasset euch befolhen sein alle diener des worts.,die gnad gots sey mit euch lasset euch befolhen sein alle diener des worts,die gnad gots sey mit euch lasset euch befolhen sein alle diener des worts
corvinus_bericht_1529,body,2,2,True,4,Datum Gosler. xxix. montags nach Trinitatis.,datum gosler xxix montags nach trinitatis,datum gosler xxix montags nach trinitatis
corvinus_bericht_1529,head,3,0,True,5,Antonius. Auctor.,antonius auctor,antonius auctor
corvinus_bericht_1529,body,4,0,False,5,ANtonius / Sey gegrüsset Auctor.,antonius sey gegrüsset auctor,antonius sey gegrusset auctor
corvinus_bericht_1529,body,4,1,False,5,AVCTOR danck müssestu haben lieber Antoni / Rümmestu itzunder von Gosler,avctor danck müssestu haben lieber antoni rümmestu itzunder von gosler,auctor danck mussestu haben lieber antoni rummestu itzunder uon gosler
corvinus_bericht_1529,body,4,2,False,5,ANTONI. Ja / Ich hab solch begir bisher gehabt / dich zu sehen / vnd mit dir zu reden / das ich nicht hab künnen lenger verziehen / ich muste dich heimsuchen.,antoni ja ich hab solch begir bisher gehabt dich zu sehen vnd mit dir zu reden das ich nicht hab künnen lenger verziehen ich muste dich heimsuchen,antoni ia ich hab solch begir bisher gehabt dich zu sehen und mit dir zu reden das ich nicht hab kunnen lenger uerziehen ich muste dich heimsuchen
corvinus_bericht_1529,body,4,3,False,5,AVCTOR / Warlich so bistu mir ein wilkumener gast / vnd bin deiner zukunfft seer erfrewet / Denn wir haben vns lang nicht gesehen.,avctor warlich so bistu mir ein wilkumener gast vnd bin deiner zukunfft seer erfrewet denn wir haben vns lang nicht gesehen,auctor warlich so bistu mir ein wilkumener gast und bin deiner zukunfft seer erfrewet denn wir haben uns lang nicht gesehen
