doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
schnepf_eesachen_1536,head,0,0,True,1,Ordnung in Eesachen.,ordnung in eesachen,ordnung in eesachen
schnepf_eesachen_1536,body,1,0,True,1,DWeil nit allein auß Goͤttlicher ordnung/ sonder auch in krafft Keiserlicher geschribner recht/ natürlicher erber/ auch billicheit/ vnnd darzuͦ schuldiger danckbarkeit nach/ die Kinder jren eltern/ vnd die waisen jren Pflegern/ vnd nechst uerwandten/ erbern/ vnd getrewesten Freünden/ gehorsam sein/ vnd fürnemlich auch/ mit jrem rath/ vorwissen/ vnd willen vereelicht werden sollen/ ꝛc. So ist in bedenckung ietzund angeregter/ vñ anderer mer Christenlicher/ vñ Fürstlicher/ vns darzuͦ bewegender vrsachen/ vnser meynung/ ordnung/ vnnd Ernstlicher beuelhe/ das fürohin niemands/ so noch vnder vaͤtterlichem gewalt/ oder sonst verpflegt ist/ sich one rath/ vorwissen/ vnnd willen seiner eltern/ pflegern/ vnd nechstgesipter/ erberer getrewer verwandten/ Eelich verpflichten soll.,dweil nit allein auß goͤttlicher ordnung sonder auch in krafft keiserlicher geschribner recht natürlicher erber auch billicheit vnnd darzuͦ schuldiger danckbarkeit nach die kinder jren eltern vnd die waisen jren pflegern vnd nechst uerwandten erbern vnd getrewesten freünden gehorsam sein vnd fürnemlich auch mit jrem rath vorwissen vnd willen vereelicht werden sollen ꝛc so ist in bedenckung ietzund angeregter vñ anderer mer christenlicher vñ fürstlicher vns darzuͦ bewegender vrsachen vnser meynung ordnung vnnd ernstlicher beuelhe das fürohin niemands so noch vnder vaͤtterlichem gewalt oder sonst verpflegt ist sich one rath vorwissen vnnd willen seiner eltern pflegern vnd nechstgesipter erberer getrewer verwandten eelich verpflichten soll,dweil nit allein auss gottlicher ordnung sonder auch in krafft keiserlicher geschribner recht naturlicher erber auch billicheit unnd darzu schuldiger danckbarkeit nach die kinder iren eltern und die waisen iren pflegern und nechst uerwandten erbern und getrewesten freunden gehorsam sein und furnemlich auch mit irem rath uorwissen und willen uereelicht werden sollen c so ist in bedenckung ietzund angeregter und anderer mer christenlicher und furstlicher uns darzu bewegender ursachen unser meynung ordnung unnd ernstlicher beuelhe das furohin niemands so noch under uatterlichem gewalt oder sonst uerpflegt ist sich one rath uorwissen unnd willen seiner eltern pflegern und nechstgesipter erberer getrewer uerwandten eelich uerpflichten soll
schnepf_eesachen_1536,body,2,0,True,1,Jm fal aber/ das es beschech/ alsdañ soll solliche verlobung nichts gelten/ sonder gantz onbindig/ onkrefftig/ vnd von onwürden sein/ vnd darzuͦ so woͤllen Wir dieselbigen beid ongehorsamen Mans vnd Frawenpersonen ein zeitlang in gefaͤncknus/ oder sonst nach gestalt der sachen/ mit ongnaden an leib vnnd guͦt/ samptlich oder sonderlich Ernstlich straffen lassen.,jm fal aber das es beschech alsdañ soll solliche verlobung nichts gelten sonder gantz onbindig onkrefftig vnd von onwürden sein vnd darzuͦ so woͤllen wir dieselbigen beid ongehorsamen mans vnd frawenpersonen ein zeitlang in gefaͤncknus oder sonst nach gestalt der sachen mit ongnaden an leib vnnd guͦt samptlich oder sonderlich ernstlich straffen lassen,im fal aber das es beschech alsdann soll solliche uerlobung nichts gelten sonder gantz onbindig onkrefftig und uon onwurden sein und darzu so wollen wir dieselbigen beid ongehorsamen mans und frawenpersonen ein zeitlang in gefancknus oder sonst nach gestalt der sachen mit ongnaden an leib unnd gut samptlich oder sonderlich ernstlich straffen lassen
schnepf_eesachen_1536,body,3,0,True,1,Vnd darzuͦ auch alle diejhenigen/ so zuͦ sollicher ongehorsamen Eeuerlobung geraten/ oder in einicherlei weiß geholffen habend/ nach gelegenheit jrer verhandlung/ auch ernstlich straffen lassen.,vnd darzuͦ auch alle diejhenigen so zuͦ sollicher ongehorsamen eeuerlobung geraten oder in einicherlei weiß geholffen habend nach gelegenheit jrer verhandlung auch ernstlich straffen lassen,und darzu auch alle dieihenigen so zu sollicher ongehorsamen eeuerlobung geraten oder in einicherlei weiss geholffen habend nach gelegenheit irer uerhandlung auch ernstlich straffen lassen
schnepf_eesachen_1536,body,4,0,True,4,Wa aber ein solliche person/ so noch vnder vaͤtterlichem gewalt/ oder sonst verpflegt were/ vermeynen woͤlt/ rechtmessig vrsachen/ vnd fuͦg zuͦhabend/ sich one seiner eltern/ pfleger oder nechstuerwandten erberer Freünd/ rath/ wissen/ vnd willen/ zuͦuereelichend/ so soll das bey vermeidung vnser vngnad/ vnd obangeregter ernstlicher straffen/ dannocht keins wegs/ aigens fürnemens beschehen/ sonder sollichs/ bey vnsern geordneten Eerichter vnd raͤten angebracht/ vnd hierinn jrem rechtlichen bescheid gehorsamlich gelept werden.,wa aber ein solliche person so noch vnder vaͤtterlichem gewalt oder sonst verpflegt were vermeynen woͤlt rechtmessig vrsachen vnd fuͦg zuͦhabend sich one seiner eltern pfleger oder nechstuerwandten erberer freünd rath wissen vnd willen zuͦuereelichend so soll das bey vermeidung vnser vngnad vnd obangeregter ernstlicher straffen dannocht keins wegs aigens fürnemens beschehen sonder sollichs bey vnsern geordneten eerichter vnd raͤten angebracht vnd hierinn jrem rechtlichen bescheid gehorsamlich gelept werden,wa aber ein solliche person so noch under uatterlichem gewalt oder sonst uerpflegt were uermeynen wolt rechtmessig ursachen und fug zuhabend sich one seiner eltern pfleger oder nechstuerwandten erberer freund rath wissen und willen zuuereelichend so soll das bey uermeidung unser ungnad und obangeregter ernstlicher straffen dannocht keins wegs aigens furnemens beschehen sonder sollichs bey unsern geordneten eerichter und raten angebracht und hierinn irem rechtlichen bescheid gehorsamlich gelept werden
schnepf_eesachen_1536,body,5,0,False,4,Zum andern/ als offtermals ander personen/ so nit mer in vaͤtterlichem gewalt/ oder auch nit mer verpflegt seiend/ hinderm liecht darein schlahend/ vnd one beisein anderer personen allein/ vnnd heimlich einander die Eeuerlobend/ auß wellichem aber (wie wir in glaubwirdiger erfarung vilueltig befunden) grewliche schwere meinaid/ erschrockenliche lesterung/ des allerheiligsten namen Gottes/ onauffleßliche verwirrung/ vnd onwiderbringliche beschwerung/ des gewissens/ auch beschraiung vnd verhinderung der angespro chen person/ vnd sonst mercklicher treffenlicher grosser nachteil/ schaden/ vnnd onrat/ in vil weg erwachsen.,zum andern als offtermals ander personen so nit mer in vaͤtterlichem gewalt oder auch nit mer verpflegt seiend hinderm liecht darein schlahend vnd one beisein anderer personen allein vnnd heimlich einander die eeuerlobend auß wellichem aber wie wir in glaubwirdiger erfarung vilueltig befunden grewliche schwere meinaid erschrockenliche lesterung des allerheiligsten namen gottes onauffleßliche verwirrung vnd onwiderbringliche beschwerung des gewissens auch beschraiung vnd verhinderung der angespro chen person vnd sonst mercklicher treffenlicher grosser nachteil schaden vnnd onrat in vil weg erwachsen,zum andern als offtermals ander personen so nit mer in uatterlichem gewalt oder auch nit mer uerpflegt seiend hinderm liecht darein schlahend und one beisein anderer personen allein unnd heimlich einander die eeuerlobend auss wellichem aber wie wir in glaubwirdiger erfarung uilueltig befunden grewliche schwere meinaid erschrockenliche lesterung des allerheiligsten namen gottes onaufflessliche uerwirrung und onwiderbringliche beschwerung des gewissens auch beschraiung und uerhinderung der angespro chen person und sonst mercklicher treffenlicher grosser nachteil schaden unnd onrat in uil weg erwachsen
schnepf_eesachen_1536,body,5,1,True,4,Solchs souil moͤglich zuͦfürkommen/ so ist vnser ernstliche meinung vnd beuelhe/ Das hinfürter/ wann sollich personen (die gleichwol wie gehoͤrt/ nit mer vnder vaͤtterlicher oberkeit/ oder verpflegt seiend) sich miteinander Eelich verheyraten woͤllend/ das alsdann dieselbigen/ zuͦ sollicher Eeuerlobung zum wenigsten drey/ erber redlich/ gar onparteisch personen nemen sollen/ durch woͤlliche sollich Eeuerpflichtung/ im val der not turfft gnuͦgsam vnd rechtmessiglich moͤge bewisen wer den/ Sunst sollen gemelte heimliche Eeuerpflichtung gar nit gelten/ sonder onbindig/ vnd von allen onwirden sein.,solchs souil moͤglich zuͦfürkommen so ist vnser ernstliche meinung vnd beuelhe das hinfürter wann sollich personen die gleichwol wie gehoͤrt nit mer vnder vaͤtterlicher oberkeit oder verpflegt seiend sich miteinander eelich verheyraten woͤllend das alsdann dieselbigen zuͦ sollicher eeuerlobung zum wenigsten drey erber redlich gar onparteisch personen nemen sollen durch woͤlliche sollich eeuerpflichtung im val der not turfft gnuͦgsam vnd rechtmessiglich moͤge bewisen wer den sunst sollen gemelte heimliche eeuerpflichtung gar nit gelten sonder onbindig vnd von allen onwirden sein,solchs souil moglich zufurkommen so ist unser ernstliche meinung und beuelhe das hinfurter wann sollich personen die gleichwol wie gehort nit mer under uatterlicher oberkeit oder uerpflegt seiend sich miteinander eelich uerheyraten wollend das alsdann dieselbigen zu sollicher eeuerlobung zum wenigsten drey erber redlich gar onparteisch personen nemen sollen durch wolliche sollich eeuerpflichtung im ual der not turfft gnugsam und rechtmessiglich moge bewisen wer den sunst sollen gemelte heimliche eeuerpflichtung gar nit gelten sonder onbindig und uon allen onwirden sein
schnepf_eesachen_1536,body,6,0,True,5,Welche aber diser vnser ordnung nit geleben/ sonder hierinn ongehorsam sein wurden/ die selbigen woͤllen Wir/ von wegen sollicher heimlicher winckel Ee/ ein zeitlang in gefencknus/ oder sonst nach gelegenheit der sach/ an leib vnd guͦt/ sampt oder sonderlich/ ernstlich straffen lassen.,welche aber diser vnser ordnung nit geleben sonder hierinn ongehorsam sein wurden die selbigen woͤllen wir von wegen sollicher heimlicher winckel ee ein zeitlang in gefencknus oder sonst nach gelegenheit der sach an leib vnd guͦt sampt oder sonderlich ernstlich straffen lassen,welche aber diser unser ordnung nit geleben sonder hierinn ongehorsam sein wurden die selbigen wollen wir uon wegen sollicher heimlicher winckel ee ein zeitlang in gefencknus oder sonst nach gelegenheit der sach an leib und gut sampt oder sonderlich ernstlich straffen lassen
schnepf_eesachen_1536,body,7,0,False,5,Zum dritten/ Nachdem es sich ein zeitlang her/ vnd lenger ye mer/ in vnserm Fürstenthumb zuͦgetragen/ das etlich vihisch/ frech/ vnd onuerschempt personen so im andern vnnd dritten grad/ der sipschafft/ oder magschafft/ einander verwandt seien/ sich wider natürliche erberkeit/ miteinander Eelich verpflicht habend/ darauß dann bei etlichen/ vil ergernus/ vnd sonst aller hand vnrats eruolgt.,zum dritten nachdem es sich ein zeitlang her vnd lenger ye mer in vnserm fürstenthumb zuͦgetragen das etlich vihisch frech vnd onuerschempt personen so im andern vnnd dritten grad der sipschafft oder magschafft einander verwandt seien sich wider natürliche erberkeit miteinander eelich verpflicht habend darauß dann bei etlichen vil ergernus vnd sonst aller hand vnrats eruolgt,zum dritten nachdem es sich ein zeitlang her und lenger ye mer in unserm furstenthumb zugetragen das etlich uihisch frech und onuerschempt personen so im andern unnd dritten grad der sipschafft oder magschafft einander uerwandt seien sich wider naturliche erberkeit miteinander eelich uerpflicht habend darauss dann bei etlichen uil ergernus und sonst aller hand unrats eruolgt
schnepf_eesachen_1536,body,7,1,True,5,So ist in betrachtung vilerlei vnns darzuͦ bewegenden vrsachen/ vnser ernstlicher will/ meynung vnnd beuelhe/ das fürohin alle die personen/ so im dritten grad/ der sipp/ oder magschafft einander verwandt seiend/ bey vermeidung vnser vngnad/ auch ernstlicher straff/ sich keins wegs mit einander eelich verpflichten/ oder noch weniger byeinander schlaffen sollend.,so ist in betrachtung vilerlei vnns darzuͦ bewegenden vrsachen vnser ernstlicher will meynung vnnd beuelhe das fürohin alle die personen so im dritten grad der sipp oder magschafft einander verwandt seiend bey vermeidung vnser vngnad auch ernstlicher straff sich keins wegs mit einander eelich verpflichten oder noch weniger byeinander schlaffen sollend,so ist in betrachtung uilerlei unns darzu bewegenden ursachen unser ernstlicher will meynung unnd beuelhe das furohin alle die personen so im dritten grad der sipp oder magschafft einander uerwandt seiend bey uermeidung unser ungnad auch ernstlicher straff sich keins wegs mit einander eelich uerpflichten oder noch weniger byeinander schlaffen sollend
