doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sachs_ulisses_1561,head,0,0,True,XCIb,Comedi. Mit 14. Perſonen/ Die jrꝛfart Vliſſi mit den Werbern/vnd ſeiner gemahel Penelope/vnd hat VII. Actus.,comedi mit perſonen die jrꝛfart vliſſi mit den werbern vnd ſeiner gemahel penelope vnd hat vii actus,comedi mit personen die irfart ulissi mit den werbern und seiner gemahel penelope und hat uii actus
sachs_ulisses_1561,body,1,0,True,XCIb,Der Ehꝛnholdt HEil ſey den Erbern Ehrenueſten Erſamen außerwelten Geſten Zuͤchtigen Frawen vnd Jungkfrawen Vnd all ſo woͤllen hie zu ſchawen Den wir zu ehꝛen her ſind kummen Vns ein Hiſtori fuͤr genummen Comedi weiß zu recediern Welch gſchicht vor langſt thet preſchri-biern Homerus der Griechiſch Poet Jn Odiſea mich verſteht Darinn er anzeiget nach art Vliſſi deß Fuͤrſten jrꝛfart Als der fuͤr Troya zogen war Kam erſt haim im zwentzigſten jar Mitler zeit der Landherꝛen Soͤhn Bultn vmb Penelope die ſchoͤn Sein liebe gmahel keuſch vnd frumb Die ſich ihꝛ auffhielt vmb vnd vmb Die taͤglich rieten ab vnd zu Auch gantz mutwillig mit vnrhu Verſchlemtens jr/jr gut vnd hab Biß ins vierdt jar/da ſich begab Minerua die Goͤttin der Weißheit Sach an die groß vnbilligkeit Hieß Thelemachum ſeinen Sohn Jn Griechen lande raiſen thon Vnd nach ſeim Vatter haben frag Da machtn die Werber ein anſchlag Jn zu ermoͤrden auff der ſtraß Minerua vnterkam doch das Jn dem kam Vliſſes zu landt Jn Betlers gſtalt gar vnerkandt Allein erkennet jn ſein Hundt Vnd ſein Sohn dem er ſich macht kundt Seinr lieben gmahel Penelope Gab er ſich nit zu erkennen eh Biß er die Werber all erſchlug Darzu halff jm trewlich genug Sein lieber Sohn Thelemachus Ewmeus vnd Philecius Sein Sewhirdt vnd ſein Ochſenhirt Nach dem er ſich ſchmucket vnd zirt Als ein Fuͤrſt gab ſich erſt zu kennen Seiner Penelope benennen Die jn mit groſſer frewd vmbfing Nach dem er jr erzelt all ding Was er erlieden het die zeit Fuͤr erſchroͤcklich gefehꝛligkeit Nun ſeit ſtill wenn man an thut fangen Hoͤret vnd ſehet mit verlangen Wie alle ding ſeyen vergangen.,der ehꝛnholdt heil ſey den erbern ehrenueſten erſamen außerwelten geſten zuͤchtigen frawen vnd jungkfrawen vnd all ſo woͤllen hie zu ſchawen den wir zu ehꝛen her ſind kummen vns ein hiſtori fuͤr genummen comedi weiß zu recediern welch gſchicht vor langſt thet preſchribiern homerus der griechiſch poet jn odiſea mich verſteht darinn er anzeiget nach art vliſſi deß fuͤrſten jrꝛfart als der fuͤr troya zogen war kam erſt haim im zwentzigſten jar mitler zeit der landherꝛen soͤhn bultn vmb penelope die ſchoͤn sein liebe gmahel keuſch vnd frumb die ſich ihꝛ auffhielt vmb vnd vmb die taͤglich rieten ab vnd zu auch gantz mutwillig mit vnrhu verſchlemtens jr jr gut vnd hab biß ins vierdt jar da ſich begab minerua die goͤttin der weißheit sach an die groß vnbilligkeit hieß thelemachum ſeinen sohn jn griechen lande raiſen thon vnd nach ſeim vatter haben frag da machtn die werber ein anſchlag jn zu ermoͤrden auff der ſtraß minerua vnterkam doch das jn dem kam vliſſes zu landt jn betlers gſtalt gar vnerkandt allein erkennet jn ſein hundt vnd ſein sohn dem er ſich macht kundt seinr lieben gmahel penelope gab er ſich nit zu erkennen eh biß er die werber all erſchlug darzu halff jm trewlich genug sein lieber sohn thelemachus ewmeus vnd philecius sein sewhirdt vnd ſein ochſenhirt nach dem er ſich ſchmucket vnd zirt als ein fuͤrſt gab ſich erſt zu kennen seiner penelope benennen die jn mit groſſer frewd vmbfing nach dem er jr erzelt all ding was er erlieden het die zeit fuͤr erſchroͤcklich gefehꝛligkeit nun ſeit ſtill wenn man an thut fangen hoͤret vnd ſehet mit verlangen wie alle ding ſeyen vergangen,der ehnholdt heil sey den erbern ehrenuesten ersamen ausserwelten gesten zuchtigen frawen und iungkfrawen und all so wollen hie zu schawen den wir zu ehen her sind kummen uns ein histori fur genummen comedi weiss zu recediern welch gschicht uor langst thet preschribiern homerus der griechisch poet in odisea mich uersteht darinn er anzeiget nach art ulissi dess fursten irfart als der fur troya zogen war kam erst haim im zwentzigsten iar mitler zeit der landheren sohn bultn umb penelope die schon sein liebe gmahel keusch und frumb die sich ih auffhielt umb und umb die taglich rieten ab und zu auch gantz mutwillig mit unrhu uerschlemtens ir ir gut und hab biss ins uierdt iar da sich begab minerua die gottin der weissheit sach an die gross unbilligkeit hiess thelemachum seinen sohn in griechen lande raisen thon und nach seim uatter haben frag da machtn die werber ein anschlag in zu ermorden auff der strass minerua unterkam doch das in dem kam ulisses zu landt in betlers gstalt gar unerkandt allein erkennet in sein hundt und sein sohn dem er sich macht kundt seinr lieben gmahel penelope gab er sich nit zu erkennen eh biss er die werber all erschlug darzu halff im trewlich genug sein lieber sohn thelemachus ewmeus und philecius sein sewhirdt und sein ochsenhirt nach dem er sich schmucket und zirt als ein furst gab sich erst zu kennen seiner penelope benennen die in mit grosser frewd umbfing nach dem er ir erzelt all ding was er erlieden het die zeit fur erschrocklich gefehligkeit nun seit still wenn man an thut fangen horet und sehet mit uerlangen wie alle ding seyen uergangen
sachs_ulisses_1561,body,2,0,True,XCIIa,Thelemachus ein Sohn Vliſſi Ach ich ellendt verlaßner Waiß Der armutſeligſt ich wol haiß Wann ich hab bald jetz ward geboren Mein Vatter Vliſſem verloren Vor Troya in der Griechen Heer Oder iſt etwan in dem Meer Ertruncken/als er heim wolt faren Jch hab jn je in zweintzig jaren Nit gſehen noch kein gwiſes wort Von jm vernummen noch gehort Deß ich vnd die Fraw Mutter mein Penelope/vnd der Vatter ſein Laertes/biß her vnſer zeit Verzert haben in trawrigkeit Dort ſteht ein Gaſt den will ich fragen Ob er mir doch etwas kuͤndt ſagen Vom hertzen lieben Vatter mein O Gaſt trit baß zu mir herrein Wer biſt du/vnd wann kombſt du her Weiſt du nit etwan gute maͤr Von Vliſſi dem thewren Fuͤrſten Den je nach redligkeit war duͤrſten Ob der ſey lebendt oder todt.,thelemachus ein sohn vliſſi ach ich ellendt verlaßner waiß der armutſeligſt ich wol haiß wann ich hab bald jetz ward geboren mein vatter vliſſem verloren vor troya in der griechen heer oder iſt etwan in dem meer ertruncken als er heim wolt faren jch hab jn je in zweintzig jaren nit gſehen noch kein gwiſes wort von jm vernummen noch gehort deß ich vnd die fraw mutter mein penelope vnd der vatter ſein laertes biß her vnſer zeit verzert haben in trawrigkeit dort ſteht ein gaſt den will ich fragen ob er mir doch etwas kuͤndt ſagen vom hertzen lieben vatter mein o gaſt trit baß zu mir herrein wer biſt du vnd wann kombſt du her weiſt du nit etwan gute maͤr von vliſſi dem thewren fuͤrſten den je nach redligkeit war duͤrſten ob der ſey lebendt oder todt,thelemachus ein sohn ulissi ach ich ellendt uerlassner waiss der armutseligst ich wol haiss wann ich hab bald ietz ward geboren mein uatter ulissem uerloren uor troya in der griechen heer oder ist etwan in dem meer ertruncken als er heim wolt faren ich hab in ie in zweintzig iaren nit gsehen noch kein gwises wort uon im uernummen noch gehort dess ich und die fraw mutter mein penelope und der uatter sein laertes biss her unser zeit uerzert haben in trawrigkeit dort steht ein gast den will ich fragen ob er mir doch etwas kundt sagen uom hertzen lieben uatter mein o gast trit bass zu mir herrein wer bist du und wann kombst du her weist du nit etwan gute mar uon ulissi dem thewren fursten den ie nach redligkeit war dursten ob der sey lebendt oder todt
sachs_ulisses_1561,body,3,0,True,XCIIa,Minerua Goͤttin der Weißheit Thelemache ich ſchwer bey Gott Dir warhafte kundtſchaft zu geben Das dein Vatter noch iſt im leben Wird auff gehaltn in einer Jnſeln Wider ſein willn mit wain vñ winſſeln Jetzundt biß in das ſiebendt jar Darumb ſo iſt mein rath du fahr Gehn Pillum zum Fuͤrſten Neſtor Der mit jm iſt gelegen vor Troya/vnd auch mit jm abgfarn Vnd kanſt du bey jm nichts erfarn Zeuch gen Sparta zu Menelao Dem Koͤnig vnd erkundt aldo Wo Vliſſes der Vatter dein Hin kummen ſey in gemein Die Griechen furhn von Troya ab Weil er als ich vernummen hab Auch erſt newlich iſt kummen heim Vnd wenn du denn erforſcht in gheim Wo dein Vatter ſey in dem landt So ſuch jn fuͤhꝛ jn heim zu handt Den Goͤttling rath will ich dir geben.,minerua goͤttin der weißheit thelemache ich ſchwer bey gott dir warhafte kundtſchaft zu geben das dein vatter noch iſt im leben wird auff gehaltn in einer jnſeln wider ſein willn mit wain vñ winſſeln jetzundt biß in das ſiebendt jar darumb ſo iſt mein rath du fahr gehn pillum zum fuͤrſten neſtor der mit jm iſt gelegen vor troya vnd auch mit jm abgfarn vnd kanſt du bey jm nichts erfarn zeuch gen sparta zu menelao dem koͤnig vnd erkundt aldo wo vliſſes der vatter dein hin kummen ſey in gemein die griechen furhn von troya ab weil er als ich vernummen hab auch erſt newlich iſt kummen heim vnd wenn du denn erforſcht in gheim wo dein vatter ſey in dem landt so ſuch jn fuͤhꝛ jn heim zu handt den goͤttling rath will ich dir geben,minerua gottin der weissheit thelemache ich schwer bey gott dir warhafte kundtschaft zu geben das dein uatter noch ist im leben wird auff gehaltn in einer inseln wider sein willn mit wain und winsseln ietzundt biss in das siebendt iar darumb so ist mein rath du fahr gehn pillum zum fursten nestor der mit im ist gelegen uor troya und auch mit im abgfarn und kanst du bey im nichts erfarn zeuch gen sparta zu menelao dem konig und erkundt aldo wo ulisses der uatter dein hin kummen sey in gemein die griechen furhn uon troya ab weil er als ich uernummen hab auch erst newlich ist kummen heim und wenn du denn erforscht in gheim wo dein uatter sey in dem landt so such in fuh in heim zu handt den gottling rath will ich dir geben
sachs_ulisses_1561,body,4,0,True,XCIIa,Thelemachus O Gaſt ich will dir volgen eben Vnd das auff den morgigen tag.,thelemachus o gaſt ich will dir volgen eben vnd das auff den morgigen tag,thelemachus o gast ich will dir uolgen eben und das auff den morgigen tag
sachs_ulisses_1561,body,5,0,True,XCIIb,Minerua Deinr Mutter gar nichts daruon ſag Jch will ſelber raiſen mit dir Mein Thelemache ſag du mir Was iſt das fuͤr ein froͤlicher ſchal Von den geſten in dem jnnern Sal Oder iſt es nur dein Hofgeſind.,minerua deinr mutter gar nichts daruon ſag jch will ſelber raiſen mit dir mein thelemache ſag du mir was iſt das fuͤr ein froͤlicher ſchal von den geſten in dem jnnern sal oder iſt es nur dein hofgeſind,minerua deinr mutter gar nichts daruon sag ich will selber raisen mit dir mein thelemache sag du mir was ist das fur ein frolicher schal uon den gesten in dem innern sal oder ist es nur dein hofgesind
sachs_ulisses_1561,body,6,0,True,XCIIb,Thelemachus Ach nein laider dieſes ſind Der Landtherꝛen Soͤhn obgenandt Alhie in Jtaca dem landt Vnd ander lender ſo herumb ſein Die werben vmb die Mutter mein Der ſind von Adel außgeſundert Vier vnd zweintzig vnd darzu hundert Die kummen nach einander her Von den mein Hof iſt ſelten ler Vnd haben alda Futer vnd Mal Die ſchlemen vñ demmen auff dem Sal Gar trutzigklichen von dem mein.,thelemachus ach nein laider dieſes ſind der landtherꝛen soͤhn obgenandt alhie in jtaca dem landt vnd ander lender ſo herumb ſein die werben vmb die mutter mein der ſind von adel außgeſundert vier vnd zweintzig vnd darzu hundert die kummen nach einander her von den mein hof iſt ſelten ler vnd haben alda futer vnd mal die ſchlemen vñ demmen auff dem sal gar trutzigklichen von dem mein,thelemachus ach nein laider dieses sind der landtheren sohn obgenandt alhie in itaca dem landt und ander lender so herumb sein die werben umb die mutter mein der sind uon adel aussgesundert uier und zweintzig und darzu hundert die kummen nach einander her uon den mein hof ist selten ler und haben alda futer und mal die schlemen und demmen auff dem sal gar trutzigklichen uon dem mein
sachs_ulisses_1561,body,7,0,True,XCIIb,Minerua Was thut darzu die Mutter dein?,minerua was thut darzu die mutter dein,minerua was thut darzu die mutter dein
sachs_ulisses_1561,body,8,0,True,XCIIb,Thelemachus Die hat vor jn gleich gar kein rhu Slecht jn nichts ab/ſagt jn nichts zu Thut ſich durch einen liſt auff halten Hat jn zu gſagt bald ſie dem alten Laertes jrem Schweher hab Sein Tuch hab außgewuͤrckt zum grab Vnd wo in mitler zeit nit kumb Haim/Vliſſes mein Vatter frumb Als denn woͤll ſie nemen jr einen Zu eim gmahel on als verneinen An dem Leichtuch wuͤrckt ſie all tag Gar kuͤnſtliche arbeit ich ſag Vnd als was ſie beim tag thut wiffeln Thut ſie bey nacht wider auff triffeln Darmit blendt ſie der Werber ſchar Helts darmit auff ins vierdte jar Mit lerer hoffnung jmmer zu.,thelemachus die hat vor jn gleich gar kein rhu slecht jn nichts ab ſagt jn nichts zu thut ſich durch einen liſt auff halten hat jn zu gſagt bald ſie dem alten laertes jrem schweher hab sein tuch hab außgewuͤrckt zum grab vnd wo in mitler zeit nit kumb haim vliſſes mein vatter frumb als denn woͤll ſie nemen jr einen zu eim gmahel on als verneinen an dem leichtuch wuͤrckt ſie all tag gar kuͤnſtliche arbeit ich ſag vnd als was ſie beim tag thut wiffeln thut ſie bey nacht wider auff triffeln darmit blendt ſie der werber ſchar helts darmit auff ins vierdte jar mit lerer hoffnung jmmer zu,thelemachus die hat uor in gleich gar kein rhu slecht in nichts ab sagt in nichts zu thut sich durch einen list auff halten hat in zu gsagt bald sie dem alten laertes irem schweher hab sein tuch hab aussgewurckt zum grab und wo in mitler zeit nit kumb haim ulisses mein uatter frumb als denn woll sie nemen ir einen zu eim gmahel on als uerneinen an dem leichtuch wurckt sie all tag gar kunstliche arbeit ich sag und als was sie beim tag thut wiffeln thut sie bey nacht wider auff triffeln darmit blendt sie der werber schar helts darmit auff ins uierdte iar mit lerer hoffnung immer zu
sachs_ulisses_1561,body,9,0,True,XCIIb,Minerua Nun Thelemache ordne du Heimlich all notturft in das Schieff Das wir vber das Meere tieff Morgen fahꝛen auff Pilum hin Darzu ich denn dein mitgfert bin Vnd laiſte dir trewe gſelſchaft.,minerua nun thelemache ordne du heimlich all notturft in das schieff das wir vber das meere tieff morgen fahꝛen auff pilum hin darzu ich denn dein mitgfert bin vnd laiſte dir trewe gſelſchaft,minerua nun thelemache ordne du heimlich all notturft in das schieff das wir uber das meere tieff morgen fahen auff pilum hin darzu ich denn dein mitgfert bin und laiste dir trewe gselschaft
