doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kirchner_bekentnis_1569,head,0,0,True,1,Bekentnis. Von der Rechtfertigung für Gott. und Von guten Wercken. Der Theologen in der Vniversitet Jhena. Psal.127. Sie gehen hin und weinen/vnd tragen edlen Samen/vnd komen mit freuden vnd bringen ire Garben. Gedruckt zu Jhena/durch Christian Rodinger. M. D. LXIX.,bekentnis von der rechtfertigung für gott und von guten wercken der theologen in der vniversitet jhena psal sie gehen hin und weinen vnd tragen edlen samen vnd komen mit freuden vnd bringen ire garben gedruckt zu jhena durch christian rodinger m d lxix,bekentnis uon der rechtfertigung fur gott und uon guten wercken der theologen in der uniuersitet ihena psal sie gehen hin und weinen und tragen edlen samen und komen mit freuden und bringen ire garben gedruckt zu ihena durch christian rodinger m d lxix
kirchner_bekentnis_1569,head,1,0,True,3,Allen rechtẽ vñ Gottfürchtenden Christen / welche vom offenbarten Antichrist sind ausgangen / die reine / Göttliche / seligmachende Warheit lieb haben / bestendigkeit / bekentnis / fried vnd ewige wolfart / in Jesu Christo vnserm Heiland / Amen.,allen rechtẽ vñ gottfürchtenden christen welche vom offenbarten antichrist sind ausgangen die reine göttliche seligmachende warheit lieb haben bestendigkeit bekentnis fried vnd ewige wolfart in jesu christo vnserm heiland amen,allen rechten und gottfurchtenden christen welche uom offenbarten antichrist sind ausgangen die reine gottliche seligmachende warheit lieb haben bestendigkeit bekentnis fried und ewige wolfart in iesu christo unserm heiland amen
kirchner_bekentnis_1569,body,2,0,False,3,LIeben Christen / es hat eine Nachteule / der jtzt viel fliegen / weil das Liecht der Göttlichen warheit / von vielen nach Gottes vnd D. Lutheri Weissagungen / verdunckelt wird / das ist einer one Namen / eine Schrifft hin vnd wider ausgesprenget / darinnen rechten vnd trewen Dienern Gottes / grewliche Irthume auffgedichtet werden.,lieben christen es hat eine nachteule der jtzt viel fliegen weil das liecht der göttlichen warheit von vielen nach gottes vnd d lutheri weissagungen verdunckelt wird das ist einer one namen eine schrifft hin vnd wider ausgesprenget darinnen rechten vnd trewen dienern gottes grewliche irthume auffgedichtet werden,lieben christen es hat eine nachteule der itzt uiel fliegen weil das liecht der gottlichen warheit uon uielen nach gottes und d lutheri weissagungen uerdunckelt wird das ist einer one namen eine schrifft hin und wider ausgesprenget darinnen rechten und trewen dienern gottes grewliche irthume auffgedichtet werden
kirchner_bekentnis_1569,body,2,1,False,3,Darnach so sind im Druck auch newlich etliche lesterhafftige verleumbdungen / beide Deudsch vnd Lateinisch / in Büchern / Orationen vnd Versen / ausgeschüttet.,darnach so sind im druck auch newlich etliche lesterhafftige verleumbdungen beide deudsch vnd lateinisch in büchern orationen vnd versen ausgeschüttet,darnach so sind im druck auch newlich etliche lesterhafftige uerleumbdungen beide deudsch und lateinisch in buchern orationen und uersen ausgeschuttet
kirchner_bekentnis_1569,body,2,2,False,3,Wiewol nu derselbe Geist / welcher nach dem 8. Gebot.,wiewol nu derselbe geist welcher nach dem gebot,wiewol nu derselbe geist welcher nach dem gebot
kirchner_bekentnis_1569,body,2,3,True,3,Du solst nicht falsch Gezeugnis geben / weniger denn nichts fragt / leicht kan bey seinen grossen Ohrẽ / die aus dem Beltz heraus ragen / vnd vnten bey den scharpffen Klawẽ / erkant vñ geurteilet werden / jedoch zeigen so viel Christen / von weiten vñ nahenden örtern an / das sie darüber bekümmert vnd bestürtzt worden / das der Geist so frech heraus plaudert / vnd im Hause des HERRN / sol niemand erfunden werden / der dawider mucken / oder eine Syllabe der Christenheit zu erinnerung oder trost / herfür bringen dürfft / vnd das solches gleichwol Gott dem Allmechtigen zu vnehren / vnd viel schwachen zum wancken vnd fall die lenge hin möchte gereichen.,du solst nicht falsch gezeugnis geben weniger denn nichts fragt leicht kan bey seinen grossen ohrẽ die aus dem beltz heraus ragen vnd vnten bey den scharpffen klawẽ erkant vñ geurteilet werden jedoch zeigen so viel christen von weiten vñ nahenden örtern an das sie darüber bekümmert vnd bestürtzt worden das der geist so frech heraus plaudert vnd im hause des herrn sol niemand erfunden werden der dawider mucken oder eine syllabe der christenheit zu erinnerung oder trost herfür bringen dürfft vnd das solches gleichwol gott dem allmechtigen zu vnehren vnd viel schwachen zum wancken vnd fall die lenge hin möchte gereichen,du solst nicht falsch gezeugnis geben weniger denn nichts fragt leicht kan bey seinen grossen ohren die aus dem beltz heraus ragen und unten bey den scharpffen klawen erkant und geurteilet werden iedoch zeigen so uiel christen uon weiten und nahenden ortern an das sie daruber bekummert und besturtzt worden das der geist so frech heraus plaudert und im hause des herrn sol niemand erfunden werden der dawider mucken oder eine syllabe der christenheit zu erinnerung oder trost herfur bringen durfft und das solches gleichwol gott dem allmechtigen zu unehren und uiel schwachen zum wancken und fall die lenge hin mochte gereichen
kirchner_bekentnis_1569,body,3,0,True,4,So erfordert die aller höchste vnuermeidlichste not / das wir / wiewol die geringsten im Hause des HERRN / ein wenig der Warheit müssen zeugnis geben.,so erfordert die aller höchste vnuermeidlichste not das wir wiewol die geringsten im hause des herrn ein wenig der warheit müssen zeugnis geben,so erfordert die aller hochste unuermeidlichste not das wir wiewol die geringsten im hause des herrn ein wenig der warheit mussen zeugnis geben
kirchner_bekentnis_1569,body,4,0,False,4,Erstlich / das Gott solches gebeut im 2. Gebot / Du solt den Namen Gottes deines HERREN nicht vnnützlich füren / Darinn denn die Allmechtige Maiestet befilhet beides / erstlich / das wir die reine / vnuerfelschte Göttliche Lere / sollen offentlich für aller Welt bekennẽ / darnach auch falsche Lere / darin der Name Gottes misbraucht wird / widerlegen.,erstlich das gott solches gebeut im gebot du solt den namen gottes deines herren nicht vnnützlich füren darinn denn die allmechtige maiestet befilhet beides erstlich das wir die reine vnuerfelschte göttliche lere sollen offentlich für aller welt bekennẽ darnach auch falsche lere darin der name gottes misbraucht wird widerlegen,erstlich das gott solches gebeut im gebot du solt den namen gottes deines herren nicht unnutzlich furen darinn denn die allmechtige maiestet befilhet beides erstlich das wir die reine unuerfelschte gottliche lere sollen offentlich fur aller welt bekennen darnach auch falsche lere darin der name gottes misbraucht wird widerlegen
kirchner_bekentnis_1569,body,4,1,True,4,Solchs fordert auch das 8. Gebot / Du solt nicht falsch gezeugnis geben / nemlich / das man der Warheit gut zeugnis gebe / vnd der vnwarheit widerspreche / Vnd ist demnach wider Gottes ehre / lassen die grewlichen Lesterungen Göttliches Namens / jhren freyen durchlauff haben.,solchs fordert auch das gebot du solt nicht falsch gezeugnis geben nemlich das man der warheit gut zeugnis gebe vnd der vnwarheit widerspreche vnd ist demnach wider gottes ehre lassen die grewlichen lesterungen göttliches namens jhren freyen durchlauff haben,solchs fordert auch das gebot du solt nicht falsch gezeugnis geben nemlich das man der warheit gut zeugnis gebe und der unwarheit widerspreche und ist demnach wider gottes ehre lassen die grewlichen lesterungen gottliches namens ihren freyen durchlauff haben
kirchner_bekentnis_1569,body,5,0,False,5,Zum andern / erforderts die ware vnd trewe liebe des Nechsten / als nemlich / das die Christliche Kirche der Warheit berichtet / vnd darinnen gestercket werde.,zum andern erforderts die ware vnd trewe liebe des nechsten als nemlich das die christliche kirche der warheit berichtet vnd darinnen gestercket werde,zum andern erforderts die ware und trewe liebe des nechsten als nemlich das die christliche kirche der warheit berichtet und darinnen gestercket werde
kirchner_bekentnis_1569,body,5,1,True,5,Item / das die hinckenden vnd wanckenden wider zu recht bracht werden / vnd letzlich das auch den Nachteulen das Liecht der Göttlichen Warheit vnter die Augen scheine / ob ein rotes scham tröpflin / an jnen wolte zu spüren sein.,item das die hinckenden vnd wanckenden wider zu recht bracht werden vnd letzlich das auch den nachteulen das liecht der göttlichen warheit vnter die augen scheine ob ein rotes scham tröpflin an jnen wolte zu spüren sein,item das die hinckenden und wanckenden wider zu recht bracht werden und letzlich das auch den nachteulen das liecht der gottlichen warheit unter die augen scheine ob ein rotes scham tropflin an inen wolte zu spuren sein
kirchner_bekentnis_1569,body,6,0,False,5,Zum dritten / ist es ja ein ernster Spruch Christi vnsers HERren / Matth. 10. Wer mich bekennet für den Menschen / den wil ich bekennen / für meinem himlischen Vater.,zum dritten ist es ja ein ernster spruch christi vnsers herren matth wer mich bekennet für den menschen den wil ich bekennen für meinem himlischen vater,zum dritten ist es ia ein ernster spruch christi unsers herren matth wer mich bekennet fur den menschen den wil ich bekennen fur meinem himlischen uater
