doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
selnecker_bekantnus_1571,head,0,0,True,1,Kurtze / Wahre vnd Einfeltige Bekantnus D. Nic. Selnecceri. Von der Maiestet/ Auffarth/ Sitzen zur Rechten Gottes/vnd vom Abendmal vnsers HERRN Ihesu Christi. Nach laut vnd inhalt der Heiligen Göttlichen Schrifft/Symbolorum/ schrifften D. D. Martini Lutheri / vnd Corporis Doctrinae. Heinrichstadt. 1571.,kurtze wahre vnd einfeltige bekantnus d nic selnecceri von der maiestet auffarth sitzen zur rechten gottes vnd vom abendmal vnsers herrn ihesu christi nach laut vnd inhalt der heiligen göttlichen schrifft symbolorum schrifften d d martini lutheri vnd corporis doctrinae heinrichstadt,kurtze wahre und einfeltige bekantnus d nic selnecceri uon der maiestet auffarth sitzen zur rechten gottes und uom abendmal unsers herrn ihesu christi nach laut und inhalt der heiligen gottlichen schrifft symbolorum schrifften d d martini lutheri und corporis doctrinae heinrichstadt
selnecker_bekantnus_1571,head,1,0,True,3,"Kurtze / Wahre vnd Einfeltige Bekandtnuss D. Nicolai Selnecceri / Von der Maiestet / Auffart / Sitzen zur Rechten Gottes / vnd vom Abentmal vnsers HERRN JESV Christi / nach laut vnd inhalt der heiligen Göttlichen Schrifft / SyMBOLORVM, Schrifften D. D. Lutheri / vnd CORPORIS DOCTRINAE.",kurtze wahre vnd einfeltige bekandtnuss d nicolai selnecceri von der maiestet auffart sitzen zur rechten gottes vnd vom abentmal vnsers herrn jesv christi nach laut vnd inhalt der heiligen göttlichen schrifft symbolorvm schrifften d d lutheri vnd corporis doctrinae,kurtze wahre und einfeltige bekandtnuss d nicolai selnecceri uon der maiestet auffart sitzen zur rechten gottes und uom abentmal unsers herrn iesu christi nach laut und inhalt der heiligen gottlichen schrifft symbolorum schrifften d d lutheri und corporis doctrinae
selnecker_bekantnus_1571,body,2,0,False,3,I. CHRistus vnser HERR hat zwo Geburt / oder zwo Naturen / in einer vnzertrenten Persone / deñ er ist ein Christus / nicht zween Christi.,i christus vnser herr hat zwo geburt oder zwo naturen in einer vnzertrenten persone deñ er ist ein christus nicht zween christi,i christus unser herr hat zwo geburt oder zwo naturen in einer unzertrenten persone denn er ist ein christus nicht zween christi
selnecker_bekantnus_1571,body,2,1,False,3,Nach der ersten geburt hat er nicht zeitlich / Sondern von Ewig keit her vom Vater empfangen die ewige gewalt oder Gottheit / vnd der Vater hat sie jm gantz vnd völlig gegeben / wie er sie selbst hat von ewigkeit.,nach der ersten geburt hat er nicht zeitlich sondern von ewig keit her vom vater empfangen die ewige gewalt oder gottheit vnd der vater hat sie jm gantz vnd völlig gegeben wie er sie selbst hat von ewigkeit,nach der ersten geburt hat er nicht zeitlich sondern uon ewig keit her uom uater empfangen die ewige gewalt oder gottheit und der uater hat sie im gantz und uollig gegeben wie er sie selbst hat uon ewigkeit
selnecker_bekantnus_1571,body,2,2,False,3,Nach der andern zeitlichen Menschlichen geburt / ist jhme auch die ewige ge walt GOTTES gegeben / doch zeitlich / vnd nicht von ewigkeit her.,nach der andern zeitlichen menschlichen geburt ist jhme auch die ewige ge walt gottes gegeben doch zeitlich vnd nicht von ewigkeit her,nach der andern zeitlichen menschlichen geburt ist ihme auch die ewige ge walt gottes gegeben doch zeitlich und nicht uon ewigkeit her
selnecker_bekantnus_1571,body,2,3,True,3,Denn die Menscheit Christi ist nicht von ewigkeit gewest / wie die Gottheit / Sondern / wie man zelt vnd schreibt / ist IHESVS Marien Son / seiner Menscheit nach / dis Jar 1571 alt / vnd hat vnendtlichen vnd Göttlichen gewalt / nicht allein als GOtt / Sondern auch / als warhafftiger Mensch / vnd regieret alles im Himel vnd auff Erden.,denn die menscheit christi ist nicht von ewigkeit gewest wie die gottheit sondern wie man zelt vnd schreibt ist ihesvs marien son seiner menscheit nach dis jar alt vnd hat vnendtlichen vnd göttlichen gewalt nicht allein als gott sondern auch als warhafftiger mensch vnd regieret alles im himel vnd auff erden,denn die menscheit christi ist nicht uon ewigkeit gewest wie die gottheit sondern wie man zelt und schreibt ist ihesus marien son seiner menscheit nach dis iar alt und hat unendtlichen und gottlichen gewalt nicht allein als gott sondern auch als warhafftiger mensch und regieret alles im himel und auff erden
selnecker_bekantnus_1571,head,3,0,True,4,II.,ii,ii
selnecker_bekantnus_1571,body,4,0,False,4,Matth. 28. Mir ist alle gewalt gegeben / im Himel vnd auff Erden.,matth mir ist alle gewalt gegeben im himel vnd auff erden,matth mir ist alle gewalt gegeben im himel und auff erden
selnecker_bekantnus_1571,body,4,1,False,4,Welchem Mir?,welchem mir,welchem mir
selnecker_bekantnus_1571,body,4,2,False,4,Mir IHESV von Nazareth Marien Son / vnd Mensch geborn.,mir ihesv von nazareth marien son vnd mensch geborn,mir ihesu uon nazareth marien son und mensch geborn
selnecker_bekantnus_1571,body,4,3,False,4,Von ewigkeit hab Ich sie vom Vatter / ehe Ich Mensch ward.,von ewigkeit hab ich sie vom vatter ehe ich mensch ward,uon ewigkeit hab ich sie uom uatter ehe ich mensch ward
selnecker_bekantnus_1571,body,4,4,True,4,Aber da Ich Mensch ward / hab Ich sie zeitlich entpfangen / nach der Menscheit / vnd heimlich gehalten / bis auff mein Aufferstehen / vnd Auffart / da es hat sollen offenbaret vnd erkleret werden.,aber da ich mensch ward hab ich sie zeitlich entpfangen nach der menscheit vnd heimlich gehalten bis auff mein aufferstehen vnd auffart da es hat sollen offenbaret vnd erkleret werden,aber da ich mensch ward hab ich sie zeitlich entpfangen nach der menscheit und heimlich gehalten bis auff mein aufferstehen und auffart da es hat sollen offenbaret und erkleret werden
selnecker_bekantnus_1571,head,5,0,True,4,III.,iii,iii
selnecker_bekantnus_1571,body,6,0,False,4,Christus ist auffgehaben / gen Himel gefahren / oder in Himel auffgenomen / vnd durch die Rechte Gottes erhöhet.,christus ist auffgehaben gen himel gefahren oder in himel auffgenomen vnd durch die rechte gottes erhöhet,christus ist auffgehaben gen himel gefahren oder in himel auffgenomen und durch die rechte gottes erhohet
selnecker_bekantnus_1571,body,6,1,True,4,Dieses auffaren heist nicht vbersich hinauff steigen / Als wann einer an einer leiter oder treppen auff ein soller vbersich steiget / Sondern auffsteigen oder auffaren heist nach der Schrifft / zu den höchsten ehren kommen / vnd newevnmesliche gewalt bekommen / wie Petrus solchs ausleget / Act. 2. Der HERR IHESVS ist durch die rechte Gottes erhöhet / vnd Gott hat jhn zum HERRN vnd Christ gemacht / vnd jhme alles vnter seine füsse gethan / vnd ein solchen Namen / Herrligkeit / vnd Göttliche / vnmesliche Maiestet gegeben / Das sich alle Knye / im Himel / Hell / vnd Erden / vor jhme biegen / vnd jhn bekennen müssen / er sey der Oberst vnd Göttliche HERR in der ehre GOTtes des Vatters / ein Himlischer vnd ewiger HERR.,dieses auffaren heist nicht vbersich hinauff steigen als wann einer an einer leiter oder treppen auff ein soller vbersich steiget sondern auffsteigen oder auffaren heist nach der schrifft zu den höchsten ehren kommen vnd newevnmesliche gewalt bekommen wie petrus solchs ausleget act der herr ihesvs ist durch die rechte gottes erhöhet vnd gott hat jhn zum herrn vnd christ gemacht vnd jhme alles vnter seine füsse gethan vnd ein solchen namen herrligkeit vnd göttliche vnmesliche maiestet gegeben das sich alle knye im himel hell vnd erden vor jhme biegen vnd jhn bekennen müssen er sey der oberst vnd göttliche herr in der ehre gottes des vatters ein himlischer vnd ewiger herr,dieses auffaren heist nicht ubersich hinauff steigen als wann einer an einer leiter oder treppen auff ein soller ubersich steiget sondern auffsteigen oder auffaren heist nach der schrifft zu den hochsten ehren kommen und neweunmesliche gewalt bekommen wie petrus solchs ausleget act der herr ihesus ist durch die rechte gottes erhohet und gott hat ihn zum herrn und christ gemacht und ihme alles unter seine fusse gethan und ein solchen namen herrligkeit und gottliche unmesliche maiestet gegeben das sich alle knye im himel hell und erden uor ihme biegen und ihn bekennen mussen er sey der oberst und gottliche herr in der ehre gottes des uatters ein himlischer und ewiger herr
selnecker_bekantnus_1571,head,7,0,True,5,IIII.,iiii,iiii
selnecker_bekantnus_1571,body,8,0,False,5,Er hat den Himel eingenommen / Der Himel aber / als ein gewisser erschaffener ort / hat jhn nicht eingenommen / oder an eim gewissen orth beschlossen / das er derwegen mit seinem Leib wo / wenn / vnd wie er wil auff Erden nicht mehr sein könne / oder im Abentmal / laut seines allmechtigen vnd warhafftigen Worts / nicht gegenwertig sey / ausgetheilet / vnd empfangen wer de / Sondern er ist ein HERR des Himels / ja vber alle Creaturn im Himel vnd Erden.,er hat den himel eingenommen der himel aber als ein gewisser erschaffener ort hat jhn nicht eingenommen oder an eim gewissen orth beschlossen das er derwegen mit seinem leib wo wenn vnd wie er wil auff erden nicht mehr sein könne oder im abentmal laut seines allmechtigen vnd warhafftigen worts nicht gegenwertig sey ausgetheilet vnd empfangen wer de sondern er ist ein herr des himels ja vber alle creaturn im himel vnd erden,er hat den himel eingenommen der himel aber als ein gewisser erschaffener ort hat ihn nicht eingenommen oder an eim gewissen orth beschlossen das er derwegen mit seinem leib wo wenn und wie er wil auff erden nicht mehr sein konne oder im abentmal laut seines allmechtigen und warhafftigen worts nicht gegenwertig sey ausgetheilet und empfangen wer de sondern er ist ein herr des himels ia uber alle creaturn im himel und erden
selnecker_bekantnus_1571,body,8,1,True,5,Ich fare auff / spricht er / zu meinem Vater / das ist / Mir ist alle gewalt geben im Himel vnd Erden.,ich fare auff spricht er zu meinem vater das ist mir ist alle gewalt geben im himel vnd erden,ich fare auff spricht er zu meinem uater das ist mir ist alle gewalt geben im himel und erden
selnecker_bekantnus_1571,body,9,0,False,5,V. Himel / bedeutet / in diesem hohen handel / nicht das Firmament oder ein gewissen orth / im höchsten oder fewrigen Himel / wie die Künstler vnd Sternseher von Himeln reden / oder wie Lucanus von Nerone geuckelt: Te praelati regiacoeli excipiet gaudente polo &c. Dañ alle Himlische Himel können diesen Christummit seiner vnmeslichen gewalt nicht fassen oder begreiffen: Sondern / der HERR ist auffgefahren gen Himel / bedeutet vnd ist souiel: Er hat Himlische Ehre / Hoheit / Regiment / Gewalt / Maiestet vnd Herrligkeit bekommen / Vnd ist ein Himlischer / vnd von nun an bis in ewigkeit / nach der Menscheit / ein ewiger HERR worden / Das wir sagen vnd rhümen können / das vnser fleisch vñ blut / der HERR Christus / der vnser Bruder ist / habe allen ge walt im Himel vnd Erden / vnd sey hoch erhebet vber alle Himel / vnd gesetzt zur Rechten Gottes / nach seiner Menscheit.,v himel bedeutet in diesem hohen handel nicht das firmament oder ein gewissen orth im höchsten oder fewrigen himel wie die künstler vnd sternseher von himeln reden oder wie lucanus von nerone geuckelt te praelati regiacoeli excipiet gaudente polo &c dañ alle himlische himel können diesen christummit seiner vnmeslichen gewalt nicht fassen oder begreiffen sondern der herr ist auffgefahren gen himel bedeutet vnd ist souiel er hat himlische ehre hoheit regiment gewalt maiestet vnd herrligkeit bekommen vnd ist ein himlischer vnd von nun an bis in ewigkeit nach der menscheit ein ewiger herr worden das wir sagen vnd rhümen können das vnser fleisch vñ blut der herr christus der vnser bruder ist habe allen ge walt im himel vnd erden vnd sey hoch erhebet vber alle himel vnd gesetzt zur rechten gottes nach seiner menscheit,u himel bedeutet in diesem hohen handel nicht das firmament oder ein gewissen orth im hochsten oder fewrigen himel wie die kunstler und sternseher uon himeln reden oder wie lucanus uon nerone geuckelt te praelati regiacoeli excipiet gaudente polo etc dann alle himlische himel konnen diesen christummit seiner unmeslichen gewalt nicht fassen oder begreiffen sondern der herr ist auffgefahren gen himel bedeutet und ist souiel er hat himlische ehre hoheit regiment gewalt maiestet und herrligkeit bekommen und ist ein himlischer und uon nun an bis in ewigkeit nach der menscheit ein ewiger herr worden das wir sagen und rhumen konnen das unser fleisch und blut der herr christus der unser bruder ist habe allen ge walt im himel und erden und sey hoch erhebet uber alle himel und gesetzt zur rechten gottes nach seiner menscheit
selnecker_bekantnus_1571,body,9,1,True,6,Denn nach seiner Göttlichen natur ist er von ewigkeit beim Vater in gleicher Allmacht gewesen / ehe noch die gründe der Welt gelegt / vnd da noch kein Himel geschaffen war.,denn nach seiner göttlichen natur ist er von ewigkeit beim vater in gleicher allmacht gewesen ehe noch die gründe der welt gelegt vnd da noch kein himel geschaffen war,denn nach seiner gottlichen natur ist er uon ewigkeit beim uater in gleicher allmacht gewesen ehe noch die grunde der welt gelegt und da noch kein himel geschaffen war
selnecker_bekantnus_1571,head,10,0,True,6,VI.,vi,ui
selnecker_bekantnus_1571,body,11,0,True,6,DErwegen sind dis solche reden / da jmmer eine die ander erkleret:,derwegen sind dis solche reden da jmmer eine die ander erkleret,derwegen sind dis solche reden da immer eine die ander erkleret
