doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
selnecker_summa_1571,head,0,0,True,1,Summa Der Warhafftigen/ Christlichen/ vnd Einfeltigen Lehre vnd Bekentnis/ Von dem heiligen Abendmal vnsers HErrn Jesu Christi. Kurtzer Begriff der fürnemsten Heuptartickel Christlicher Lehr. Frommen Christen zum vnterricht vnd trost/kürtzlich gefasset durch D. Nicolaum Selneccerum. Heinrichßstadt.,summa der warhafftigen christlichen vnd einfeltigen lehre vnd bekentnis von dem heiligen abendmal vnsers herrn jesu christi kurtzer begriff der fürnemsten heuptartickel christlicher lehr frommen christen zum vnterricht vnd trost kürtzlich gefasset durch d nicolaum selneccerum heinrichßstadt,summa der warhafftigen christlichen und einfeltigen lehre und bekentnis uon dem heiligen abendmal unsers herrn iesu christi kurtzer begriff der furnemsten heuptartickel christlicher lehr frommen christen zum unterricht und trost kurtzlich gefasset durch d nicolaum selneccerum heinrichssstadt
selnecker_summa_1571,head,1,0,True,3,Summa warer vnd einfeltiger Lehr / von dem Hochwirdigen Sacrament des Leibs vnd Bluts Jesu Christi.,summa warer vnd einfeltiger lehr von dem hochwirdigen sacrament des leibs vnd bluts jesu christi,summa warer und einfeltiger lehr uon dem hochwirdigen sacrament des leibs und bluts iesu christi
selnecker_summa_1571,head,2,0,True,3,Also schreiben die heiligen Euangelisten / Mattheus / Marcus / Lucas / vnd der Apostel Paulus /,also schreiben die heiligen euangelisten mattheus marcus lucas vnd der apostel paulus,also schreiben die heiligen euangelisten mattheus marcus lucas und der apostel paulus
selnecker_summa_1571,head,3,0,True,3,I. Corinth. XI.,i corinth xi,i corinth xi
selnecker_summa_1571,body,4,0,True,3,ICH habe es von dem HERrn empfangen / das ich euch gegeben habe / deñ der Herr IHEsus / in der Nacht / da er verrathen war / nam er das Brot / dancket vnd brachs vnd sprach / Nemet / Esset / das ist mein Leib / der für euch gebrochen (gegeben) wird / solchs thut zu meinem gedechtniss.,ich habe es von dem herrn empfangen das ich euch gegeben habe deñ der herr ihesus in der nacht da er verrathen war nam er das brot dancket vnd brachs vnd sprach nemet esset das ist mein leib der für euch gebrochen gegeben wird solchs thut zu meinem gedechtniss,ich habe es uon dem herrn empfangen das ich euch gegeben habe denn der herr ihesus in der nacht da er uerrathen war nam er das brot dancket und brachs und sprach nemet esset das ist mein leib der fur euch gebrochen gegeben wird solchs thut zu meinem gedechtniss
selnecker_summa_1571,body,5,0,True,4,Desselben gleichen auch den Kelch nach dein Abendmal / danckt / vnd sprach (Trincket alle daraus) Vnd sie truncken alle daraus / vnd er sagt: Dieser Kelch ist das Newe Testament in meinem Blut / welches für euch / vnd für viel vergossen wird zur vergebung der Sünden / Solchs thut / so offt jrs trincket / zu meinem gedechtniss.,desselben gleichen auch den kelch nach dein abendmal danckt vnd sprach trincket alle daraus vnd sie truncken alle daraus vnd er sagt dieser kelch ist das newe testament in meinem blut welches für euch vnd für viel vergossen wird zur vergebung der sünden solchs thut so offt jrs trincket zu meinem gedechtniss,desselben gleichen auch den kelch nach dein abendmal danckt und sprach trincket alle daraus und sie truncken alle daraus und er sagt dieser kelch ist das newe testament in meinem blut welches fur euch und fur uiel uergossen wird zur uergebung der sunden solchs thut so offt irs trincket zu meinem gedechtniss
selnecker_summa_1571,body,6,0,False,4,Denn so offt jhr von diesem Brodt esset / vnd trincket von diesem Kelch / solt jr des HERRN Todt verkündigen / biss das er kümpt.,denn so offt jhr von diesem brodt esset vnd trincket von diesem kelch solt jr des herrn todt verkündigen biss das er kümpt,denn so offt ihr uon diesem brodt esset und trincket uon diesem kelch solt ir des herrn todt uerkundigen biss das er kumpt
selnecker_summa_1571,body,6,1,False,4,Welcher nun vnwirdig von diesem Brodt isset / oder von diesem Kelch des HErrn trincket / der ist schüldig an dem Leib vnd Bluth des HERrn.,welcher nun vnwirdig von diesem brodt isset oder von diesem kelch des herrn trincket der ist schüldig an dem leib vnd bluth des herrn,welcher nun unwirdig uon diesem brodt isset oder uon diesem kelch des herrn trincket der ist schuldig an dem leib und bluth des herrn
selnecker_summa_1571,body,6,2,False,5,Der Mensch prüfe aber sich selbes / vnd also esse er von diesem Brodt / vnd trincke von diesem Kelch.,der mensch prüfe aber sich selbes vnd also esse er von diesem brodt vnd trincke von diesem kelch,der mensch prufe aber sich selbes und also esse er uon diesem brodt und trincke uon diesem kelch
selnecker_summa_1571,body,6,3,True,5,Denn welcher vnwirdig isset vnd trincket / der isset vnd trincket jhm selber das gerichte / Damit das er nicht vnterscheidet den Leib des HERrn.,denn welcher vnwirdig isset vnd trincket der isset vnd trincket jhm selber das gerichte damit das er nicht vnterscheidet den leib des herrn,denn welcher unwirdig isset und trincket der isset und trincket ihm selber das gerichte damit das er nicht unterscheidet den leib des herrn
