doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kirchner_fallstricke_1572,head,0,0,True,,Von den FALLSTRICKEN Etlicher newer Sacramentſchwermer zu Wittenberg / im newen Bekentnis / liſtiglich verſtecket / die Welt damit zuberücken und zuuerfüren. Erinnerung und Warnung/ Durch die Theologen zu Jhena. Gedruckt zu Jhena Anno M.D.LXXII.,von den fallstricken etlicher newer sacramentſchwermer zu wittenberg im newen bekentnis liſtiglich verſtecket die welt damit zuberücken und zuuerfüren erinnerung und warnung durch die theologen zu jhena gedruckt zu jhena anno m d lxxii,uon den fallstricken etlicher newer sacramentschwermer zu wittenberg im newen bekentnis listiglich uerstecket die welt damit zuberucken und zuuerfuren erinnerung und warnung durch die theologen zu ihena gedruckt zu ihena anno m d lxxii
kirchner_fallstricke_1572,head,1,0,True,3,Von den FALLSTRICKEN Etlicher newer Sacramentschwermer zu Wittenberg / im newen Bekentnis listiglich verstecket / die Welt damit zuberücken vnd zuuerfüren.,von den fallstricken etlicher newer sacramentschwermer zu wittenberg im newen bekentnis listiglich verstecket die welt damit zuberücken vnd zuuerfüren,uon den fallstricken etlicher newer sacramentschwermer zu wittenberg im newen bekentnis listiglich uerstecket die welt damit zuberucken und zuuerfuren
kirchner_fallstricke_1572,head,2,0,True,3,Erinnerung vnd Warnung.,erinnerung vnd warnung,erinnerung und warnung
kirchner_fallstricke_1572,body,3,0,False,3,"DEr Bapst zu Rom / hat die se Autoritet vnnd ansehen in der gantzen Christen heit auff Erden haben wollen / Was er redete / setzete / ordnete / ausschriebe / geböte / solte kein En gel im Himel oder Mensche auff Erden macht haben zustraffen / vnd da er gleich / wie seine Drecket brüllen / vnzeliche Seelen in Abgrund der Hellen fürete / solte doch niemand sagen / Papa, quid facis?",der bapst zu rom hat die se autoritet vnnd ansehen in der gantzen christen heit auff erden haben wollen was er redete setzete ordnete ausschriebe geböte solte kein en gel im himel oder mensche auff erden macht haben zustraffen vnd da er gleich wie seine drecket brüllen vnzeliche seelen in abgrund der hellen fürete solte doch niemand sagen papa quid facis,der bapst zu rom hat die se autoritet unnd ansehen in der gantzen christen heit auff erden haben wollen was er redete setzete ordnete ausschriebe gebote solte kein en gel im himel oder mensche auff erden macht haben zustraffen und da er gleich wie seine drecket brullen unzeliche seelen in abgrund der hellen furete solte doch niemand sagen papa quid facis
kirchner_fallstricke_1572,body,3,1,False,3,Ey Bepstlin / was machstu da?,ey bepstlin was machstu da,ey bepstlin was machstu da
kirchner_fallstricke_1572,body,3,2,False,3,Was gibstu für?,was gibstu für,was gibstu fur
kirchner_fallstricke_1572,body,3,3,True,3,Was rich testu doch an?,was rich testu doch an,was rich testu doch an
kirchner_fallstricke_1572,body,4,0,True,4,AVff solche weise hat er etliche hundert jar / mit grausamer gewalt / vnmenschlicher hoffart / vnd schrecklichen straffen / mit Bann vnd blutfliessenden Kriegen / viel hundert tausent Seelen vntergedrucket / vnd allen Mutwillen geübet.,avff solche weise hat er etliche hundert jar mit grausamer gewalt vnmenschlicher hoffart vnd schrecklichen straffen mit bann vnd blutfliessenden kriegen viel hundert tausent seelen vntergedrucket vnd allen mutwillen geübet,auff solche weise hat er etliche hundert iar mit grausamer gewalt unmenschlicher hoffart und schrecklichen straffen mit bann und blutfliessenden kriegen uiel hundert tausent seelen untergedrucket und allen mutwillen geubet
kirchner_fallstricke_1572,body,5,0,False,4,ABer der man Gottes D. Luther / ist der Clamant vnd ruffende Engel gewesen / welcher aus der Bibel geschrien / vnd in die gantze Welt verkündigt / das ein jedlicher Christe / one alle vnterscheid der Personen / guten fug / recht / macht vnd gewalt habe / allerley lere / die man in der Welt höret / lieset / vernimpt / nach der geraden Richtschnur des Göttlichen Worts zu vrteilen vnd zurichten / das böse freidiglich zu verwerffen / vnd das gute zu loben.,aber der man gottes d luther ist der clamant vnd ruffende engel gewesen welcher aus der bibel geschrien vnd in die gantze welt verkündigt das ein jedlicher christe one alle vnterscheid der personen guten fug recht macht vnd gewalt habe allerley lere die man in der welt höret lieset vernimpt nach der geraden richtschnur des göttlichen worts zu vrteilen vnd zurichten das böse freidiglich zu verwerffen vnd das gute zu loben,aber der man gottes d luther ist der clamant und ruffende engel gewesen welcher aus der bibel geschrien und in die gantze welt uerkundigt das ein iedlicher christe one alle unterscheid der personen guten fug recht macht und gewalt habe allerley lere die man in der welt horet lieset uernimpt nach der geraden richtschnur des gottlichen worts zu urteilen und zurichten das bose freidiglich zu uerwerffen und das gute zu loben
kirchner_fallstricke_1572,body,5,1,True,4,Wie S. Paulus spricht / prüfet alles / das gute behaltet. 1. Thessal. 5.,wie s paulus spricht prüfet alles das gute behaltet thessal,wie s paulus spricht prufet alles das gute behaltet thessal
