doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kirchner_flickwercke_1572,head,0,0,True,1,Vom FLICKWERCK M. Irenaej/ vnd gar vngereimpt/ wider Gottes Wort vnd den Catechismum Lutheri/ er sich unterstehet zubeschönen/der Manicheer Schwermerey. Das Die Erbsünde sey ein Wesen Vnd Wie er aus Thüringen mit seinen Gesellen abgeschieben Warhafftige und gegründete widerlegung und Erinnerung/der Theologen zu Jhena. Gedruckt zu Jhena durch Donarum Richtzenhan/Anno 1572.,vom flickwerck m irenaej vnd gar vngereimpt wider gottes wort vnd den catechismum lutheri er sich unterstehet zubeschönen der manicheer schwermerey das die erbsünde sey ein wesen vnd wie er aus thüringen mit seinen gesellen abgeschieben warhafftige und gegründete widerlegung und erinnerung der theologen zu jhena gedruckt zu jhena durch donarum richtzenhan anno,uom flickwerck m irenaei und gar ungereimpt wider gottes wort und den catechismum lutheri er sich unterstehet zubeschonen der manicheer schwermerey das die erbsunde sey ein wesen und wie er aus thuringen mit seinen gesellen abgeschieben warhafftige und gegrundete widerlegung und erinnerung der theologen zu ihena gedruckt zu ihena durch donarum richtzenhan anno
kirchner_flickwercke_1572,head,1,0,True,2,Vom FLICKWERCKE M. Irenaei / vnd gar vngereimpten / als wider Gottes Wort vnd den Catechismum Lutheri beschönungen der Manicheischen Schwermerey:,vom flickwercke m irenaei vnd gar vngereimpten als wider gottes wort vnd den catechismum lutheri beschönungen der manicheischen schwermerey,uom flickwercke m irenaei und gar ungereimpten als wider gottes wort und den catechismum lutheri beschonungen der manicheischen schwermerey
kirchner_flickwercke_1572,head,2,0,True,2,Als solte Die Erbsünde ein Wesen sein.,als solte die erbsünde ein wesen sein,als solte die erbsunde ein wesen sein
kirchner_flickwercke_1572,head,3,0,True,2,Vnd Wie er mit seinen dreien Gesellen aus Thüringen abgeschieden.,vnd wie er mit seinen dreien gesellen aus thüringen abgeschieden,und wie er mit seinen dreien gesellen aus thuringen abgeschieden
kirchner_flickwercke_1572,body,4,0,False,2,ES schreibet D. Luther von dem abtrünnigen Sacramentschwermer D. Carlstad / da er mit jme zu Ihena hab sprach gehal ten / das er one verzug eilends solchs ausgesprenget / vnd den ersten vorlauff habe gewinnen vnd eriagen wollen.,es schreibet d luther von dem abtrünnigen sacramentschwermer d carlstad da er mit jme zu ihena hab sprach gehal ten das er one verzug eilends solchs ausgesprenget vnd den ersten vorlauff habe gewinnen vnd eriagen wollen,es schreibet d luther uon dem abtrunnigen sacramentschwermer d carlstad da er mit ime zu ihena hab sprach gehal ten das er one uerzug eilends solchs ausgesprenget und den ersten uorlauff habe gewinnen und eriagen wollen
kirchner_flickwercke_1572,body,4,1,False,2,"Aber es gefalle jme solches wol / das er daraus sehe / homines malae fidei & conscientiae metuere sibi, das ist / das die leute / welche jnen selbst nicht trawen vnd ein böse gewissen haben / sich fürchten.",aber es gefalle jme solches wol das er daraus sehe homines malae fidei & conscientiae metuere sibi das ist das die leute welche jnen selbst nicht trawen vnd ein böse gewissen haben sich fürchten,aber es gefalle ime solches wol das er daraus sehe homines malae fidei et conscientiae metuere sibi das ist das die leute welche inen selbst nicht trawen und ein bose gewissen haben sich furchten
kirchner_flickwercke_1572,body,4,2,False,2,Item / Carlstad habe geschrieben an die zu Orlamünde / beide man vnnd frawen / diese wort / vnuerhort / vnd vnüberwunden durch Mart.,item carlstad habe geschrieben an die zu orlamünde beide man vnnd frawen diese wort vnuerhort vnd vnüberwunden durch mart,item carlstad habe geschrieben an die zu orlamunde beide man unnd frawen diese wort unuerhort und unuberwunden durch mart
kirchner_flickwercke_1572,body,4,3,True,2,Luther vertrieben.,luther vertrieben,luther uertrieben
kirchner_flickwercke_1572,body,5,0,False,4,Gleich also hat M. Ireneus geschwind geeilet / das er mit seinem flickwerck / das er hin vnd hehr zusamen compilirt / vnd dem Consistorio zu Ihena auffgedrungen / möchte in den Druck heraus komen / vnd in der gantzen Christenheit ein gerassel anrichten / das ja jederman möchte sehen / wie vnbesonnen vnd gantz tölpisch ja auch wider Got tes Wort vnd den Catechismum Lutheri / er die Manicheische Schwermerey hette verteidigt / die bestendige Warheit angefochten / vnd die Consistoriales / vnd sonderlich die Theologos mit allerley grausamen schmeeworten / lestern / fluchen / verdammungen auffs euserste beklicket vnd hesslich ausgemachet.,gleich also hat m ireneus geschwind geeilet das er mit seinem flickwerck das er hin vnd hehr zusamen compilirt vnd dem consistorio zu ihena auffgedrungen möchte in den druck heraus komen vnd in der gantzen christenheit ein gerassel anrichten das ja jederman möchte sehen wie vnbesonnen vnd gantz tölpisch ja auch wider got tes wort vnd den catechismum lutheri er die manicheische schwermerey hette verteidigt die bestendige warheit angefochten vnd die consistoriales vnd sonderlich die theologos mit allerley grausamen schmeeworten lestern fluchen verdammungen auffs euserste beklicket vnd hesslich ausgemachet,gleich also hat m ireneus geschwind geeilet das er mit seinem flickwerck das er hin und hehr zusamen compilirt und dem consistorio zu ihena auffgedrungen mochte in den druck heraus komen und in der gantzen christenheit ein gerassel anrichten das ia iederman mochte sehen wie unbesonnen und gantz tolpisch ia auch wider got tes wort und den catechismum lutheri er die manicheische schwermerey hette uerteidigt die bestendige warheit angefochten und die consistoriales und sonderlich die theologos mit allerley grausamen schmeeworten lestern fluchen uerdammungen auffs euserste beklicket und hesslich ausgemachet
kirchner_flickwercke_1572,body,5,1,False,4,Denn wer wolte sonsten von M. Ireneo / welcher seines hertzens fromkeit also hat wollen mit der fedder abmahlen / solches wissen oder gleuben Die andern drey Gesellẽ mögen auch etwas am scherffen / damit ja nichts vom sanffmütigen geiste darinnen were / etliche kolen zugeworffen / vnd einen schlag mehr dazu gegeben haben.,denn wer wolte sonsten von m ireneo welcher seines hertzens fromkeit also hat wollen mit der fedder abmahlen solches wissen oder gleuben die andern drey gesellẽ mögen auch etwas am scherffen damit ja nichts vom sanffmütigen geiste darinnen were etliche kolen zugeworffen vnd einen schlag mehr dazu gegeben haben,denn wer wolte sonsten uon m ireneo welcher seines hertzens fromkeit also hat wollen mit der fedder abmahlen solches wissen oder gleuben die andern drey gesellen mogen auch etwas am scherffen damit ia nichts uom sanffmutigen geiste darinnen were etliche kolen zugeworffen und einen schlag mehr dazu gegeben haben
