doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
braunschweig_repetition_1574,head,0,0,True,1,"REPETITION vnd Erklerung Welche gemeine öffentliche Schriffte vnd Confessiones, das rechte Corpus Doctrinae, Das ist / Summarischer Inhalt / Fürbild / vnd Richtschnur der reinen Lehre sein. Sampt angehengter Declaration / von den fürnembsten dieser zeit Controuersijs, oder Religions Streiten. Aus der Fürstlich: Braunschweigischen Kirchen Ordnung genommen / vnd jetzundt für die Kirchen vnd Schulen daselbst insonderheit gedruckt. Heinrichstadt Anno. M. D. LXXIIII.",repetition vnd erklerung welche gemeine öffentliche schriffte vnd confessiones das rechte corpus doctrinae das ist summarischer inhalt fürbild vnd richtschnur der reinen lehre sein sampt angehengter declaration von den fürnembsten dieser zeit controuersijs oder religions streiten aus der fürstlich braunschweigischen kirchen ordnung genommen vnd jetzundt für die kirchen vnd schulen daselbst insonderheit gedruckt heinrichstadt anno m d lxxiiii,repetition und erklerung welche gemeine offentliche schriffte und confessiones das rechte corpus doctrinae das ist summarischer inhalt furbild und richtschnur der reinen lehre sein sampt angehengter declaration uon den furnembsten dieser zeit controuersiis oder religions streiten aus der furstlich braunschweigischen kirchen ordnung genommen und ietzundt fur die kirchen und schulen daselbst insonderheit gedruckt heinrichstadt anno m d lxxiiii
braunschweig_repetition_1574,head,1,0,True,3,An den Christlichen Leser / welchem Warheit vnd Friede / Das ist / Christliche Gottselige Einigkeit in vnd bey reiner Lehre / lieb ist.,an den christlichen leser welchem warheit vnd friede das ist christliche gottselige einigkeit in vnd bey reiner lehre lieb ist,an den christlichen leser welchem warheit und friede das ist christliche gottselige einigkeit in und bey reiner lehre lieb ist
braunschweig_repetition_1574,body,2,0,False,3,WIe hoch der liebe Friede / vnd die liebliche schöne einigkeit / als in der Christlichen Kirchen nützlich / heilsam vnd zur erbawung hochnötig / in der schrifft gerhümet vnd gepreiset werde / zeiget gnugsam an der 133. Psalm / vnd das letzte ernste Fewrige Gebet vnsers einigen waren Hohen Priesters Jesu Christi.,wie hoch der liebe friede vnd die liebliche schöne einigkeit als in der christlichen kirchen nützlich heilsam vnd zur erbawung hochnötig in der schrifft gerhümet vnd gepreiset werde zeiget gnugsam an der psalm vnd das letzte ernste fewrige gebet vnsers einigen waren hohen priesters jesu christi,wie hoch der liebe friede und die liebliche schone einigkeit als in der christlichen kirchen nutzlich heilsam und zur erbawung hochnotig in der schrifft gerhumet und gepreiset werde zeiget gnugsam an der psalm und das letzte ernste fewrige gebet unsers einigen waren hohen priesters iesu christi
braunschweig_repetition_1574,body,2,1,False,4,Joha. 17. Es mus aber nicht solche einigkeit sein / wie falsche Lehrer oder Vbeltheter / sich zur eintracht verbinden / vnd vber einander halten.,joha es mus aber nicht solche einigkeit sein wie falsche lehrer oder vbeltheter sich zur eintracht verbinden vnd vber einander halten,ioha es mus aber nicht solche einigkeit sein wie falsche lehrer oder ubeltheter sich zur eintracht uerbinden und uber einander halten
braunschweig_repetition_1574,body,2,2,False,4,Sapi. 2. Psalm. 2. Denn solche einigkeit sucht vnd helt auch der Sathan in seinem Reich / Luc. 11. Sondern es muss eine einigkeit des Geistes sein / das vnter Lerern vnd Zuhörern sey / wie ein Gott vnd HErr / also auch eine richtige reine / heilsame Lehre / Sacrament vnd Glaube / auff einerley Hoffnung eines Beruffs.,sapi psalm denn solche einigkeit sucht vnd helt auch der sathan in seinem reich luc sondern es muss eine einigkeit des geistes sein das vnter lerern vnd zuhörern sey wie ein gott vnd herr also auch eine richtige reine heilsame lehre sacrament vnd glaube auff einerley hoffnung eines beruffs,sapi psalm denn solche einigkeit sucht und helt auch der sathan in seinem reich luc sondern es muss eine einigkeit des geistes sein das unter lerern und zuhorern sey wie ein gott und herr also auch eine richtige reine heilsame lehre sacrament und glaube auff einerley hoffnung eines beruffs
braunschweig_repetition_1574,body,2,3,False,4,Denn das ist das einige rechte Bandt / eines waren / Gottseligen / bestendigen Friedes.,denn das ist das einige rechte bandt eines waren gottseligen bestendigen friedes,denn das ist das einige rechte bandt eines waren gottseligen bestendigen friedes
braunschweig_repetition_1574,body,2,4,True,4,Ephes. 4.,ephes,ephes
braunschweig_repetition_1574,body,3,0,False,4,"Vnd weil solche einigkeit des Geistes / nach der Schrifft aussage / darin bestehet / das man fest an einander halte / in einem Sinne / vnd in einerley meinung / alzumal einerley Rede führe / vnd nicht spaltung vnter sich sein lasse j. Co. j. Derhalben vnd aus diesem grunde ist vor etlichen Jaren / in angehender Christicher Reformation der Kirchen in diesem löblichẽ Fürstenthumb Braunschweig / mit vorgehabtem Christlichem Rad wol bedacht worden / das ein gewis richtig Corpus Doctrinae, das forma & norma doctrinae, ein Fürbilde vñ Richtschnur der Lere in Kirchẽ vnd Schülen sein solte / allen Pastoribus / Kirchen vnd Schüldienern proponiret solte werden.",vnd weil solche einigkeit des geistes nach der schrifft aussage darin bestehet das man fest an einander halte in einem sinne vnd in einerley meinung alzumal einerley rede führe vnd nicht spaltung vnter sich sein lasse j co j derhalben vnd aus diesem grunde ist vor etlichen jaren in angehender christicher reformation der kirchen in diesem löblichẽ fürstenthumb braunschweig mit vorgehabtem christlichem rad wol bedacht worden das ein gewis richtig corpus doctrinae das forma & norma doctrinae ein fürbilde vñ richtschnur der lere in kirchẽ vnd schülen sein solte allen pastoribus kirchen vnd schüldienern proponiret solte werden,und weil solche einigkeit des geistes nach der schrifft aussage darin bestehet das man fest an einander halte in einem sinne und in einerley meinung alzumal einerley rede fuhre und nicht spaltung unter sich sein lasse i co i derhalben und aus diesem grunde ist uor etlichen iaren in angehender christicher reformation der kirchen in diesem loblichen furstenthumb braunschweig mit uorgehabtem christlichem rad wol bedacht worden das ein gewis richtig corpus doctrinae das forma et norma doctrinae ein furbilde und richtschnur der lere in kirchen und schulen sein solte allen pastoribus kirchen und schuldienern proponiret solte werden
braunschweig_repetition_1574,body,3,1,False,5,"Vñ das solch Corpus Doctrinae, weil es sein sol ein Band gemeiner vereinigung / mit vnd zwischen allen reinen Euangelischẽ Kirchen nicht solten oder köndten sein Priuata scripta, es müste auch nicht etwas sonderlichs oder newes sein / sondern die offentliche gemeine schrifften / so publico nomine gestellet / vñ von allẽ Stenden der Augspür: Confession / als Symbola oder gemeine Confessiones, in den Euangelischen Kirchen / je vnd allwege / approbieret / angenommen / dafür gehalten / vñ gebraucht worden sind.",vñ das solch corpus doctrinae weil es sein sol ein band gemeiner vereinigung mit vnd zwischen allen reinen euangelischẽ kirchen nicht solten oder köndten sein priuata scripta es müste auch nicht etwas sonderlichs oder newes sein sondern die offentliche gemeine schrifften so publico nomine gestellet vñ von allẽ stenden der augspür confession als symbola oder gemeine confessiones in den euangelischen kirchen je vnd allwege approbieret angenommen dafür gehalten vñ gebraucht worden sind,und das solch corpus doctrinae weil es sein sol ein band gemeiner uereinigung mit und zwischen allen reinen euangelischen kirchen nicht solten oder kondten sein priuata scripta es muste auch nicht etwas sonderlichs oder newes sein sondern die offentliche gemeine schrifften so publico nomine gestellet und uon allen stenden der augspur confession als symbola oder gemeine confessiones in den euangelischen kirchen ie und allwege approbieret angenommen dafur gehalten und gebraucht worden sind
braunschweig_repetition_1574,body,3,2,False,6,Als nemlich die einige wahre Richtschnur aller Lehre / die heilige Prophetische vnd Apostolische Schrifft / Altes vnd Newes Testaments.,als nemlich die einige wahre richtschnur aller lehre die heilige prophetische vnd apostolische schrifft altes vnd newes testaments,als nemlich die einige wahre richtschnur aller lehre die heilige prophetische und apostolische schrifft altes und newes testaments
