doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_lesterschrifft_1578,head,0,0,True,1,"Erdichte Leſterſchꝛifft/ Sovnder Doctoris Tilemanni Heshuſij Namen / wider die Formulam Concordiæ, vnd Doctoris Iacobi Andreæ Perſon/vnder volgendem Tittel/durch den Truck außgeſpꝛenget. Ein Epiſtel oder Sendbꝛieff / an den Durchleuchtigen Hochgeboꝛnen Fürſten vnnd Herꝛn/ Herꝛn Julium Hertzogen zu Bꝛaunſchweig/ꝛc. Darinnen D. Iacobus Andreae, nach ſeiner Perſon vnd Lehꝛ / vnnd ſonderlich des jetzund voꝛhabenden löblichen Wercks der Concoꝛdien in den Chꝛiſtlichen Euangeliſchen Kirchen / zum höchſten gelobt vnd entſchuldiget würdt / Wider die jenigen / ſo ſich bißher der geſuchten vnderſchꝛeibung ſolcher Concordien Formulae gewegert/oder jnen ſonſt dieſelbig nicht haben gefallen laſſen. Ime dem Herꝛn Doctoꝛi zu ehꝛen/vnd gemeinen Chꝛiſten zu gutem/von ſeiner ſonderlichen gutem freund einem publicirt/vnd an den tag gegeben. Sampt Warhafftigem Bericht Doctoris Tilemanni Heshusij, darinn er ſich entſchüldiget/ daß er ſelbige Leſterſchꝛifft nicht geſtelt/noch jme belieben laſſe. Geſchꝛieben an Hertzog Julium in Bꝛaunſchweig/ꝛc. 1578.",erdichte leſterſchꝛifft sovnder doctoris tilemanni heshuſij namen wider die formulam concordiæ vnd doctoris iacobi andreæ perſon vnder volgendem tittel durch den truck außgeſpꝛenget ein epiſtel oder sendbꝛieff an den durchleuchtigen hochgeboꝛnen fürſten vnnd herꝛn herꝛn julium hertzogen zu bꝛaunſchweig ꝛc darinnen d iacobus andreae nach ſeiner perſon vnd lehꝛ vnnd ſonderlich des jetzund voꝛhabenden löblichen wercks der concoꝛdien in den chꝛiſtlichen euangeliſchen kirchen zum höchſten gelobt vnd entſchuldiget würdt wider die jenigen ſo ſich bißher der geſuchten vnderſchꝛeibung ſolcher concordien formulae gewegert oder jnen ſonſt dieſelbig nicht haben gefallen laſſen ime dem herꝛn doctoꝛi zu ehꝛen vnd gemeinen chꝛiſten zu gutem von ſeiner ſonderlichen gutem freund einem publicirt vnd an den tag gegeben sampt warhafftigem bericht doctoris tilemanni heshusij darinn er ſich entſchüldiget daß er ſelbige leſterſchꝛifft nicht geſtelt noch jme belieben laſſe geſchꝛieben an hertzog julium in bꝛaunſchweig ꝛc,erdichte lesterschifft sounder doctoris tilemanni heshusii namen wider die formulam concordiae und doctoris iacobi andreae person under uolgendem tittel durch den truck aussgespenget ein epistel oder sendbieff an den durchleuchtigen hochgebonen fursten unnd hern hern iulium hertzogen zu baunschweig c darinnen d iacobus andreae nach seiner person und leh unnd sonderlich des ietzund uohabenden loblichen wercks der concodien in den chistlichen euangelischen kirchen zum hochsten gelobt und entschuldiget wurdt wider die ienigen so sich bissher der gesuchten underscheibung solcher concordien formulae gewegert oder inen sonst dieselbig nicht haben gefallen lassen ime dem hern doctoi zu ehen und gemeinen chisten zu gutem uon seiner sonderlichen gutem freund einem publicirt und an den tag gegeben sampt warhafftigem bericht doctoris tilemanni heshusii darinn er sich entschuldiget dass er selbige lesterschifft nicht gestelt noch ime belieben lasse geschieben an hertzog iulium in baunschweig c
nn_lesterschrifft_1578,head,1,0,True,3,Doctoris Tilemanni Heshusij schreiben an Hertzogen Julium von Braunschweig etc.,doctoris tilemanni heshusij schreiben an hertzogen julium von braunschweig etc,doctoris tilemanni heshusii schreiben an hertzogen iulium uon braunschweig etc
nn_lesterschrifft_1578,body,2,0,False,3,"DVrchleuchtiger Nochgeborner Fürst / E. F. G. seien meine trewhertzige / vnd gantz willige dienste / neben meinem Christlichen Vatter vnser / höchstes trewes fleisses zuuor / Gnediger Herr / Ich kan von wegen der ehr vnd warheit Gottes / auch wegen meines Christlichen Gewissen / E. F. G. von dem greulichẽ vñ gottslesterlichen vorhabẽ D. Iacobi Andreae, sonstẽ Schmidlẽ genant / kurtzen / klaren / deuttlichen / vnd auß Gottes Wort warhafftigen Bericht darzuthun / nicht vmbgehen / wie daß dieser vnuerschembter / frecher / küner Man herumb leufft / die gantze weitte Welt zubereden vnd zubezaubern / als sey er der Man / der Einigkeit vnd Fried in der Christlichen Kirchen anrichten könne vnd wölle / gleichsam als were er der einige hocherleuchte / vnd hochbegabte Man / bey dem Gott in disen letzten / gefehrlichen vnd betrübten zeitten seine Geheimnüß hinderleget hette.",dvrchleuchtiger nochgeborner fürst e f g seien meine trewhertzige vnd gantz willige dienste neben meinem christlichen vatter vnser höchstes trewes fleisses zuuor gnediger herr ich kan von wegen der ehr vnd warheit gottes auch wegen meines christlichen gewissen e f g von dem greulichẽ vñ gottslesterlichen vorhabẽ d iacobi andreae sonstẽ schmidlẽ genant kurtzen klaren deuttlichen vnd auß gottes wort warhafftigen bericht darzuthun nicht vmbgehen wie daß dieser vnuerschembter frecher küner man herumb leufft die gantze weitte welt zubereden vnd zubezaubern als sey er der man der einigkeit vnd fried in der christlichen kirchen anrichten könne vnd wölle gleichsam als were er der einige hocherleuchte vnd hochbegabte man bey dem gott in disen letzten gefehrlichen vnd betrübten zeitten seine geheimnüß hinderleget hette,durchleuchtiger nochgeborner furst e f g seien meine trewhertzige und gantz willige dienste neben meinem christlichen uatter unser hochstes trewes fleisses zuuor gnediger herr ich kan uon wegen der ehr und warheit gottes auch wegen meines christlichen gewissen e f g uon dem greulichen und gottslesterlichen uorhaben d iacobi andreae sonsten schmidlen genant kurtzen klaren deuttlichen und auss gottes wort warhafftigen bericht darzuthun nicht umbgehen wie dass dieser unuerschembter frecher kuner man herumb leufft die gantze weitte welt zubereden und zubezaubern als sey er der man der einigkeit und fried in der christlichen kirchen anrichten konne und wolle gleichsam als were er der einige hocherleuchte und hochbegabte man bey dem gott in disen letzten gefehrlichen und betrubten zeitten seine geheimnuss hinderleget hette
nn_lesterschrifft_1578,body,2,1,False,3,So wissen E. F. G. vnnd sonst meniglich / was für greuliche Irrthumben in Schulen vnd Kirchen / diser frecher / vnuerschembter / küner Man / vor viel langẽ Jaren herein geführet / vnd noch einzuführen sich vnterstehet / der sich keiner Lugen schemet / noch rot würdt / so gar ist kein Scham bey dem Man / auch keiner anderer vrsach halben / als nur auß Ehrgeitz vnd grosser Vermessenheit / in Kirchen vnd Schulen / sich eingeschlichen / eingetrungẽ / vnd auffgeworffen / will anderer Landt Theologen reformiren / da er doch in Vnzucht / Irrthumb / Sünden vñ schanden / biß vber die Ohren steckt / vnd beflecket ist / wie der Gott der Allmechtige / von anbegin der welt / gantze Land vnd Königreich / wegen solcher Baalspfaffen / vnd Fuchsschwentzer / auch begangner vnzucht / greulich gestraffet vnd außgerottet hatt.,so wissen e f g vnnd sonst meniglich was für greuliche irrthumben in schulen vnd kirchen diser frecher vnuerschembter küner man vor viel langẽ jaren herein geführet vnd noch einzuführen sich vnterstehet der sich keiner lugen schemet noch rot würdt so gar ist kein scham bey dem man auch keiner anderer vrsach halben als nur auß ehrgeitz vnd grosser vermessenheit in kirchen vnd schulen sich eingeschlichen eingetrungẽ vnd auffgeworffen will anderer landt theologen reformiren da er doch in vnzucht irrthumb sünden vñ schanden biß vber die ohren steckt vnd beflecket ist wie der gott der allmechtige von anbegin der welt gantze land vnd königreich wegen solcher baalspfaffen vnd fuchsschwentzer auch begangner vnzucht greulich gestraffet vnd außgerottet hatt,so wissen e f g unnd sonst meniglich was fur greuliche irrthumben in schulen und kirchen diser frecher unuerschembter kuner man uor uiel langen iaren herein gefuhret und noch einzufuhren sich unterstehet der sich keiner lugen schemet noch rot wurdt so gar ist kein scham bey dem man auch keiner anderer ursach halben als nur auss ehrgeitz und grosser uermessenheit in kirchen und schulen sich eingeschlichen eingetrungen und auffgeworffen will anderer landt theologen reformiren da er doch in unzucht irrthumb sunden und schanden biss uber die ohren steckt und beflecket ist wie der gott der allmechtige uon anbegin der welt gantze land und konigreich wegen solcher baalspfaffen und fuchsschwentzer auch begangner unzucht greulich gestraffet und aussgerottet hatt
nn_lesterschrifft_1578,body,2,2,False,2,So seind auch schon nun hin vnd wider allerley grewliche Straffen vorhanden / darmit Gott der Herr anzeigen will / daß wir Teutschen die Augen auffthun / vñ vns dieselbige durch Lugẽhafftige Meuler nicht bezaubern noch begaucklen sollen lassen.,so seind auch schon nun hin vnd wider allerley grewliche straffen vorhanden darmit gott der herr anzeigen will daß wir teutschen die augen auffthun vñ vns dieselbige durch lugẽhafftige meuler nicht bezaubern noch begaucklen sollen lassen,so seind auch schon nun hin und wider allerley grewliche straffen uorhanden darmit gott der herr anzeigen will dass wir teutschen die augen auffthun und uns dieselbige durch lugenhafftige meuler nicht bezaubern noch begaucklen sollen lassen
nn_lesterschrifft_1578,body,2,3,False,2,Es wöllen doch E. F. G. nur ein wenig zu ruck dencken / so werden sie in der warheit befinden / wie dieser frecher / vñ vnuerschembter / küner Man / Anno 1570. gleicher gestalt herumb geschwermet vnd gelauffen / vnd noch thut / wie die rechtẽ Zügeuner.,es wöllen doch e f g nur ein wenig zu ruck dencken so werden sie in der warheit befinden wie dieser frecher vñ vnuerschembter küner man anno gleicher gestalt herumb geschwermet vnd gelauffen vnd noch thut wie die rechtẽ zügeuner,es wollen doch e f g nur ein wenig zu ruck dencken so werden sie in der warheit befinden wie dieser frecher und unuerschembter kuner man anno gleicher gestalt herumb geschwermet und gelauffen und noch thut wie die rechten zugeuner
nn_lesterschrifft_1578,body,2,4,False,2,Dañ er vorgab / er were in der gantzen weittẽ welt herumb gezogen / da hette er eitel Einigkeit in der Lehr / beides vnter Papisten im Land zu Baiern / Osiandristen / Schwenckfeldischen / vñ dergleichen Sectirern / befundẽ / etc.,dañ er vorgab er were in der gantzen weittẽ welt herumb gezogen da hette er eitel einigkeit in der lehr beides vnter papisten im land zu baiern osiandristen schwenckfeldischen vñ dergleichen sectirern befundẽ etc,dann er uorgab er were in der gantzen weitten welt herumb gezogen da hette er eitel einigkeit in der lehr beides unter papisten im land zu baiern osiandristen schwenckfeldischen und dergleichen sectirern befunden etc
nn_lesterschrifft_1578,body,2,5,True,2,Seind das nit grewliche / scheutzliche Lügen / solche Irrthum̃ zubemänteln vñ zuuertüschen?,seind das nit grewliche scheutzliche lügen solche irrthum̃ zubemänteln vñ zuuertüschen,seind das nit grewliche scheutzliche lugen solche irrthumm zubemanteln und zuuertuschen
nn_lesterschrifft_1578,body,3,0,False,2,Aber G. F. vnd Herr / es lasset sich ansehen / daß D. Iacob die Weissagung Lutheri in der Vorrede Danielis will helffẽ befürdern: Die Welt würdt so gar Epicurisch werden / daß man in aller Welt keinen offentlichen Predigstul haben / vnd eitel Epicurische Grewel / die öffentliche redesein würdt / ettliche nennen es ein geselligen Glauben.,aber g f vnd herr es lasset sich ansehen daß d iacob die weissagung lutheri in der vorrede danielis will helffẽ befürdern die welt würdt so gar epicurisch werden daß man in aller welt keinen offentlichen predigstul haben vnd eitel epicurische grewel die öffentliche redesein würdt ettliche nennen es ein geselligen glauben,aber g f und herr es lasset sich ansehen dass d iacob die weissagung lutheri in der uorrede danielis will helffen befurdern die welt wurdt so gar epicurisch werden dass man in aller welt keinen offentlichen predigstul haben und eitel epicurische grewel die offentliche redesein wurdt ettliche nennen es ein geselligen glauben
nn_lesterschrifft_1578,body,3,1,False,2,O Jesu Christe / bewahre vns / vnd vnsere Kindlein / komme ja bald mit deinem frölichen tage.,o jesu christe bewahre vns vnd vnsere kindlein komme ja bald mit deinem frölichen tage,o iesu christe bewahre uns und unsere kindlein komme ia bald mit deinem frolichen tage
