doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_braunschweig_1579,head,0,0,True,titlepage,Der Stadt Braünſchweig Ordnunge/jre Chriſtliche Religion / auch allerhandt Criminal / Straff vnd Policey ſachen betreffendt. Beradtſchlagt vnd eindrechtiglich bewilligt vnd angenomen von einem Erbarn Rathe/ Rathsgeſchworen/ Zehenmannen/ Geſchickten/ Gildemeiſtern vnd Haubtleuten der Stadt Braunſchweig/ vor ſich vnd von wegen der gantzen gemeinen Bürgerſchafft darſelbſt. Nach Jheſu Chriſti unſers HERREN und Seligmachers Geburt/im Fünfftzehenhundert Neun und Siebentzigſten Jare / Donnerſtags nach Lichtmeſſen.,der stadt braünſchweig ordnunge jre chriſtliche religion auch allerhandt criminal straff vnd policey ſachen betreffendt beradtſchlagt vnd eindrechtiglich bewilligt vnd angenomen von einem erbarn rathe rathsgeſchworen zehenmannen geſchickten gildemeiſtern vnd haubtleuten der stadt braunſchweig vor ſich vnd von wegen der gantzen gemeinen bürgerſchafft darſelbſt nach jheſu chriſti unſers herren und seligmachers geburt im fünfftzehenhundert neun und siebentzigſten jare donnerſtags nach lichtmeſſen,der stadt braunschweig ordnunge ire christliche religion auch allerhandt criminal straff und policey sachen betreffendt beradtschlagt und eindrechtiglich bewilligt und angenomen uon einem erbarn rathe rathsgeschworen zehenmannen geschickten gildemeistern und haubtleuten der stadt braunschweig uor sich und uon wegen der gantzen gemeinen burgerschafft darselbst nach ihesu christi unsers herren und seligmachers geburt im funfftzehenhundert neun und siebentzigsten iare donnerstags nach lichtmessen
nn_braunschweig_1579,body,1,0,False,2,WIr Bürger meistere vnd Rathmanne der Stadt Braunschweig / thun hiemit kundt vnd zu wissen / das wir diese volgende Ordnunge / vnsere Christliche angenommen Religion / auch straff vnd Policey sachen betreffendt / aus Gottes worte vnd Göttlichen gebotten / aus bewerten Keiserlichen vnd Sechsischen / auch vnser Stad althergebrachten Statuten / rechten vnd löblichen gewonheiten / zusamen ziehen / vnd in eine zimliche ordnunge vor dero zeit bringen / vnd dieselben in jchtwas jtzo erkleren vnd vorbessern lassen haben.,wir bürger meistere vnd rathmanne der stadt braunschweig thun hiemit kundt vnd zu wissen das wir diese volgende ordnunge vnsere christliche angenommen religion auch straff vnd policey sachen betreffendt aus gottes worte vnd göttlichen gebotten aus bewerten keiserlichen vnd sechsischen auch vnser stad althergebrachten statuten rechten vnd löblichen gewonheiten zusamen ziehen vnd in eine zimliche ordnunge vor dero zeit bringen vnd dieselben in jchtwas jtzo erkleren vnd vorbessern lassen haben,wir burger meistere und rathmanne der stadt braunschweig thun hiemit kundt und zu wissen das wir diese uolgende ordnunge unsere christliche angenommen religion auch straff und policey sachen betreffendt aus gottes worte und gottlichen gebotten aus bewerten keiserlichen und sechsischen auch unser stad althergebrachten statuten rechten und loblichen gewonheiten zusamen ziehen und in eine zimliche ordnunge uor dero zeit bringen und dieselben in ichtwas itzo erkleren und uorbessern lassen haben
nn_braunschweig_1579,body,1,1,True,2,Vnd ist vnser ernstlicher befehl / vnd wollen / das diese Ordnunge hinfüro in vnser Stadt / steiff / veste vnd vnuorbrochen obseruiert vnd gehalten werden solle.,vnd ist vnser ernstlicher befehl vnd wollen das diese ordnunge hinfüro in vnser stadt steiff veste vnd vnuorbrochen obseruiert vnd gehalten werden solle,und ist unser ernstlicher befehl und wollen das diese ordnunge hinfuro in unser stadt steiff ueste und unuorbrochen obseruiert und gehalten werden solle
nn_braunschweig_1579,head,2,0,True,4,Setzen vnd ordenen demnach wie folget.,setzen vnd ordenen demnach wie folget,setzen und ordenen demnach wie folget
nn_braunschweig_1579,head,3,0,True,4,TITVLVS 1.,titvlvs,titulus
nn_braunschweig_1579,head,4,0,True,4,Von der Christlichen Religion.,von der christlichen religion,uon der christlichen religion
nn_braunschweig_1579,body,5,0,True,4,WO jemandts in der Stadt Braunschweig betroffen vnd gefunden würde / dem die Articul vnsers Christlichen Glaubens nicht bekant noch wisslich weren / vnd er dieselben zu lernen / vorechtlich vnterliesse / der solt in der Stadt nicht geduldet noch gelidden werden / bis so lange er sich der gebür nach / leren vnd vnterrichten liesse.,wo jemandts in der stadt braunschweig betroffen vnd gefunden würde dem die articul vnsers christlichen glaubens nicht bekant noch wisslich weren vnd er dieselben zu lernen vorechtlich vnterliesse der solt in der stadt nicht geduldet noch gelidden werden bis so lange er sich der gebür nach leren vnd vnterrichten liesse,wo iemandts in der stadt braunschweig betroffen und gefunden wurde dem die articul unsers christlichen glaubens nicht bekant noch wisslich weren und er dieselben zu lernen uorechtlich unterliesse der solt in der stadt nicht geduldet noch gelidden werden bis so lange er sich der gebur nach leren und unterrichten liesse
nn_braunschweig_1579,body,6,0,True,4,ALle die in vnser Stadt wonen / vnd sich wesentlich enthalten wollen / sollen sich Christlicher Lere vnd lebens befleissigen / vnd daran keinen gebrech oder mangel (der aus vorachtunge oder mutwillen herflösse) erscheinen oder befinden lassen / sonsten solten sie aus der Stadt vorweiset vnd allhie nicht gedüldet werden.,alle die in vnser stadt wonen vnd sich wesentlich enthalten wollen sollen sich christlicher lere vnd lebens befleissigen vnd daran keinen gebrech oder mangel der aus vorachtunge oder mutwillen herflösse erscheinen oder befinden lassen sonsten solten sie aus der stadt vorweiset vnd allhie nicht gedüldet werden,alle die in unser stadt wonen und sich wesentlich enthalten wollen sollen sich christlicher lere und lebens befleissigen und daran keinen gebrech oder mangel der aus uorachtunge oder mutwillen herflosse erscheinen oder befinden lassen sonsten solten sie aus der stadt uorweiset und allhie nicht geduldet werden
nn_braunschweig_1579,body,7,0,False,3,"DIe Lehr aber / darnach sich alle vnser Stadt Bürger vnd Einwoner richten vnd halten sollen / sol den heiligen Göttlichen / Prophetischen vnd Apostolischen schrifften / den dreien Symbolis, als dem Apostolico, Niceno vnd des heiligen Ambrosij vnd Augustini gemess sein / wie die alle zusamen in der Augspurgischen Confeßion Anno 1530. auffs kürtzte vorfasset / der Röm. Kei.",die lehr aber darnach sich alle vnser stadt bürger vnd einwoner richten vnd halten sollen sol den heiligen göttlichen prophetischen vnd apostolischen schrifften den dreien symbolis als dem apostolico niceno vnd des heiligen ambrosij vnd augustini gemess sein wie die alle zusamen in der augspurgischen confeßion anno auffs kürtzte vorfasset der röm kei,die lehr aber darnach sich alle unser stadt burger und einwoner richten und halten sollen sol den heiligen gottlichen prophetischen und apostolischen schrifften den dreien symbolis als dem apostolico niceno und des heiligen ambrosii und augustini gemess sein wie die alle zusamen in der augspurgischen confession anno auffs kurtzte uorfasset der rom kei
nn_braunschweig_1579,body,7,1,True,3,"Ma. auff dem Reichs tage zu Augspurg vberantwort / vnd bisshero in den reinen Kirchen dieser Sechsischen lande erhalten vnd blieben sein / sampt der Apologia, so kurtz darauff gestelt / vnd in öffentlichen Druck ist ausgangen.",ma auff dem reichs tage zu augspurg vberantwort vnd bisshero in den reinen kirchen dieser sechsischen lande erhalten vnd blieben sein sampt der apologia so kurtz darauff gestelt vnd in öffentlichen druck ist ausgangen,ma auff dem reichs tage zu augspurg uberantwort und bisshero in den reinen kirchen dieser sechsischen lande erhalten und blieben sein sampt der apologia so kurtz darauff gestelt und in offentlichen druck ist ausgangen
