doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
hesshus_eheverloebnisse_1583,head,0,0,True,1,Von Eheuerlöbniſſen / vnd verbotenen Gradibus. Wie nahe / vnd fern der Verwandnis ein Chriſt mit gutem Gewiſſen/ freien möge. Durch Tilemanum Heshuſium Doctorem. M. D. LXXXIII.,von eheuerlöbniſſen vnd verbotenen gradibus wie nahe vnd fern der verwandnis ein chriſt mit gutem gewiſſen freien möge durch tilemanum heshuſium doctorem m d lxxxiii,uon eheuerlobnissen und uerbotenen gradibus wie nahe und fern der uerwandnis ein christ mit gutem gewissen freien moge durch tilemanum heshusium doctorem m d lxxxiii
hesshus_eheverloebnisse_1583,head,1,0,True,3,Den Ehrwirdigen / Wirdigen / vnd Wolgelarten Ehrn Ertzpriestern / Pharherrn / vnd Seelsorgern / im Fürstenthumb Preussen / meinen lieben Herrn / vnd Brüdern in Christo.,den ehrwirdigen wirdigen vnd wolgelarten ehrn ertzpriestern pharherrn vnd seelsorgern im fürstenthumb preussen meinen lieben herrn vnd brüdern in christo,den ehrwirdigen wirdigen und wolgelarten ehrn ertzpriestern pharherrn und seelsorgern im furstenthumb preussen meinen lieben herrn und brudern in christo
hesshus_eheverloebnisse_1583,body,2,0,False,3,GOTtes Gnade / Friede vnd Segen / durch Jhesum Christum seinen eingebornen Son vnsern HErrn / vnd trewen Heiland zuuor.,gottes gnade friede vnd segen durch jhesum christum seinen eingebornen son vnsern herrn vnd trewen heiland zuuor,gottes gnade friede und segen durch ihesum christum seinen eingebornen son unsern herrn und trewen heiland zuuor
hesshus_eheverloebnisse_1583,body,2,1,False,3,Ehrwirdige liebe Herrn / vnd Brüder.,ehrwirdige liebe herrn vnd brüder,ehrwirdige liebe herrn und bruder
hesshus_eheverloebnisse_1583,body,2,2,False,3,In der Gemeine Jesu Christi sol der Ehestand heilig / vnd ehrlich gehalten werden / denn er ist Gottes Ordnung / von jm selbs gestifftet / vnd gesegnet.,in der gemeine jesu christi sol der ehestand heilig vnd ehrlich gehalten werden denn er ist gottes ordnung von jm selbs gestifftet vnd gesegnet,in der gemeine iesu christi sol der ehestand heilig und ehrlich gehalten werden denn er ist gottes ordnung uon im selbs gestifftet und gesegnet
hesshus_eheverloebnisse_1583,body,2,3,False,3,Vnd wie Gott ein keuscher / heiliger / vnd reiner Geist ist / also wil er auch das seine Christen / als seine Kinder keusch / vnd heilig leben / vnd sich von aller Vnzucht / vnd Vnreinigkeit enthalten sollen.,vnd wie gott ein keuscher heiliger vnd reiner geist ist also wil er auch das seine christen als seine kinder keusch vnd heilig leben vnd sich von aller vnzucht vnd vnreinigkeit enthalten sollen,und wie gott ein keuscher heiliger und reiner geist ist also wil er auch das seine christen als seine kinder keusch und heilig leben und sich uon aller unzucht und unreinigkeit enthalten sollen
hesshus_eheverloebnisse_1583,body,2,4,False,3,Nicht allein Gottes helles Wort / sondern auch die Historia der gantzen Welt / vnd teglich erfahrung zeuget / wie schrecklich Gott wider alle Vnzucht / Blutschande / vnd verbotene Vermischung zürnet / vnd so wol mit der ewigen Verdamnis drawet / als mit mancherley schweren zeitlichen plagen straffet.,nicht allein gottes helles wort sondern auch die historia der gantzen welt vnd teglich erfahrung zeuget wie schrecklich gott wider alle vnzucht blutschande vnd verbotene vermischung zürnet vnd so wol mit der ewigen verdamnis drawet als mit mancherley schweren zeitlichen plagen straffet,nicht allein gottes helles wort sondern auch die historia der gantzen welt und teglich erfahrung zeuget wie schrecklich gott wider alle unzucht blutschande und uerbotene uermischung zurnet und so wol mit der ewigen uerdamnis drawet als mit mancherley schweren zeitlichen plagen straffet
hesshus_eheverloebnisse_1583,body,2,5,False,4,Derwegen gebüret vns Predigern / vnd Dienern Göttliches Worts / das wir vnsere befohlene Schefflin vom heiligen Ehestande trewlich vnd fleissig vnterrichten / Gottes befehl jnen verkündigen / seinen Zorn wider allerley Vnzucht / mit ernst fürhalten / vnd jedermenniglich zu Zucht / vnd Erbarkeit vermanen / damit Gottes Name bey vns nicht gelestert / die grossen schweren Landstraffen durch die grewliche Laster der Vnzucht nicht geheuffet / vnd die tegliche Anruffung / so aus reinen vnbefleckten Gewissen geschehen sol / nicht verhindert werde.,derwegen gebüret vns predigern vnd dienern göttliches worts das wir vnsere befohlene schefflin vom heiligen ehestande trewlich vnd fleissig vnterrichten gottes befehl jnen verkündigen seinen zorn wider allerley vnzucht mit ernst fürhalten vnd jedermenniglich zu zucht vnd erbarkeit vermanen damit gottes name bey vns nicht gelestert die grossen schweren landstraffen durch die grewliche laster der vnzucht nicht geheuffet vnd die tegliche anruffung so aus reinen vnbefleckten gewissen geschehen sol nicht verhindert werde,derwegen geburet uns predigern und dienern gottliches worts das wir unsere befohlene schefflin uom heiligen ehestande trewlich und fleissig unterrichten gottes befehl inen uerkundigen seinen zorn wider allerley unzucht mit ernst furhalten und iedermenniglich zu zucht und erbarkeit uermanen damit gottes name bey uns nicht gelestert die grossen schweren landstraffen durch die grewliche laster der unzucht nicht geheuffet und die tegliche anruffung so aus reinen unbefleckten gewissen geschehen sol nicht uerhindert werde
hesshus_eheverloebnisse_1583,body,2,6,False,4,Trewe Gottselige Pfarherr sollen jrer Gemeine den hohen Spruch Christi offt fürtragen / Matth. 5. Selig sind die reines Hertzens sind / denn sie werden Gott schawen / Daraus folget / das die / so vnzüchtige / vnreine Hertzen / vnd Gewissen haben / Gott nicht schawen / sondern mit blindheit sollen geschlagen werden.,trewe gottselige pfarherr sollen jrer gemeine den hohen spruch christi offt fürtragen matth selig sind die reines hertzens sind denn sie werden gott schawen daraus folget das die so vnzüchtige vnreine hertzen vnd gewissen haben gott nicht schawen sondern mit blindheit sollen geschlagen werden,trewe gottselige pfarherr sollen irer gemeine den hohen spruch christi offt furtragen matth selig sind die reines hertzens sind denn sie werden gott schawen daraus folget das die so unzuchtige unreine hertzen und gewissen haben gott nicht schawen sondern mit blindheit sollen geschlagen werden
hesshus_eheverloebnisse_1583,body,2,7,True,4,Auch spricht die Epistel zun Hebreern / Die Hurer / vnd Ehebrecher / wird Gott richten.,auch spricht die epistel zun hebreern die hurer vnd ehebrecher wird gott richten,auch spricht die epistel zun hebreern die hurer und ehebrecher wird gott richten
