doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kirchner_argument_1584,head,0,0,True,3,Das die zwey vnd viertzig Anhaltiche Argument/wider der Ubiquisten Trewme/noch fest stehen/ Notwendige verantwortung uff das vierte Capitel der vermeinten Apologien/ zu Erfurd im Weinfass/ von dreien Theologen/ D. Timotheo Kirchner/ D. Nicolao Selnecker/ vnd D. Martino Chemnitio verfasset. Gestelt durch die Kirchendiener im Fürstenthumb Anhalt/zu befürderung der warheit/vnd ableinung der Calumnien. Gedruckt zu Zerbst/ Durch Bonauentur Schmidt/ M. D. LXXXIIII.,das die zwey vnd viertzig anhaltiche argument wider der ubiquisten trewme noch fest stehen notwendige verantwortung uff das vierte capitel der vermeinten apologien zu erfurd im weinfass von dreien theologen d timotheo kirchner d nicolao selnecker vnd d martino chemnitio verfasset gestelt durch die kirchendiener im fürstenthumb anhalt zu befürderung der warheit vnd ableinung der calumnien gedruckt zu zerbst durch bonauentur schmidt m d lxxxiiii,das die zwey und uiertzig anhaltiche argument wider der ubiquisten trewme noch fest stehen notwendige uerantwortung uff das uierte capitel der uermeinten apologien zu erfurd im weinfass uon dreien theologen d timotheo kirchner d nicolao selnecker und d martino chemnitio uerfasset gestelt durch die kirchendiener im furstenthumb anhalt zu befurderung der warheit und ableinung der calumnien gedruckt zu zerbst durch bonauentur schmidt m d lxxxiiii
kirchner_argument_1584,head,1,0,False,3,"Augustinus, vt habetur in can.",augustinus vt habetur in can,augustinus ut habetur in can
kirchner_argument_1584,head,1,1,True,3,Quisquis. 11. quaest. 3.,quisquis quaest,quisquis quaest
kirchner_argument_1584,body,2,0,True,3,"Quisquis metu cuiuslibet potestatis veritatem occultat, iram Dei super se prouocat: quia magis timet hominem, quàm Deum.",quisquis metu cuiuslibet potestatis veritatem occultat iram dei super se prouocat quia magis timet hominem quàm deum,quisquis metu cuiuslibet potestatis ueritatem occultat iram dei super se prouocat quia magis timet hominem quam deum
kirchner_argument_1584,body,3,0,True,3,"Et post pauca: Vterque reus est, & qui veritatem occultat, & qui mendacium dicit: quia & ille prodesse non vult, & iste nocere desiderat.",et post pauca vterque reus est & qui veritatem occultat & qui mendacium dicit quia & ille prodesse non vult & iste nocere desiderat,et post pauca uterque reus est et qui ueritatem occultat et qui mendacium dicit quia et ille prodesse non uult et iste nocere desiderat
kirchner_argument_1584,body,4,0,False,3,"Item Chrysostomus, vt citatur in can.",item chrysostomus vt citatur in can,item chrysostomus ut citatur in can
kirchner_argument_1584,body,4,1,True,3,"Nolite. 11. quaest. 3. Non solùm ille proditor est veritatis, qui transgrediens veritatem, palàm pro veritate mendacium loquitur: sed etiam ille, qui non liberè pronunciat veritatem, quam liberè pronunciare oportet: aut non liberè veritatem defendit, quam liberè defendere conuenit.",nolite quaest non solùm ille proditor est veritatis qui transgrediens veritatem palàm pro veritate mendacium loquitur sed etiam ille qui non liberè pronunciat veritatem quam liberè pronunciare oportet aut non liberè veritatem defendit quam liberè defendere conuenit,nolite quaest non solum ille proditor est ueritatis qui transgrediens ueritatem palam pro ueritate mendacium loquitur sed etiam ille qui non libere pronunciat ueritatem quam libere pronunciare oportet aut non libere ueritatem defendit quam libere defendere conuenit
kirchner_argument_1584,head,5,0,True,1,Im̃ Yamen der heiligen Dreyfaltigkeit.,im̃ yamen der heiligen dreyfaltigkeit,imm yamen der heiligen dreyfaltigkeit
kirchner_argument_1584,body,6,0,True,1,ANfenglich dancken wir dem ewigen Gott / vnd Vater vnsers HErrn / vnd Heilands Jesu Christi / das er nach seiner väterlichen güte / vnd barmhertzigkeit die vorgefallene hochwichtige Disputation von der heiligen ewigen Person / vnd Maiestet seines geliebten / eingebornen Sons / vnsers warhafftigen / vnd einigen helffers Jesu Christi / dermassen gnedigst regirt / vnd gemittelt / das bishero nicht allein vielen Christlichen hertzen / das licht der warheit auffgangen / sondern auch die Durchleuchtigsten / vnd Durchleuchten Hochgebornen Chur / vnd Fürsten numehr algemach den betrug etlicher Theologen mercken / vnd nach dem hiebeuor jre Chur / vnd Fürstliche Gnaden mit listen hindergangen / jtzo die Apologiam des also genanten Concordi Buchs / nicht wie zuuor / in jrer / der Chur / vnd Fürstlichen Durchleuchtigkeit / sondern allein in der dreyen verfasser namen (wie billig) vff jr eigen verantwortung / haben publiciren / vnd ausgehen lassen.,anfenglich dancken wir dem ewigen gott vnd vater vnsers herrn vnd heilands jesu christi das er nach seiner väterlichen güte vnd barmhertzigkeit die vorgefallene hochwichtige disputation von der heiligen ewigen person vnd maiestet seines geliebten eingebornen sons vnsers warhafftigen vnd einigen helffers jesu christi dermassen gnedigst regirt vnd gemittelt das bishero nicht allein vielen christlichen hertzen das licht der warheit auffgangen sondern auch die durchleuchtigsten vnd durchleuchten hochgebornen chur vnd fürsten numehr algemach den betrug etlicher theologen mercken vnd nach dem hiebeuor jre chur vnd fürstliche gnaden mit listen hindergangen jtzo die apologiam des also genanten concordi buchs nicht wie zuuor in jrer der chur vnd fürstlichen durchleuchtigkeit sondern allein in der dreyen verfasser namen wie billig vff jr eigen verantwortung haben publiciren vnd ausgehen lassen,anfenglich dancken wir dem ewigen gott und uater unsers herrn und heilands iesu christi das er nach seiner uaterlichen gute und barmhertzigkeit die uorgefallene hochwichtige disputation uon der heiligen ewigen person und maiestet seines geliebten eingebornen sons unsers warhafftigen und einigen helffers iesu christi dermassen gnedigst regirt und gemittelt das bishero nicht allein uielen christlichen hertzen das licht der warheit auffgangen sondern auch die durchleuchtigsten und durchleuchten hochgebornen chur und fursten numehr algemach den betrug etlicher theologen mercken und nach dem hiebeuor ire chur und furstliche gnaden mit listen hindergangen itzo die apologiam des also genanten concordi buchs nicht wie zuuor in irer der chur und furstlichen durchleuchtigkeit sondern allein in der dreyen uerfasser namen wie billig uff ir eigen uerantwortung haben publiciren und ausgehen lassen
kirchner_argument_1584,body,7,0,True,1,DEnn freilich hiedurch allen fromen hertzen / vnd liebhabern der warheit gute hoffnung gemacht / das der allmechtige / als ein Brunquell / vnd Vater alles lichts / vnd warheit / ferner die Hochlöbliche Heupter / vnd Regenten Deutscher Nation / gnedigst werde erleuchten / vnd wie der Apostel sagt / 1. Petri 5. volbereiten / stercken / krefftigen / gründen / damit sie nach dem exempel Constantini / Theodosij / vnd anderer grossen Helden / die Göttliche warheit so viel desto mehr befürdern helffen / je gröber die Irthumb gewesen / welche durch misbrauch jrer lindigkeit bisher von wenig eigensinnigen Lerern böslich ausgestrewet / vnd mit vngrunde verteidinget worden sind.,denn freilich hiedurch allen fromen hertzen vnd liebhabern der warheit gute hoffnung gemacht das der allmechtige als ein brunquell vnd vater alles lichts vnd warheit ferner die hochlöbliche heupter vnd regenten deutscher nation gnedigst werde erleuchten vnd wie der apostel sagt petri volbereiten stercken krefftigen gründen damit sie nach dem exempel constantini theodosij vnd anderer grossen helden die göttliche warheit so viel desto mehr befürdern helffen je gröber die irthumb gewesen welche durch misbrauch jrer lindigkeit bisher von wenig eigensinnigen lerern böslich ausgestrewet vnd mit vngrunde verteidinget worden sind,denn freilich hiedurch allen fromen hertzen und liebhabern der warheit gute hoffnung gemacht das der allmechtige als ein brunquell und uater alles lichts und warheit ferner die hochlobliche heupter und regenten deutscher nation gnedigst werde erleuchten und wie der apostel sagt petri uolbereiten stercken krefftigen grunden damit sie nach dem exempel constantini theodosii und anderer grossen helden die gottliche warheit so uiel desto mehr befurdern helffen ie grober die irthumb gewesen welche durch misbrauch irer lindigkeit bisher uon wenig eigensinnigen lerern boslich ausgestrewet und mit ungrunde uerteidinget worden sind
kirchner_argument_1584,body,8,0,True,2,Dafur wir denn Gott / wie bisher geschehen / nochmals vmb gnedige vermehrung des lichts zu jrer Chur / vnd Furstlichen Gnaden zeitlichen / vnd ewigen heil / vnd trost / an Leib vnd Seel / tage vnd nacht von hertzen anzuruffen / vnd zu bitten / nicht ablassen wollen / vngezweifelter zuuorsicht / das so vieler Gottseligen / vnd betrübten hertzen embsige / vnd andechtige seufftzen / entlich von dem Almechtigen jrer bitt gewehret / vnd ein hülffe erlangen werden / welche zu seinen Göttlichen ehren / vnd der warhafftigen Kirchen seines lieben Sons ewigen erbawung gereichen wird / das verleihe die heilige Dreyfaltigkeit / hochgelobt in alle ewigkeit / Amen.,dafur wir denn gott wie bisher geschehen nochmals vmb gnedige vermehrung des lichts zu jrer chur vnd furstlichen gnaden zeitlichen vnd ewigen heil vnd trost an leib vnd seel tage vnd nacht von hertzen anzuruffen vnd zu bitten nicht ablassen wollen vngezweifelter zuuorsicht das so vieler gottseligen vnd betrübten hertzen embsige vnd andechtige seufftzen entlich von dem almechtigen jrer bitt gewehret vnd ein hülffe erlangen werden welche zu seinen göttlichen ehren vnd der warhafftigen kirchen seines lieben sons ewigen erbawung gereichen wird das verleihe die heilige dreyfaltigkeit hochgelobt in alle ewigkeit amen,dafur wir denn gott wie bisher geschehen nochmals umb gnedige uermehrung des lichts zu irer chur und furstlichen gnaden zeitlichen und ewigen heil und trost an leib und seel tage und nacht uon hertzen anzuruffen und zu bitten nicht ablassen wollen ungezweifelter zuuorsicht das so uieler gottseligen und betrubten hertzen embsige und andechtige seufftzen entlich uon dem almechtigen irer bitt gewehret und ein hulffe erlangen werden welche zu seinen gottlichen ehren und der warhafftigen kirchen seines lieben sons ewigen erbawung gereichen wird das uerleihe die heilige dreyfaltigkeit hochgelobt in alle ewigkeit amen
kirchner_argument_1584,body,9,0,True,2,Zum andern / dancken wir auch Gott von hertzen / das er die verfassung der Erfurdischen Apologien dermassen nach seinem weisen raht moderirt / vnd regieret hat / Das die grosse anzal der armen verfürten Subscribenten / welche an der Formula Concordiae hangen / dauon gelassen.,zum andern dancken wir auch gott von hertzen das er die verfassung der erfurdischen apologien dermassen nach seinem weisen raht moderirt vnd regieret hat das die grosse anzal der armen verfürten subscribenten welche an der formula concordiae hangen dauon gelassen,zum andern dancken wir auch gott uon hertzen das er die uerfassung der erfurdischen apologien dermassen nach seinem weisen raht moderirt und regieret hat das die grosse anzal der armen uerfurten subscribenten welche an der formula concordiae hangen dauon gelassen
kirchner_argument_1584,body,10,0,True,2,Denn hiemit nicht allein vieler gewissen / so auffs newe weren betrübt / vnd verwundet worden / verschonet blieben / sondern auch gnugsam vor allen verstendigen bezeuget wird / das die verfasser der Apologien dem werck selbs mistrawen / vnd zweifels one vermarckt / das durch abforderung / vnd samlung newer subscription / viel die zuuor vnterschrieben / (In massen sichs vnlangst one das vffm colloquio zu Quedlinburg ausgewiesen /) jre namen reuociren würden / dadurch das gantze furnemen mercklich geschwecht / ja wol gar zerfallen möchte.,denn hiemit nicht allein vieler gewissen so auffs newe weren betrübt vnd verwundet worden verschonet blieben sondern auch gnugsam vor allen verstendigen bezeuget wird das die verfasser der apologien dem werck selbs mistrawen vnd zweifels one vermarckt das durch abforderung vnd samlung newer subscription viel die zuuor vnterschrieben in massen sichs vnlangst one das vffm colloquio zu quedlinburg ausgewiesen jre namen reuociren würden dadurch das gantze furnemen mercklich geschwecht ja wol gar zerfallen möchte,denn hiemit nicht allein uieler gewissen so auffs newe weren betrubt und uerwundet worden uerschonet blieben sondern auch gnugsam uor allen uerstendigen bezeuget wird das die uerfasser der apologien dem werck selbs mistrawen und zweifels one uermarckt das durch abforderung und samlung newer subscription uiel die zuuor unterschrieben in massen sichs unlangst one das uffm colloquio zu quedlinburg ausgewiesen ire namen reuociren wurden dadurch das gantze furnemen mercklich geschwecht ia wol gar zerfallen mochte
