doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
hesshus_extrakt_1585,head,0,0,True,1,EXTRACT Oder Auszug/ aus einem Christlichen Sendbrieff vnd Warnung/ D. TILEMANNI HESHVSII An einen fürnemen vom Adel/ sampt gründlicher erklerung/ Was von M. Wolffgango Amelungo/ vnd den Predigern zu Zerbst/ auch andern jhren Consorten/ vnd Caluinischen Schwermern zuhalten sey. Allen frommen Christen zum warhafftigen bericht publiciret. Anno M. D. LXXXV.,extract oder auszug aus einem christlichen sendbrieff vnd warnung d tilemanni heshvsii an einen fürnemen vom adel sampt gründlicher erklerung was von m wolffgango amelungo vnd den predigern zu zerbst auch andern jhren consorten vnd caluinischen schwermern zuhalten sey allen frommen christen zum warhafftigen bericht publiciret anno m d lxxxv,extract oder auszug aus einem christlichen sendbrieff und warnung d tilemanni heshusii an einen furnemen uom adel sampt grundlicher erklerung was uon m wolffgango amelungo und den predigern zu zerbst auch andern ihren consorten und caluinischen schwermern zuhalten sey allen frommen christen zum warhafftigen bericht publiciret anno m d lxxxu
hesshus_extrakt_1585,body,1,0,False,3,ALs ich glauwir dig in erfahrung komen / das M. Wolffgangus Amelungus / vnd die Prediger zu Zerbst / zur beschönigung jrer falschen vnd jrrigen Caluinischen Leie / auff meine Person vnd Schrifften sich sollen beruffen / gleichsam als lereten sie nichts anders / denn was D. Tilemannus Heshusius in der Iulius Vniuersitet zu Helmstadt offentlich profitiret / vnd der sey mit jnen eins / Damit sie denn viel frome Gottselige Hertzen / die mich etwa zu Magdeburg / vnd anderswo gehöret / vnd meine Bücher gelesen / vnd mich für einen trewen vnuerdechtigen Lerer achten / jrre machen / wie ich denn vermercke / das sie mit solchen Rencken / vñ geschwinden Griffen / auch hohe Personen / vnd E. E. vnd andere statliche vom Adel sollen perturbiren: Vnd derwegen E E. vnd andere Gottselige vom Adel / vnd andere Christen gern wissen möchten / wie doch solchen verschlagenen vnd arglistigen Caluinisten / sey mit bestendiger antwort zu begegenen.,als ich glauwir dig in erfahrung komen das m wolffgangus amelungus vnd die prediger zu zerbst zur beschönigung jrer falschen vnd jrrigen caluinischen leie auff meine person vnd schrifften sich sollen beruffen gleichsam als lereten sie nichts anders denn was d tilemannus heshusius in der iulius vniuersitet zu helmstadt offentlich profitiret vnd der sey mit jnen eins damit sie denn viel frome gottselige hertzen die mich etwa zu magdeburg vnd anderswo gehöret vnd meine bücher gelesen vnd mich für einen trewen vnuerdechtigen lerer achten jrre machen wie ich denn vermercke das sie mit solchen rencken vñ geschwinden griffen auch hohe personen vnd e e vnd andere statliche vom adel sollen perturbiren vnd derwegen e e vnd andere gottselige vom adel vnd andere christen gern wissen möchten wie doch solchen verschlagenen vnd arglistigen caluinisten sey mit bestendiger antwort zu begegenen,als ich glauwir dig in erfahrung komen das m wolffgangus amelungus und die prediger zu zerbst zur beschonigung irer falschen und irrigen caluinischen leie auff meine person und schrifften sich sollen beruffen gleichsam als lereten sie nichts anders denn was d tilemannus heshusius in der iulius uniuersitet zu helmstadt offentlich profitiret und der sey mit inen eins damit sie denn uiel frome gottselige hertzen die mich etwa zu magdeburg und anderswo gehoret und meine bucher gelesen und mich fur einen trewen unuerdechtigen lerer achten irre machen wie ich denn uermercke das sie mit solchen rencken und geschwinden griffen auch hohe personen und e e und andere statliche uom adel sollen perturbiren und derwegen e e und andere gottselige uom adel und andere christen gern wissen mochten wie doch solchen uerschlagenen und arglistigen caluinisten sey mit bestendiger antwort zu begegenen
hesshus_extrakt_1585,body,1,1,True,3,Demnach hab ich für ein notturfft geacht / mein zum offtermal offentliche gethanes Bekentnis / von gegenwart / des Leibs vnd Bluts JEsu Christi / im heiligen Abendmal zu widerholen / mich von den Gottlosen / falschen vnd lesterlichen Caluinisten / mit runden deutschen Worten abzusondern: E. E. vnd andere Gottselige vom Adel / meine günstige Herrn vnd Freunde der Warheit zu berichten / auch vor den Schetlichen / Lügenhafstigen Geistern zu warnen / vnd zur bestendigkeit / in der erkanten / einfeltigen Warheit zuuermanen.,demnach hab ich für ein notturfft geacht mein zum offtermal offentliche gethanes bekentnis von gegenwart des leibs vnd bluts jesu christi im heiligen abendmal zu widerholen mich von den gottlosen falschen vnd lesterlichen caluinisten mit runden deutschen worten abzusondern e e vnd andere gottselige vom adel meine günstige herrn vnd freunde der warheit zu berichten auch vor den schetlichen lügenhafstigen geistern zu warnen vnd zur bestendigkeit in der erkanten einfeltigen warheit zuuermanen,demnach hab ich fur ein notturfft geacht mein zum offtermal offentliche gethanes bekentnis uon gegenwart des leibs und bluts iesu christi im heiligen abendmal zu widerholen mich uon den gottlosen falschen und lesterlichen caluinisten mit runden deutschen worten abzusondern e e und andere gottselige uom adel meine gunstige herrn und freunde der warheit zu berichten auch uor den schetlichen lugenhafstigen geistern zu warnen und zur bestendigkeit in der erkanten einfeltigen warheit zuuermanen
hesshus_extrakt_1585,body,2,0,True,4,Durch Gottes gnad / hab ich so viel wider die Caluinisten geschriben / das im offenen Druck ist / das vernünfftige Christen / mich billich alles verdachts erlassen sollen / vnd meinen so vielfeltigen Bekentnissen / mehr Glaubens geben / als dem nichtigen vormeinden vnd losen behelff der Lügen hafftigen vnd vnuerschempten Caluinisten / die nicht Schamroth werden / wenn sie gleich auff offener vnthat begriffen werden.,durch gottes gnad hab ich so viel wider die caluinisten geschriben das im offenen druck ist das vernünfftige christen mich billich alles verdachts erlassen sollen vnd meinen so vielfeltigen bekentnissen mehr glaubens geben als dem nichtigen vormeinden vnd losen behelff der lügen hafftigen vnd vnuerschempten caluinisten die nicht schamroth werden wenn sie gleich auff offener vnthat begriffen werden,durch gottes gnad hab ich so uiel wider die caluinisten geschriben das im offenen druck ist das uernunfftige christen mich billich alles uerdachts erlassen sollen und meinen so uielfeltigen bekentnissen mehr glaubens geben als dem nichtigen uormeinden und losen behelff der lugen hafftigen und unuerschempten caluinisten die nicht schamroth werden wenn sie gleich auff offener unthat begriffen werden
hesshus_extrakt_1585,body,3,0,False,4,Denn wie ist es müglich / bey meiner teglichen vnd schweren arbeit / das ich alle Jar newe Bücher wider die Caluinisten / könne lassen ausgehen?,denn wie ist es müglich bey meiner teglichen vnd schweren arbeit das ich alle jar newe bücher wider die caluinisten könne lassen ausgehen,denn wie ist es muglich bey meiner teglichen und schweren arbeit das ich alle iar newe bucher wider die caluinisten konne lassen ausgehen
hesshus_extrakt_1585,body,3,1,False,4,Wie ists müglich / das ich einem jeglichen der all zu liederlich / den Feinden gleubet?,wie ists müglich das ich einem jeglichen der all zu liederlich den feinden gleubet,wie ists muglich das ich einem ieglichen der all zu liederlich den feinden gleubet
hesshus_extrakt_1585,body,3,2,False,4,/ vnd mir weniger gleubet?,vnd mir weniger gleubet,und mir weniger gleubet
hesshus_extrakt_1585,body,3,3,False,4,ein besonder Buch schreibe?,ein besonder buch schreibe,ein besonder buch schreibe
hesshus_extrakt_1585,body,3,4,False,4,Alle Calumnias refutire?,alle calumnias refutire,alle calumnias refutire
hesshus_extrakt_1585,body,3,5,False,4,Vnd allen Lesterern das Maul stopffe?,vnd allen lesterern das maul stopffe,und allen lesterern das maul stopffe
