doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
ghendt_zeytung_1586,head,0,0,False,,Newe Zeytung auß Ghendt/ in Flandern.,newe zeytung auß ghendt in flandern,newe zeytung auss ghendt in flandern
ghendt_zeytung_1586,body,0,1,True,,Wie es da selbst ein gantz greuͤlichs vnd Erschroͤcklichs/ vngewiter entstanden des gleichen vormals nie erhoͤrt wordn ist/ geschehen Anno 1586. den 18. Augustij.,wie es da selbst ein gantz greuͤlichs vnd erschroͤcklichs vngewiter entstanden des gleichen vormals nie erhoͤrt wordn ist geschehen anno den augustij,wie es da selbst ein gantz greulichs und erschrocklichs ungewiter entstanden des gleichen uormals nie erhort wordn ist geschehen anno den augustii
ghendt_zeytung_1586,body,1,0,False,,SEhr khleglich in der zeit gemelt/ Da hat sich der Himmel gestele.,sehr khleglich in der zeit gemelt da hat sich der himmel gestele,sehr khleglich in der zeit gemelt da hat sich der himmel gestele
ghendt_zeytung_1586,body,1,1,False,,Schroͤcklich/ die Windt theten auch web Zu dem sach man in lüften/ Schweben/ Vnter aim vngewiter groß.,schroͤcklich die windt theten auch web zu dem sach man in lüften schweben vnter aim vngewiter groß,schrocklich die windt theten auch web zu dem sach man in luften schweben unter aim ungewiter gross
ghendt_zeytung_1586,body,1,2,False,,Sichtbarlichen den Satan Bloß/ Auch wie er sich thete befleisen.,sichtbarlichen den satan bloß auch wie er sich thete befleisen,sichtbarlichen den satan bloss auch wie er sich thete befleisen
ghendt_zeytung_1586,body,1,3,False,,Villerley schaden zu beweisen/ Des manichen Mann hat geschmirtzt.,villerley schaden zu beweisen des manichen mann hat geschmirtzt,uillerley schaden zu beweisen des manichen mann hat geschmirtzt
ghendt_zeytung_1586,body,1,4,False,,Er hat vil Heüser vmb gesturtzt Jn der Stat Ghendt/ Nache vnd feren.,er hat vil heüser vmb gesturtzt jn der stat ghendt nache vnd feren,er hat uil heuser umb gesturtzt in der stat ghendt nache und feren
ghendt_zeytung_1586,body,1,5,False,,Nach sollichem ließ Er sich hoͤrren/ Jn aim Castel/ da griff Er ann.,nach sollichem ließ er sich hoͤrren jn aim castel da griff er ann,nach sollichem liess er sich horren in aim castel da griff er ann
ghendt_zeytung_1586,body,1,6,False,,Gar schroͤcklich ainen Edelman/ Auß seinem Leib/ vil stückh Er Riß.,gar schroͤcklich ainen edelman auß seinem leib vil stückh er riß,gar schrocklich ainen edelman auss seinem leib uil stuckh er riss
ghendt_zeytung_1586,body,1,7,False,,Wunderlich ists/ doch gleichwol gwiß/ Das er ain klaines Heuͤßlein fein.,wunderlich ists doch gleichwol gwiß das er ain klaines heuͤßlein fein,wunderlich ists doch gleichwol gwiss das er ain klaines heusslein fein
ghendt_zeytung_1586,body,1,8,False,,Deß aines Schuchmachers thet sein/ Hinweckh trueg/ mit sein macht enteckht.,deß aines schuchmachers thet sein hinweckh trueg mit sein macht enteckht,dess aines schuchmachers thet sein hinweckh trueg mit sein macht enteckht
ghendt_zeytung_1586,body,1,9,False,,Ein Alte Fraw darmit erschreckt/ Das man sie hat fir Thot vmbzogen.,ein alte fraw darmit erschreckt das man sie hat fir thot vmbzogen,ein alte fraw darmit erschreckt das man sie hat fir thot umbzogen
ghendt_zeytung_1586,body,1,10,False,,Ferner ist der Boͤß Geist geflogen/ Mit lautem Getuͤmel ohn trawren/ Auff S. Peters Kirch von den Maurẽ.,ferner ist der boͤß geist geflogen mit lautem getuͤmel ohn trawren auff s peters kirch von den maurẽ,ferner ist der boss geist geflogen mit lautem getumel ohn trawren auff s peters kirch uon den mauren
ghendt_zeytung_1586,body,1,11,False,,Stücker Riß/ vnd Rab geworffen hat/ Er fandt auch beim Waser am gstat Einen guten frumen man Alt.,stücker riß vnd rab geworffen hat er fandt auch beim waser am gstat einen guten frumen man alt,stucker riss und rab geworffen hat er fandt auch beim waser am gstat einen guten frumen man alt
ghendt_zeytung_1586,body,1,12,False,,Den nam er/ vngitiger gstalt/ Bein schultern/ fürt jn in die lüft.,den nam er vngitiger gstalt bein schultern fürt jn in die lüft,den nam er ungitiger gstalt bein schultern furt in in die luft
ghendt_zeytung_1586,body,1,13,False,,Groses Hertzenleidt er jm stifft/ Gleich woll thet er in jn den dingen.,groses hertzenleidt er jm stifft gleich woll thet er in jn den dingen,groses hertzenleidt er im stifft gleich woll thet er in in den dingen
ghendt_zeytung_1586,body,1,14,False,,Ohn schaden widerumb herbringen/ Jttem er thet sich auch erregen.,ohn schaden widerumb herbringen jttem er thet sich auch erregen,ohn schaden widerumb herbringen ittem er thet sich auch erregen
ghendt_zeytung_1586,body,1,15,False,,Mit sehr grawsamen Donerschlaͤgen/ Auch Hellen Blitzen vngehewr.,mit sehr grawsamen donerschlaͤgen auch hellen blitzen vngehewr,mit sehr grawsamen donerschlagen auch hellen blitzen ungehewr
ghendt_zeytung_1586,body,1,16,False,,Die scheinen thetten wie das Fewr/ Zu Gott Ruften die lieben Frumen.,die scheinen thetten wie das fewr zu gott ruften die lieben frumen,die scheinen thetten wie das fewr zu gott ruften die lieben frumen
ghendt_zeytung_1586,body,1,17,False,,Sie meintẽ der Jüngst Tag würt kumẽ/ Das wert vber drey gantze Stundt.,sie meintẽ der jüngst tag würt kumẽ das wert vber drey gantze stundt,sie meinten der iungst tag wurt kumen das wert uber drey gantze stundt
ghendt_zeytung_1586,body,1,18,False,,Vnd ist oftermals thue ich Kundt/ Der Himmel Finster worden Schnel.,vnd ist oftermals thue ich kundt der himmel finster worden schnel,und ist oftermals thue ich kundt der himmel finster worden schnel
ghendt_zeytung_1586,body,1,19,False,,Als seis Nacht/ vnd dan wider Hell/ Sach gleich als wan es Brinnen thet.,als seis nacht vnd dan wider hell sach gleich als wan es brinnen thet,als seis nacht und dan wider hell sach gleich als wan es brinnen thet
ghendt_zeytung_1586,body,1,20,False,,Weyter fur der Teüffel versteht/ Auff ein Bleich/ da vil Boͤß verricht/ Da Nun: die Grausamlich Geschicht.,weyter fur der teüffel versteht auff ein bleich da vil boͤß verricht da nun die grausamlich geschicht,weyter fur der teuffel uersteht auff ein bleich da uil boss uerricht da nun die grausamlich geschicht
ghendt_zeytung_1586,body,1,21,False,,Durch Gots Erbarmung nam sein End Da gieng das Volck zusamen bhendt.,durch gots erbarmung nam sein end da gieng das volck zusamen bhendt,durch gots erbarmung nam sein end da gieng das uolck zusamen bhendt
ghendt_zeytung_1586,body,1,22,False,,Befahlen sich dem lieben Gott/ Zu Mechell/ vmb die zeit mit Not.,befahlen sich dem lieben gott zu mechell vmb die zeit mit not,befahlen sich dem lieben gott zu mechell umb die zeit mit not
ghendt_zeytung_1586,body,1,23,False,,Schlugs Staͤin die sahen mit beschwerẽ Als ob es Fewrig Khuglen weren/ Das die Menschen auß dem Feldt liefen.,schlugs staͤin die sahen mit beschwerẽ als ob es fewrig khuglen weren das die menschen auß dem feldt liefen,schlugs stain die sahen mit beschweren als ob es fewrig khuglen weren das die menschen auss dem feldt liefen
ghendt_zeytung_1586,body,1,24,False,,Hailliger Geist zu dier wir Rieffen/ Gieb vñ Gnad/ das wir doch Recht lebẽ.,hailliger geist zu dier wir rieffen gieb vñ gnad das wir doch recht lebẽ,hailliger geist zu dier wir rieffen gieb und gnad das wir doch recht leben
ghendt_zeytung_1586,body,1,25,False,,Auff das vns auch nit die vmb geben/ Ein solche gfahr/ Greülicher Gstalt.,auff das vns auch nit die vmb geben ein solche gfahr greülicher gstalt,auff das uns auch nit die umb geben ein solche gfahr greulicher gstalt
ghendt_zeytung_1586,body,1,26,False,,Bhüt vns auch vor des Satans gwalt/ Das er vns nit zu füge schaden.,bhüt vns auch vor des satans gwalt das er vns nit zu füge schaden,bhut uns auch uor des satans gwalt das er uns nit zu fuge schaden
ghendt_zeytung_1586,body,1,27,False,,Aber: die Welt ist so beladen/ Mit Frewel thut auch was jr gefelt.,aber die welt ist so beladen mit frewel thut auch was jr gefelt,aber die welt ist so beladen mit frewel thut auch was ir gefelt
ghendt_zeytung_1586,body,1,28,False,,Obs Gott schon für ein Grewel helt/ So khert sie Sich doch daran nicht.,obs gott schon für ein grewel helt so khert sie sich doch daran nicht,obs gott schon fur ein grewel helt so khert sie sich doch daran nicht
ghendt_zeytung_1586,body,1,29,True,,Biß er die Verruckt Welt entwicht/ Durch Christũ am Jüngsten Tag Richt. FJNJS.,biß er die verruckt welt entwicht durch christũ am jüngsten tag richt fjnjs,biss er die uerruckt welt entwicht durch christum am iungsten tag richt finis
ghendt_zeytung_1586,body,2,0,True,,Getruckt Zu Augspurg/ bey Hanns Schultes/ Brieffmaler vnd Formschneyder vnder dem Eisen berg.,getruckt zu augspurg bey hanns schultes brieffmaler vnd formschneyder vnder dem eisen berg,getruckt zu augspurg bey hanns schultes brieffmaler und formschneyder under dem eisen berg
