doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
magirus_leichpredig_1587,body,0,0,True,1,Ein Leichpredig/ Gehalten bey der Leich/ des Ehrenuesten vnnd Hochgelehrten Herrn/Matthei Grabißgaden/der Artzney Doctorn/vnd Fürstlichen Wirtembergischen Hoffmedici/als er den 27. tag Martij/Anno 87. im HERrn seelig entschlaffen/vnd folgenden 29. tag begraben ist worden. Durch M. Johann Magirum/Predigern bey S. Leonhardt zu Stutgart. APOC. XIIII. Selig seind die Todten/so in dem HERrn sterben. Getruckt zu Tübingen/bey Alexander Hock/ im Jar nach Christi geburt/als man zalt M. D. LXXXVII.,ein leichpredig gehalten bey der leich des ehrenuesten vnnd hochgelehrten herrn matthei grabißgaden der artzney doctorn vnd fürstlichen wirtembergischen hoffmedici als er den tag martij anno im herrn seelig entschlaffen vnd folgenden tag begraben ist worden durch m johann magirum predigern bey s leonhardt zu stutgart apoc xiiii selig seind die todten so in dem herrn sterben getruckt zu tübingen bey alexander hock im jar nach christi geburt als man zalt m d lxxxvii,ein leichpredig gehalten bey der leich des ehrenuesten unnd hochgelehrten herrn matthei grabissgaden der artzney doctorn und furstlichen wirtembergischen hoffmedici als er den tag martii anno im herrn seelig entschlaffen und folgenden tag begraben ist worden durch m iohann magirum predigern bey s leonhardt zu stutgart apoc xiiii selig seind die todten so in dem herrn sterben getruckt zu tubingen bey alexander hock im iar nach christi geburt als man zalt m d lxxxuii
magirus_leichpredig_1587,body,1,0,True,2,Dem Ehrnuesten Hochgelehrten Herrn / M. Johann Grabisgaden / Medico zu Stutgarten / meinem lieben vnd guten freundt.,dem ehrnuesten hochgelehrten herrn m johann grabisgaden medico zu stutgarten meinem lieben vnd guten freundt,dem ehrnuesten hochgelehrten herrn m iohann grabisgaden medico zu stutgarten meinem lieben und guten freundt
magirus_leichpredig_1587,body,2,0,False,2,GOttes Gnad / zeitliche vñ ewige Wolfahrt zuuor / Ehrnuester / Hochgelehrter lieber Herr / vñ guter freund / Ich kan leichtlich erachten / daß E. E. durch so vnzeitigen todt (wie es vor vnser vernunfft das ansehen hat) ewres einigen vnd geliebten Sohns / Doctoris Mattheiseligen / hochbetriebt seyen.,gottes gnad zeitliche vñ ewige wolfahrt zuuor ehrnuester hochgelehrter lieber herr vñ guter freund ich kan leichtlich erachten daß e e durch so vnzeitigen todt wie es vor vnser vernunfft das ansehen hat ewres einigen vnd geliebten sohns doctoris mattheiseligen hochbetriebt seyen,gottes gnad zeitliche und ewige wolfahrt zuuor ehrnuester hochgelehrter lieber herr und guter freund ich kan leichtlich erachten dass e e durch so unzeitigen todt wie es uor unser uernunfft das ansehen hat ewres einigen und geliebten sohns doctoris mattheiseligen hochbetriebt seyen
magirus_leichpredig_1587,body,2,1,False,2,"Dann vber seinem / so früen tod / die jhne gekandt / vnnd dessen bericht worden / neben mir / mit E. E. vnd derselben Freundtschafft ein Christlichs mitleyden tragẽ / Sonderlich / dieweil jeder zeit / von Jugendt auff ein herrlich ingenium bey jhm gespürt worden / welches er nut sonderm fleiß (so er in seinem studirn angewandt) excolirt, vnnd ein trefflich iudicium albereit erlangt / vnnd den sachen tieff nachgedacht hat.",dann vber seinem so früen tod die jhne gekandt vnnd dessen bericht worden neben mir mit e e vnd derselben freundtschafft ein christlichs mitleyden tragẽ sonderlich dieweil jeder zeit von jugendt auff ein herrlich ingenium bey jhm gespürt worden welches er nut sonderm fleiß so er in seinem studirn angewandt excolirt vnnd ein trefflich iudicium albereit erlangt vnnd den sachen tieff nachgedacht hat,dann uber seinem so fruen tod die ihne gekandt unnd dessen bericht worden neben mir mit e e und derselben freundtschafft ein christlichs mitleyden tragen sonderlich dieweil ieder zeit uon iugendt auff ein herrlich ingenium bey ihm gespurt worden welches er nut sonderm fleiss so er in seinem studirn angewandt excolirt unnd ein trefflich iudicium albereit erlangt unnd den sachen tieff nachgedacht hat
magirus_leichpredig_1587,body,2,2,False,2,"Zu dem er auch in seinem beruff / als ein Medicus, gantz willig / vnd meniglichen / so tag / so nachts / zu dienen / vnuerdrossen gewesen / vnd mit sonderm lust solches verrichtet.",zu dem er auch in seinem beruff als ein medicus gantz willig vnd meniglichen so tag so nachts zu dienen vnuerdrossen gewesen vnd mit sonderm lust solches verrichtet,zu dem er auch in seinem beruff als ein medicus gantz willig und meniglichen so tag so nachts zu dienen unuerdrossen gewesen und mit sonderm lust solches uerrichtet
magirus_leichpredig_1587,body,2,3,False,4,Daneben aber vnnd zuuorderst / ist er mit warer heilsamen Erkandtnus seines einigen Erlösers Christi / vñ mit einem Gottseligen gemüt begabt gewesen.,daneben aber vnnd zuuorderst ist er mit warer heilsamen erkandtnus seines einigen erlösers christi vñ mit einem gottseligen gemüt begabt gewesen,daneben aber unnd zuuorderst ist er mit warer heilsamen erkandtnus seines einigen erlosers christi und mit einem gottseligen gemut begabt gewesen
magirus_leichpredig_1587,body,2,4,False,4,"In massen jme M. Johannes Magrus / Prediger zu S. Leonhart / des Ehrwirdigen vnnd Hochgelehrten Herrn / M. Joañis Magri / Probst zu Stutgartẽ / meines freundtlichen liebẽ Collegae, Son / in seiner Christlichen Leichpredig warhafftige zeugnus gegeben.",in massen jme m johannes magrus prediger zu s leonhart des ehrwirdigen vnnd hochgelehrten herrn m joañis magri probst zu stutgartẽ meines freundtlichen liebẽ collegae son in seiner christlichen leichpredig warhafftige zeugnus gegeben,in massen ime m iohannes magrus prediger zu s leonhart des ehrwirdigen unnd hochgelehrten herrn m ioannis magri probst zu stutgarten meines freundtlichen lieben collegae son in seiner christlichen leichpredig warhafftige zeugnus gegeben
magirus_leichpredig_1587,body,2,5,True,4,Ine hat auch sein eingezogẽ / niechter vnnd zichtiger bescheidner Wandel / sambt seinen holdseligen moribus vnd freundtlichheit / wol gezieret: Derwegen ich mich sein erfrewet / vñ verhofft / er würde dem Fürstlichen löblichẽ Hause Würtenberg / vil jar mit nutzen dienen / vnd die andern Fürstlichen Würtenbergischen Medicos (deren ettliche nunmehr in zimlichem alter) mit lob vnd nutz neben andern Jungen ersetzen.,ine hat auch sein eingezogẽ niechter vnnd zichtiger bescheidner wandel sambt seinen holdseligen moribus vnd freundtlichheit wol gezieret derwegen ich mich sein erfrewet vñ verhofft er würde dem fürstlichen löblichẽ hause würtenberg vil jar mit nutzen dienen vnd die andern fürstlichen würtenbergischen medicos deren ettliche nunmehr in zimlichem alter mit lob vnd nutz neben andern jungen ersetzen,ine hat auch sein eingezogen niechter unnd zichtiger bescheidner wandel sambt seinen holdseligen moribus und freundtlichheit wol gezieret derwegen ich mich sein erfrewet und uerhofft er wurde dem furstlichen loblichen hause wurtenberg uil iar mit nutzen dienen und die andern furstlichen wurtenbergischen medicos deren ettliche nunmehr in zimlichem alter mit lob und nutz neben andern iungen ersetzen
magirus_leichpredig_1587,body,3,0,False,4,Dieweil es aber vnserm Himlischen Vatter anderst / vnd also gefallen / daß er jhne zeitlich auß disem vnrhüwigen leben vnd Jamerthal zu sich erfordern wöllen / sollen wir billich seinem Göttlichen willen vnd Raht (als dem allerbesten / vnd allerweisesten) vns nicht widersetzen.,dieweil es aber vnserm himlischen vatter anderst vnd also gefallen daß er jhne zeitlich auß disem vnrhüwigen leben vnd jamerthal zu sich erfordern wöllen sollen wir billich seinem göttlichen willen vnd raht als dem allerbesten vnd allerweisesten vns nicht widersetzen,dieweil es aber unserm himlischen uatter anderst und also gefallen dass er ihne zeitlich auss disem unrhuwigen leben und iamerthal zu sich erfordern wollen sollen wir billich seinem gottlichen willen und raht als dem allerbesten und allerweisesten uns nicht widersetzen
magirus_leichpredig_1587,body,3,1,False,4,Vñ soll E. E. gentzlich bey sich schliessen / was Gott thut / das sey wol gethan: ob gleichwol E. E. schwer ankom̃t / derselben willen hierin / in den willen des himmlischen Vatters / allerdings zuergeben.,vñ soll e e gentzlich bey sich schliessen was gott thut das sey wol gethan ob gleichwol e e schwer ankom̃t derselben willen hierin in den willen des himmlischen vatters allerdings zuergeben,und soll e e gentzlich bey sich schliessen was gott thut das sey wol gethan ob gleichwol e e schwer ankommt derselben willen hierin in den willen des himmlischen uatters allerdings zuergeben
