doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_predigten_1587,head,0,0,True,1,Zwo Predigten Gehalten Vber der Leich weiland der Durchleuchtigen Hochgebornen Fürstin vnd Frawen / Frawen Dorothea / gebornen zu Sachsen / Hertzogin zu Braunschweig vnd Lüneburg etc. des Hochwirdigen / Durchleuchtigen Hochgebornen Fürsten vnd Herrn / Herrn Heinrich Juliussen / Bischoffen zu Halberstadt / Hertzogen zu Braunschweig vnd Lüneburg etc. Ehelichen Gemahlin / So den 13. Februarij Anno 1587. auff der Festung Wolffenbüttel in Gott seliglich entschlaffen. Die Erste geschehen den 20. Februarij/ als die Fürstliche Leich in die Schloßkirch daselbst gebracht worden. Die Ander den 20. Martij / als die Fürstliche Leich zu Juliusfriedenstedt bey der Heinrichstadt zum Gottslager zur Erden bestatet worden. Durch Basilium Satler D. F. Braunschweigischen Hoffprediger daselbst. Juliusfriedenstedt.,zwo predigten gehalten vber der leich weiland der durchleuchtigen hochgebornen fürstin vnd frawen frawen dorothea gebornen zu sachsen hertzogin zu braunschweig vnd lüneburg etc des hochwirdigen durchleuchtigen hochgebornen fürsten vnd herrn herrn heinrich juliussen bischoffen zu halberstadt hertzogen zu braunschweig vnd lüneburg etc ehelichen gemahlin so den februarij anno auff der festung wolffenbüttel in gott seliglich entschlaffen die erste geschehen den februarij als die fürstliche leich in die schloßkirch daselbst gebracht worden die ander den martij als die fürstliche leich zu juliusfriedenstedt bey der heinrichstadt zum gottslager zur erden bestatet worden durch basilium satler d f braunschweigischen hoffprediger daselbst juliusfriedenstedt,zwo predigten gehalten uber der leich weiland der durchleuchtigen hochgebornen furstin und frawen frawen dorothea gebornen zu sachsen hertzogin zu braunschweig und luneburg etc des hochwirdigen durchleuchtigen hochgebornen fursten und herrn herrn heinrich iuliussen bischoffen zu halberstadt hertzogen zu braunschweig und luneburg etc ehelichen gemahlin so den februarii anno auff der festung wolffenbuttel in gott seliglich entschlaffen die erste geschehen den februarii als die furstliche leich in die schlosskirch daselbst gebracht worden die ander den martii als die furstliche leich zu iuliusfriedenstedt bey der heinrichstadt zum gottslager zur erden bestatet worden durch basilium satler d f braunschweigischen hoffprediger daselbst iuliusfriedenstedt
sattler_predigten_1587,head,1,0,True,3,Dem̃ Hochwirdigen / Durchleuchtigen / Hochgebornen Fürsten vnd Herrn / Herrn Heinrichen Juliussen / Bischoffen zu Halberstadt / Hertzogen zu Braunschweig vnd Lüneburg etc. meinem gnedigen Fürsten vnd Herrn.,dem̃ hochwirdigen durchleuchtigen hochgebornen fürsten vnd herrn herrn heinrichen juliussen bischoffen zu halberstadt hertzogen zu braunschweig vnd lüneburg etc meinem gnedigen fürsten vnd herrn,demm hochwirdigen durchleuchtigen hochgebornen fursten und herrn herrn heinrichen iuliussen bischoffen zu halberstadt hertzogen zu braunschweig und luneburg etc meinem gnedigen fursten und herrn
sattler_predigten_1587,head,2,0,True,3,Gnad / Fried vnd Trost von Gott dem Vater / Son vnd heiligem Geist / neben meinem embsigen Gebet / vnd vnderthenigen diensten jeder zeit zuuor.,gnad fried vnd trost von gott dem vater son vnd heiligem geist neben meinem embsigen gebet vnd vnderthenigen diensten jeder zeit zuuor,gnad fried und trost uon gott dem uater son und heiligem geist neben meinem embsigen gebet und underthenigen diensten ieder zeit zuuor
sattler_predigten_1587,body,3,0,False,3,HOchwirdiger / Durchleuchtiger / Hochgeborner Fürst gnediger Herr / Ob ich wol billich bedenckens haben solte / E. F. G. in diesem jrem betrübnis mit meinem schreiben zumolestieren / vnd das trawren gleich zuernewren: so haben doch gar wichtige vrsachen mich bewogen / diese beide Predigten / so bey der Leich vnd Begrebnis / Weiland der auch Durchleuchtigen Hochgebornen Fürstin vnd Frawen / Frawen Dorothea / gebornen zu Sachsen / Hertzogin zu Braunschweig vnd Lüneburg etc.,hochwirdiger durchleuchtiger hochgeborner fürst gnediger herr ob ich wol billich bedenckens haben solte e f g in diesem jrem betrübnis mit meinem schreiben zumolestieren vnd das trawren gleich zuernewren so haben doch gar wichtige vrsachen mich bewogen diese beide predigten so bey der leich vnd begrebnis weiland der auch durchleuchtigen hochgebornen fürstin vnd frawen frawen dorothea gebornen zu sachsen hertzogin zu braunschweig vnd lüneburg etc,hochwirdiger durchleuchtiger hochgeborner furst gnediger herr ob ich wol billich bedenckens haben solte e f g in diesem irem betrubnis mit meinem schreiben zumolestieren und das trawren gleich zuernewren so haben doch gar wichtige ursachen mich bewogen diese beide predigten so bey der leich und begrebnis weiland der auch durchleuchtigen hochgebornen furstin und frawen frawen dorothea gebornen zu sachsen hertzogin zu braunschweig und luneburg etc
sattler_predigten_1587,body,3,1,True,4,E. F. G. Gemahlin / hochlöblicher gedechtnis / ich gethan / zu publiciren / vnd E. F. G. vnderthenig zuzuschreiben.,e f g gemahlin hochlöblicher gedechtnis ich gethan zu publiciren vnd e f g vnderthenig zuzuschreiben,e f g gemahlin hochloblicher gedechtnis ich gethan zu publiciren und e f g underthenig zuzuschreiben
sattler_predigten_1587,body,4,0,True,4,Denn das ich geschweige / das solches die von mir begert / denen ich mich hierinnen vnderthenig zugehorsamen schüldig erkenne / so ist es an sich selber billich / vnd ein stück vndertheniger schüldiger danckbarkeit / das wir so viel an vns / das löblich gedechtnis solcher hohen Gottseligen Personen erhalten helffen / Wie denn im 112. Psalmen stehet / Des gerechten wird nimmermehr vergessen.,denn das ich geschweige das solches die von mir begert denen ich mich hierinnen vnderthenig zugehorsamen schüldig erkenne so ist es an sich selber billich vnd ein stück vndertheniger schüldiger danckbarkeit das wir so viel an vns das löblich gedechtnis solcher hohen gottseligen personen erhalten helffen wie denn im psalmen stehet des gerechten wird nimmermehr vergessen,denn das ich geschweige das solches die uon mir begert denen ich mich hierinnen underthenig zugehorsamen schuldig erkenne so ist es an sich selber billich und ein stuck undertheniger schuldiger danckbarkeit das wir so uiel an uns das loblich gedechtnis solcher hohen gottseligen personen erhalten helffen wie denn im psalmen stehet des gerechten wird nimmermehr uergessen
sattler_predigten_1587,body,5,0,False,4,Es ist ja der heilige Geist selber vns hierin vorgegangen / in dem er in die heiligen Schrifft des Alten vnd Newen Testaments die Historien fürnemer from̃er leute / beides Man vnd Weibs Personen mit fleis verzeichnet.,es ist ja der heilige geist selber vns hierin vorgegangen in dem er in die heiligen schrifft des alten vnd newen testaments die historien fürnemer from̃er leute beides man vnd weibs personen mit fleis verzeichnet,es ist ia der heilige geist selber uns hierin uorgegangen in dem er in die heiligen schrifft des alten und newen testaments die historien furnemer frommer leute beides man und weibs personen mit fleis uerzeichnet
sattler_predigten_1587,body,5,1,False,4,Als das ich aus solcher menge nur ettliche wenig Personen namhafft mache / So beschreibet Moses das Leben / Sterben vnd Begrebnis der heiligen Ertzväter Abrahams / Isaacs vnd Jacobs / auch jrer Ehelichen Hausfrawen Sara / Rebecca vnd Rahel.,als das ich aus solcher menge nur ettliche wenig personen namhafft mache so beschreibet moses das leben sterben vnd begrebnis der heiligen ertzväter abrahams isaacs vnd jacobs auch jrer ehelichen hausfrawen sara rebecca vnd rahel,als das ich aus solcher menge nur ettliche wenig personen namhafft mache so beschreibet moses das leben sterben und begrebnis der heiligen ertzuater abrahams isaacs und iacobs auch irer ehelichen hausfrawen sara rebecca und rahel
sattler_predigten_1587,body,5,2,False,5,Im Buch der Könige wird der heiligen Matronen / so Eliam vnd Eliseum beherberget / in ehren gedacht.,im buch der könige wird der heiligen matronen so eliam vnd eliseum beherberget in ehren gedacht,im buch der konige wird der heiligen matronen so eliam und eliseum beherberget in ehren gedacht
sattler_predigten_1587,body,5,3,False,5,Im Newen Testament werden jhrer Gottseligkeit halben neben den Aposteln vnd andern Jüngern Christi gerhümet / Maria die Mutter Christi / Elisabeth des Priesters Zacharie Fraw / Hanna die Prophetin / Item Maria Magdalena / vnd Johanna das Weib Chusa des pflegers Herodis / Susanna / Maria vnd Martha die Schwestern Lazari / die Christo handtreichung von jhrer Haab gethan haben.,im newen testament werden jhrer gottseligkeit halben neben den aposteln vnd andern jüngern christi gerhümet maria die mutter christi elisabeth des priesters zacharie fraw hanna die prophetin item maria magdalena vnd johanna das weib chusa des pflegers herodis susanna maria vnd martha die schwestern lazari die christo handtreichung von jhrer haab gethan haben,im newen testament werden ihrer gottseligkeit halben neben den aposteln und andern iungern christi gerhumet maria die mutter christi elisabeth des priesters zacharie fraw hanna die prophetin item maria magdalena und iohanna das weib chusa des pflegers herodis susanna maria und martha die schwestern lazari die christo handtreichung uon ihrer haab gethan haben
