doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524311,head,0,0,True,[1],Chꝛiſtliche Leichtpꝛedig Vber die Troſtreithe wort/ vnſers heylands Jeſu Chꝛiſti/ Johannis am xj. Capitel. Jch bin die Aufferſtehung vnd das leben/ ꝛc. Gehalten zu Haydeck/ Bey der Begraͤbnus der Edlen vnd Tugentreichen Frawen/ Agatha von Wichſenſtein des Edlen vnd veſten Juncker Wilhemls von Wehrn/ zu Volckerhauſen/ Fuͤrſtlichẽ Pfaͤltziſchen Newburgiſchen Raht/ Rittmeiſter vnd Pflegers zu Haydeck/ geliebter Haußfraw Seligen/ welche Chriſtlich vnd Seligklich in den Erkandnuß vnd Anruͤffung Jheſu Chriſti/ vnſers einigen Erloͤſers entſchlaffen iſt/ den 29 Januarij/ Anno Domini 1589. Durch Jacobum Schopperum/ der H. Goͤttlichen Schrifft Doctorn. Getruckt zu Tuͤbingen/ bey Alexander Hock/ Anno M. D. LXXXIX.,chꝛiſtliche leichtpꝛedig vber die troſtreithe wort vnſers heylands jeſu chꝛiſti johannis am xj capitel jch bin die aufferſtehung vnd das leben ꝛc gehalten zu haydeck bey der begraͤbnus der edlen vnd tugentreichen frawen agatha von wichſenſtein des edlen vnd veſten juncker wilhemls von wehrn zu volckerhauſen fuͤrſtlichẽ pfaͤltziſchen newburgiſchen raht rittmeiſter vnd pflegers zu haydeck geliebter haußfraw seligen welche chriſtlich vnd seligklich in den erkandnuß vnd anruͤffung jheſu chriſti vnſers einigen erloͤſers entſchlaffen iſt den januarij anno domini durch jacobum schopperum der h goͤttlichen schrifft doctorn getruckt zu tuͤbingen bey alexander hock anno m d lxxxix,chistliche leichtpedig uber die trostreithe wort unsers heylands iesu chisti iohannis am xi capitel ich bin die aufferstehung und das leben c gehalten zu haydeck bey der begrabnus der edlen und tugentreichen frawen agatha uon wichsenstein des edlen und uesten iuncker wilhemls uon wehrn zu uolckerhausen furstlichen pfaltzischen newburgischen raht rittmeister und pflegers zu haydeck geliebter haussfraw seligen welche christlich und seligklich in den erkandnuss und anruffung ihesu christi unsers einigen erlosers entschlaffen ist den ianuarii anno domini durch iacobum schopperum der h gottlichen schrifft doctorn getruckt zu tubingen bey alexander hock anno m d lxxxix
524311,head,1,0,True,[3],Vorrede/,vorrede,uorrede
524311,body,2,0,False,[3],EDle Tugendtſame Junckfrawen/ Es ſpricht der heylige Paulus/ Heb. 9. Es iſt allen Menſchen aufferlegt/ einmal zu ſterben/ darnach das gericht/ mit welchẽ wortener anzeigt/ das vns menſchẽ nichts auff dieſer Erden/ vor dem Todtbefreyen koͤnde/ ſonder wir muͤſſen alle diſen weg gehn.,edle tugendtſame junckfrawen es ſpricht der heylige paulus heb es iſt allen menſchen aufferlegt einmal zu ſterben darnach das gericht mit welchẽ wortener anzeigt das vns menſchẽ nichts auff dieſer erden vor dem todtbefreyen koͤnde ſonder wir muͤſſen alle diſen weg gehn,edle tugendtsame iunckfrawen es spricht der heylige paulus heb es ist allen menschen aufferlegt einmal zu sterben darnach das gericht mit welchen wortener anzeigt das uns menschen nichts auff dieser erden uor dem todtbefreyen konde sonder wir mussen alle disen weg gehn
524311,body,2,1,False,[3],Welches dañ auch die taͤglich erfahrung bezeuget.,welches dañ auch die taͤglich erfahrung bezeuget,welches dann auch die taglich erfahrung bezeuget
524311,body,2,2,False,[3],Dañ was iſt doch je in dieſer Welt/ das vns vor dem Todt ſchirmen koͤnde?,dañ was iſt doch je in dieſer welt das vns vor dem todt ſchirmen koͤnde,dann was ist doch ie in dieser welt das uns uor dem todt schirmen konde
524311,body,2,3,False,[3],Mathuſalem in der erſten Welt lebet ſehꝛlang/ das er ſchier tauſent Jar erreicht/ noch iſt er geſtorben.,mathuſalem in der erſten welt lebet ſehꝛlang das er ſchier tauſent jar erreicht noch iſt er geſtorben,mathusalem in der ersten welt lebet sehlang das er schier tausent iar erreicht noch ist er gestorben
524311,body,2,4,False,[3],Salomon war der weiſeſt vnder allen menſchen/ noch kondt jhne ſeine Weißheit vor dem tod nit ſicheren.,salomon war der weiſeſt vnder allen menſchen noch kondt jhne ſeine weißheit vor dem tod nit ſicheren,salomon war der weisest under allen menschen noch kondt ihne seine weissheit uor dem tod nit sicheren
524311,body,2,5,False,[4],Sam ſon war ein ſtarcker Held/ alſo das er einen Loͤwen zerriß/ die eyſen ketten zerbꝛach/ mit eines Eſels kinbacken tauſent Philiſter erſchlug/ die thor hinweg trug/ ein gꝛoß hauß einriß.,sam ſon war ein ſtarcker held alſo das er einen loͤwen zerriß die eyſen ketten zerbꝛach mit eines eſels kinbacken tauſent philiſter erſchlug die thor hinweg trug ein gꝛoß hauß einriß,sam son war ein starcker held also das er einen lowen zerriss die eysen ketten zerbach mit eines esels kinbacken tausent philister erschlug die thor hinweg trug ein goss hauss einriss
524311,body,2,6,False,[4],Abſolon war der ſchoͤneſt zu ſeiner zeit/ dennocht ſeind ſie dem todt zu theil worden.,abſolon war der ſchoͤneſt zu ſeiner zeit dennocht ſeind ſie dem todt zu theil worden,absolon war der schonest zu seiner zeit dennocht seind sie dem todt zu theil worden
524311,body,2,7,False,[4],Die Pꝛopheten vñ Apoſtel ſeind from̃e Leut geweſen/ noch hat ſie jhr eigene frombkeyt vorm Todt nicht bewaren koͤnnen.,die pꝛopheten vñ apoſtel ſeind from̃e leut geweſen noch hat ſie jhr eigene frombkeyt vorm todt nicht bewaren koͤnnen,die popheten und apostel seind fromme leut gewesen noch hat sie ihr eigene frombkeyt uorm todt nicht bewaren konnen
524311,body,2,8,False,[4],"Alexander Magnus, war ein gꝛoßmaͤch tiger Keyſer/ das er ſchier die gantze Welt vnder ſich bracht/ noch muß er ſterben.",alexander magnus war ein gꝛoßmaͤch tiger keyſer das er ſchier die gantze welt vnder ſich bracht noch muß er ſterben,alexander magnus war ein gossmach tiger keyser das er schier die gantze welt under sich bracht noch muss er sterben
524311,body,2,9,False,[4],Daher er ſeine eigne zutitler/ welche jn ein Gott geneñet/ verlacht/ vnd ſpꝛach/ ſterben auch die Goͤtter?,daher er ſeine eigne zutitler welche jn ein gott geneñet verlacht vnd ſpꝛach ſterben auch die goͤtter,daher er seine eigne zutitler welche in ein gott genennet uerlacht und spach sterben auch die gotter
524311,body,2,10,False,[4],Strafft hiemit jr leichtfertigkeyt/ das ſie jn ein Gott genennet hetten/ da ſie doch jetz auß dem außgangſehen/ das er ein ſterblicher Menſch ſeye.,strafft hiemit jr leichtfertigkeyt das ſie jn ein gott genennet hetten da ſie doch jetz auß dem außgangſehen das er ein ſterblicher menſch ſeye,strafft hiemit ir leichtfertigkeyt das sie in ein gott genennet hetten da sie doch ietz auss dem aussgangsehen das er ein sterblicher mensch seye
524311,body,2,11,False,[4],Solchen Jam̃er vnſer ſterbligkeit/ haben zuuor auch die Hayden geſehen/ aber die rechte vrſach deſſelbigen/ vñ was man ſich hierin gruͤndtlich zu troͤſtẽ/ nit gewiſt/ haben zwar uor einander mit ſolchen vrſachen getroͤſt: Als das der todt ein gemein ding ſey/ das der Todt eines ehꝛlichen Mans loͤblich ſey/ vñ was dergleichen geweſen/ Aber diſer troſt der Menſchlichen vernunfft kan den ſtich in der Anfechtung nit haltẽ/ allein Gottes Wort lehꝛt vns gruͤnd lich/ woher der Todt komme/ was deſſelbigen vrſach ſey.,solchen jam̃er vnſer ſterbligkeit haben zuuor auch die hayden geſehen aber die rechte vrſach deſſelbigen vñ was man ſich hierin gruͤndtlich zu troͤſtẽ nit gewiſt haben zwar uor einander mit ſolchen vrſachen getroͤſt als das der todt ein gemein ding ſey das der todt eines ehꝛlichen mans loͤblich ſey vñ was dergleichen geweſen aber diſer troſt der menſchlichen vernunfft kan den ſtich in der anfechtung nit haltẽ allein gottes wort lehꝛt vns gruͤnd lich woher der todt komme was deſſelbigen vrſach ſey,solchen iammer unser sterbligkeit haben zuuor auch die hayden gesehen aber die rechte ursach desselbigen und was man sich hierin grundtlich zu trosten nit gewist haben zwar uor einander mit solchen ursachen getrost als das der todt ein gemein ding sey das der todt eines ehlichen mans loblich sey und was dergleichen gewesen aber diser trost der menschlichen uernunfft kan den stich in der anfechtung nit halten allein gottes wort leht uns grund lich woher der todt komme was desselbigen ursach sey
524311,body,2,12,True,[5],Jtem wer vns vom Todt vnd ewiger verdamnuß erloͤſet habe/ vñ wie wir vns ſolcher guthat ſollen theilhafftig machen/ Auch wie es ein geſtalt habe/ mit den Abgeſtorbnen:,jtem wer vns vom todt vnd ewiger verdamnuß erloͤſet habe vñ wie wir vns ſolcher guthat ſollen theilhafftig machen auch wie es ein geſtalt habe mit den abgeſtorbnen,item wer uns uom todt und ewiger uerdamnuss erloset habe und wie wir uns solcher guthat sollen theilhafftig machen auch wie es ein gestalt habe mit den abgestorbnen
524311,body,3,0,False,[5],Demnach ich nun/ guͤnſtige Junckfrawen/ E. T. freundtlichen geliebten Fraw Mutter ſeligen/ die Leichpredig halten ſollen/ hab ich diſen guldinen troſtreichẽ ſpruch/ vnſers Einigen heylands Jeſu Chꝛiſti/ Johan. am xj. Daer ſpricht: Jch bin die Aufferſtehung vnd das Leben/ ꝛc. fuͤr mich nemen/ vnd auß dem ſelbigen die obgemelte Lehꝛ vnd Troſt/ vom todt abhandlen woͤllen.,demnach ich nun guͤnſtige junckfrawen e t freundtlichen geliebten fraw mutter ſeligen die leichpredig halten ſollen hab ich diſen guldinen troſtreichẽ ſpruch vnſers einigen heylands jeſu chꝛiſti johan am xj daer ſpricht jch bin die aufferſtehung vnd das leben ꝛc fuͤr mich nemen vnd auß dem ſelbigen die obgemelte lehꝛ vnd troſt vom todt abhandlen woͤllen,demnach ich nun gunstige iunckfrawen e t freundtlichen geliebten fraw mutter seligen die leichpredig halten sollen hab ich disen guldinen trostreichen spruch unsers einigen heylands iesu chisti iohan am xi daer spricht ich bin die aufferstehung und das leben c fur mich nemen und auss dem selbigen die obgemelte leh und trost uom todt abhandlen wollen
524311,body,3,1,True,[5],Vnd die weil E. T. Herꝛn Vatters/ Bruͤder vñ anderer guthertzigen/ freundlichs begeren geweſen/ ſolche Leichpꝛedig in den Truck zuuerfertigen/ damit ſie jhren vnd anderen Chꝛiſten/ zu theil moͤge werden/ hab ichs im Namen Gottes laſſen geſchehen/ Solche aber hab E. T. ich zu ſchreiben woͤllen.,vnd die weil e t herꝛn vatters bruͤder vñ anderer guthertzigen freundlichs begeren geweſen ſolche leichpꝛedig in den truck zuuerfertigen damit ſie jhren vnd anderen chꝛiſten zu theil moͤge werden hab ichs im namen gottes laſſen geſchehen solche aber hab e t ich zu ſchreiben woͤllen,und die weil e t hern uatters bruder und anderer guthertzigen freundlichs begeren gewesen solche leichpedig in den truck zuuerfertigen damit sie ihren und anderen chisten zu theil moge werden hab ichs im namen gottes lassen geschehen solche aber hab e t ich zu schreiben wollen
524311,body,4,0,True,[5],Erſtlich/ dieweil dieſes layd/ E. T. Fraw Mutter ſeligen toͤdlichen Abſchied betreffend/ die ſelbige ſampt dem Herꝛn Vattern vñ Brudern/ zum nechſten beruͤrt/ dz ſie alſo auß dieſer Leichtpꝛedig in jrem Chꝛiſtlichen troſt geſterckt wuͤrden/ ſolch betruͤbnuß mit geduldt zutragẽ.,erſtlich dieweil dieſes layd e t fraw mutter ſeligen toͤdlichen abſchied betreffend die ſelbige ſampt dem herꝛn vattern vñ brudern zum nechſten beruͤrt dz ſie alſo auß dieſer leichtpꝛedig in jrem chꝛiſtlichen troſt geſterckt wuͤrden ſolch betruͤbnuß mit geduldt zutragẽ,erstlich dieweil dieses layd e t fraw mutter seligen todlichen abschied betreffend die selbige sampt dem hern uattern und brudern zum nechsten berurt dz sie also auss dieser leichtpedig in irem chistlichen trost gesterckt wurden solch betrubnuss mit geduldt zutragen
524311,body,5,0,True,[6],Darnach/ dieweil E. T. an jrer lieben fraw Mutter ſeligen/ ein Exempel Chꝛiſtlichs glaubens/ Adelicher Tugenten/ vnnd ſeeligen Abſchieds gehabt/ das ſie jnen ſolches fuͤr die Augen ſtellen/ das reine heylige Euangelium/ darinnen die ſelbige vnderwiſen/ beſtendigklich lieben/ bekeñen/ ſich von aller anderer Lehꝛ/ die diſer Chꝛiſtlichen ſeligmachendẽ Lehꝛ zu wider/ fleißig huͤten/ in der vbung der Adelichen Tugenden/ darzu ſie bißher angehalten worden/ fortfahren/ vñ wañ wir dermalen eins auß diſem Jam̃erthal auß ziehẽ ſollen/ das wir auch in der heilſamen erkentnuß vñ anruͤffung Gottes vnd Mariæ Sons/ vnſers einigen Erloͤſers vnd ſeligmachers Jeſu Chꝛiſti/ ſeliglich abſcheiden Solches verleihe vns der einige wa re Gott/ Vatter/ Son vnnd heyliger Geiſt/ hoch gelobt in ewigkeit/ Amen.,darnach dieweil e t an jrer lieben fraw mutter ſeligen ein exempel chꝛiſtlichs glaubens adelicher tugenten vnnd ſeeligen abſchieds gehabt das ſie jnen ſolches fuͤr die augen ſtellen das reine heylige euangelium darinnen die ſelbige vnderwiſen beſtendigklich lieben bekeñen ſich von aller anderer lehꝛ die diſer chꝛiſtlichen ſeligmachendẽ lehꝛ zu wider fleißig huͤten in der vbung der adelichen tugenden darzu ſie bißher angehalten worden fortfahren vñ wañ wir dermalen eins auß diſem jam̃erthal auß ziehẽ ſollen das wir auch in der heilſamen erkentnuß vñ anruͤffung gottes vnd mariæ sons vnſers einigen erloͤſers vnd ſeligmachers jeſu chꝛiſti ſeliglich abſcheiden solches verleihe vns der einige wa re gott vatter son vnnd heyliger geiſt hoch gelobt in ewigkeit amen,darnach dieweil e t an irer lieben fraw mutter seligen ein exempel chistlichs glaubens adelicher tugenten unnd seeligen abschieds gehabt das sie inen solches fur die augen stellen das reine heylige euangelium darinnen die selbige underwisen bestendigklich lieben bekennen sich uon aller anderer leh die diser chistlichen seligmachenden leh zu wider fleissig huten in der ubung der adelichen tugenden darzu sie bissher angehalten worden fortfahren und wann wir dermalen eins auss disem iammerthal auss ziehen sollen das wir auch in der heilsamen erkentnuss und anruffung gottes und mariae sons unsers einigen erlosers und seligmachers iesu chisti seliglich abscheiden solches uerleihe uns der einige wa re gott uatter son unnd heyliger geist hoch gelobt in ewigkeit amen
524311,body,6,0,True,[6],E. T. in Ebren dienſtwilliger/ Jacobus Schopper/ der N. Goͤttlichen ſchrifft D.,e t in ebren dienſtwilliger jacobus schopper der n goͤttlichen ſchrifft d,e t in ebren dienstwilliger iacobus schopper der n gottlichen schrifft d
524311,head,7,0,True,[7],Text.,text,text
524311,body,8,0,False,[7],Johan: am 11. Cap. JEſus ſpricht zu Martha: Jch bin die Aufferſtehung vnnd das Leben/ wer an mich Glaubet/ der wirdt leben/ ob er gleich ſtuͤrbe/ vnnd wer da lebet vnd glaubet an mich/ der wirdt nim̃ermehr ſterben.,johan am cap jeſus ſpricht zu martha jch bin die aufferſtehung vnnd das leben wer an mich glaubet der wirdt leben ob er gleich ſtuͤrbe vnnd wer da lebet vnd glaubet an mich der wirdt nim̃ermehr ſterben,iohan am cap iesus spricht zu martha ich bin die aufferstehung unnd das leben wer an mich glaubet der wirdt leben ob er gleich sturbe unnd wer da lebet und glaubet an mich der wirdt nimmermehr sterben
524311,body,8,1,False,[7],Glaubſtu das?,glaubſtu das,glaubstu das
