doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_splendorsolis_1590,head,0,0,True,1,Das gegenwertige Büchlein wird genandt Splendor Solis oder Sonnenglantz. Teilet sich in Siben Tractat/ durch welche beschriben wird/ die künstliche wirckunge des verborgenen Steins der Alten Weissen/ Wiewol alles/ so die Natur erfordert/ clärlich zu volbringen/ das gantze Werck in denen begriffen wird/ vnd mit sampt allen Mitteln der zugelegten ding: Noch dann ist sich keinem dorauff zu versehen/ die Heimligkeit der Edlen Kunst aus Aigenem verstande zuergreiffen.,das gegenwertige büchlein wird genandt splendor solis oder sonnenglantz teilet sich in siben tractat durch welche beschriben wird die künstliche wirckunge des verborgenen steins der alten weissen wiewol alles so die natur erfordert clärlich zu volbringen das gantze werck in denen begriffen wird vnd mit sampt allen mitteln der zugelegten ding noch dann ist sich keinem dorauff zu versehen die heimligkeit der edlen kunst aus aigenem verstande zuergreiffen,das gegenwertige buchlein wird genandt splendor solis oder sonnenglantz teilet sich in siben tractat durch welche beschriben wird die kunstliche wirckunge des uerborgenen steins der alten weissen wiewol alles so die natur erfordert clarlich zu uolbringen das gantze werck in denen begriffen wird und mit sampt allen mitteln der zugelegten ding noch dann ist sich keinem dorauff zu uersehen die heimligkeit der edlen kunst aus aigenem uerstande zuergreiffen
nn_splendorsolis_1590,head,1,0,True,5,Folget Erstlich die Vorrede in dieses Büchlein.,folget erstlich die vorrede in dieses büchlein,folget erstlich die uorrede in dieses buchlein
nn_splendorsolis_1590,body,2,0,False,5,"Alphidius/ Einer der alten Weisen spricht: Einem Ÿeden/ der Jhme nicht mag vornemen zuüberkommen die Kunst des Steins der Philosophi: Dehme ist mehr nutz, daß er sich nichts darinnen übe/ dann daß er etwas versuche.",alphidius einer der alten weisen spricht einem ÿeden der jhme nicht mag vornemen zuüberkommen die kunst des steins der philosophi dehme ist mehr nutz daß er sich nichts darinnen übe dann daß er etwas versuche,alphidius einer der alten weisen spricht einem yeden der ihme nicht mag uornemen zuuberkommen die kunst des steins der philosophi dehme ist mehr nutz dass er sich nichts darinnen ube dann dass er etwas uersuche
nn_splendorsolis_1590,body,2,1,True,5,Dergleichen redet Rasis im Büchlein des Lichts der Licht:,dergleichen redet rasis im büchlein des lichts der licht,dergleichen redet rasis im buchlein des lichts der licht
nn_splendorsolis_1590,body,3,0,False,5,"Es ist sich allen mit fleis zuverhütten, Jch erman sie auch hiemit am höchsten/ Daß sich nimanden vermeße zuverstehen die Vnerkante Vermischunge der Element.",es ist sich allen mit fleis zuverhütten jch erman sie auch hiemit am höchsten daß sich nimanden vermeße zuverstehen die vnerkante vermischunge der element,es ist sich allen mit fleis zuuerhutten ich erman sie auch hiemit am hochsten dass sich nimanden uermesse zuuerstehen die unerkante uermischunge der element
nn_splendorsolis_1590,body,3,1,False,5,Vnd das wil Rosinius sprechende: Alle die sich einlaßen in dise Kunst/ vnnd mangeln des Verstandes vnd erkantnus derer ding/ so die Philosophi in ihre Bücher geschriben haben: die irren vnzehlich.,vnd das wil rosinius sprechende alle die sich einlaßen in dise kunst vnnd mangeln des verstandes vnd erkantnus derer ding so die philosophi in ihre bücher geschriben haben die irren vnzehlich,und das wil rosinius sprechende alle die sich einlassen in dise kunst unnd mangeln des uerstandes und erkantnus derer ding so die philosophi in ihre bucher geschriben haben die irren unzehlich
nn_splendorsolis_1590,body,3,2,False,5,Dann die Philosophi haben diser Kunst grund gesetzet/ in ein natürlichen anfang aller verborgenen wirckung: Wiewol es ist offenbar/ das alle Leibliche ding ihren Vrsprung/ standt vnd wesen nemen aus der Erden/ nach ordenung der zeit/ so die Einflüß der Gestirn oder Planeten/ alß da sein: Sonn vnd Mond vnd die andern/ mit sampt den Vier Qualitäten der Element/ die sich ohne vnterlaß bewegen/ dorein wircken/ dardurch herfür gebracht werden/ aller vnd Jeder wachsender vnd geberender ding/ eines Ÿeden sonderlich geschlecht vnd gestalt in aigner Substants/ als dann solchs im anfang der beschaffung von Gott dem Erschaffer geschafft vnd gesetzet worden.,dann die philosophi haben diser kunst grund gesetzet in ein natürlichen anfang aller verborgenen wirckung wiewol es ist offenbar das alle leibliche ding ihren vrsprung standt vnd wesen nemen aus der erden nach ordenung der zeit so die einflüß der gestirn oder planeten alß da sein sonn vnd mond vnd die andern mit sampt den vier qualitäten der element die sich ohne vnterlaß bewegen dorein wircken dardurch herfür gebracht werden aller vnd jeder wachsender vnd geberender ding eines ÿeden sonderlich geschlecht vnd gestalt in aigner substants als dann solchs im anfang der beschaffung von gott dem erschaffer geschafft vnd gesetzet worden,dann die philosophi haben diser kunst grund gesetzet in ein naturlichen anfang aller uerborgenen wirckung wiewol es ist offenbar das alle leibliche ding ihren ursprung standt und wesen nemen aus der erden nach ordenung der zeit so die einfluss der gestirn oder planeten alss da sein sonn und mond und die andern mit sampt den uier qualitaten der element die sich ohne unterlass bewegen dorein wircken dardurch herfur gebracht werden aller und ieder wachsender und geberender ding eines yeden sonderlich geschlecht und gestalt in aigner substants als dann solchs im anfang der beschaffung uon gott dem erschaffer geschafft und gesetzet worden
nn_splendorsolis_1590,body,3,3,False,6,Demnach nemen auch alle Metall in ihren begin aus der Erden in einer sondern vnd aigenen Materi zusammen gefloßen/ aus den Vier aigenschafften der Vier Element mit einpflantzung der Metallischen Kräfft/ vnd ihre Sâmligkeit von den Einflüßen der Planeten darauff dinend: Als solchs wolbeschreibet der Natürliche Meister Aristoteles am Vierten Buch Metheororum/ da er redet: Wie das Quecksilber sey eine gemeine Materi aller Metall.,demnach nemen auch alle metall in ihren begin aus der erden in einer sondern vnd aigenen materi zusammen gefloßen aus den vier aigenschafften der vier element mit einpflantzung der metallischen kräfft vnd ihre sâmligkeit von den einflüßen der planeten darauff dinend als solchs wolbeschreibet der natürliche meister aristoteles am vierten buch metheororum da er redet wie das quecksilber sey eine gemeine materi aller metall,demnach nemen auch alle metall in ihren begin aus der erden in einer sondern und aigenen materi zusammen geflossen aus den uier aigenschafften der uier element mit einpflantzung der metallischen krafft und ihre samligkeit uon den einflussen der planeten darauff dinend als solchs wolbeschreibet der naturliche meister aristoteles am uierten buch metheororum da er redet wie das quecksilber sey eine gemeine materi aller metall
nn_splendorsolis_1590,body,3,4,False,6,Aber es ist zuwißen: Daß in der Natur das Erste ist die Materi zusammen geheuffet/ aus den Vier Elementen/ allein nach erkantnus vnd Eigenschafft der Natur/ dieselben Materi heisen die Philosophi Mercurium oder Quecksilbr.,aber es ist zuwißen daß in der natur das erste ist die materi zusammen geheuffet aus den vier elementen allein nach erkantnus vnd eigenschafft der natur dieselben materi heisen die philosophi mercurium oder quecksilbr,aber es ist zuwissen dass in der natur das erste ist die materi zusammen geheuffet aus den uier elementen allein nach erkantnus und eigenschafft der natur dieselben materi heisen die philosophi mercurium oder quecksilbr
nn_splendorsolis_1590,body,3,5,False,6,Wie aber diser Mercurius durch die wirckung der Natur zu einer volkommenen Form des Golds/ Silbers oder der andern Metall kompt/ ist nicht noth alhier zuwißen/ Es schreibens die Natürlichen Lehrer gnugsam in ihren Büchern.,wie aber diser mercurius durch die wirckung der natur zu einer volkommenen form des golds silbers oder der andern metall kompt ist nicht noth alhier zuwißen es schreibens die natürlichen lehrer gnugsam in ihren büchern,wie aber diser mercurius durch die wirckung der natur zu einer uolkommenen form des golds silbers oder der andern metall kompt ist nicht noth alhier zuwissen es schreibens die naturlichen lehrer gnugsam in ihren buchern
