doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_leichpredigt2_1590,head,0,0,True,1,Eine Christliche Leichpredigt/ Gethan Bey der Begrebnis weiland Der Durchleuchtigen Hochgebornen Fürstin vnd Frewlein/ Frewlein Sabinae Catharinae / Hertzogin zu Braunschweig vnd Lüneburg etc. den 14. Septembris/ ANNO 1590. Durch Basilium Satler D. Braunschweigischen Hoffprediger zu Wolffenbüttel. Heinrichstadt Durch Conradum Horn/Im Jar 1590.,eine christliche leichpredigt gethan bey der begrebnis weiland der durchleuchtigen hochgebornen fürstin vnd frewlein frewlein sabinae catharinae hertzogin zu braunschweig vnd lüneburg etc den septembris anno durch basilium satler d braunschweigischen hoffprediger zu wolffenbüttel heinrichstadt durch conradum horn im jar,eine christliche leichpredigt gethan bey der begrebnis weiland der durchleuchtigen hochgebornen furstin und frewlein frewlein sabinae catharinae hertzogin zu braunschweig und luneburg etc den septembris anno durch basilium satler d braunschweigischen hoffprediger zu wolffenbuttel heinrichstadt durch conradum horn im iar
sattler_leichpredigt2_1590,head,1,0,True,2,Roman. 14.,roman,roman
sattler_leichpredigt2_1590,body,2,0,False,2,VYser keiner lebt jhm selber / vnd keiner stirbet jhm selber / Leben wir / so leben wir dem HERRN / Sterben wir / so sterben wir dem HERRN: Darumb / wir leben oder sterben / so sind wir des,vyser keiner lebt jhm selber vnd keiner stirbet jhm selber leben wir so leben wir dem herrn sterben wir so sterben wir dem herrn darumb wir leben oder sterben so sind wir des,uyser keiner lebt ihm selber und keiner stirbet ihm selber leben wir so leben wir dem herrn sterben wir so sterben wir dem herrn darumb wir leben oder sterben so sind wir des
sattler_leichpredigt2_1590,body,2,1,True,2,HERRN. Denn dazu ist Christus auch gestorben vnd aufferstanden / vnd wieder lebendig worden / das er vber Todte vnd Lebendige HERR sey.,herrn denn dazu ist christus auch gestorben vnd aufferstanden vnd wieder lebendig worden das er vber todte vnd lebendige herr sey,herrn denn dazu ist christus auch gestorben und aufferstanden und wieder lebendig worden das er uber todte und lebendige herr sey
sattler_leichpredigt2_1590,head,3,0,True,2,Auslegung.,auslegung,auslegung
sattler_leichpredigt2_1590,body,4,0,False,2,GEliebte im HERRN / Wir haben dißmal zu jhrer Grab: vnd Ruhestedt beleitet / weilandt die Durchleuchtige / Hochgeborne Fürstin vnd Frewlein / Frewlein Sabina Catharina / Hertzogin zu Braunschweig vnd Lüneburg / etc.,geliebte im herrn wir haben dißmal zu jhrer grab vnd ruhestedt beleitet weilandt die durchleuchtige hochgeborne fürstin vnd frewlein frewlein sabina catharina hertzogin zu braunschweig vnd lüneburg etc,geliebte im herrn wir haben dissmal zu ihrer grab und ruhestedt beleitet weilandt die durchleuchtige hochgeborne furstin und frewlein frewlein sabina catharina hertzogin zu braunschweig und luneburg etc
sattler_leichpredigt2_1590,body,4,1,True,4,Vnd sein also allhie an diesem orth / innerhalb Vier Jaren / Drey Fürstliche Personen / am newlichsten für diesem / der dazumal regierende Landsfürst / vnd zuuor ein Junge Fürstin / dazumal vnsers jetzigen regierenden Landsfürsten Gemahel / jetzt aber ein Frewlein / mit Todt abgangen / vnd zu Grabe gebracht.,vnd sein also allhie an diesem orth innerhalb vier jaren drey fürstliche personen am newlichsten für diesem der dazumal regierende landsfürst vnd zuuor ein junge fürstin dazumal vnsers jetzigen regierenden landsfürsten gemahel jetzt aber ein frewlein mit todt abgangen vnd zu grabe gebracht,und sein also allhie an diesem orth innerhalb uier iaren drey furstliche personen am newlichsten fur diesem der dazumal regierende landsfurst und zuuor ein iunge furstin dazumal unsers ietzigen regierenden landsfursten gemahel ietzt aber ein frewlein mit todt abgangen und zu grabe gebracht
sattler_leichpredigt2_1590,body,5,0,True,4,Da wir denn bald bey dem jetzigen eingang in die Kirchen bedencken vnd behertzigen sollen / das weil ohn vnterscheid alle Menschen Sünder sein / so sein sie auch alle dem Tod / der der Sünden Soldt ist / vnterworffen / vnd schone also der Tod / oder vielmehr GOtt / der den Menschen den Tod aufflegt / dißfals keines Menschen / er sey Man oder Weib / Jung oder Alt / Hohes oder Niedriges Standes.,da wir denn bald bey dem jetzigen eingang in die kirchen bedencken vnd behertzigen sollen das weil ohn vnterscheid alle menschen sünder sein so sein sie auch alle dem tod der der sünden soldt ist vnterworffen vnd schone also der tod oder vielmehr gott der den menschen den tod aufflegt dißfals keines menschen er sey man oder weib jung oder alt hohes oder niedriges standes,da wir denn bald bey dem ietzigen eingang in die kirchen bedencken und behertzigen sollen das weil ohn unterscheid alle menschen sunder sein so sein sie auch alle dem tod der der sunden soldt ist unterworffen und schone also der tod oder uielmehr gott der den menschen den tod aufflegt dissfals keines menschen er sey man oder weib iung oder alt hohes oder niedriges standes
sattler_leichpredigt2_1590,body,6,0,True,4,DErowegen wir billig alle / vnd ein jeder für sich / wir sein wer wir wöllen / alle augenblick zum Tod vns schicken sollen / Vnd sol vns nicht anders zu sinnen sein / als wenn der Todte / den wir zu Grab bringen / aus dem Sarck vns anredete / vnd spreche / Gestern war es an mir / heute ists an dir / Wie Syrach am 38. leret.,derowegen wir billig alle vnd ein jeder für sich wir sein wer wir wöllen alle augenblick zum tod vns schicken sollen vnd sol vns nicht anders zu sinnen sein als wenn der todte den wir zu grab bringen aus dem sarck vns anredete vnd spreche gestern war es an mir heute ists an dir wie syrach am leret,derowegen wir billig alle und ein ieder fur sich wir sein wer wir wollen alle augenblick zum tod uns schicken sollen und sol uns nicht anders zu sinnen sein als wenn der todte den wir zu grab bringen aus dem sarck uns anredete und spreche gestern war es an mir heute ists an dir wie syrach am leret
sattler_leichpredigt2_1590,body,7,0,False,4,VND weil solchs nicht in vnsern krefften stehet / Der alte Adam gedencket nicht gern an den Todt / sondern wir sein sicher vnd verstockt / ob man gleich täglich einen Todten nach dem andern für vnsern Augen hertregt / Wir bilden vns ein / wir wöllen noch lang / oder fast ewig hie bleiben (denn keiner so alt oder schwach / er meinet / er habe noch lenger zu leben) sollen wir einen seufftzen zu Gott im Himmel lassen gehen / vnd mit Mose Psal. 90. vnd Dauid Psal. 39. bitten: HERR / lehre vns bedencken / das wir sterben müssen.,vnd weil solchs nicht in vnsern krefften stehet der alte adam gedencket nicht gern an den todt sondern wir sein sicher vnd verstockt ob man gleich täglich einen todten nach dem andern für vnsern augen hertregt wir bilden vns ein wir wöllen noch lang oder fast ewig hie bleiben denn keiner so alt oder schwach er meinet er habe noch lenger zu leben sollen wir einen seufftzen zu gott im himmel lassen gehen vnd mit mose psal vnd dauid psal bitten herr lehre vns bedencken das wir sterben müssen,und weil solchs nicht in unsern krefften stehet der alte adam gedencket nicht gern an den todt sondern wir sein sicher und uerstockt ob man gleich taglich einen todten nach dem andern fur unsern augen hertregt wir bilden uns ein wir wollen noch lang oder fast ewig hie bleiben denn keiner so alt oder schwach er meinet er habe noch lenger zu leben sollen wir einen seufftzen zu gott im himmel lassen gehen und mit mose psal und dauid psal bitten herr lehre uns bedencken das wir sterben mussen
