doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_trostpredigt_1592,head,0,0,True,1,Trostpredigt Von dem spruch Pauli / Roman. 8. Ist Gott für vns / wer mag wieder vns sein etc. Gethan Bey der Begrebnis Der Edlen vñd vieltugentsamen Frawen / Magdalena / gebornen von Stöckem / Des Edlen vnd Ehrnuesten Frantzen von Rheden/ F. B. Hoffmarschalcks zu Wolfenbüttel ehelichen Hausfrauwen/den 18. Januarij Anno 1592. Durch Basilium Satler D. Braunschweigischen Hoffprediger zu Wolffenbüttel. Heinrichstadt Durch Conradum Horn / Im Jahr 1592.,trostpredigt von dem spruch pauli roman ist gott für vns wer mag wieder vns sein etc gethan bey der begrebnis der edlen vñd vieltugentsamen frawen magdalena gebornen von stöckem des edlen vnd ehrnuesten frantzen von rheden f b hoffmarschalcks zu wolfenbüttel ehelichen hausfrauwen den januarij anno durch basilium satler d braunschweigischen hoffprediger zu wolffenbüttel heinrichstadt durch conradum horn im jahr,trostpredigt uon dem spruch pauli roman ist gott fur uns wer mag wieder uns sein etc gethan bey der begrebnis der edlen unnd uieltugentsamen frawen magdalena gebornen uon stockem des edlen und ehrnuesten frantzen uon rheden f b hoffmarschalcks zu wolfenbuttel ehelichen hausfrauwen den ianuarii anno durch basilium satler d braunschweigischen hoffprediger zu wolffenbuttel heinrichstadt durch conradum horn im iahr
sattler_trostpredigt_1592,head,1,0,True,1,Epitaphium.,epitaphium,epitaphium
sattler_trostpredigt_1592,body,2,0,True,3,"Mag dala Stockhemiae stirpis generosa propago, Redeniae decus & pulcra corona domus. Corporis exuvijs hac est tellure sepulta, Septimi ubi partus victa dolore fuit. Spiritus aethereâ laetus sed in arce triumphans, Praemia pro paruo magna labore capit. Te duce Christe, brevi redeant in corpora mentes, Et canat angelicus claßica laeta chorus.",mag dala stockhemiae stirpis generosa propago redeniae decus & pulcra corona domus corporis exuvijs hac est tellure sepulta septimi ubi partus victa dolore fuit spiritus aethereâ laetus sed in arce triumphans praemia pro paruo magna labore capit te duce christe brevi redeant in corpora mentes et canat angelicus claßica laeta chorus,mag dala stockhemiae stirpis generosa propago redeniae decus et pulcra corona domus corporis exuuiis hac est tellure sepulta septimi ubi partus uicta dolore fuit spiritus aetherea laetus sed in arce triumphans praemia pro paruo magna labore capit te duce christe breui redeant in corpora mentes et canat angelicus classica laeta chorus
sattler_trostpredigt_1592,head,3,0,True,3,Rom. 8.,rom,rom
sattler_trostpredigt_1592,body,4,0,False,3,WAs wöllen wir dañ weiter sagen?,was wöllen wir dañ weiter sagen,was wollen wir dann weiter sagen
sattler_trostpredigt_1592,body,4,1,False,3,Ist Gott für vns / wer mag wider vns sem?,ist gott für vns wer mag wider vns sem,ist gott fur uns wer mag wider uns sem
sattler_trostpredigt_1592,body,4,2,False,3,Welcher auch seines eigen Sons nicht hat verschonet / sondern hat jhn für vns alle dahin gegeben / Wie solt er vns mit jhm nicht alles schencken?,welcher auch seines eigen sons nicht hat verschonet sondern hat jhn für vns alle dahin gegeben wie solt er vns mit jhm nicht alles schencken,welcher auch seines eigen sons nicht hat uerschonet sondern hat ihn fur uns alle dahin gegeben wie solt er uns mit ihm nicht alles schencken
sattler_trostpredigt_1592,body,4,3,False,3,Wer wil die Ausserwehlten GOttes beschüldigen?,wer wil die ausserwehlten gottes beschüldigen,wer wil die ausserwehlten gottes beschuldigen
sattler_trostpredigt_1592,body,4,4,False,3,GOtt ist hie / der da gerecht machet / Wer wil verdammen?,gott ist hie der da gerecht machet wer wil verdammen,gott ist hie der da gerecht machet wer wil uerdammen
sattler_trostpredigt_1592,body,4,5,True,3,Christus ist hie / der gestorben / jha viel mehr / der auch aufferwecket ist / welcher ist zur Rechten Gottes / vnd vertrit vns.,christus ist hie der gestorben jha viel mehr der auch aufferwecket ist welcher ist zur rechten gottes vnd vertrit vns,christus ist hie der gestorben iha uiel mehr der auch aufferwecket ist welcher ist zur rechten gottes und uertrit uns
sattler_trostpredigt_1592,body,5,0,False,3,Wer wil vns scheiden von der liebe GOttes?,wer wil vns scheiden von der liebe gottes,wer wil uns scheiden uon der liebe gottes
sattler_trostpredigt_1592,body,5,1,False,3,Trübsal oder angst?,trübsal oder angst,trubsal oder angst
