doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_vermahnung_1594,head,0,0,True,1,Kurtze vnd Christliche Vermanung an die Hochlöbliche Fürsten vnd Ehrliche Kriegsleut / So sich in diesem Christlichen Zug wider den Erbfeind des Christlichen Nahmens den Türcken gebrauchen lassen / sampt angehengetem Gebet/ Gestellet durch Bastlium Satler/ der H. Schrifft Doctorem / vnd Braunschweigeischen Hoffprediger zu Wolffenbüttel. Allen Christlichen Kriegsleuten / vnd andern frommen Hertzen in jetzigem Zustandder Christenheit nutz vnd tröstlich zulesen. Heinrichstadt/ Durch Conrad Horn 1594.,kurtze vnd christliche vermanung an die hochlöbliche fürsten vnd ehrliche kriegsleut so sich in diesem christlichen zug wider den erbfeind des christlichen nahmens den türcken gebrauchen lassen sampt angehengetem gebet gestellet durch bastlium satler der h schrifft doctorem vnd braunschweigeischen hoffprediger zu wolffenbüttel allen christlichen kriegsleuten vnd andern frommen hertzen in jetzigem zustandder christenheit nutz vnd tröstlich zulesen heinrichstadt durch conrad horn,kurtze und christliche uermanung an die hochlobliche fursten und ehrliche kriegsleut so sich in diesem christlichen zug wider den erbfeind des christlichen nahmens den turcken gebrauchen lassen sampt angehengetem gebet gestellet durch bastlium satler der h schrifft doctorem und braunschweigeischen hoffprediger zu wolffenbuttel allen christlichen kriegsleuten und andern frommen hertzen in ietzigem zustandder christenheit nutz und trostlich zulesen heinrichstadt durch conrad horn
sattler_vermahnung_1594,head,1,0,True,3,Den Durchleuchtigen Hochgebornen Fürsten vnd Herrn / Herrn Frantzen / Hertzogen zu Sachsen Engern vnd Westfalẽ / vnd Herrn Joachim Carln / Tum-Probst des Hohen Stiffts Straßburg / Hertzogen zu Braunschweig vnd Lüneburg / Meinen gnedigen Fürsten vnd Herrn.,den durchleuchtigen hochgebornen fürsten vnd herrn herrn frantzen hertzogen zu sachsen engern vnd westfalẽ vnd herrn joachim carln tumprobst des hohen stiffts straßburg hertzogen zu braunschweig vnd lüneburg meinen gnedigen fürsten vnd herrn,den durchleuchtigen hochgebornen fursten und herrn herrn frantzen hertzogen zu sachsen engern und westfalen und herrn ioachim carln tumprobst des hohen stiffts strassburg hertzogen zu braunschweig und luneburg meinen gnedigen fursten und herrn
sattler_vermahnung_1594,head,2,0,True,3,Auch allen andern hohes vnd niederstands Personen / so sich in diesem Christlichen Krieg wider den Erbfeind des Christlichen Namens den Türcken gebrauchen lassen.,auch allen andern hohes vnd niederstands personen so sich in diesem christlichen krieg wider den erbfeind des christlichen namens den türcken gebrauchen lassen,auch allen andern hohes und niederstands personen so sich in diesem christlichen krieg wider den erbfeind des christlichen namens den turcken gebrauchen lassen
sattler_vermahnung_1594,head,3,0,True,3,Wünsche ich Basilius Satler der H. Schrifft Doctor / GOttes Gnad vnd Beystandt.,wünsche ich basilius satler der h schrifft doctor gottes gnad vnd beystandt,wunsche ich basilius satler der h schrifft doctor gottes gnad und beystandt
sattler_vermahnung_1594,body,4,0,True,4,DVrchleuchtige Hochgeborne Fürsten / Wolgeborne Grafen vnd Gnedige Herrn / Auch Gestrenge Edle Ehrnveste / Manhaffte günstige Juncker vnd Freund: Ob ich mir wol gantz vnd gar keinen zweiffel mache / es werden E. F. G. Gn. vnd Gest: gegen diesem Christlichen zug wider den grewlichen Erbfeind des Christlichen Namens den Türckẽ / sich altem löblichen Teutschen gebrauch nach mit reiner Apostolischer Lehr zugethanen Predigern wolgefast machen / die auch verhoffentlich jr befohlenes Ambt mit allem ernst warnehmen / vnd nichts vnterlassen werden / was zu vnterricht Trost vnd Vermanung ehrlicher Kriegsleut zu dieser jetzigẽ gelegẽheit nötig sein wird: Jedoch das ich für mein geringe Person / bezeu gete / das dieser Christliche Zug / daran dem gemeinen Vaterlandt / Teutscher Nation / vnd der gantzen Christlichen Kirchen zum höchsten gelegen / auch nur zu hertzen gehe / vnd ich das mein dabey zuthun geneigt sey / Habe ich diese kurtze vnterricht / Trost / vñ Vermanungsschrifft / An E. F. G. Gn. vnd Gest: abgehen lassen / Vnd das sie / weil sonst die Predigten / so teglich von den Feldpredigern geschehen / nicht also auffgefangen vnd nachgelesen werden können / ein jeder bey sich tragen vnd derselben eingedenck sein köndte / in den Truck verfertigen wöllen / Vnterthenig dienstlich vnd freundlich bittende / E. F. G. Gn. vnd Gest. solches als wolgemeine gnedig günstig vnd freundlich von mir auff vnd annemen / Vnd nicht meiner Person wegen / Sondern weil es Gottes Wort ist / dieselbige stets für Augen haben / vnd sich darnach richten wöllen / so wird Gott mit E. F. G. Gn. vnd Gest. sein / vñ sie weder im leben noch sterben / da je auff diesem Zug derselben stündlein zu sterben einstheils kommen solte / verlassen.,dvrchleuchtige hochgeborne fürsten wolgeborne grafen vnd gnedige herrn auch gestrenge edle ehrnveste manhaffte günstige juncker vnd freund ob ich mir wol gantz vnd gar keinen zweiffel mache es werden e f g gn vnd gest gegen diesem christlichen zug wider den grewlichen erbfeind des christlichen namens den türckẽ sich altem löblichen teutschen gebrauch nach mit reiner apostolischer lehr zugethanen predigern wolgefast machen die auch verhoffentlich jr befohlenes ambt mit allem ernst warnehmen vnd nichts vnterlassen werden was zu vnterricht trost vnd vermanung ehrlicher kriegsleut zu dieser jetzigẽ gelegẽheit nötig sein wird jedoch das ich für mein geringe person bezeu gete das dieser christliche zug daran dem gemeinen vaterlandt teutscher nation vnd der gantzen christlichen kirchen zum höchsten gelegen auch nur zu hertzen gehe vnd ich das mein dabey zuthun geneigt sey habe ich diese kurtze vnterricht trost vñ vermanungsschrifft an e f g gn vnd gest abgehen lassen vnd das sie weil sonst die predigten so teglich von den feldpredigern geschehen nicht also auffgefangen vnd nachgelesen werden können ein jeder bey sich tragen vnd derselben eingedenck sein köndte in den truck verfertigen wöllen vnterthenig dienstlich vnd freundlich bittende e f g gn vnd gest solches als wolgemeine gnedig günstig vnd freundlich von mir auff vnd annemen vnd nicht meiner person wegen sondern weil es gottes wort ist dieselbige stets für augen haben vnd sich darnach richten wöllen so wird gott mit e f g gn vnd gest sein vñ sie weder im leben noch sterben da je auff diesem zug derselben stündlein zu sterben einstheils kommen solte verlassen,durchleuchtige hochgeborne fursten wolgeborne grafen und gnedige herrn auch gestrenge edle ehrnueste manhaffte gunstige iuncker und freund ob ich mir wol gantz und gar keinen zweiffel mache es werden e f g gn und gest gegen diesem christlichen zug wider den grewlichen erbfeind des christlichen namens den turcken sich altem loblichen teutschen gebrauch nach mit reiner apostolischer lehr zugethanen predigern wolgefast machen die auch uerhoffentlich ir befohlenes ambt mit allem ernst warnehmen und nichts unterlassen werden was zu unterricht trost und uermanung ehrlicher kriegsleut zu dieser ietzigen gelegenheit notig sein wird iedoch das ich fur mein geringe person bezeu gete das dieser christliche zug daran dem gemeinen uaterlandt teutscher nation und der gantzen christlichen kirchen zum hochsten gelegen auch nur zu hertzen gehe und ich das mein dabey zuthun geneigt sey habe ich diese kurtze unterricht trost und uermanungsschrifft an e f g gn und gest abgehen lassen und das sie weil sonst die predigten so teglich uon den feldpredigern geschehen nicht also auffgefangen und nachgelesen werden konnen ein ieder bey sich tragen und derselben eingedenck sein kondte in den truck uerfertigen wollen unterthenig dienstlich und freundlich bittende e f g gn und gest solches als wolgemeine gnedig gunstig und freundlich uon mir auff und annemen und nicht meiner person wegen sondern weil es gottes wort ist dieselbige stets fur augen haben und sich darnach richten wollen so wird gott mit e f g gn und gest sein und sie weder im leben noch sterben da ie auff diesem zug derselben stundlein zu sterben einstheils kommen solte uerlassen
sattler_vermahnung_1594,body,5,0,False,6,Anfenglich nun wil sehr nötig sein / das E. F. G. Gn. vnd wir alle bedencken vñ behertzigen / woher diese straffe komme / das der grawsame Erbfeind des Christlichen Nahmens / der weder Junger noch Alter Leut / weder Man noch Weibspersonen schonet / jetzund also auffwachet / vnd den gantzen Christlichẽ Namen zuuertilgẽ sich vnterstehet / nemlich das es weder dem Gestirn / noch des Türckens Toben vnd wüten oder andern dergleichẽ zufellen vrsprünglich zuzuschreiben / sonder das dieses alles von Gott herrüre / vnd er es zulasse vnd verhenge / von wegen vnser Sünden.,anfenglich nun wil sehr nötig sein das e f g gn vnd wir alle bedencken vñ behertzigen woher diese straffe komme das der grawsame erbfeind des christlichen nahmens der weder junger noch alter leut weder man noch weibspersonen schonet jetzund also auffwachet vnd den gantzen christlichẽ namen zuuertilgẽ sich vnterstehet nemlich das es weder dem gestirn noch des türckens toben vnd wüten oder andern dergleichẽ zufellen vrsprünglich zuzuschreiben sonder das dieses alles von gott herrüre vnd er es zulasse vnd verhenge von wegen vnser sünden,anfenglich nun wil sehr notig sein das e f g gn und wir alle bedencken und behertzigen woher diese straffe komme das der grawsame erbfeind des christlichen nahmens der weder iunger noch alter leut weder man noch weibspersonen schonet ietzund also auffwachet und den gantzen christlichen namen zuuertilgen sich unterstehet nemlich das es weder dem gestirn noch des turckens toben und wuten oder andern dergleichen zufellen ursprunglich zuzuschreiben sonder das dieses alles uon gott herrure und er es zulasse und uerhenge uon wegen unser sunden
sattler_vermahnung_1594,body,5,1,True,7,Wie er denn drewet / Leuit. 26. Wo jr mir entgegen wandeln / vnd mich nicht hören wolt / so wil ich euch entgegen wandlen / vnd wil ein Rachschwerd vber euch bringen / das meinẽ Bund rechen sol / Vnd Deut. 28. Der HERR wird ein Volck vber dich schicken / von fern / võ der Welt Ende / wie ein Adler fleugt / des sprach du nicht verstehest / ein frech Volck / das nicht ansihet die Person der Alten / noch schonet der Jünglingen / vnd wird verzehren die Frucht deines Viehes / vnd die Frucht deines Landes / biß du vertilget werdest.,wie er denn drewet leuit wo jr mir entgegen wandeln vnd mich nicht hören wolt so wil ich euch entgegen wandlen vnd wil ein rachschwerd vber euch bringen das meinẽ bund rechen sol vnd deut der herr wird ein volck vber dich schicken von fern võ der welt ende wie ein adler fleugt des sprach du nicht verstehest ein frech volck das nicht ansihet die person der alten noch schonet der jünglingen vnd wird verzehren die frucht deines viehes vnd die frucht deines landes biß du vertilget werdest,wie er denn drewet leuit wo ir mir entgegen wandeln und mich nicht horen wolt so wil ich euch entgegen wandlen und wil ein rachschwerd uber euch bringen das meinen bund rechen sol und deut der herr wird ein uolck uber dich schicken uon fern uon der welt ende wie ein adler fleugt des sprach du nicht uerstehest ein frech uolck das nicht ansihet die person der alten noch schonet der iunglingen und wird uerzehren die frucht deines uiehes und die frucht deines landes biss du uertilget werdest
sattler_vermahnung_1594,body,6,0,False,7,Vnd sol sich da ja keiner außschliessen / als wenn er nicht schuld daran hette / Sonder bedencken vnd bekennen / Das er für seine Person / nicht weniger / Sondern noch wol mehr / als andere / mit allerley Sünde / die einem jeden sein Hertz wol anzeigen wird / diese schreckliche Landstraff Gottes verursacht habe.,vnd sol sich da ja keiner außschliessen als wenn er nicht schuld daran hette sonder bedencken vnd bekennen das er für seine person nicht weniger sondern noch wol mehr als andere mit allerley sünde die einem jeden sein hertz wol anzeigen wird diese schreckliche landstraff gottes verursacht habe,und sol sich da ia keiner aussschliessen als wenn er nicht schuld daran hette sonder bedencken und bekennen das er fur seine person nicht weniger sondern noch wol mehr als andere mit allerley sunde die einem ieden sein hertz wol anzeigen wird diese schreckliche landstraff gottes uerursacht habe
sattler_vermahnung_1594,body,6,1,False,8,Wie deñ der König Dauid / als die Landstraff der Pestilentz vber Israel kam / sich nicht von denen die sie verdienet außnimbt / vñ entschüldiget / Sondern jhm selber mehr vnrecht gibt / als andern / 2. Sam. 24. Sihe / sprichter zu GOtt / Ich habe diese Missethat gethan / was haben diese Schaffe gethan?,wie deñ der könig dauid als die landstraff der pestilentz vber israel kam sich nicht von denen die sie verdienet außnimbt vñ entschüldiget sondern jhm selber mehr vnrecht gibt als andern sam sihe sprichter zu gott ich habe diese missethat gethan was haben diese schaffe gethan,wie denn der konig dauid als die landstraff der pestilentz uber israel kam sich nicht uon denen die sie uerdienet aussnimbt und entschuldiget sondern ihm selber mehr unrecht gibt als andern sam sihe sprichter zu gott ich habe diese missethat gethan was haben diese schaffe gethan
sattler_vermahnung_1594,body,6,2,False,8,Vnd Jer: Thren: 3. als die Jüden ins Babylonische Gefengnis geführet waren / spricht / Wer darff denn sagen / das solches geschehe ohn des HErrn befehl / vnd das weder böses noch gutes kome aus dem Mund des Allerhöchsten?,vnd jer thren als die jüden ins babylonische gefengnis geführet waren spricht wer darff denn sagen das solches geschehe ohn des herrn befehl vnd das weder böses noch gutes kome aus dem mund des allerhöchsten,und ier thren als die iuden ins babylonische gefengnis gefuhret waren spricht wer darff denn sagen das solches geschehe ohn des herrn befehl und das weder boses noch gutes kome aus dem mund des allerhochsten
