doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
musaeus_leichpredigt_1595,head,0,0,True,1,"Leichpredigt Bey der Begrebnis des Weilandt Ehrnuesten / Erbarn vnd Vorsichtigen Heinrich Lappen/Fürstlichen Braunsch weigischen Rahts vnd Ampt Secretarij/ Welcher den 31. Octobris dieses 94. Jars (war der Donnerstag nach Simonis vnd Judae) in wahrer anruffung Gottes selig vnd sanfft entschlaffen: Sein Leich aber den folgenden 3. Nouembris Christlich zur Erden bestattet worden. Gethan in der Heinrichstadt Durch M: PAVLVM MVSAEVM, Pfarherrn vnd Superintendenten daselbst. Heinrichstadt Durch Conrad Horn / im Jar nach Christi Geburt 1595.",leichpredigt bey der begrebnis des weilandt ehrnuesten erbarn vnd vorsichtigen heinrich lappen fürstlichen braunsch weigischen rahts vnd ampt secretarij welcher den octobris dieses jars war der donnerstag nach simonis vnd judae in wahrer anruffung gottes selig vnd sanfft entschlaffen sein leich aber den folgenden nouembris christlich zur erden bestattet worden gethan in der heinrichstadt durch m pavlvm mvsaevm pfarherrn vnd superintendenten daselbst heinrichstadt durch conrad horn im jar nach christi geburt,leichpredigt bey der begrebnis des weilandt ehrnuesten erbarn und uorsichtigen heinrich lappen furstlichen braunsch weigischen rahts und ampt secretarii welcher den octobris dieses iars war der donnerstag nach simonis und iudae in wahrer anruffung gottes selig und sanfft entschlaffen sein leich aber den folgenden nouembris christlich zur erden bestattet worden gethan in der heinrichstadt durch m paulum musaeum pfarherrn und superintendenten daselbst heinrichstadt durch conrad horn im iar nach christi geburt
musaeus_leichpredigt_1595,head,1,0,True,3,Der Erbarn vnd Ehrntugentsamen Frawen / Marien / des weilandt Ehrnuesten vnd Erbarn Heinrich Lappen / Fürstlichen Braunschweigischen Rahts / vnd Oberampt Secretarij hinterlassener Widwen / meiner günstigen Freundinnen.,der erbarn vnd ehrntugentsamen frawen marien des weilandt ehrnuesten vnd erbarn heinrich lappen fürstlichen braunschweigischen rahts vnd oberampt secretarij hinterlassener widwen meiner günstigen freundinnen,der erbarn und ehrntugentsamen frawen marien des weilandt ehrnuesten und erbarn heinrich lappen furstlichen braunschweigischen rahts und oberampt secretarii hinterlassener widwen meiner gunstigen freundinnen
musaeus_leichpredigt_1595,body,2,0,False,3,ERbare vnd Tugentsame Fraw / Demnach GOtt der Allmechtig ewern nunmehr seligen lieben Haußwirt vnd Herrn / durch den leiblichen Todt / zu sich aus diesem Jammerthal abgefordert / vnd euch in den betrübten Widwen Standt gesetzt hat: Darin jhr verstehen könnet / was es fur einen zustandt vnd gelegenheit habe / vmb die gantze Kirche Christi auff Erden: Welche GOtt Esai. 54. auch vergleichet einem verlassenen vnd von Hertzen betrübten Weibe / einem Jungen Weibe / die jhres Mannes beraubet / vnd von menniglich verlassen vnd verstossen ist.,erbare vnd tugentsame fraw demnach gott der allmechtig ewern nunmehr seligen lieben haußwirt vnd herrn durch den leiblichen todt zu sich aus diesem jammerthal abgefordert vnd euch in den betrübten widwen standt gesetzt hat darin jhr verstehen könnet was es fur einen zustandt vnd gelegenheit habe vmb die gantze kirche christi auff erden welche gott esai auch vergleichet einem verlassenen vnd von hertzen betrübten weibe einem jungen weibe die jhres mannes beraubet vnd von menniglich verlassen vnd verstossen ist,erbare und tugentsame fraw demnach gott der allmechtig ewern nunmehr seligen lieben hausswirt und herrn durch den leiblichen todt zu sich aus diesem iammerthal abgefordert und euch in den betrubten widwen standt gesetzt hat darin ihr uerstehen konnet was es fur einen zustandt und gelegenheit habe umb die gantze kirche christi auff erden welche gott esai auch uergleichet einem uerlassenen und uon hertzen betrubten weibe einem iungen weibe die ihres mannes beraubet und uon menniglich uerlassen und uerstossen ist
musaeus_leichpredigt_1595,body,2,1,False,3,Als habe ich diese einfeltige Leichpredigt / so ich bey der Begrebnis ewers seligen Herrn gethan / in Druck geben wollen: Damit nicht allein jhr / in ewerm Creutz vnd bekümmernis / daraus etwas trost schöpffen möchtet: Sondern auch / das sie dem Verstorbenen / ein öffentlich zeugnis were / seines Christseligen Endes / wieder die lesterung leichtfertiger Leute / die sich nicht schewen / seinen Ehrlichen guten Namen / vnd seliges Ruhestettlin mit allerley vnuerschempten öffentlichen Lügen zubeschmitzen / vnd verunruhigen.,als habe ich diese einfeltige leichpredigt so ich bey der begrebnis ewers seligen herrn gethan in druck geben wollen damit nicht allein jhr in ewerm creutz vnd bekümmernis daraus etwas trost schöpffen möchtet sondern auch das sie dem verstorbenen ein öffentlich zeugnis were seines christseligen endes wieder die lesterung leichtfertiger leute die sich nicht schewen seinen ehrlichen guten namen vnd seliges ruhestettlin mit allerley vnuerschempten öffentlichen lügen zubeschmitzen vnd verunruhigen,als habe ich diese einfeltige leichpredigt so ich bey der begrebnis ewers seligen herrn gethan in druck geben wollen damit nicht allein ihr in ewerm creutz und bekummernis daraus etwas trost schopffen mochtet sondern auch das sie dem uerstorbenen ein offentlich zeugnis were seines christseligen endes wieder die lesterung leichtfertiger leute die sich nicht schewen seinen ehrlichen guten namen und seliges ruhestettlin mit allerley unuerschempten offentlichen lugen zubeschmitzen und uerunruhigen
musaeus_leichpredigt_1595,body,2,2,False,3,Denn ob wol solch vnnütz geplauder / dazu die jetzige vorwitzige Welt fast geneigt ist / keiner Wiederlegung bedarff / dieweil es bey Ehrlichen vnd verstendigen Leuten kein gehör findet: Dennoch habe ich mich schüldig erachtet / ewers Herrn seligen / als meines gewesenen Beichtkindes / vnd bey dessen End ich neben andern gewesen / Christlichen Namen / mit dieser geringen Arbeit / etwas zuuertretten / Euch auch vnd andern vornehmen Ehrlichen Leuten / die jhn in seinem leben gekant / geehret vnd geliebet / vnd nunmehr vielleicht auch seines seligen Endes / gerne bericht hetten / damit zudienen / Damit sie sich solches guten vnd Christlichen Beschlusses seines vollendeten lauffs / mit jhm desto mehr zuerfrewen hetten / Auch sich selbst aus seinem Exempel zu gleicher seligen hinfarth desto besser bereiten lerneten / Wollet derowegen diesen meinen guten willen im besten auffnhemen.,denn ob wol solch vnnütz geplauder dazu die jetzige vorwitzige welt fast geneigt ist keiner wiederlegung bedarff dieweil es bey ehrlichen vnd verstendigen leuten kein gehör findet dennoch habe ich mich schüldig erachtet ewers herrn seligen als meines gewesenen beichtkindes vnd bey dessen end ich neben andern gewesen christlichen namen mit dieser geringen arbeit etwas zuuertretten euch auch vnd andern vornehmen ehrlichen leuten die jhn in seinem leben gekant geehret vnd geliebet vnd nunmehr vielleicht auch seines seligen endes gerne bericht hetten damit zudienen damit sie sich solches guten vnd christlichen beschlusses seines vollendeten lauffs mit jhm desto mehr zuerfrewen hetten auch sich selbst aus seinem exempel zu gleicher seligen hinfarth desto besser bereiten lerneten wollet derowegen diesen meinen guten willen im besten auffnhemen,denn ob wol solch unnutz geplauder dazu die ietzige uorwitzige welt fast geneigt ist keiner wiederlegung bedarff dieweil es bey ehrlichen und uerstendigen leuten kein gehor findet dennoch habe ich mich schuldig erachtet ewers herrn seligen als meines gewesenen beichtkindes und bey dessen end ich neben andern gewesen christlichen namen mit dieser geringen arbeit etwas zuuertretten euch auch und andern uornehmen ehrlichen leuten die ihn in seinem leben gekant geehret und geliebet und nunmehr uielleicht auch seines seligen endes gerne bericht hetten damit zudienen damit sie sich solches guten und christlichen beschlusses seines uollendeten lauffs mit ihm desto mehr zuerfrewen hetten auch sich selbst aus seinem exempel zu gleicher seligen hinfarth desto besser bereiten lerneten wollet derowegen diesen meinen guten willen im besten auffnhemen
musaeus_leichpredigt_1595,body,2,3,False,4,GOtt der Vater aller Gnaden vnd Trostes / der euch diß Creutz auffgelegt / wolle selbst durch seinen heiligen Geist lebendigen Trost in ewerm Hertzen wircken / euch an Leib vnd Seele stercken / auch zeitlich vnd ewiglich erfrewen.,gott der vater aller gnaden vnd trostes der euch diß creutz auffgelegt wolle selbst durch seinen heiligen geist lebendigen trost in ewerm hertzen wircken euch an leib vnd seele stercken auch zeitlich vnd ewiglich erfrewen,gott der uater aller gnaden und trostes der euch diss creutz auffgelegt wolle selbst durch seinen heiligen geist lebendigen trost in ewerm hertzen wircken euch an leib und seele stercken auch zeitlich und ewiglich erfrewen
musaeus_leichpredigt_1595,body,2,4,True,4,Vnd vns allesampt als arme Widwen vnd Waysen auff Erden / in diesem betrübten Jammerthal in seinen gnedigen Schutz schliessen / schützen / leiten vnd trösten / biß wir ein mal zu jhm in das ewige Vaterlandt versetzt vnd gebracht werden mögen / da er selber alle Thränen von vnsern Augen abwaschen / vns wie eine Mutter jhr Kind trösten / vnd mit lieblichen wesen erfrewen vnd settigen wird jmmer vnd ewiglich / Amen.,vnd vns allesampt als arme widwen vnd waysen auff erden in diesem betrübten jammerthal in seinen gnedigen schutz schliessen schützen leiten vnd trösten biß wir ein mal zu jhm in das ewige vaterlandt versetzt vnd gebracht werden mögen da er selber alle thränen von vnsern augen abwaschen vns wie eine mutter jhr kind trösten vnd mit lieblichen wesen erfrewen vnd settigen wird jmmer vnd ewiglich amen,und uns allesampt als arme widwen und waysen auff erden in diesem betrubten iammerthal in seinen gnedigen schutz schliessen schutzen leiten und trosten biss wir ein mal zu ihm in das ewige uaterlandt uersetzt und gebracht werden mogen da er selber alle thranen uon unsern augen abwaschen uns wie eine mutter ihr kind trosten und mit lieblichen wesen erfrewen und settigen wird immer und ewiglich amen
musaeus_leichpredigt_1595,body,3,0,True,4,E. W.,e w,e w
musaeus_leichpredigt_1595,body,4,0,True,4,M. Paulus Musaeus.,m paulus musaeus,m paulus musaeus
musaeus_leichpredigt_1595,head,5,0,True,5,Esaiae 56.,esaiae,esaiae
