doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
anonym_annus_1597,head,0,0,True,1,"ANNVS CHRISTI, 1597. Historische erzoͤhlung/ der fuͤrnembsten Geschichten vnd hand-/ lungen/ so in diesem 1597. Jahr/ vast in gantzem Europa, denckwuͤrdig abgelauffen. Durch Samuelem Dilbaum/ Burgern zu Augspurg/ auff das trewlichest/ Monatsweiß der gestalt beschriben/ daß jeder Monat vnder seinem eignem Titul/ besonder Getruckt worden/ vnnd außgangen ist. Getruckt in deß F. Gottshaus Sanct Gallen Reichshoff Rorschach am Bodensee/ bey Leonhart Straub/ Jm Jar/ 1597.",annvs christi historische erzoͤhlung der fuͤrnembsten geschichten vnd hand lungen so in diesem jahr vast in gantzem europa denckwuͤrdig abgelauffen durch samuelem dilbaum burgern zu augspurg auff das trewlichest monatsweiß der gestalt beschriben daß jeder monat vnder seinem eignem titul besonder getruckt worden vnnd außgangen ist getruckt in deß f gottshaus sanct gallen reichshoff rorschach am bodensee bey leonhart straub jm jar,annus christi historische erzohlung der furnembsten geschichten und hand lungen so in diesem iahr uast in gantzem europa denckwurdig abgelauffen durch samuelem dilbaum burgern zu augspurg auff das trewlichest monatsweiss der gestalt beschriben dass ieder monat under seinem eignem titul besonder getruckt worden unnd aussgangen ist getruckt in dess f gottshaus sanct gallen reichshoff rorschach am bodensee bey leonhart straub im iar
anonym_annus_1597,head,1,0,True,1,"Relation, Vnd Historische Erzehlung/ der denckwuͤrdigisten sachen/ so sich im nechst abgelauffnen Januario dieses 1597. Jahrs/ hin vnd wider verlauffen hat.",relation vnd historische erzehlung der denckwuͤrdigisten sachen so sich im nechst abgelauffnen januario dieses jahrs hin vnd wider verlauffen hat,relation und historische erzehlung der denckwurdigisten sachen so sich im nechst abgelauffnen ianuario dieses iahrs hin und wider uerlauffen hat
anonym_annus_1597,body,2,0,False,1,"DEn anfang solcher Hostorien wil ich nemmen von den Geschichten/ so sich inn sachen das Vngerisch Kriegßwesen betreffendt/ vnnd derselben interessierten Landen zugetragen/ Hierauff ist zuvernemmen/ daß den 30. Tag deß Monats Decembris/ im verruckten 1596. Jahr/ der VValachische Michael VVeyuoda, zu Sibenbuͤrgischen Weissenburg einkommen/ welchem der Fuͤrst auß Sibenbuͤrgen/ etliche Herren auff ein viertel meil wegs entgegen geschickt/ vnnd stattlich einbeleitten lassen.",den anfang solcher hostorien wil ich nemmen von den geschichten so sich inn sachen das vngerisch kriegßwesen betreffendt vnnd derselben interessierten landen zugetragen hierauff ist zuvernemmen daß den tag deß monats decembris im verruckten jahr der vvalachische michael vveyuoda zu sibenbuͤrgischen weissenburg einkommen welchem der fuͤrst auß sibenbuͤrgen etliche herren auff ein viertel meil wegs entgegen geschickt vnnd stattlich einbeleitten lassen,den anfang solcher hostorien wil ich nemmen uon den geschichten so sich inn sachen das ungerisch kriegsswesen betreffendt unnd derselben interessierten landen zugetragen hierauff ist zuuernemmen dass den tag dess monats decembris im uerruckten iahr der uualachische michael uueyuoda zu sibenburgischen weissenburg einkommen welchem der furst auss sibenburgen etliche herren auff ein uiertel meil wegs entgegen geschickt unnd stattlich einbeleitten lassen
anonym_annus_1597,body,2,1,False,1,"Volgenden tags/ als denn letsten Decembris/ haben ihre F. Gnaden/ ettliche Herren zu Roß/ zu gedachtem VVeyuoda, denselben anch Hoff zubegleiten/ gesandt/ welcher vor den fuͤrnembsten Herren/ auch in beysein des Paͤpstlichen Legatens/ bey ihren F. G. zwo stund lang audienz gehabt.",volgenden tags als denn letsten decembris haben ihre f gnaden ettliche herren zu roß zu gedachtem vveyuoda denselben anch hoff zubegleiten gesandt welcher vor den fuͤrnembsten herren auch in beysein des paͤpstlichen legatens bey ihren f g zwo stund lang audienz gehabt,uolgenden tags als denn letsten decembris haben ihre f gnaden ettliche herren zu ross zu gedachtem uueyuoda denselben anch hoff zubegleiten gesandt welcher uor den furnembsten herren auch in beysein des papstlichen legatens bey ihren f g zwo stund lang audienz gehabt
anonym_annus_1597,body,2,2,False,1,"Am Newen Jahrs tag dieses 1597. Jahrs/ ist mehr gedachter VVeyuoda, mit Jhren Fuͤrstl.",am newen jahrs tag dieses jahrs ist mehr gedachter vveyuoda mit jhren fuͤrstl,am newen iahrs tag dieses iahrs ist mehr gedachter uueyuoda mit ihren furstl
anonym_annus_1597,body,2,3,False,1,G. in die Kirchen/ zu der grossen Meß gangen/ bey dem Fruͤmal geblieben/ vnd widerumb stattlich nach Hauß begleitet worden.,g in die kirchen zu der grossen meß gangen bey dem fruͤmal geblieben vnd widerumb stattlich nach hauß begleitet worden,g in die kirchen zu der grossen mess gangen bey dem frumal geblieben und widerumb stattlich nach hauss begleitet worden
anonym_annus_1597,body,2,4,False,1,Den 3. Januarij haben Jhre Fuͤrstl.,den januarij haben jhre fuͤrstl,den ianuarii haben ihre furstl
anonym_annus_1597,body,2,5,False,1,G. offt gedachtem VVeyuoda sechs Silberne grosse Becher/ ein Silberne Gallion vnd Handtbecken presentieren lassen.,g offt gedachtem vveyuoda sechs silberne grosse becher ein silberne gallion vnd handtbecken presentieren lassen,g offt gedachtem uueyuoda sechs silberne grosse becher ein silberne gallion und handtbecken presentieren lassen
anonym_annus_1597,body,2,6,False,1,Dargegen er/ Jhren F. G. zwey gar schoͤne herrliche Zobel Fuͤtter/ neben andern schoͤnen Kleidern von Gulden stucken/ verehrt.,dargegen er jhren f g zwey gar schoͤne herrliche zobel fuͤtter neben andern schoͤnen kleidern von gulden stucken verehrt,dargegen er ihren f g zwey gar schone herrliche zobel futter neben andern schonen kleidern uon gulden stucken uerehrt
anonym_annus_1597,body,2,7,False,4,Den 5. Jenners/ hat er VVeyuoda von jhren F. G. seinen Abscheid genommen/ vnd also den sechsten fruͤ wider nach der Wallachey auffgebrochen.,den jenners hat er vveyuoda von jhren f g seinen abscheid genommen vnd also den sechsten fruͤ wider nach der wallachey auffgebrochen,den ienners hat er uueyuoda uon ihren f g seinen abscheid genommen und also den sechsten fru wider nach der wallachey auffgebrochen
