doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
539213,head,0,0,True,[1],"Chriſtliche Vnd in Gottes Wort gegruͤndete Leichpredigt/von dem Geiſtlichen Schmuck vnd Ehrenkleidt/ aller Ehrentugentſamen Gottſeligen Chriſtlichen Jungfrawen/ auch aller rechtglaubigen Chriſten: Damit ſie auß Gottes gnaden ſollen geſchmuͤcket ſein/ Zum zeichen das jhnen das Him̃liſche Ehrenkleid/ Chriſti verdienſt zugerechnet ſey/ dariñ ſie auch die Zeit jhres Lebens wandeln/ ſterben/ vnd auff den Juͤngſten Tag/ fuͤr dem Richterſtuel Chriſti erſcheinen ſollen: Zu Gottſeliger erjnnerung allen Gottſeligen Chriſten/ vnd Erbaren Jungfrawen/Bey der begraͤbnuͤß der Erbarn vnd Ehrentugentſamen Jungfrawen Anna/ deß Ehrwůrdigen/ Wohlgelaͤhrten Herꝛn Georgii Buchers/ Teutſchen Pfarꝛherꝛs zur Olaw/ vnd deſſelbigen Weichbildes trewen Senioris, Ehelichẽ geliebtẽ Tochter/ Gethan den 5. Ianuarii An. 1598. Durch. Ioannem Franciſcum Neuſtadienſem Sileſium. Bolniſchen Pfarꝛherꝛ zur Olaw. Epheſ. 4. So leget nun von euch abe/ nach dem vorigen wandel den alten Menſchen/ der durch Luͤſte in Jrꝛthumb ſich verterbet/ Ernewert euch aber im Geiſt ewers Gemüts/ vnd ziehet den newen Menſchen an/ der nach Gott geſchaffen iſt/ in rechtſchaffner Heyligkeit vnd Gerechtigkeit. Getruckt Jm Jahr Chriſti/ 1598.",chriſtliche vnd in gottes wort gegruͤndete leichpredigt von dem geiſtlichen schmuck vnd ehrenkleidt aller ehrentugentſamen gottſeligen chriſtlichen jungfrawen auch aller rechtglaubigen chriſten damit ſie auß gottes gnaden ſollen geſchmuͤcket ſein zum zeichen das jhnen das him̃liſche ehrenkleid chriſti verdienſt zugerechnet ſey dariñ ſie auch die zeit jhres lebens wandeln ſterben vnd auff den juͤngſten tag fuͤr dem richterſtuel chriſti erſcheinen ſollen zu gottſeliger erjnnerung allen gottſeligen chriſten vnd erbaren jungfrawen bey der begraͤbnuͤß der erbarn vnd ehrentugentſamen jungfrawen anna deß ehrwůrdigen wohlgelaͤhrten herꝛn georgii buchers teutſchen pfarꝛherꝛs zur olaw vnd deſſelbigen weichbildes trewen senioris ehelichẽ geliebtẽ tochter gethan den ianuarii an durch ioannem franciſcum neuſtadienſem sileſium bolniſchen pfarꝛherꝛ zur olaw epheſ so leget nun von euch abe nach dem vorigen wandel den alten menſchen der durch luͤſte in jrꝛthumb ſich verterbet ernewert euch aber im geiſt ewers gemüts vnd ziehet den newen menſchen an der nach gott geſchaffen iſt in rechtſchaffner heyligkeit vnd gerechtigkeit getruckt jm jahr chriſti,christliche und in gottes wort gegrundete leichpredigt uon dem geistlichen schmuck und ehrenkleidt aller ehrentugentsamen gottseligen christlichen iungfrawen auch aller rechtglaubigen christen damit sie auss gottes gnaden sollen geschmucket sein zum zeichen das ihnen das himmlische ehrenkleid christi uerdienst zugerechnet sey darinn sie auch die zeit ihres lebens wandeln sterben und auff den iungsten tag fur dem richterstuel christi erscheinen sollen zu gottseliger erinnerung allen gottseligen christen und erbaren iungfrawen bey der begrabnuss der erbarn und ehrentugentsamen iungfrawen anna dess ehrwurdigen wohlgelahrten hern georgii buchers teutschen pfarhers zur olaw und desselbigen weichbildes trewen senioris ehelichen geliebten tochter gethan den ianuarii an durch ioannem franciscum neustadiensem silesium bolnischen pfarher zur olaw ephes so leget nun uon euch abe nach dem uorigen wandel den alten menschen der durch luste in irthumb sich uerterbet ernewert euch aber im geist ewers gemuts und ziehet den newen menschen an der nach gott geschaffen ist in rechtschaffner heyligkeit und gerechtigkeit getruckt im iahr christi
539213,head,1,0,True,[2],ANNAE BVCHERIANAE Virgini perpiæ.,annae bvcherianae virgini perpiæ,annae bucherianae uirgini perpiae
539213,body,2,0,True,[2],HAEC quoꝙ́ Virginibus prudentibus addita Virgo,haec quoꝙ́ virginibus prudentibus addita virgo,haec quoquod uirginibus prudentibus addita uirgo
539213,body,3,0,True,[2],"Ad thalamum Sponſitranſiit, ANNA, ſui.",ad thalamum sponſitranſiit anna ſui,ad thalamum sponsitransiit anna sui
539213,body,4,0,True,[2],"Scin’ cujus? Chriſti: thalamum quem? cœlica tempe,",scin cujus chriſti thalamum quem cœlica tempe,scin cuius christi thalamum quem coelica tempe
539213,body,5,0,True,[2],Monſtrat ad hæc greſſum quæ via? fax Fidei.,monſtrat ad hæc greſſum quæ via fax fidei,monstrat ad haec gressum quae uia fax fidei
539213,body,6,0,True,[2],"Sponſe ſacer, pie Nate DEI, quando hora diesꝙ́",sponſe ſacer pie nate dei quando hora diesꝙ́,sponse sacer pie nate dei quando hora diesquod
539213,body,7,0,True,[2],"Nos fugit adventus, maxime Chriſte, tui.",nos fugit adventus maxime chriſte tui,nos fugit aduentus maxime christe tui
539213,body,8,0,True,[2],"Fac ut in excubijs tua ſtemus ad oſtia ſemper,",fac ut in excubijs tua ſtemus ad oſtia ſemper,fac ut in excubiis tua stemus ad ostia semper
539213,body,9,0,True,[2],Nec lampas oleo noſtra flagrante vacet.,nec lampas oleo noſtra flagrante vacet,nec lampas oleo nostra flagrante uacet
539213,body,10,0,True,[2],"Sedibus ut tecum placitis capiamur, ubi almæ est",sedibus ut tecum placitis capiamur ubi almæ est,sedibus ut tecum placitis capiamur ubi almae est
539213,body,11,0,True,[2],"Lætitiæ multum, triſtitiæꝙ́ nihil.",lætitiæ multum triſtitiæꝙ́ nihil,laetitiae multum tristitiaequod nihil
539213,body,12,0,True,[2],"M. Melchior Tileſius, Illuſtris Gymnaſii Brigenſis Rector: Viduus mœſtiſſimus.",m melchior tileſius illuſtris gymnaſii brigenſis rector viduus mœſtiſſimus,m melchior tilesius illustris gymnasii brigensis rector uiduus moestissimus
539213,body,13,0,False,[3],"EHrwůrdiger Wohlgelehrter Herꝛ Senior, Günſtiger Freund vñ Bruder in Chriſto/ Demnach Pſal. 112. geſchrieben ſtehet.",ehrwůrdiger wohlgelehrter herꝛ senior günſtiger freund vñ bruder in chriſto demnach pſal geſchrieben ſtehet,ehrwurdiger wohlgelehrter her senior gunstiger freund und bruder in christo demnach psal geschrieben stehet
539213,body,13,1,False,[3],In memoriaæterna erit iuſtus.,in memoriaæterna erit iuſtus,in memoriaaeterna erit iustus
539213,body,13,2,False,[3],Deß Gerechtẽ wird nim̃ermehr vergeſſen.,deß gerechtẽ wird nim̃ermehr vergeſſen,dess gerechten wird nimmermehr uergessen
539213,body,13,3,False,[3],Als iſt vnter den rechtglaubigen Chriſten von alters her/ nicht allein derhalben der brauch gehalten worden/ bey der begraͤbnuͤß der Gottſeligen Chriſten Leichpredigt zuhalten/ das man ſich danckbar gegen den verſtorbenen erzeige/ die ſich vmb vns wol verdienet haben/ Sintemal geſchrieben ſtehet/ das vnglück ſoll nit weichẽ von dem Hauſe deß vndanckbaren/ auch nit allein das durch erwehnung der verſtorbenen Tugenden vñ Gottſeligkeit/ der verſtorbenen in Chriſto/ guter Nahme vnd Chriſtliche Gedaͤchtnůß erhalten werde/ die noch lebendigen auch moͤchten erweckt werden/ Chriſtlich alſo zu leben/ vnd in der Selig verſtorbenen Fußſtapffen zutretten/ ſich entlich auff dergleichen Seliges ſterbſtůndlein zu bereitten/ erjnnert wůrden (deñ ein guter vor gaͤnger gibt einen guten nachgaͤnger) ſondern auch dz man ſeine liebe/ gegen dem verſtorbenen damit erklaͤre vnd kund mache/ den weil die liebe ſoll ewig wehren/ vnd im kuͤnftigen leben erſt recht angehen wird/ Als ſoll freylich dieſelbige gegen den Todtẽ nicht mit geſtorbẽ ſein: Sage mir jemands from̃es/ iſts nit war?,als iſt vnter den rechtglaubigen chriſten von alters her nicht allein derhalben der brauch gehalten worden bey der begraͤbnuͤß der gottſeligen chriſten leichpredigt zuhalten das man ſich danckbar gegen den verſtorbenen erzeige die ſich vmb vns wol verdienet haben sintemal geſchrieben ſtehet das vnglück ſoll nit weichẽ von dem hauſe deß vndanckbaren auch nit allein das durch erwehnung der verſtorbenen tugenden vñ gottſeligkeit der verſtorbenen in chriſto guter nahme vnd chriſtliche gedaͤchtnůß erhalten werde die noch lebendigen auch moͤchten erweckt werden chriſtlich alſo zu leben vnd in der selig verſtorbenen fußſtapffen zutretten ſich entlich auff dergleichen seliges ſterbſtůndlein zu bereitten erjnnert wůrden deñ ein guter vor gaͤnger gibt einen guten nachgaͤnger ſondern auch dz man ſeine liebe gegen dem verſtorbenen damit erklaͤre vnd kund mache den weil die liebe ſoll ewig wehren vnd im kuͤnftigen leben erſt recht angehen wird als ſoll freylich dieſelbige gegen den todtẽ nicht mit geſtorbẽ ſein sage mir jemands from̃es iſts nit war,als ist unter den rechtglaubigen christen uon alters her nicht allein derhalben der brauch gehalten worden bey der begrabnuss der gottseligen christen leichpredigt zuhalten das man sich danckbar gegen den uerstorbenen erzeige die sich umb uns wol uerdienet haben sintemal geschrieben stehet das ungluck soll nit weichen uon dem hause dess undanckbaren auch nit allein das durch erwehnung der uerstorbenen tugenden und gottseligkeit der uerstorbenen in christo guter nahme und christliche gedachtnuss erhalten werde die noch lebendigen auch mochten erweckt werden christlich also zu leben und in der selig uerstorbenen fussstapffen zutretten sich entlich auff dergleichen seliges sterbstundlein zu bereitten erinnert wurden denn ein guter uor ganger gibt einen guten nachganger sondern auch dz man seine liebe gegen dem uerstorbenen damit erklare und kund mache den weil die liebe soll ewig wehren und im kunftigen leben erst recht angehen wird als soll freylich dieselbige gegen den todten nicht mit gestorben sein sage mir iemands frommes ists nit war
539213,body,13,4,False,[3],Weñ einer ſeines liebẽ Vatters/ Mutter/ Kindes/ Weibes/ Mannes/ guten trewen lieben Freundes/ etlich wenig tag oder wochen entperen ſoll/ ob man nicht alle ſtunden vnd minuten pflegt zu zehlen?,weñ einer ſeines liebẽ vatters mutter kindes weibes mannes guten trewen lieben freundes etlich wenig tag oder wochen entperen ſoll ob man nicht alle ſtunden vnd minuten pflegt zu zehlen,wenn einer seines lieben uatters mutter kindes weibes mannes guten trewen lieben freundes etlich wenig tag oder wochen entperen soll ob man nicht alle stunden und minuten pflegt zu zehlen
