doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
stuer_bericht_1601,body,0,0,True,1,Summariſcher vnd kurtzer bericht Von der Tuͤrcken vrſprung/ jren Kaiſern vnd ſieghafften Kriegen/ Auch endlichen boͤſen vntergang/ welches bald nach ſeiner eigen Priſtern vnd Magis Propheceyung geſchehen wird. Aus dem bewertſten Geſchichtſchreibern zuſam gezogen Durch Barnim von Stuer/ der Philoſophiæ vnd Medicinæ Doctorem & Mathematicum. Gedruckt zu Magdeburgk/ bey Wilhelm Roß/ Anno 1601.,summariſcher vnd kurtzer bericht von der tuͤrcken vrſprung jren kaiſern vnd ſieghafften kriegen auch endlichen boͤſen vntergang welches bald nach ſeiner eigen priſtern vnd magis propheceyung geſchehen wird aus dem bewertſten geſchichtſchreibern zuſam gezogen durch barnim von stuer der philoſophiæ vnd medicinæ doctorem & mathematicum gedruckt zu magdeburgk bey wilhelm roß anno,summarischer und kurtzer bericht uon der turcken ursprung iren kaisern und sieghafften kriegen auch endlichen bosen untergang welches bald nach seiner eigen pristern und magis propheceyung geschehen wird aus dem bewertsten geschichtschreibern zusam gezogen durch barnim uon stuer der philosophiae und medicinae doctorem et mathematicum gedruckt zu magdeburgk bey wilhelm ross anno
stuer_bericht_1601,body,1,0,False,2,Symbolum Cæſaris AEly Hadriani.,symbolum cæſaris aely hadriani,symbolum caesaris aely hadriani
stuer_bericht_1601,body,1,1,False,2,"NONMIHI SED POPVLO, Den Erenvehſten vnd Wolweiſen/ Achtbaren vnd Wolgelarten Herren Buͤrgermeiſtern/ Radt vnd Syndico der loͤblichen Stad Zerbſt/ dedicirt ſeinen großguͤnſtigen Herren vnd lieben Landesleuten dieſe carthacea Munera.",nonmihi sed popvlo den erenvehſten vnd wolweiſen achtbaren vnd wolgelarten herren buͤrgermeiſtern radt vnd syndico der loͤblichen stad zerbſt dedicirt ſeinen großguͤnſtigen herren vnd lieben landesleuten dieſe carthacea munera,nonmihi sed populo den erenuehsten und wolweisen achtbaren und wolgelarten herren burgermeistern radt und syndico der loblichen stad zerbst dedicirt seinen grossgunstigen herren und lieben landesleuten diese carthacea munera
stuer_bericht_1601,body,1,2,False,2,EXpoſui breuiter Turcarum bella; Senatus Moris ut eſt æqua ſuſcipe fronte librum.,expoſui breuiter turcarum bella senatus moris ut eſt æqua ſuſcipe fronte librum,exposui breuiter turcarum bella senatus moris ut est aequa suscipe fronte librum
stuer_bericht_1601,body,1,3,True,2,"Suſcipe, ſi vitæ plures conceſſerit horas IOVA mihi, IOVA plura fauente dabo. Bar. â Stuer. D.",suſcipe ſi vitæ plures conceſſerit horas iova mihi iova plura fauente dabo bar â stuer d,suscipe si uitae plures concesserit horas ioua mihi ioua plura fauente dabo bar a stuer d
stuer_bericht_1601,body,2,0,True,3,Summariſcher vnd kurtzer bericht von der Tuͤrcken vrſprungk.,summariſcher vnd kurtzer bericht von der tuͤrcken vrſprungk,summarischer und kurtzer bericht uon der turcken ursprungk
stuer_bericht_1601,body,3,0,True,3,Von dem erſten Tuͤrckiſchen Oberſten oder Feldhern Osmann oder Ottoman.,von dem erſten tuͤrckiſchen oberſten oder feldhern osmann oder ottoman,uon dem ersten turckischen obersten oder feldhern osmann oder ottoman
stuer_bericht_1601,body,4,0,False,3,DJe Tuͤrcken ſein Seythen oder Tattern/ die an der Volga im euſſerſten Orient wonen/ haben den Namen von einem Heuptman Tuͤrck/ haben lange zeit in Alia geſtreifft/ bis Ottoman Bythiniam das Land eingenomen/ welcher bis an das Meer geruͤckt/ das Aſiam von Europa bey Conſtantinopel ſcheidet.,dje tuͤrcken ſein seythen oder tattern die an der volga im euſſerſten orient wonen haben den namen von einem heuptman tuͤrck haben lange zeit in alia geſtreifft bis ottoman bythiniam das land eingenomen welcher bis an das meer geruͤckt das aſiam von europa bey conſtantinopel ſcheidet,die turcken sein seythen oder tattern die an der uolga im eussersten orient wonen haben den namen uon einem heuptman turck haben lange zeit in alia gestreifft bis ottoman bythiniam das land eingenomen welcher bis an das meer geruckt das asiam uon europa bey constantinopel scheidet
stuer_bericht_1601,body,4,1,True,3,Tyranniſirt 28. Jar/ ſtirbt Anno Domini 1328. vnter Kaiſer Henrico VII. welchem ein lauſiger Moͤnch im Abendmal vergeben.,tyranniſirt jar ſtirbt anno domini vnter kaiſer henrico vii welchem ein lauſiger moͤnch im abendmal vergeben,tyrannisirt iar stirbt anno domini unter kaiser henrico uii welchem ein lausiger monch im abendmal uergeben
stuer_bericht_1601,body,5,0,True,3,Von dem andern Tuͤrckiſchen Feldhern Orcanes.,von dem andern tuͤrckiſchen feldhern orcanes,uon dem andern turckischen feldhern orcanes
stuer_bericht_1601,body,6,0,True,3,"ORcanes Ottomanni Sohn hat im Lande Bythinia die Stadt Pruſam, itzo Burſam erobert/ hat ſein Hoffhaltung/ ſitz vnd Begrebnis dahin verordnet/ hat vber Meer den Kaiſern zu Conſtantinopel groſſen ſchaden zugefuhrt/ regirt 22. Jar/ ſtirbt anno Chriſti 1350. bey zeiten Caroli Quarti, der die guͤldene Bullam publicirt.",orcanes ottomanni sohn hat im lande bythinia die stadt pruſam itzo burſam erobert hat ſein hoffhaltung ſitz vnd begrebnis dahin verordnet hat vber meer den kaiſern zu conſtantinopel groſſen ſchaden zugefuhrt regirt jar ſtirbt anno chriſti bey zeiten caroli quarti der die guͤldene bullam publicirt,orcanes ottomanni sohn hat im lande bythinia die stadt prusam itzo bursam erobert hat sein hoffhaltung sitz und begrebnis dahin uerordnet hat uber meer den kaisern zu constantinopel grossen schaden zugefuhrt regirt iar stirbt anno christi bey zeiten caroli quarti der die guldene bullam publicirt
stuer_bericht_1601,body,7,0,True,3,Vom Dritten Tuͤrckiſchen Feldoberſten: Amurath dem erſten.,vom dritten tuͤrckiſchen feldoberſten amurath dem erſten,uom dritten turckischen feldobersten amurath dem ersten
stuer_bericht_1601,body,8,0,False,3,"AMurath Orcanes Sohn auff das er ſein Reich erweitere/ kompt er dem Conſtantinopolitaniſchen Kaiſer oanni Palæologo mit 12000. Tuͤrcken wider Marcum Hertzogen aus Bulgaria, den rebellen zu huͤlff.",amurath orcanes sohn auff das er ſein reich erweitere kompt er dem conſtantinopolitaniſchen kaiſer oanni palæologo mit tuͤrcken wider marcum hertzogen aus bulgaria den rebellen zu huͤlff,amurath orcanes sohn auff das er sein reich erweitere kompt er dem constantinopolitanischen kaiser oanni palaeologo mit turcken wider marcum hertzogen aus bulgaria den rebellen zu hulff
stuer_bericht_1601,body,8,1,True,3,"Wie Hertzog Marcus gedemuͤtiget/ ziehen 7000. Tuͤrcken wider in Aſiam: 5000 Tuͤrcken blieben in Europa zu der ſalvoguardi des Kaiſers Alſo kriegt Amurath vrſach in Europam zukomen/ nuͤnbt derwegen 60000. Tuͤrcken zu ſich/ ſetzt vber Meer/ brent raubt vnd erobert Calliopolin, Philippolin, Adrianopel, zwingt Bulgariam vnd Serviam, Alſo iſt Amurath in Europam gelockt/ vnd da er 23. jar tyranniſirt iſt er erſtochen anno Domini 1373.",wie hertzog marcus gedemuͤtiget ziehen tuͤrcken wider in aſiam tuͤrcken blieben in europa zu der ſalvoguardi des kaiſers alſo kriegt amurath vrſach in europam zukomen nuͤnbt derwegen tuͤrcken zu ſich ſetzt vber meer brent raubt vnd erobert calliopolin philippolin adrianopel zwingt bulgariam vnd serviam alſo iſt amurath in europam gelockt vnd da er jar tyranniſirt iſt er erſtochen anno domini,wie hertzog marcus gedemutiget ziehen turcken wider in asiam turcken blieben in europa zu der saluoguardi des kaisers also kriegt amurath ursach in europam zukomen nunbt derwegen turcken zu sich setzt uber meer brent raubt und erobert calliopolin philippolin adrianopel zwingt bulgariam und seruiam also ist amurath in europam gelockt und da er iar tyrannisirt ist er erstochen anno domini
stuer_bericht_1601,body,9,0,True,4,Der IIII. Tuͤrckiſche Feldherr Baiazeth.,der iiii tuͤrckiſche feldherr baiazeth,der iiii turckische feldherr baiazeth
stuer_bericht_1601,body,10,0,False,4,"BAiazeth Amurathis Sohn erwuͤrget ſeinen Bruder Soyman num vnd Marcum den Hertzog aus Bulgaria, nimbt ein Serviam, ſtreifft in Boſna, der Walachey vnd Vngern/ bezwingt Grækenlandt vnd belagert Conſtantinopel/ ſchlegt Sigiſmundum den Koͤnig in Vngern bey Nicopolis anno 1395. 28. Septembris macht die Kaiſer zu Conſtantinopel zu Vaſallen vnd Lehnleuten.",baiazeth amurathis sohn erwuͤrget ſeinen bruder soyman num vnd marcum den hertzog aus bulgaria nimbt ein serviam ſtreifft in boſna der walachey vnd vngern bezwingt grækenlandt vnd belagert conſtantinopel ſchlegt sigiſmundum den koͤnig in vngern bey nicopolis anno septembris macht die kaiſer zu conſtantinopel zu vaſallen vnd lehnleuten,baiazeth amurathis sohn erwurget seinen bruder soyman num und marcum den hertzog aus bulgaria nimbt ein seruiam streifft in bosna der walachey und ungern bezwingt graekenlandt und belagert constantinopel schlegt sigismundum den konig in ungern bey nicopolis anno septembris macht die kaiser zu constantinopel zu uasallen und lehnleuten
stuer_bericht_1601,body,10,1,False,4,"Jm beſten flor Baiazethis kompt Tamerlan der Tatter mit 1100000. man nimbt Perſiam, Mediam, Meſopotamiam vnd Armeaiam weck/ ſchlegt Baiazethen am Berge Stella, nimbt jhn gefangen/ fuͤrt jhn im Bawr zum ſchawſpiel in gantz Aſiam muß ſein Schemel ſein/ wenn er vff ſein Roß ſteiget.",jm beſten flor baiazethis kompt tamerlan der tatter mit man nimbt perſiam mediam meſopotamiam vnd armeaiam weck ſchlegt baiazethen am berge stella nimbt jhn gefangen fuͤrt jhn im bawr zum ſchawſpiel in gantz aſiam muß ſein schemel ſein wenn er vff ſein roß ſteiget,im besten flor baiazethis kompt tamerlan der tatter mit man nimbt persiam mediam mesopotamiam und armeaiam weck schlegt baiazethen am berge stella nimbt ihn gefangen furt ihn im bawr zum schawspiel in gantz asiam muss sein schemel sein wenn er uff sein ross steiget
stuer_bericht_1601,body,10,2,False,4,Alſo ſtarbt dieſer Tyran im elendt anno Chriſti 1193. da er 25. Jar Tyranniſirt.,alſo ſtarbt dieſer tyran im elendt anno chriſti da er jar tyranniſirt,also starbt dieser tyran im elendt anno christi da er iar tyrannisirt
stuer_bericht_1601,body,10,3,True,4,Bey zeiten Wenceslai des Kaiſers/ der des Reichs entſetzt/ dafuͤr Hertzog Friderich von Braunſchweig erwelet/ welchen der Biſchoff von Mentz bey Friſiar tuͤckiſch ermort.,bey zeiten wenceslai des kaiſers der des reichs entſetzt dafuͤr hertzog friderich von braunſchweig erwelet welchen der biſchoff von mentz bey friſiar tuͤckiſch ermort,bey zeiten wenceslai des kaisers der des reichs entsetzt dafur hertzog friderich uon braunschweig erwelet welchen der bischoff uon mentz bey frisiar tuckisch ermort
stuer_bericht_1601,body,11,0,True,4,Der V. Tuͤrckiſche Hauptman oder Kaiſer Cyriſcelebes.,der v tuͤrckiſche hauptman oder kaiſer cyriſcelebes,der u turckische hauptman oder kaiser cyriscelebes
stuer_bericht_1601,body,12,0,True,4,"CYriſcelebes Baiazethis Sohn erhebt das Tuͤrckiſche Reich nach des Vatern Todt/ bezwingt Serviam, regiert 6. Jar/ ſtirbt anno Chriſti 1404. vnter Kaiſer Ruperto.",cyriſcelebes baiazethis sohn erhebt das tuͤrckiſche reich nach des vatern todt bezwingt serviam regiert jar ſtirbt anno chriſti vnter kaiſer ruperto,cyriscelebes baiazethis sohn erhebt das turckische reich nach des uatern todt bezwingt seruiam regiert iar stirbt anno christi unter kaiser ruperto
stuer_bericht_1601,body,13,0,True,5,Der VI. Oberſte der Tuͤrcken: Mahometh.,der vi oberſte der tuͤrcken mahometh,der ui oberste der turcken mahometh
stuer_bericht_1601,body,14,0,True,5,"MAhometh Baiazeths Sohn vnd Cyriſcebelis Bruder iſt der erſte der vber die Donaw geſetzt/ hat ſein ſtuel aus Aſia von Burſa in Europam gen Adrianopel verſetzt/ hat Macedoniam bezwungen/ vnd alle Lande die Tamerlan ſeim Vatern abgedrungen/ wider erobert. regirt 15. Jar/ ſtirbt anno Chriſti 1419. vnter Kaiſer Sigiſmundo, der ſich mit Baiazethe fuͤr Nicopolis geſchlagen.",mahometh baiazeths sohn vnd cyriſcebelis bruder iſt der erſte der vber die donaw geſetzt hat ſein ſtuel aus aſia von burſa in europam gen adrianopel verſetzt hat macedoniam bezwungen vnd alle lande die tamerlan ſeim vatern abgedrungen wider erobert regirt jar ſtirbt anno chriſti vnter kaiſer sigiſmundo der ſich mit baiazethe fuͤr nicopolis geſchlagen,mahometh baiazeths sohn und cyriscebelis bruder ist der erste der uber die donaw gesetzt hat sein stuel aus asia uon bursa in europam gen adrianopel uersetzt hat macedoniam bezwungen und alle lande die tamerlan seim uatern abgedrungen wider erobert regirt iar stirbt anno christi unter kaiser sigismundo der sich mit baiazethe fur nicopolis geschlagen
stuer_bericht_1601,body,15,0,False,5,Der VII. Oberſte der Tuͤrcken.,der vii oberſte der tuͤrcken,der uii oberste der turcken
stuer_bericht_1601,body,15,1,True,5,Amurathes der ander.,amurathes der ander,amurathes der ander
stuer_bericht_1601,body,16,0,True,5,AMurathes der ander Mahometis Sohn/ hat dem Hertzogen aus Servia zween Soͤhne genomen/ vnd hat ſie ausgeſchnitten/ vnd jhnen die Augen ausgeſtochen hat jhm die Tochter entfuͤhrt vnd zum Weibe genomen/ hat anitzer erdacht vñ zu ſeiner ſalvoguardi beſtellet/ hat Koͤnig Ludisla anno Chriſti 1444. am Martini tage geſchlagen/ regirt 31. Jar ſtirbt raſendt zu Adrianopel in Europa anno Chriſti 1450.,amurathes der ander mahometis sohn hat dem hertzogen aus servia zween soͤhne genomen vnd hat ſie ausgeſchnitten vnd jhnen die augen ausgeſtochen hat jhm die tochter entfuͤhrt vnd zum weibe genomen hat anitzer erdacht vñ zu ſeiner ſalvoguardi beſtellet hat koͤnig ludisla anno chriſti am martini tage geſchlagen regirt jar ſtirbt raſendt zu adrianopel in europa anno chriſti,amurathes der ander mahometis sohn hat dem hertzogen aus seruia zween sohne genomen und hat sie ausgeschnitten und ihnen die augen ausgestochen hat ihm die tochter entfuhrt und zum weibe genomen hat anitzer erdacht und zu seiner saluoguardi bestellet hat konig ludisla anno christi am martini tage geschlagen regirt iar stirbt rasendt zu adrianopel in europa anno christi
stuer_bericht_1601,body,17,0,True,5,Der VIII. Oberſte der Tuͤrcken der zum Kaiſer gemacht: Mahumeth II.,der viii oberſte der tuͤrcken der zum kaiſer gemacht mahumeth ii,der uiii oberste der turcken der zum kaiser gemacht mahumeth ii
