doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
526976,head,0,0,True,[1],"Leichpꝛedigt. GEhalten vber der Begraͤbnus der Ehꝛn vnd Tugentſamen/ Margaretha/ des Ehꝛnhafften/ Achtbarn/ vnd Fuͤrnemen Bernhardt Schmiden/ Schultheiſſen vnd Gaſtgeben zu Entzweyhingen/ ehelichen Haußfrawen/ des Geſchlechts ein Buhlerin. Welche den 20. Septembris/ moꝛgends zu 7. Vhꝛen/ ſanfft vnd Chꝛiſtlich in dem HERRN entſchlaffen/ hernacher den 21. dieſes/ Ehꝛlich zur Erden auff den obern Kirchhoff beſtattet worden/ Anno/ ꝛc. 1602. Durch M. Dauid Aubelin, Pfarꝛern daſelbſten. Getruckt zu Tuͤbingen/ Bey Geoꝛgen Gꝛuppenbach/ ANNO M. DC. II.",leichpꝛedigt gehalten vber der begraͤbnus der ehꝛn vnd tugentſamen margaretha des ehꝛnhafften achtbarn vnd fuͤrnemen bernhardt schmiden schultheiſſen vnd gaſtgeben zu entzweyhingen ehelichen haußfrawen des geſchlechts ein buhlerin welche den septembris moꝛgends zu vhꝛen ſanfft vnd chꝛiſtlich in dem herrn entſchlaffen hernacher den dieſes ehꝛlich zur erden auff den obern kirchhoff beſtattet worden anno ꝛc durch m dauid aubelin pfarꝛern daſelbſten getruckt zu tuͤbingen bey geoꝛgen gꝛuppenbach anno m dc ii,leichpedigt gehalten uber der begrabnus der ehn und tugentsamen margaretha des ehnhafften achtbarn und furnemen bernhardt schmiden schultheissen und gastgeben zu entzweyhingen ehelichen haussfrawen des geschlechts ein buhlerin welche den septembris mogends zu uhen sanfft und chistlich in dem herrn entschlaffen hernacher den dieses ehlich zur erden auff den obern kirchhoff bestattet worden anno c durch m dauid aubelin pfarern daselbsten getruckt zu tubingen bey geogen guppenbach anno m dc ii
526976,body,1,0,True,[2],Dem Ehꝛnhafften/ Achtbarn/ vnd Fuͤrnemen/ Bernhardt Schmiden/ Schuldtheiſſen vnd Gaſtgeben zu Entzweyhingen/ meinem ſonders Guͤnſtigen Herꝛn vnd Geuattern.,dem ehꝛnhafften achtbarn vnd fuͤrnemen bernhardt schmiden schuldtheiſſen vnd gaſtgeben zu entzweyhingen meinem ſonders guͤnſtigen herꝛn vnd geuattern,dem ehnhafften achtbarn und furnemen bernhardt schmiden schuldtheissen und gastgeben zu entzweyhingen meinem sonders gunstigen hern und geuattern
526976,body,2,0,False,[2],GOTtes Gnad vnd Troſt.,gottes gnad vnd troſt,gottes gnad und trost
526976,body,2,1,False,[2],Guͤnſtiger Herꝛ Geuatter/ wie jhꝛ die Pꝛedigt/ die ich bey der Chꝛiſtlichen Begraͤbnus ewer lieben Haußfrawen ſeeligen/ meiner Geuatterin/ durch Gottes Gnad gehalten/ an mich begert: Alſo hab ich dieſelbe ſchꝛifftlich verfaſſet/ vnd meines gnaͤdigen Fuͤrſten vnd Herꝛn/ Hochloͤblichen Kirchenraͤhten zu Stutgarten/ meinen Gꝛoßguͤnſtigen gebiettenden Herꝛn/ zu vberſehen/ vnd nach dero wolgefallen damit zuhandlen/ vbergeben.,guͤnſtiger herꝛ geuatter wie jhꝛ die pꝛedigt die ich bey der chꝛiſtlichen begraͤbnus ewer lieben haußfrawen ſeeligen meiner geuatterin durch gottes gnad gehalten an mich begert alſo hab ich dieſelbe ſchꝛifftlich verfaſſet vnd meines gnaͤdigen fuͤrſten vnd herꝛn hochloͤblichen kirchenraͤhten zu stutgarten meinen gꝛoßguͤnſtigen gebiettenden herꝛn zu vberſehen vnd nach dero wolgefallen damit zuhandlen vbergeben,gunstiger her geuatter wie ih die pedigt die ich bey der chistlichen begrabnus ewer lieben haussfrawen seeligen meiner geuatterin durch gottes gnad gehalten an mich begert also hab ich dieselbe schifftlich uerfasset und meines gnadigen fursten und hern hochloblichen kirchenrahten zu stutgarten meinen gossgunstigen gebiettenden hern zu ubersehen und nach dero wolgefallen damit zuhandlen ubergeben
526976,body,2,2,False,[2],Da ſie nun zum offentlichen Truck kommen/ gebe ich euch dieſelben/ ſo gut ſie der liebe Gott gegeben vnd verlihen hat: von hertzen wuͤnſchend/ wie ſie mir ſogar nicht/ euch vnd den ewern zu gefallen/ auch meiner Fraw Geuatterin ſeeligen/ zu einer ehꝛlichen Gedaͤchtnus in Schꝛifften zuuerfaſſen/ verdrießlich vnd beſchwehꝛlich geweßt iſt: daß ſie auch euch/ vnd allen die ſie leſen/ ſo troͤſtlich vnd angenem ſein moͤge.,da ſie nun zum offentlichen truck kommen gebe ich euch dieſelben ſo gut ſie der liebe gott gegeben vnd verlihen hat von hertzen wuͤnſchend wie ſie mir ſogar nicht euch vnd den ewern zu gefallen auch meiner fraw geuatterin ſeeligen zu einer ehꝛlichen gedaͤchtnus in schꝛifften zuuerfaſſen verdrießlich vnd beſchwehꝛlich geweßt iſt daß ſie auch euch vnd allen die ſie leſen ſo troͤſtlich vnd angenem ſein moͤge,da sie nun zum offentlichen truck kommen gebe ich euch dieselben so gut sie der liebe gott gegeben und uerlihen hat uon hertzen wunschend wie sie mir sogar nicht euch und den ewern zu gefallen auch meiner fraw geuatterin seeligen zu einer ehlichen gedachtnus in schifften zuuerfassen uerdriesslich und beschwehlich gewesst ist dass sie auch euch und allen die sie lesen so trostlich und angenem sein moge
526976,body,2,3,True,[2],Hiemit dem Gott alles Troſts/ ſampt ewerm gantzen Hauß trewlich beuohlen Datum Entzweyhingen/ den 25. Septembris. 1602.,hiemit dem gott alles troſts ſampt ewerm gantzen hauß trewlich beuohlen datum entzweyhingen den septembris,hiemit dem gott alles trosts sampt ewerm gantzen hauss trewlich beuohlen datum entzweyhingen den septembris
526976,body,3,0,True,[2],E. E. Allzeit williger Geuatter Vnd Pfarꝛer daſelbſten/ M. Dauid Aubelin.,e e allzeit williger geuatter vnd pfarꝛer daſelbſten m dauid aubelin,e e allzeit williger geuatter und pfarer daselbsten m dauid aubelin
526976,body,4,0,True,1,GEliebte in Chꝛiſto dem HERREN: Gleich wie wir zu dieſer jetzigen zeit vnſern Saͤet haben: Alſo hat vnd haͤlt auch vnſer herr vnd Gott den ſeinen/ zwar nicht alſo zu vnterſchiedlichen zeiten des Jars wie wir/ ſondern fuͤr vñ fuͤr das gantze Jar hindurch/ doch nicht auff einerley weiß/ ſondern ſaͤet ſeine Koͤꝛnlin ettwa einzechtig/ daß er heut dieſes/ moꝛgen ein anders in die Erden verſcharꝛen laͤßt/ ettwa wirfft er ein gantze Hand vol auß/ als da im Krieg/ oder in Sterbenslaͤufften/ die Leut Hauffenweiß dahin gehen: wie wir ſollichs auch voꝛ kurtzen Jaren allhie erfahꝛen haben.,geliebte in chꝛiſto dem herren gleich wie wir zu dieſer jetzigen zeit vnſern saͤet haben alſo hat vnd haͤlt auch vnſer herr vnd gott den ſeinen zwar nicht alſo zu vnterſchiedlichen zeiten des jars wie wir ſondern fuͤr vñ fuͤr das gantze jar hindurch doch nicht auff einerley weiß ſondern ſaͤet ſeine koͤꝛnlin ettwa einzechtig daß er heut dieſes moꝛgen ein anders in die erden verſcharꝛen laͤßt ettwa wirfft er ein gantze hand vol auß als da im krieg oder in sterbenslaͤufften die leut hauffenweiß dahin gehen wie wir ſollichs auch voꝛ kurtzen jaren allhie erfahꝛen haben,geliebte in chisto dem herren gleich wie wir zu dieser ietzigen zeit unsern saet haben also hat und halt auch unser herr und gott den seinen zwar nicht also zu unterschiedlichen zeiten des iars wie wir sondern fur und fur das gantze iar hindurch doch nicht auff einerley weiss sondern saet seine konlin ettwa einzechtig dass er heut dieses mogen ein anders in die erden uerscharen lasst ettwa wirfft er ein gantze hand uol auss als da im krieg oder in sterbenslaufften die leut hauffenweiss dahin gehen wie wir sollichs auch uo kurtzen iaren allhie erfahen haben
526976,body,5,0,True,1,Nun iſt es aber nicht ein kurtzweilig ding vmb dieſen Saͤet/ dann alle Menſchen haben von Natur ein entſetzen darab/ vnd hat ein haͤßlich vnd abſchewlich Anſehen fuͤr jhꝛen Augen/ moͤchten leiden/ daß dieſer Saͤet vermitten bliebe: Aber fuͤr den Augen Gottes/ da iſt es ein koͤſtlich vnd herꝛlich Werck.,nun iſt es aber nicht ein kurtzweilig ding vmb dieſen saͤet dann alle menſchen haben von natur ein entſetzen darab vnd hat ein haͤßlich vnd abſchewlich anſehen fuͤr jhꝛen augen moͤchten leiden daß dieſer saͤet vermitten bliebe aber fuͤr den augen gottes da iſt es ein koͤſtlich vnd herꝛlich werck,nun ist es aber nicht ein kurtzweilig ding umb diesen saet dann alle menschen haben uon natur ein entsetzen darab und hat ein hasslich und abschewlich ansehen fur ihen augen mochten leiden dass dieser saet uermitten bliebe aber fur den augen gottes da ist es ein kostlich und herlich werck
526976,body,6,0,True,1,Vnd daß dem alſo/ doͤꝛffen wir nicht weit Beweiſung ſuchen/ wir haben den Koͤniglichen Pꝛopheten Dauid hie zur hand/ der nicht auß jhm ſelber/ ſondern von Gott dem heiligẽ Geiſt erleuchtet/ in dieſen verleſnen woꝛten ſpꝛicht: Der Tod ſeiner Heiligen iſt werthgehalten/ ꝛc.,vnd daß dem alſo doͤꝛffen wir nicht weit beweiſung ſuchen wir haben den koͤniglichen pꝛopheten dauid hie zur hand der nicht auß jhm ſelber ſondern von gott dem heiligẽ geiſt erleuchtet in dieſen verleſnen woꝛten ſpꝛicht der tod ſeiner heiligen iſt werthgehalten ꝛc,und dass dem also doffen wir nicht weit beweisung suchen wir haben den koniglichen popheten dauid hie zur hand der nicht auss ihm selber sondern uon gott dem heiligen geist erleuchtet in diesen uerlesnen woten spicht der tod seiner heiligen ist werthgehalten c
