doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
valentinus_natuerlichedinge_1603,head,0,0,True,5,"Von den Natuͤrlichen vnnd vbernatuͤrlichen Dingen. Auch von der erſten Tinctur, Wurtzel vnd Geiſte der Metallen vnd Mineralien/ wie dieſelbe entpfangen/ außgekochet/ geboren/ verendert vnd vermehret werden. Trewlich eroͤffnet Durch Fratrem Baſilium Valentinum, Benedicter Ordens. Vnd nunmehr aus ſeiner eigenen Handſchrifft in druck publiciret, Durch Iohan Thõlden Heſſum. CVM PRIVILEGIO, Leipzig/ Jn Vorlegung Jacob Apels Buchh. Anno M. DC. III.",von den natuͤrlichen vnnd vbernatuͤrlichen dingen auch von der erſten tinctur wurtzel vnd geiſte der metallen vnd mineralien wie dieſelbe entpfangen außgekochet geboren verendert vnd vermehret werden trewlich eroͤffnet durch fratrem baſilium valentinum benedicter ordens vnd nunmehr aus ſeiner eigenen handſchrifft in druck publiciret durch iohan thõlden heſſum cvm privilegio leipzig jn vorlegung jacob apels buchh anno m dc iii,uon den naturlichen unnd ubernaturlichen dingen auch uon der ersten tinctur wurtzel und geiste der metallen und mineralien wie dieselbe entpfangen aussgekochet geboren uerendert und uermehret werden trewlich eroffnet durch fratrem basilium ualentinum benedicter ordens und nunmehr aus seiner eigenen handschrifft in druck publiciret durch iohan thonlden hessum cum priuilegio leipzig in uorlegung iacob apels buchh anno m dc iii
valentinus_natuerlichedinge_1603,head,1,0,False,7,"Den Ehrnuheſten vnd hochgelarten Herrn Ioachimo Tanckio, vtriuſq; Medicinæ Doctori vnd Profeſſori der ſoͤblichen Vniuerſitet Leipzig.",den ehrnuheſten vnd hochgelarten herrn ioachimo tanckio vtriuſq medicinæ doctori vnd profeſſori der ſoͤblichen vniuerſitet leipzig,den ehrnuhesten und hochgelarten herrn ioachimo tanckio utriusq medicinae doctori und professori der soblichen uniuersitet leipzig
valentinus_natuerlichedinge_1603,head,1,1,False,7,"Vnd Herrn Magiſtro Iohanni Hartmanno, Profeſſori, Mathematico vnd Medico der auch loͤblichen hohen Schulen zu Marpurg in Heſſen.",vnd herrn magiſtro iohanni hartmanno profeſſori mathematico vnd medico der auch loͤblichen hohen schulen zu marpurg in heſſen,und herrn magistro iohanni hartmanno professori mathematico und medico der auch loblichen hohen schulen zu marpurg in hessen
valentinus_natuerlichedinge_1603,head,1,2,True,7,Meinen großguͤnſtigen Herrn/ Schwager vnd guten Freunden.,meinen großguͤnſtigen herrn schwager vnd guten freunden,meinen grossgunstigen herrn schwager und guten freunden
valentinus_natuerlichedinge_1603,body,2,0,True,7,EEhrnvheſte/ Hochgelarte Herrn/ Es iſt ein altes/ doch gutes Sprichwort/ Das man der Koͤnige vnd Fuͤrſten Heimligkeit vnd Rathſchlaͤge verſchweigen/ Aber Gottes Gutthat aller Welt offenbar machen ſol/ zu erkennen ſeine Wunder/ ſo ſonſten die Natur durch einfalt zu ruͤck helt/ vnd alſo vnwiſſend ſticken bleiben/ das nicht viel daraus zu lernen noch zuerkennen iſt.,eehrnvheſte hochgelarte herrn es iſt ein altes doch gutes sprichwort das man der koͤnige vnd fuͤrſten heimligkeit vnd rathſchlaͤge verſchweigen aber gottes gutthat aller welt offenbar machen ſol zu erkennen ſeine wunder ſo ſonſten die natur durch einfalt zu ruͤck helt vnd alſo vnwiſſend ſticken bleiben das nicht viel daraus zu lernen noch zuerkennen iſt,eehrnuheste hochgelarte herrn es ist ein altes doch gutes sprichwort das man der konige und fursten heimligkeit und rathschlage uerschweigen aber gottes gutthat aller welt offenbar machen sol zu erkennen seine wunder so sonsten die natur durch einfalt zu ruck helt und also unwissend sticken bleiben das nicht uiel daraus zu lernen noch zuerkennen ist
valentinus_natuerlichedinge_1603,body,3,0,False,8,Dieweil mir denn etliche alte Philoſophiſche geſchriebene Materia zu handen kommen/ eines Benedicter Moͤnchs/ ſo Frater Baſilius Valentinus genant/ darinnen meines einfeltigen Verſtandes nicht ein geringſchaͤtzige Anzeige vnd Grund der Artzney/ ſo wol auch/ was alle Mineralia vnd Metallen in rerum natura mit vnd in ſich fuͤhren/ zu befinden fein wird/ vnd ſolche gegruͤndte Schrifften weit vorgehen denen/ ſo ſich mit duͤnckender Klugheit gezieret/ ſonderlich wenn ſolche Schrifften mit Verſtand vnd Nachdencken fleiſſig geleſen vnd vnuerdroſſen obſeruiret werden/ ſo wird ſich das Lob ſelbſten finden/ vnnd zu Tage geben/ Derwegen ich vnnoͤthig erachte/ dieſen Schrifften einen ſonderlichen Schmuck durch zierliche prechtige wort außzuziehen/ oder einen Preiß zubereiten durch vielfaltige erzehlung.,dieweil mir denn etliche alte philoſophiſche geſchriebene materia zu handen kommen eines benedicter moͤnchs ſo frater baſilius valentinus genant darinnen meines einfeltigen verſtandes nicht ein geringſchaͤtzige anzeige vnd grund der artzney ſo wol auch was alle mineralia vnd metallen in rerum natura mit vnd in ſich fuͤhren zu befinden fein wird vnd ſolche gegruͤndte schrifften weit vorgehen denen ſo ſich mit duͤnckender klugheit gezieret ſonderlich wenn ſolche schrifften mit verſtand vnd nachdencken fleiſſig geleſen vnd vnuerdroſſen obſeruiret werden ſo wird ſich das lob ſelbſten finden vnnd zu tage geben derwegen ich vnnoͤthig erachte dieſen schrifften einen ſonderlichen schmuck durch zierliche prechtige wort außzuziehen oder einen preiß zubereiten durch vielfaltige erzehlung,dieweil mir denn etliche alte philosophische geschriebene materia zu handen kommen eines benedicter monchs so frater basilius ualentinus genant darinnen meines einfeltigen uerstandes nicht ein geringschatzige anzeige und grund der artzney so wol auch was alle mineralia und metallen in rerum natura mit und in sich fuhren zu befinden fein wird und solche gegrundte schrifften weit uorgehen denen so sich mit dunckender klugheit gezieret sonderlich wenn solche schrifften mit uerstand und nachdencken fleissig gelesen und unuerdrossen obseruiret werden so wird sich das lob selbsten finden unnd zu tage geben derwegen ich unnothig erachte diesen schrifften einen sonderlichen schmuck durch zierliche prechtige wort ausszuziehen oder einen preiss zubereiten durch uielfaltige erzehlung
valentinus_natuerlichedinge_1603,body,3,1,False,9,Vnter welchen Schrifften deß Baſilij auch ein ſonderlicher kurtzer Tractatus mit befunden worden von natuͤrlichen vnnd vbernatuͤrlichen dingen.,vnter welchen schrifften deß baſilij auch ein ſonderlicher kurtzer tractatus mit befunden worden von natuͤrlichen vnnd vbernatuͤrlichen dingen,unter welchen schrifften dess basilii auch ein sonderlicher kurtzer tractatus mit befunden worden uon naturlichen unnd ubernaturlichen dingen
valentinus_natuerlichedinge_1603,body,3,2,True,9,"Jtem von der erſten Tinctur, Wurtzel der Metallen/ vnd wie ſie durch jhre tria principia geboren vnd gewircket werden.",jtem von der erſten tinctur wurtzel der metallen vnd wie ſie durch jhre tria principia geboren vnd gewircket werden,item uon der ersten tinctur wurtzel der metallen und wie sie durch ihre tria principia geboren und gewircket werden
valentinus_natuerlichedinge_1603,body,4,0,True,9,Ob ich nun wol fuͤr dieſem den erſten Theil neben den zwoͤlff Schluͤſſeln darzu gehoͤrig/ auff meinen Koſten drucken laſſen/ ſo iſt mir doch bald darnach ſolches anfenglich mit entziehung meiner Dedication Schrifft verfelſchet/ vnd zu Leipzig/ demnach auch zu Franckfurt nachgedruckt werden/ welcher erſte vnbilliche Nachdruck einßmals noch kan geeyffert werden/ dardurch ich mir gaͤntzlich vorgenommen hatte/ ſolcher vntrew halben das andere/ was hierbey geſchrieben worden/ fuͤr mich zubehalten/ durch welches vornehmen ich zum theil bey etlichen eine Feindſchafft erweckte/ darauff ich aber nicht viel gegeben.,ob ich nun wol fuͤr dieſem den erſten theil neben den zwoͤlff schluͤſſeln darzu gehoͤrig auff meinen koſten drucken laſſen ſo iſt mir doch bald darnach ſolches anfenglich mit entziehung meiner dedication schrifft verfelſchet vnd zu leipzig demnach auch zu franckfurt nachgedruckt werden welcher erſte vnbilliche nachdruck einßmals noch kan geeyffert werden dardurch ich mir gaͤntzlich vorgenommen hatte ſolcher vntrew halben das andere was hierbey geſchrieben worden fuͤr mich zubehalten durch welches vornehmen ich zum theil bey etlichen eine feindſchafft erweckte darauff ich aber nicht viel gegeben,ob ich nun wol fur diesem den ersten theil neben den zwolff schlusseln darzu gehorig auff meinen kosten drucken lassen so ist mir doch bald darnach solches anfenglich mit entziehung meiner dedication schrifft uerfelschet und zu leipzig demnach auch zu franckfurt nachgedruckt werden welcher erste unbilliche nachdruck einssmals noch kan geeyffert werden dardurch ich mir gantzlich uorgenommen hatte solcher untrew halben das andere was hierbey geschrieben worden fur mich zubehalten durch welches uornehmen ich zum theil bey etlichen eine feindschafft erweckte darauff ich aber nicht uiel gegeben
valentinus_natuerlichedinge_1603,body,5,0,False,10,"Dieweil denn vnter andern jhr beyden großguͤnftigen Herren (ob keiner gleich zuuor mit mit in perſoͤniglicher Kundſchafft nicht geweſen) gleicher maſſen an mich geſchrieben/ vnd begeret haben das reſiduum, ſo in dieſen Schrifften noch nachſtendig/ ſo wol auch andere dinge mehr/ zu publiciren, vnd vollend zueroͤffenen/ hab ich alſo endlich aus aller hand bedencknuͤß ſolche nicht hinterhalten wollen.",dieweil denn vnter andern jhr beyden großguͤnftigen herren ob keiner gleich zuuor mit mit in perſoͤniglicher kundſchafft nicht geweſen gleicher maſſen an mich geſchrieben vnd begeret haben das reſiduum ſo in dieſen schrifften noch nachſtendig ſo wol auch andere dinge mehr zu publiciren vnd vollend zueroͤffenen hab ich alſo endlich aus aller hand bedencknuͤß ſolche nicht hinterhalten wollen,dieweil denn unter andern ihr beyden grossgunftigen herren ob keiner gleich zuuor mit mit in personiglicher kundschafft nicht gewesen gleicher massen an mich geschrieben und begeret haben das residuum so in diesen schrifften noch nachstendig so wol auch andere dinge mehr zu publiciren und uollend zueroffenen hab ich also endlich aus aller hand bedencknuss solche nicht hinterhalten wollen
valentinus_natuerlichedinge_1603,body,5,1,True,11,"Erſtlich das Gottes Allmacht durch ſeine Geſchoͤpff moͤge erkandt werden/ welche er vber Menſchlichem Verſtand mit groſſer verwunderung begabet, vnd auch die Argliſtigkeit deß falſchen Nachdrucks durch dieſe Anzeige (dauon ich im andern Druck in der Dedication Schrifft an Churfuͤrſtliche Gnad zu Brandenburg ermeſſen/ auch erwehrung gethan) moͤge bekant gemacht werden/ auff das ſolchen nicht Glauben zu geben.",erſtlich das gottes allmacht durch ſeine geſchoͤpff moͤge erkandt werden welche er vber menſchlichem verſtand mit groſſer verwunderung begabet vnd auch die argliſtigkeit deß falſchen nachdrucks durch dieſe anzeige dauon ich im andern druck in der dedication schrifft an churfuͤrſtliche gnad zu brandenburg ermeſſen auch erwehrung gethan moͤge bekant gemacht werden auff das ſolchen nicht glauben zu geben,erstlich das gottes allmacht durch seine geschopff moge erkandt werden welche er uber menschlichem uerstand mit grosser uerwunderung begabet und auch die arglistigkeit dess falschen nachdrucks durch diese anzeige dauon ich im andern druck in der dedication schrifft an churfurstliche gnad zu brandenburg ermessen auch erwehrung gethan moge bekant gemacht werden auff das solchen nicht glauben zu geben
valentinus_natuerlichedinge_1603,body,6,0,False,11,"Durch welche erzalte Vmbſtende bin ich bewogen worden/ dieſen kurtzen Tractat, wie fuͤr Augen/ ewer Herrl gkeiten/ als meinen großguͤnſtigen Herrn Schwager vnd guten Freunden zuzuſchreiben/ dienſtfleiſſig vnd freundlich bittende/ jhr wollet ſolche geringe Verehrung inn allem guten vermercken/ vnd als Mehrverſtendige gegen alle Haſſer der waren Medicin, vnnd falſche Nachdrucker helffen defendiren vnd vertheidigen.",durch welche erzalte vmbſtende bin ich bewogen worden dieſen kurtzen tractat wie fuͤr augen ewer herrl gkeiten als meinen großguͤnſtigen herrn schwager vnd guten freunden zuzuſchreiben dienſtfleiſſig vnd freundlich bittende jhr wollet ſolche geringe verehrung inn allem guten vermercken vnd als mehrverſtendige gegen alle haſſer der waren medicin vnnd falſche nachdrucker helffen defendiren vnd vertheidigen,durch welche erzalte umbstende bin ich bewogen worden diesen kurtzen tractat wie fur augen ewer herrl gkeiten als meinen grossgunstigen herrn schwager und guten freunden zuzuschreiben dienstfleissig und freundlich bittende ihr wollet solche geringe uerehrung inn allem guten uermercken und als mehruerstendige gegen alle hasser der waren medicin unnd falsche nachdrucker helffen defendiren und uertheidigen
valentinus_natuerlichedinge_1603,body,6,1,False,12,Vnd ob ich wolden geringſchaͤtzigſten Verſtand ſolcher Heimligkeiten habe/ ſo weiß ich doch mit grund/ das alle Philoſophiſche Schrifften deß Fratris Baſilij alſo mit ſatten Bericht gebawet/ das ſie von dem Kluͤglinge/ ſo hierinnen am wenigſten etwas erfahren/ wol werden vnuͤmbgeſioſſen bleiben.,vnd ob ich wolden geringſchaͤtzigſten verſtand ſolcher heimligkeiten habe ſo weiß ich doch mit grund das alle philoſophiſche schrifften deß fratris baſilij alſo mit ſatten bericht gebawet das ſie von dem kluͤglinge ſo hierinnen am wenigſten etwas erfahren wol werden vnuͤmbgeſioſſen bleiben,und ob ich wolden geringschatzigsten uerstand solcher heimligkeiten habe so weiss ich doch mit grund das alle philosophische schrifften dess fratris basilii also mit satten bericht gebawet das sie uon dem kluglinge so hierinnen am wenigsten etwas erfahren wol werden unumbgesiossen bleiben
valentinus_natuerlichedinge_1603,body,6,2,False,12,"Befehle die Herrn beyderſeits hiermit in den Schutz deß Allerhoͤchſten/ zuuerſichtlicher Hoffnung/ die Herrn werden mit dieſer kurtzen Beſchreibung dißmals vor willen nehmen/ biß der Allmechtige GOTT die nachſtendigen vberlingen Schrifften Fratris Baſilij, zu vermehrung ſeines Lobes/ auch vollend hiernechſt zu offenbaren/ vergoͤnnen wird.",befehle die herrn beyderſeits hiermit in den schutz deß allerhoͤchſten zuuerſichtlicher hoffnung die herrn werden mit dieſer kurtzen beſchreibung dißmals vor willen nehmen biß der allmechtige gott die nachſtendigen vberlingen schrifften fratris baſilij zu vermehrung ſeines lobes auch vollend hiernechſt zu offenbaren vergoͤnnen wird,befehle die herrn beyderseits hiermit in den schutz dess allerhochsten zuuersichtlicher hoffnung die herrn werden mit dieser kurtzen beschreibung dissmals uor willen nehmen biss der allmechtige gott die nachstendigen uberlingen schrifften fratris basilii zu uermehrung seines lobes auch uollend hiernechst zu offenbaren uergonnen wird
valentinus_natuerlichedinge_1603,body,6,3,True,13,Geben zu Leipzig den 20. Decemb. im Jahr 1602.,geben zu leipzig den decemb im jahr,geben zu leipzig den decemb im iahr
valentinus_natuerlichedinge_1603,body,7,0,True,13,"E. E. williger loan Thőlde Heſſus, Jetzo zu Franckenhauſen.",e e williger loan thőlde heſſus jetzo zu franckenhauſen,e e williger loan tholde hessus ietzo zu franckenhausen
valentinus_natuerlichedinge_1603,head,8,0,False,[1],Von Natuͤrlichen vnd vbernatuͤrlichen dingen.,von natuͤrlichen vnd vbernatuͤrlichen dingen,uon naturlichen und ubernaturlichen dingen
valentinus_natuerlichedinge_1603,head,8,1,True,[1],Das erſte Capitel.,das erſte capitel,das erste capitel
