doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
luther_betbuechlein_1604,head,0,0,True,3,Betbüchlein sampt einem Passional. D. Martini Lutheri Auffs new wiederumb auffgelegt/ vnd aus dem alten Exemplar/ so Anno 28. außgegangen nachgedruckt / vnd mit schönen figuren gezieret. Beneben einer Vorrede D. Basilij Satlers. Helmstadt/ Durch Jacobum Lucium/ ANNO 1604.,betbüchlein sampt einem passional d martini lutheri auffs new wiederumb auffgelegt vnd aus dem alten exemplar so anno außgegangen nachgedruckt vnd mit schönen figuren gezieret beneben einer vorrede d basilij satlers helmstadt durch jacobum lucium anno,betbuchlein sampt einem passional d martini lutheri auffs new wiederumb auffgelegt und aus dem alten exemplar so anno aussgegangen nachgedruckt und mit schonen figuren gezieret beneben einer uorrede d basilii satlers helmstadt durch iacobum lucium anno
luther_betbuechlein_1604,head,1,0,True,5,Der Durchleuchtigen / Hochgebornen Fürstin vnnd Frawen / Frawen Elisabeth / Geborn aus Königlichem Stammen zu Dennemarck / Hertzogin zu Braunschweig vnd Lüneburg / etc. meiner gnedigen Fürstin vnd Frawen.,der durchleuchtigen hochgebornen fürstin vnnd frawen frawen elisabeth geborn aus königlichem stammen zu dennemarck hertzogin zu braunschweig vnd lüneburg etc meiner gnedigen fürstin vnd frawen,der durchleuchtigen hochgebornen furstin unnd frawen frawen elisabeth geborn aus koniglichem stammen zu dennemarck hertzogin zu braunschweig und luneburg etc meiner gnedigen furstin und frawen
luther_betbuechlein_1604,body,2,0,True,5,Gnade vnd Friede von Gott dem Vater vnd dem Herrn Jesu Christo.,gnade vnd friede von gott dem vater vnd dem herrn jesu christo,gnade und friede uon gott dem uater und dem herrn iesu christo
luther_betbuechlein_1604,body,3,0,True,5,DVrchleuchtige / Hochgeborne Fürstin / gnedige Fraw / es ist kein herrlicher gut Werck / das die gleubigen in dieser Welt verrichten / als das liebe Gebet.,dvrchleuchtige hochgeborne fürstin gnedige fraw es ist kein herrlicher gut werck das die gleubigen in dieser welt verrichten als das liebe gebet,durchleuchtige hochgeborne furstin gnedige fraw es ist kein herrlicher gut werck das die gleubigen in dieser welt uerrichten als das liebe gebet
luther_betbuechlein_1604,body,4,0,True,5,Denn da trit ein armer Mensch / für die hohe Göttliche Majestet / redet damit / wie ein Kind mit seinem lieben Vater / klaget Gott sein noth vnd anligen / vnnd schüttet sein Hertz für jhm aus / vnd bittet von jhm allerley zeitliche vnd ewige Güter.,denn da trit ein armer mensch für die hohe göttliche majestet redet damit wie ein kind mit seinem lieben vater klaget gott sein noth vnd anligen vnnd schüttet sein hertz für jhm aus vnd bittet von jhm allerley zeitliche vnd ewige güter,denn da trit ein armer mensch fur die hohe gottliche maiestet redet damit wie ein kind mit seinem lieben uater klaget gott sein noth und anligen unnd schuttet sein hertz fur ihm aus und bittet uon ihm allerley zeitliche und ewige guter
luther_betbuechlein_1604,body,5,0,True,6,So begreifft auch ein recht Gebet / fast alle fürnembste Heuptarticul Christlicher Lehr in sich / vnd muß ein Christ / im Gebet / gleich alles auff sagen / vnnd ins Werck richten / was er jemals in Gottes Wort gestudieret vnd gelernet hat.,so begreifft auch ein recht gebet fast alle fürnembste heuptarticul christlicher lehr in sich vnd muß ein christ im gebet gleich alles auff sagen vnnd ins werck richten was er jemals in gottes wort gestudieret vnd gelernet hat,so begreifft auch ein recht gebet fast alle furnembste heuptarticul christlicher lehr in sich und muss ein christ im gebet gleich alles auff sagen unnd ins werck richten was er iemals in gottes wort gestudieret und gelernet hat
luther_betbuechlein_1604,body,6,0,True,6,Als / daß ich nur etlichs berüre / muß da ein Christ die hohe Lehr vom waren erkentnis Gottes gar wol in acht nemen / daß er jhm Gott nicht anderst fürbilde / noch anderst von jhm gedencke vnd halte / als er sich selber in seinem Wort vns offenbaret hat / Sonst verfeilet er des waren Gottes / vnd rüfft jhn nicht / sondern seines eignen Hertzen gedicht vnd gedancken an.,als daß ich nur etlichs berüre muß da ein christ die hohe lehr vom waren erkentnis gottes gar wol in acht nemen daß er jhm gott nicht anderst fürbilde noch anderst von jhm gedencke vnd halte als er sich selber in seinem wort vns offenbaret hat sonst verfeilet er des waren gottes vnd rüfft jhn nicht sondern seines eignen hertzen gedicht vnd gedancken an,als dass ich nur etlichs berure muss da ein christ die hohe lehr uom waren erkentnis gottes gar wol in acht nemen dass er ihm gott nicht anderst furbilde noch anderst uon ihm gedencke und halte als er sich selber in seinem wort uns offenbaret hat sonst uerfeilet er des waren gottes und rufft ihn nicht sondern seines eignen hertzen gedicht und gedancken an
luther_betbuechlein_1604,body,7,0,True,6,So muß da die Lehr vom Gesetz / von der Sünde / von der Buß / nicht allein betrachtet / sondern auch geübet / vnd ins werck gerichtet werden / sonst wird das Gebet nicht erhöret.,so muß da die lehr vom gesetz von der sünde von der buß nicht allein betrachtet sondern auch geübet vnd ins werck gerichtet werden sonst wird das gebet nicht erhöret,so muss da die lehr uom gesetz uon der sunde uon der buss nicht allein betrachtet sondern auch geubet und ins werck gerichtet werden sonst wird das gebet nicht erhoret
luther_betbuechlein_1604,body,8,0,True,6,Im gleichen muß die Lehr vom Glauben an vnsern HERRN Jesum Christum im Gebet practiciret werden / Also daß wir allerdings auff jhn vnd seinen verdienst vnd gehorsam vnser Gebet gründen / Denn das heist den Vater in seinem Namen bitten / Joh. 16.,im gleichen muß die lehr vom glauben an vnsern herrn jesum christum im gebet practiciret werden also daß wir allerdings auff jhn vnd seinen verdienst vnd gehorsam vnser gebet gründen denn das heist den vater in seinem namen bitten joh,im gleichen muss die lehr uom glauben an unsern herrn iesum christum im gebet practiciret werden also dass wir allerdings auff ihn und seinen uerdienst und gehorsam unser gebet grunden denn das heist den uater in seinem namen bitten ioh
luther_betbuechlein_1604,body,9,0,True,7,Im Gebet befindet sich auch der kampff des Fleischs vnd Geists / ja es müssen fromme Hertzen im Gebet / nicht allein mit jhrem Fleisch / dem Teuffel / vnd der Welt / sondern auch / wie Gen. 32. an Jacob fürgebildet ist / mit Gott selber kempffen.,im gebet befindet sich auch der kampff des fleischs vnd geists ja es müssen fromme hertzen im gebet nicht allein mit jhrem fleisch dem teuffel vnd der welt sondern auch wie gen an jacob fürgebildet ist mit gott selber kempffen,im gebet befindet sich auch der kampff des fleischs und geists ia es mussen fromme hertzen im gebet nicht allein mit ihrem fleisch dem teuffel und der welt sondern auch wie gen an iacob furgebildet ist mit gott selber kempffen
