doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
melander_jocoseria01_1605,body,0,0,True,1,JOCO-SERIA Das iſt Schimpff vnd Ernſt/ darin nicht allein nuͤtzliche vnd denckwuͤrdige/ ſondern auch anmuͤhtige vnnd luſtige Hiſtorien erzehlet vnd beſchrieben werden. Erſtlich in Lateiniſcher Sprach außgangen/ durch Herꝛn D. Othonem Melandrum: Jetzo aber vf vieler ehrlicher Leut Begeren ins teutſch vberſetzet. Getruckt zu Lich/ in der Graffſchafft Solms/ durch Wolgang Kezeln. Anno M. DC. V.,jocoseria das iſt schimpff vnd ernſt darin nicht allein nuͤtzliche vnd denckwuͤrdige ſondern auch anmuͤhtige vnnd luſtige hiſtorien erzehlet vnd beſchrieben werden erſtlich in lateiniſcher sprach außgangen durch herꝛn d othonem melandrum jetzo aber vf vieler ehrlicher leut begeren ins teutſch vberſetzet getruckt zu lich in der graffſchafft solms durch wolgang kezeln anno m dc v,iocoseria das ist schimpff und ernst darin nicht allein nutzliche und denckwurdige sondern auch anmuhtige unnd lustige historien erzehlet und beschrieben werden erstlich in lateinischer sprach aussgangen durch hern d othonem melandrum ietzo aber uf uieler ehrlicher leut begeren ins teutsch ubersetzet getruckt zu lich in der graffschafft solms durch wolgang kezeln anno m dc u
melander_jocoseria01_1605,body,1,0,True,3,Dem Vornehmen Vorſichtigen vnd Kunſtreichen Herꝛn Johann Berner/ meinem inſonderß lieben Gevattern/ Fried vnnd heil von GOTT dem Allmechtigen.,dem vornehmen vorſichtigen vnd kunſtreichen herꝛn johann berner meinem inſonderß lieben gevattern fried vnnd heil von gott dem allmechtigen,dem uornehmen uorsichtigen und kunstreichen hern iohann berner meinem insonderss lieben geuattern fried unnd heil uon gott dem allmechtigen
melander_jocoseria01_1605,body,2,0,False,3,ES hatt vorſichtiger Herꝛ/ guter freundt/ der gelehrte Mann/ D. Otho Melander vor etlichen Jahren ein Buch colligiret vnd geſchrieben/ welches er Joco-Seria intituliret hat/ das iſt/ Schimpff vnd Ernſt/ welche er auch mir zu kommen laſſen vnnd per typos meos evulgirt vnd ahn tag kommen.,es hatt vorſichtiger herꝛ guter freundt der gelehrte mann d otho melander vor etlichen jahren ein buch colligiret vnd geſchrieben welches er jocoseria intituliret hat das iſt schimpff vnd ernſt welche er auch mir zu kommen laſſen vnnd per typos meos evulgirt vnd ahn tag kommen,es hatt uorsichtiger her guter freundt der gelehrte mann d otho melander uor etlichen iahren ein buch colligiret und geschrieben welches er iocoseria intituliret hat das ist schimpff und ernst welche er auch mir zu kommen lassen unnd per typos meos euulgirt und ahn tag kommen
melander_jocoseria01_1605,body,2,1,False,3,Weil aber ſolches wercks viel exẽplaria ſind diſtrahiret vnd ahn alle ort verkaufft worden/ hab ich vrſach vnd anleitung bekommen/ dieſelbe nicht ohn geringen koſten vnd muͤh zu vertiren vnd in Teutſche ſprach zu bringen laſſen/ daß nicht allein gemeltes Buch den Gelehrten moͤge dienſtlich vnd angenehm ſein/ ſondern auch den gemeinen layen/ daß die auch etwas nutzliches daraus lernen moͤchten/ vnd wo ſie ſehen wurden daß andere Leuth etwas loͤbliches gethan vnd verricht haben/ ſie lerneten denſelben nach folgẽ/ oder wo jrgent gefehlet/ ſie ein abſcheuwen moͤchten nehmen/ ſolche ding nach zu thun.,weil aber ſolches wercks viel exẽplaria ſind diſtrahiret vnd ahn alle ort verkaufft worden hab ich vrſach vnd anleitung bekommen dieſelbe nicht ohn geringen koſten vnd muͤh zu vertiren vnd in teutſche ſprach zu bringen laſſen daß nicht allein gemeltes buch den gelehrten moͤge dienſtlich vnd angenehm ſein ſondern auch den gemeinen layen daß die auch etwas nutzliches daraus lernen moͤchten vnd wo ſie ſehen wurden daß andere leuth etwas loͤbliches gethan vnd verricht haben ſie lerneten denſelben nach folgẽ oder wo jrgent gefehlet ſie ein abſcheuwen moͤchten nehmen ſolche ding nach zu thun,weil aber solches wercks uiel exemplaria sind distrahiret und ahn alle ort uerkaufft worden hab ich ursach und anleitung bekommen dieselbe nicht ohn geringen kosten und muh zu uertiren und in teutsche sprach zu bringen lassen dass nicht allein gemeltes buch den gelehrten moge dienstlich und angenehm sein sondern auch den gemeinen layen dass die auch etwas nutzliches daraus lernen mochten und wo sie sehen wurden dass andere leuth etwas lobliches gethan und uerricht haben sie lerneten denselben nach folgen oder wo irgent gefehlet sie ein abscheuwen mochten nehmen solche ding nach zu thun
melander_jocoseria01_1605,body,2,2,False,4,Dan dieſe Hiſtorien ſind mit groſſer muͤh von dem Gelehrten Man durch taͤgliche erfahrung zuſam̃en geſchrieben/ vnd auch auß vornehmer beruͤmpter leut Buͤcher gezogẽ worden/ hat auch nichts darin geſetzt noch ſetzen laſſen/ daraus man nit etwas nutzliches ſchoͤpffen koͤñe.,dan dieſe hiſtorien ſind mit groſſer muͤh von dem gelehrten man durch taͤgliche erfahrung zuſam̃en geſchrieben vnd auch auß vornehmer beruͤmpter leut buͤcher gezogẽ worden hat auch nichts darin geſetzt noch ſetzen laſſen daraus man nit etwas nutzliches ſchoͤpffen koͤñe,dan diese historien sind mit grosser muh uon dem gelehrten man durch tagliche erfahrung zusammen geschrieben und auch auss uornehmer berumpter leut bucher gezogen worden hat auch nichts darin gesetzt noch setzen lassen daraus man nit etwas nutzliches schopffen konne
melander_jocoseria01_1605,body,2,3,False,4,Dieſes auch derentwegen/ wen andere leut ſitzen Spielen freſſen vnd ſauffen/ dardurch Gott geleſtert vnnd die Seel verdampt wird/ konte hergegen der fromme leſer etwas kurtzweiliges haben zu leſen/ die zeit darmit hin zu bringen/ vnd wird alſo ſein zeit nit vbel angewendet haben/ dan er wurde allzeit etwas haben entweder exempel des guten nach zu folgen/ oder das boͤſe/ wegen vermeidung zeitlicher vnd ewiger ſtraff/ zu flihen.,dieſes auch derentwegen wen andere leut ſitzen spielen freſſen vnd ſauffen dardurch gott geleſtert vnnd die seel verdampt wird konte hergegen der fromme leſer etwas kurtzweiliges haben zu leſen die zeit darmit hin zu bringen vnd wird alſo ſein zeit nit vbel angewendet haben dan er wurde allzeit etwas haben entweder exempel des guten nach zu folgen oder das boͤſe wegen vermeidung zeitlicher vnd ewiger ſtraff zu flihen,dieses auch derentwegen wen andere leut sitzen spielen fressen und sauffen dardurch gott gelestert unnd die seel uerdampt wird konte hergegen der fromme leser etwas kurtzweiliges haben zu lesen die zeit darmit hin zu bringen und wird also sein zeit nit ubel angewendet haben dan er wurde allzeit etwas haben entweder exempel des guten nach zu folgen oder das bose wegen uermeidung zeitlicher und ewiger straff zu flihen
melander_jocoseria01_1605,body,2,4,True,4,Darnach zum andern wird er auch anleitung haben in zuſamen kunfften/ wen vielleicht etliche in froͤligkeiten verſamlet/ mit exempeln zu erzehlẽ/ das doch alzeit ehrlicher/ als wen andere ſitzen vnd grobe zotten vnd boſſen reiſſen/ dardurch alle beywohner geaͤrgert werden/ vnd auch die Engel welche ſietigs vmb die menſchen ſein/ vertrieben werden.,darnach zum andern wird er auch anleitung haben in zuſamen kunfften wen vielleicht etliche in froͤligkeiten verſamlet mit exempeln zu erzehlẽ das doch alzeit ehrlicher als wen andere ſitzen vnd grobe zotten vnd boſſen reiſſen dardurch alle beywohner geaͤrgert werden vnd auch die engel welche ſietigs vmb die menſchen ſein vertrieben werden,darnach zum andern wird er auch anleitung haben in zusamen kunfften wen uielleicht etliche in froligkeiten uersamlet mit exempeln zu erzehlen das doch alzeit ehrlicher als wen andere sitzen und grobe zotten und bossen reissen dardurch alle beywohner geargert werden und auch die engel welche sietigs umb die menschen sein uertrieben werden
melander_jocoseria01_1605,body,3,0,False,5,Endlich wen er dieſe Hiſtorien ſo wird erzehlen/ werden alle leut allein auff jhn ſehen/ jhn vor gelehrt/ vnd wol erfahren halten/ wenn er ſolche exempel die doch noch Chriſtlich/ wird erzehlen koͤnnen.,endlich wen er dieſe hiſtorien ſo wird erzehlen werden alle leut allein auff jhn ſehen jhn vor gelehrt vnd wol erfahren halten wenn er ſolche exempel die doch noch chriſtlich wird erzehlen koͤnnen,endlich wen er diese historien so wird erzehlen werden alle leut allein auff ihn sehen ihn uor gelehrt und wol erfahren halten wenn er solche exempel die doch noch christlich wird erzehlen konnen
melander_jocoseria01_1605,body,3,1,False,5,Eſ hat doch der vornehme Man Lutherus ſeltſten in ſeinen Diſchreden gar viel vnd wunderliche Hiſtorien vnd geſchichten erzehlet/ geſchrieben vnnd an tag bracht.,eſ hat doch der vornehme man lutherus ſeltſten in ſeinen diſchreden gar viel vnd wunderliche hiſtorien vnd geſchichten erzehlet geſchrieben vnnd an tag bracht,es hat doch der uornehme man lutherus seltsten in seinen dischreden gar uiel und wunderliche historien und geschichten erzehlet geschrieben unnd an tag bracht
melander_jocoseria01_1605,body,3,2,True,5,Johannes Gaſtivs ein vornehmer Theologus vnnd Kirchen diener zu Baſel hat drey gantzer Tomos ſolcher ſchimpff vnd ſchertzreden vor die Gaͤſt geſchrieben.,johannes gaſtivs ein vornehmer theologus vnnd kirchen diener zu baſel hat drey gantzer tomos ſolcher ſchimpff vnd ſchertzreden vor die gaͤſt geſchrieben,iohannes gastius ein uornehmer theologus unnd kirchen diener zu basel hat drey gantzer tomos solcher schimpff und schertzreden uor die gast geschrieben
