doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
345804,head,0,0,True,,Geiſtlich Paſsport Oder Richtige Kundſchafft der Kinder GOttes/ Welche ſie mit jhnen auß dieſer Welt ins Ewige leben nehmen Erkleret Bey dem Spruch des Heiligen Apoſtels Pauli/ 2. Timoth. 4. Vnd Gehandelt bey der Begraͤbnuͤs Deß Edlen Geſtrengen/ Ehrenveſten/ auch Wolbenambten Herrn HANSEN Gruͤtſchreibern von Zopkendorff auff Stabelwitz/ der Ritterſchafft Breſslawiſchen Fuͤrſtenthumbs Landes beſtalten/ vnd verordneten Stewer Einnehmern. Gehalten durch Leonhardum Felberum Vratislav. Gedruckt in der Fuͤrſtlichen Stadt Olſſe/ bey Johan: Boͤſſemeſſer. 1606.,geiſtlich paſsport oder richtige kundſchafft der kinder gottes welche ſie mit jhnen auß dieſer welt ins ewige leben nehmen erkleret bey dem spruch des heiligen apoſtels pauli timoth vnd gehandelt bey der begraͤbnuͤs deß edlen geſtrengen ehrenveſten auch wolbenambten herrn hansen gruͤtſchreibern von zopkendorff auff stabelwitz der ritterſchafft breſslawiſchen fuͤrſtenthumbs landes beſtalten vnd verordneten stewer einnehmern gehalten durch leonhardum felberum vratislav gedruckt in der fuͤrſtlichen stadt olſſe bey johan boͤſſemeſſer,geistlich passport oder richtige kundschafft der kinder gottes welche sie mit ihnen auss dieser welt ins ewige leben nehmen erkleret bey dem spruch des heiligen apostels pauli timoth und gehandelt bey der begrabnus dess edlen gestrengen ehrenuesten auch wolbenambten herrn hansen grutschreibern uon zopkendorff auff stabelwitz der ritterschafft bresslawischen furstenthumbs landes bestalten und uerordneten stewer einnehmern gehalten durch leonhardum felberum uratislau gedruckt in der furstlichen stadt olsse bey iohan bossemesser
345804,body,1,0,False,3,ES iſt nicht ein Jahr Edler Ehrenveſter Junckher/ Edle Ehrentugendreiche Jungfrawen/ das Gott in Ewer Hauß Stabelwitz/ mit einem groſſen Kummer vnnd Leyde iſt eingezogen/ Wenn Er ewre liebe Mutter hat durch den Zeitlichen todt auß dieſem Leben Seliglichen abgefordert/ vber welchem Toͤdtlichen abgang/ jhr freylich als frome Kinder nicht wenig Betruͤbet waret/ denn wer kans laſſen/ das er nicht ſolle die ſeinigen betrawren/ welche ob ſie ſchon nicht verloren ſein/ thut es doch Fleiſch vnd Blut wehe/ das eines des andern eine Zeitlang entrahten ſoll/ Schreyet doch ein vnvornunfftig Viehe nach dem andern/ wenn eines vom andern gefuͤhret wird/ vnd ſeinen Geſellen der Arbeit verleuhret/ Wie ſolte nicht ein Menſch nach dem andern verlangen haben/ welche Gott/ Eheliche liebe vnd trewe/ vnd das gebluͤt vereiniget hat.,es iſt nicht ein jahr edler ehrenveſter junckher edle ehrentugendreiche jungfrawen das gott in ewer hauß stabelwitz mit einem groſſen kummer vnnd leyde iſt eingezogen wenn er ewre liebe mutter hat durch den zeitlichen todt auß dieſem leben seliglichen abgefordert vber welchem toͤdtlichen abgang jhr freylich als frome kinder nicht wenig betruͤbet waret denn wer kans laſſen das er nicht ſolle die ſeinigen betrawren welche ob ſie ſchon nicht verloren ſein thut es doch fleiſch vnd blut wehe das eines des andern eine zeitlang entrahten ſoll schreyet doch ein vnvornunfftig viehe nach dem andern wenn eines vom andern gefuͤhret wird vnd ſeinen geſellen der arbeit verleuhret wie ſolte nicht ein menſch nach dem andern verlangen haben welche gott eheliche liebe vnd trewe vnd das gebluͤt vereiniget hat,es ist nicht ein iahr edler ehrenuester iunckher edle ehrentugendreiche iungfrawen das gott in ewer hauss stabelwitz mit einem grossen kummer unnd leyde ist eingezogen wenn er ewre liebe mutter hat durch den zeitlichen todt auss diesem leben seliglichen abgefordert uber welchem todtlichen abgang ihr freylich als frome kinder nicht wenig betrubet waret denn wer kans lassen das er nicht solle die seinigen betrawren welche ob sie schon nicht uerloren sein thut es doch fleisch und blut wehe das eines des andern eine zeitlang entrahten soll schreyet doch ein unuornunfftig uiehe nach dem andern wenn eines uom andern gefuhret wird und seinen gesellen der arbeit uerleuhret wie solte nicht ein mensch nach dem andern uerlangen haben welche gott eheliche liebe und trewe und das geblut uereiniget hat
345804,body,1,1,False,3,Wie nun das nicht recht verſchmertzet iſt/ kom̃t noch ein groͤſſers zum vorigen/ Wenn ewer beſter Freund (nach Gott) ewer geliebter Herr Vater auch geſegnet.,wie nun das nicht recht verſchmertzet iſt kom̃t noch ein groͤſſers zum vorigen wenn ewer beſter freund nach gott ewer geliebter herr vater auch geſegnet,wie nun das nicht recht uerschmertzet ist kommt noch ein grossers zum uorigen wenn ewer bester freund nach gott ewer geliebter herr uater auch gesegnet
345804,body,1,2,True,3,Hier koͤnnet jhr ſagen mit dem Koͤnige vnd Propheten David/ auß dem 60. Pſalm: Du haſt deinem Volck ein hartes erzeiget/ vnd auß dem 80. Pſalin: Du ſpeiſeſt vns mit Trenen Brod/ vnd Trenckeſt vns mit groſſem Maß vol Trenen.,hier koͤnnet jhr ſagen mit dem koͤnige vnd propheten david auß dem pſalm du haſt deinem volck ein hartes erzeiget vnd auß dem pſalin du ſpeiſeſt vns mit trenen brod vnd trenckeſt vns mit groſſem maß vol trenen,hier konnet ihr sagen mit dem konige und propheten dauid auss dem psalm du hast deinem uolck ein hartes erzeiget und auss dem psalin du speisest uns mit trenen brod und trenckest uns mit grossem mass uol trenen
345804,body,2,0,False,4,Es fellet mir aber ein bey ſolchem eweren duppelten Leyde (das euch von Gott iſt zugeſchicket worden/) der Spruch des Propheten Nahum am 1. Cap. Der HErr wird das vngluͤck nicht zwey mal kommen laſſen.,es fellet mir aber ein bey ſolchem eweren duppelten leyde das euch von gott iſt zugeſchicket worden der spruch des propheten nahum am cap der herr wird das vngluͤck nicht zwey mal kommen laſſen,es fellet mir aber ein bey solchem eweren duppelten leyde das euch uon gott ist zugeschicket worden der spruch des propheten nahum am cap der herr wird das ungluck nicht zwey mal kommen lassen
345804,body,2,1,False,4,Hie moͤcht Fleiſch vnd Blut ſagen/ Wie dann/ daß das Vngluͤck zwey mal zu vns kommen iſt?,hie moͤcht fleiſch vnd blut ſagen wie dann daß das vngluͤck zwey mal zu vns kommen iſt,hie mocht fleisch und blut sagen wie dann dass das ungluck zwey mal zu uns kommen ist
345804,body,2,2,False,4,Vnd Gott ſucht offt frome Chriſten nicht zweymal/ ſondern ſo offt es jhm gefellet heim/ drumb auch jhre klage iſt auß dem 40. Pſal: Circumdederunt me mala quorum nõ est numerus.,vnd gott ſucht offt frome chriſten nicht zweymal ſondern ſo offt es jhm gefellet heim drumb auch jhre klage iſt auß dem pſal circumdederunt me mala quorum nõ est numerus,und gott sucht offt frome christen nicht zweymal sondern so offt es ihm gefellet heim drumb auch ihre klage ist auss dem psal circumdederunt me mala quorum non est numerus
345804,body,2,3,True,4,Es haben mich vmbgeben Leiden ohne zahl.,es haben mich vmbgeben leiden ohne zahl,es haben mich umbgeben leiden ohne zahl
345804,body,3,0,False,4,Hoͤret: Die rede die Gott an dieſem ort thut/ gehet nicht an die Gottſeligen vnnd fromen: ſondern die vnglaubigen vnd boͤſen/ das Aſſyriſche Volck/ welche Gott wol als eine Geiſſel/ ſein Volck zu ſtraffen gebraucht hat/ Aber ſie hattens zu grob vnd Tyranniſch gemacht/ darumb iſt ſolche noch Troͤſtlich allen Creutztraͤgern vnd Leydtragenden.,hoͤret die rede die gott an dieſem ort thut gehet nicht an die gottſeligen vnnd fromen ſondern die vnglaubigen vnd boͤſen das aſſyriſche volck welche gott wol als eine geiſſel ſein volck zu ſtraffen gebraucht hat aber ſie hattens zu grob vnd tyranniſch gemacht darumb iſt ſolche noch troͤſtlich allen creutztraͤgern vnd leydtragenden,horet die rede die gott an diesem ort thut gehet nicht an die gottseligen unnd fromen sondern die unglaubigen und bosen das assyrische uolck welche gott wol als eine geissel sein uolck zu straffen gebraucht hat aber sie hattens zu grob und tyrannisch gemacht darumb ist solche noch trostlich allen creutztragern und leydtragenden
345804,body,3,1,False,4,Vber die Gottloſen wil der HERR nicht das vngluͤck zweymal kom̃en laſſe/ vrſach das Erſte vñ der Anfang des leides ſol ſo ſtarck ſein/ das es des andern nicht duͤrffen wird/ mit einer Suͤndflut vnd ſo ſtarckem gewaͤſſer/ ward das Boßhafftige Volck vom Erdboden vertigelt/ Mit einem fewer/ vnnd auff eimal ward Sodoma mit allem Heil vorwuͤſtet/ vñ ſo ploͤtzlich/ das auff den andern tag/ nicht mehr dann die Fußſtapffen des Zornigen Gottes/ das iſt/ ein Rauch vnd dampff geſehen ward/ Wie bald gehet Pharao mit ſeiner Macht vnter.,vber die gottloſen wil der herr nicht das vngluͤck zweymal kom̃en laſſe vrſach das erſte vñ der anfang des leides ſol ſo ſtarck ſein das es des andern nicht duͤrffen wird mit einer suͤndflut vnd ſo ſtarckem gewaͤſſer ward das boßhafftige volck vom erdboden vertigelt mit einem fewer vnnd auff eimal ward sodoma mit allem heil vorwuͤſtet vñ ſo ploͤtzlich das auff den andern tag nicht mehr dann die fußſtapffen des zornigen gottes das iſt ein rauch vnd dampff geſehen ward wie bald gehet pharao mit ſeiner macht vnter,uber die gottlosen wil der herr nicht das ungluck zweymal kommen lasse ursach das erste und der anfang des leides sol so starck sein das es des andern nicht durffen wird mit einer sundflut und so starckem gewasser ward das bosshafftige uolck uom erdboden uertigelt mit einem fewer unnd auff eimal ward sodoma mit allem heil uorwustet und so plotzlich das auff den andern tag nicht mehr dann die fussstapffen des zornigen gottes das ist ein rauch und dampff gesehen ward wie bald gehet pharao mit seiner macht unter
