doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
musaeus_leichtpredigt_1606,head,0,0,True,1,"Leichtpredigt/ Gethan bey der Begrebnuß Der Erbarn vndt Tugentsamen Frawen Maria Helderin/ Des Edlen Ehrnvehsten vnd Manhafften Herren David Sachsen/ Fürstlichẽ Braunschweigischen General Krigs Commissarij vnd geheimen Rahts Ehelichen Haußfrawen/ so den 9. Julij dieses 1605. Jahrs in Christo Seliglich entschlaffen / vnd folgendes Christlich zur Erden bestattet worden. Durch M. Paulum Musaeum, Pfarrhern in der Heinrichstadt. Gedruckt zur Heinrichstadt/ Durch Julium Adolphum von Söhne/ ANNO M. DC. VI.",leichtpredigt gethan bey der begrebnuß der erbarn vndt tugentsamen frawen maria helderin des edlen ehrnvehsten vnd manhafften herren david sachsen fürstlichẽ braunschweigischen general krigs commissarij vnd geheimen rahts ehelichen haußfrawen so den julij dieses jahrs in christo seliglich entschlaffen vnd folgendes christlich zur erden bestattet worden durch m paulum musaeum pfarrhern in der heinrichstadt gedruckt zur heinrichstadt durch julium adolphum von söhne anno m dc vi,leichtpredigt gethan bey der begrebnuss der erbarn undt tugentsamen frawen maria helderin des edlen ehrnuehsten und manhafften herren dauid sachsen furstlichen braunschweigischen general krigs commissarii und geheimen rahts ehelichen haussfrawen so den iulii dieses iahrs in christo seliglich entschlaffen und folgendes christlich zur erden bestattet worden durch m paulum musaeum pfarrhern in der heinrichstadt gedruckt zur heinrichstadt durch iulium adolphum uon sohne anno m dc ui
musaeus_leichtpredigt_1606,head,1,0,True,3,Rom: 8.,rom,rom
musaeus_leichtpredigt_1606,body,2,0,False,3,WIR wissen aber / das denen / die GOtt lieben / alle ding zum besten dienen / die nach dem Fürsatz beruffen sind.,wir wissen aber das denen die gott lieben alle ding zum besten dienen die nach dem fürsatz beruffen sind,wir wissen aber das denen die gott lieben alle ding zum besten dienen die nach dem fursatz beruffen sind
musaeus_leichtpredigt_1606,body,2,1,False,3,Denn welche er zuuor versehen hat / die hat er auch verordnet / das sie gleich sein solten / dem Ebenbild seines Sohns / auff das derselbige der Erstgeborne sey vnter vielen Brüdern.,denn welche er zuuor versehen hat die hat er auch verordnet das sie gleich sein solten dem ebenbild seines sohns auff das derselbige der erstgeborne sey vnter vielen brüdern,denn welche er zuuor uersehen hat die hat er auch uerordnet das sie gleich sein solten dem ebenbild seines sohns auff das derselbige der erstgeborne sey unter uielen brudern
musaeus_leichtpredigt_1606,body,2,2,True,3,Welche er aber verordnet hat / die hat er auch beruffen: Welche er aber beruffen hat / die hat er auch gerecht gemacht: Welche er aber hat gerecht gemacht / die hat er auch herrlich gemacht.,welche er aber verordnet hat die hat er auch beruffen welche er aber beruffen hat die hat er auch gerecht gemacht welche er aber hat gerecht gemacht die hat er auch herrlich gemacht,welche er aber uerordnet hat die hat er auch beruffen welche er aber beruffen hat die hat er auch gerecht gemacht welche er aber hat gerecht gemacht die hat er auch herrlich gemacht
musaeus_leichtpredigt_1606,head,3,0,True,3,Außlegung.,außlegung,ausslegung
musaeus_leichtpredigt_1606,body,4,0,False,3,GEliebte im HErren / es sind nun 3481. Jahr / das die heilige vnd hocherleuchte Matron vnd Ertzmutter Christi Sara / in Christo dem damals verheissenen benedeiten Samen seliglich entschlaffen ist / nach dem sie 127. Jahr alt worden / vnd fast in die hundert Jahr / mit jhrem Herren Abraham friedlich vnd freundlich im Ehestand gelebt / böses vnd guts neben jhm außgestanden / vnd sich also verhalten / das sie der Apostel Petrus 1. Pet: 3. allen Christlichen Weibern zum Ehrenspiegel vnd Bild Weiblicher Tugenden vorstellet.,geliebte im herren es sind nun jahr das die heilige vnd hocherleuchte matron vnd ertzmutter christi sara in christo dem damals verheissenen benedeiten samen seliglich entschlaffen ist nach dem sie jahr alt worden vnd fast in die hundert jahr mit jhrem herren abraham friedlich vnd freundlich im ehestand gelebt böses vnd guts neben jhm außgestanden vnd sich also verhalten das sie der apostel petrus pet allen christlichen weibern zum ehrenspiegel vnd bild weiblicher tugenden vorstellet,geliebte im herren es sind nun iahr das die heilige und hocherleuchte matron und ertzmutter christi sara in christo dem damals uerheissenen benedeiten samen seliglich entschlaffen ist nach dem sie iahr alt worden und fast in die hundert iahr mit ihrem herren abraham friedlich und freundlich im ehestand gelebt boses und guts neben ihm aussgestanden und sich also uerhalten das sie der apostel petrus pet allen christlichen weibern zum ehrenspiegel und bild weiblicher tugenden uorstellet
musaeus_leichtpredigt_1606,body,4,1,True,4,Vnd ist hiebey das erbermlichste / das Abraham eben zu der zeit / als sein liebes Weib gestorben / nicht einheimisch gewesen / wie die vmbstende des Textes geben / Welche sonder zweiffel nach jhm hefftig wird gekarmet haben / das sie jhn für jhrem Ende noch einsten zusprechen / gesegnen / vnd jhren Sohn Isaac befehlen möcht.,vnd ist hiebey das erbermlichste das abraham eben zu der zeit als sein liebes weib gestorben nicht einheimisch gewesen wie die vmbstende des textes geben welche sonder zweiffel nach jhm hefftig wird gekarmet haben das sie jhn für jhrem ende noch einsten zusprechen gesegnen vnd jhren sohn isaac befehlen möcht,und ist hiebey das erbermlichste das abraham eben zu der zeit als sein liebes weib gestorben nicht einheimisch gewesen wie die umbstende des textes geben welche sonder zweiffel nach ihm hefftig wird gekarmet haben das sie ihn fur ihrem ende noch einsten zusprechen gesegnen und ihren sohn isaac befehlen mocht
musaeus_leichtpredigt_1606,body,5,0,False,4,Wie schmertzlich nun dieser vnuerhoffte Fall dem heiligen Mann sey vorkommen / das er sein liebe Saram so er in zimlicher Wolstand verlassen / todt funden / verstehen Christliche Eheleute / so einander hertzlich lieben / zum besten.,wie schmertzlich nun dieser vnuerhoffte fall dem heiligen mann sey vorkommen das er sein liebe saram so er in zimlicher wolstand verlassen todt funden verstehen christliche eheleute so einander hertzlich lieben zum besten,wie schmertzlich nun dieser unuerhoffte fall dem heiligen mann sey uorkommen das er sein liebe saram so er in zimlicher wolstand uerlassen todt funden uerstehen christliche eheleute so einander hertzlich lieben zum besten
musaeus_leichtpredigt_1606,body,5,1,False,4,Es gibts auch Mose genungsam zuuerstehen / da er spricht Gen: 23. Abraham sey kommen / das er sein Weib beklagte vnd beweinte / vnd das er jhr nach gehaltener Klag / ein ehrlich vnd statlich Begrebnus zugerichtet hab: dabey er sonder zweiffel / als ein Prophet / eine schöne Leichpredigt wird gehalten haben / von des Todtes Vrsprung vnd Eingang in die Welt / vnd wie man sich zum seligen End vnd Sterbstündlein Christlich bereiten sol / Item von Christo dem verheissenen Samen / wie der einmahl werde auß seinem Geschlecht geboren werden / vnd durch seinen Gehorsamb / Bluth vnd Tod / die Sünde büssen / GOttes Zorn stillen / den Todt vberwinden vnd in den Sieg verschlingen / vnd an stadt dieses mühsamen vergenglichen Lebens / ein ewiges Leben erwerben / Zu welchem GOtt am Jüngsten tag seine Saram / vnd alle die jhrem Exempel nach Christum den künfftigen Heilandt / mit warem Glauben ergreiffen / vnd in solchem Glauben jhm jhre Seelen befehlen werden / mit jhrem Leibe wieder aufferwecken / vnd mit ewigen Ehren krönen werde: Da wolle er sie wieder sehen / vnd sich mit jhr ewiglich frewen.,es gibts auch mose genungsam zuuerstehen da er spricht gen abraham sey kommen das er sein weib beklagte vnd beweinte vnd das er jhr nach gehaltener klag ein ehrlich vnd statlich begrebnus zugerichtet hab dabey er sonder zweiffel als ein prophet eine schöne leichpredigt wird gehalten haben von des todtes vrsprung vnd eingang in die welt vnd wie man sich zum seligen end vnd sterbstündlein christlich bereiten sol item von christo dem verheissenen samen wie der einmahl werde auß seinem geschlecht geboren werden vnd durch seinen gehorsamb bluth vnd tod die sünde büssen gottes zorn stillen den todt vberwinden vnd in den sieg verschlingen vnd an stadt dieses mühsamen vergenglichen lebens ein ewiges leben erwerben zu welchem gott am jüngsten tag seine saram vnd alle die jhrem exempel nach christum den künfftigen heilandt mit warem glauben ergreiffen vnd in solchem glauben jhm jhre seelen befehlen werden mit jhrem leibe wieder aufferwecken vnd mit ewigen ehren krönen werde da wolle er sie wieder sehen vnd sich mit jhr ewiglich frewen,es gibts auch mose genungsam zuuerstehen da er spricht gen abraham sey kommen das er sein weib beklagte und beweinte und das er ihr nach gehaltener klag ein ehrlich und statlich begrebnus zugerichtet hab dabey er sonder zweiffel als ein prophet eine schone leichpredigt wird gehalten haben uon des todtes ursprung und eingang in die welt und wie man sich zum seligen end und sterbstundlein christlich bereiten sol item uon christo dem uerheissenen samen wie der einmahl werde auss seinem geschlecht geboren werden und durch seinen gehorsamb bluth und tod die sunde bussen gottes zorn stillen den todt uberwinden und in den sieg uerschlingen und an stadt dieses muhsamen uergenglichen lebens ein ewiges leben erwerben zu welchem gott am iungsten tag seine saram und alle die ihrem exempel nach christum den kunfftigen heilandt mit warem glauben ergreiffen und in solchem glauben ihm ihre seelen befehlen werden mit ihrem leibe wieder aufferwecken und mit ewigen ehren kronen werde da wolle er sie wieder sehen und sich mit ihr ewiglich frewen
