doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
395372,body,0,0,True,[1],Beatorum Mortuorum requies: Das iſt/ Eine Chriſtliche Leich vnd Troſtpredigt/ vber den Spruch Apocal. 14. Selig ſind die Todten die im HErrn ſterben von nu an/ Ja der Geiſt ſpricht/ das ſie ruhen von jhrer Arbeit/ denn jhre Werck folgen jhnen nach. Bey dem Begrebnis/ der weiland Edlen/ Ehrntugendſamen vnd Chriſtlichen Frawen/ Frawen Barbaren/ Gebornen von Bredow/ Des auch weiland Edlen/ Geſtrengen vnd Ehrnveſten Arnt von Roͤbels auff Leubgal ſeeligen/ hinterlaſſenen Witwin/ welche den 16. Octobris Mittags vmb 10. vhr/ des 1603. Jahrs in wahrer Erkentnis vnnd Anruffung Jeſu Chriſti ſanfft vnnd ſelig zu Bornsdorff vor Beßkow aus dieſem Jammerthal abgeſchieden/ vnd den folgenden 26. ejuſdem in der Pfarrkirchen zu Beßkow vor dem Chor neben jhre ſelige Fraw Mutter Chriſtlich vnd Adelich zur Erden beſtattet worden. Gehalten durch M. Chriſtophorum Trewern/ Pfarrern vnnd Inſpectorem doſelbſt. Roman. 14. Sterben wir ſo ſterben wir dem HERRN. Gedruckt zu Franckfurt an der Oder/ durch Johannem Eichorn/ Anno 1606.,beatorum mortuorum requies das iſt eine chriſtliche leich vnd troſtpredigt vber den spruch apocal selig ſind die todten die im herrn ſterben von nu an ja der geiſt ſpricht das ſie ruhen von jhrer arbeit denn jhre werck folgen jhnen nach bey dem begrebnis der weiland edlen ehrntugendſamen vnd chriſtlichen frawen frawen barbaren gebornen von bredow des auch weiland edlen geſtrengen vnd ehrnveſten arnt von roͤbels auff leubgal ſeeligen hinterlaſſenen witwin welche den octobris mittags vmb vhr des jahrs in wahrer erkentnis vnnd anruffung jeſu chriſti ſanfft vnnd ſelig zu bornsdorff vor beßkow aus dieſem jammerthal abgeſchieden vnd den folgenden ejuſdem in der pfarrkirchen zu beßkow vor dem chor neben jhre ſelige fraw mutter chriſtlich vnd adelich zur erden beſtattet worden gehalten durch m chriſtophorum trewern pfarrern vnnd inſpectorem doſelbſt roman sterben wir ſo ſterben wir dem herrn gedruckt zu franckfurt an der oder durch johannem eichorn anno,beatorum mortuorum requies das ist eine christliche leich und trostpredigt uber den spruch apocal selig sind die todten die im herrn sterben uon nu an ia der geist spricht das sie ruhen uon ihrer arbeit denn ihre werck folgen ihnen nach bey dem begrebnis der weiland edlen ehrntugendsamen und christlichen frawen frawen barbaren gebornen uon bredow des auch weiland edlen gestrengen und ehrnuesten arnt uon robels auff leubgal seeligen hinterlassenen witwin welche den octobris mittags umb uhr des iahrs in wahrer erkentnis unnd anruffung iesu christi sanfft unnd selig zu bornsdorff uor besskow aus diesem iammerthal abgeschieden und den folgenden eiusdem in der pfarrkirchen zu besskow uor dem chor neben ihre selige fraw mutter christlich und adelich zur erden bestattet worden gehalten durch m christophorum trewern pfarrern unnd inspectorem doselbst roman sterben wir so sterben wir dem herrn gedruckt zu franckfurt an der oder durch iohannem eichorn anno
395372,body,1,0,False,[2],Denen Edlen vnd Ehrnveſten Hans Joachim vnd Zacharias Gebruͤdern von Roͤbeln zu Bornßdorff/ etc.,denen edlen vnd ehrnveſten hans joachim vnd zacharias gebruͤdern von roͤbeln zu bornßdorff etc,denen edlen und ehrnuesten hans ioachim und zacharias gebrudern uon robeln zu bornssdorff etc
395372,body,1,1,False,[2],Vnnd Denen Edlen vnnd vieltugendſamen Jungfrawen Sabinen vnd Jungfrawen Annen/ Eliſabethen Geſchwiſtern von Roͤbeln zu Bornßdorff.,vnnd denen edlen vnnd vieltugendſamen jungfrawen sabinen vnd jungfrawen annen eliſabethen geſchwiſtern von roͤbeln zu bornßdorff,unnd denen edlen unnd uieltugendsamen iungfrawen sabinen und iungfrawen annen elisabethen geschwistern uon robeln zu bornssdorff
395372,body,1,2,True,[2],Der ſelig verſtorbenen Fraw Barbaren von Roͤbeln hinderlaſſenen Kindern/ Meinen inſonders guͤnſtigen Junckern/ Jungfern/ vnd Chriſtlichen lieben Pfarrkindern/ vbergiebt dieſe Predigt auff jhr bittliches begeren/,der ſelig verſtorbenen fraw barbaren von roͤbeln hinderlaſſenen kindern meinen inſonders guͤnſtigen junckern jungfern vnd chriſtlichen lieben pfarrkindern vbergiebt dieſe predigt auff jhr bittliches begeren,der selig uerstorbenen fraw barbaren uon robeln hinderlassenen kindern meinen insonders gunstigen iunckern iungfern und christlichen lieben pfarrkindern ubergiebt diese predigt auff ihr bittliches begeren
395372,body,2,0,True,[2],M. Chriſtoff Trewer/ Pfarrer/ etc.,m chriſtoff trewer pfarrer etc,m christoff trewer pfarrer etc
395372,body,3,0,False,[3],ZVn Roͤmern am 12. giebt vns der Apoſtel SanctPaulus eine feine Inſtruction vnd Lehr/ wie wir Chriſten vntereinander leben ſollen/ das ſich einer dem andern fein lieb/ beheg vnd angenem mache/ vnnd einer thue was dem andern gefalle/ Die Liebe/ ſagt er vnter andern/ ſey nicht falſch/ Nehmet euch der heiligen Notdurfft an/ Frewet euch mit den froͤlichen/ vnd weinet mit den weinenden.,zvn roͤmern am giebt vns der apoſtel sanctpaulus eine feine inſtruction vnd lehr wie wir chriſten vntereinander leben ſollen das ſich einer dem andern fein lieb beheg vnd angenem mache vnnd einer thue was dem andern gefalle die liebe ſagt er vnter andern ſey nicht falſch nehmet euch der heiligen notdurfft an frewet euch mit den froͤlichen vnd weinet mit den weinenden,zun romern am giebt uns der apostel sanctpaulus eine feine instruction und lehr wie wir christen untereinander leben sollen das sich einer dem andern fein lieb beheg und angenem mache unnd einer thue was dem andern gefalle die liebe sagt er unter andern sey nicht falsch nehmet euch der heiligen notdurfft an frewet euch mit den frolichen und weinet mit den weinenden
395372,body,3,1,True,[3],Demnach wir denn allhie etliche vnſerer lieben MitChriſten/ vnd vnter denen auch hinderlaſſene betruͤbte Waiſen/ wegen des toͤdtlichen Abgangs jhrer hertzlieben Mutter/ Schweſter vnd Freundin/ Der weiland Edlen/ Chriſtlichen vnnd tugendſamen Frawen/ Frawen Barbaren gebornen von Bredow/ des Stams Lawenberg/ Des auch weiland Edlen/ Geſtrengen vnnd Ehrnveſten Arnt von Roͤbels ſeligen/ hinterlaſſenen witwin/ etc. hochbetruͤbt/ trawrig vnd weinend ſehen/ weinen wir nit vnbillich auch mit/ domit ſie vnſer Chriſtliches Mitleiden gegen ſich ſpuͤren koͤnnen/ nehmen vns auch nicht vnbillich jhrer Noſdurfft an/ alſo vnd dergeſtalt/ das wir jnen mit Chriſtlichem Troſt begegnen vnd beywohnen Solcher Troſt aber kan nirgend beſſer hergenommen werden/ als aus Gottes Wort/ Denn davon lebt man/ vnnd der Geiſt meines Lebens ſteht gar in demſelbigen/ ſagt Koͤnig Hißkia in ſeiner Kranckheit/ vnd David ſagt in ſeinem Creutz/ HErr/ wo es ohn dein Wort geweſen/ ſo wer ich vergangen in meinem Elende.,demnach wir denn allhie etliche vnſerer lieben mitchriſten vnd vnter denen auch hinderlaſſene betruͤbte waiſen wegen des toͤdtlichen abgangs jhrer hertzlieben mutter schweſter vnd freundin der weiland edlen chriſtlichen vnnd tugendſamen frawen frawen barbaren gebornen von bredow des stams lawenberg des auch weiland edlen geſtrengen vnnd ehrnveſten arnt von roͤbels ſeligen hinterlaſſenen witwin etc hochbetruͤbt trawrig vnd weinend ſehen weinen wir nit vnbillich auch mit domit ſie vnſer chriſtliches mitleiden gegen ſich ſpuͤren koͤnnen nehmen vns auch nicht vnbillich jhrer noſdurfft an alſo vnd dergeſtalt das wir jnen mit chriſtlichem troſt begegnen vnd beywohnen solcher troſt aber kan nirgend beſſer hergenommen werden als aus gottes wort denn davon lebt man vnnd der geiſt meines lebens ſteht gar in demſelbigen ſagt koͤnig hißkia in ſeiner kranckheit vnd david ſagt in ſeinem creutz herr wo es ohn dein wort geweſen ſo wer ich vergangen in meinem elende,demnach wir denn allhie etliche unserer lieben mitchristen und unter denen auch hinderlassene betrubte waisen wegen des todtlichen abgangs ihrer hertzlieben mutter schwester und freundin der weiland edlen christlichen unnd tugendsamen frawen frawen barbaren gebornen uon bredow des stams lawenberg des auch weiland edlen gestrengen unnd ehrnuesten arnt uon robels seligen hinterlassenen witwin etc hochbetrubt trawrig und weinend sehen weinen wir nit unbillich auch mit domit sie unser christliches mitleiden gegen sich spuren konnen nehmen uns auch nicht unbillich ihrer nosdurfft an also und dergestalt das wir inen mit christlichem trost begegnen und beywohnen solcher trost aber kan nirgend besser hergenommen werden als aus gottes wort denn dauon lebt man unnd der geist meines lebens steht gar in demselbigen sagt konig hisskia in seiner kranckheit und dauid sagt in seinem creutz herr wo es ohn dein wort gewesen so wer ich uergangen in meinem elende
395372,body,4,0,True,[4],Derwegen wir vns allen zu Troſt einen ſchoͤnen Text aus Gottes Wort fuͤr vns nehmen vnd daraus anhoͤren wollen/ was fuͤr Lehr vnnd Troſt darinnen zu finden/ welches damit es geſchehe/ das Gott geehret/ vnſer Glaub geſtercket/ vnſer Truͤbnis gelindert/ vnd vnſer Leben gebeſſert werde/ wollen wir Gott vmb regierung vnd erleuchtung des heiligen Geiſtes anruffen/ vnd ſolches von jhme zu erlangen/ mit einander ein gleubiges Vater vnſer beten: Vater vnſer/ der du biſt im Himmel/ etc.,derwegen wir vns allen zu troſt einen ſchoͤnen text aus gottes wort fuͤr vns nehmen vnd daraus anhoͤren wollen was fuͤr lehr vnnd troſt darinnen zu finden welches damit es geſchehe das gott geehret vnſer glaub geſtercket vnſer truͤbnis gelindert vnd vnſer leben gebeſſert werde wollen wir gott vmb regierung vnd erleuchtung des heiligen geiſtes anruffen vnd ſolches von jhme zu erlangen mit einander ein gleubiges vater vnſer beten vater vnſer der du biſt im himmel etc,derwegen wir uns allen zu trost einen schonen text aus gottes wort fur uns nehmen und daraus anhoren wollen was fur lehr unnd trost darinnen zu finden welches damit es geschehe das gott geehret unser glaub gestercket unser trubnis gelindert und unser leben gebessert werde wollen wir gott umb regierung und erleuchtung des heiligen geistes anruffen und solches uon ihme zu erlangen mit einander ein gleubiges uater unser beten uater unser der du bist im himmel etc
395372,body,5,0,True,[4],So ſagt S. Johannes der Evangeliſt vnd Apoſtel im Buch ſeiner Offenbarung am 14. Capitel.,so ſagt s johannes der evangeliſt vnd apoſtel im buch ſeiner offenbarung am capitel,so sagt s iohannes der euangelist und apostel im buch seiner offenbarung am capitel
395372,body,6,0,True,[4],Erklerung des Texts.,erklerung des texts,erklerung des texts
