doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523698,head,0,0,True,[1],"Beſchreibung EJnes Vornehmen Theologi/ vnd getrewen Lehrers vnd Predigers des H. Goͤttlichen worts/ mit troſt vnd ermahnung auß Sirach cap. 14. verſ. 22. vnd cap. 15. v. 1. 2. 3. 4. 5. Bey der Chriſtlichen/ ſeligen beſtatten Leiche/ des Ehrwirdigen/ Achtbarn vnd Hochgelarten Herꝛn/ M. Wolfgangi Amlingi/ vornehmen Superintendenten des Elbkreyſes im Fuͤrſtenthumb Anhalt/ vnd Pfarꝛern der Gemein zu S. Niclaus/ ſo wol Theologiæ Profeſſoris publici in Illuſtri Gymnaſio primarii, zu Zerbſt/ Welcher ſanfft vnd ſelig im Herꝛn verſchieden Dominica Cantate, Anno 1606. vnd auf Mittwochen drauff/ war der 21. Maji/ in ſehr aroſſer verſamlung auf den lieben Gottes acker begraben worden. Erkleret in der Kirchen zu S. Niclaß/ durch M. Caſparum Vlricum/ Pfarꝛern in der andern Gemein vnd Sſchloßkirchen daſelbſt. Adiecta ſunt Epigrammata quædam ſcripta à propinquis & amicis. Gedruckt zu Heydelberg/ im Jahr/ 1607.",beſchreibung ejnes vornehmen theologi vnd getrewen lehrers vnd predigers des h goͤttlichen worts mit troſt vnd ermahnung auß sirach cap verſ vnd cap v bey der chriſtlichen ſeligen beſtatten leiche des ehrwirdigen achtbarn vnd hochgelarten herꝛn m wolfgangi amlingi vornehmen superintendenten des elbkreyſes im fuͤrſtenthumb anhalt vnd pfarꝛern der gemein zu s niclaus ſo wol theologiæ profeſſoris publici in illuſtri gymnaſio primarii zu zerbſt welcher ſanfft vnd ſelig im herꝛn verſchieden dominica cantate anno vnd auf mittwochen drauff war der maji in ſehr aroſſer verſamlung auf den lieben gottes acker begraben worden erkleret in der kirchen zu s niclaß durch m caſparum vlricum pfarꝛern in der andern gemein vnd sſchloßkirchen daſelbſt adiecta ſunt epigrammata quædam ſcripta à propinquis & amicis gedruckt zu heydelberg im jahr,beschreibung eines uornehmen theologi und getrewen lehrers und predigers des h gottlichen worts mit trost und ermahnung auss sirach cap uers und cap u bey der christlichen seligen bestatten leiche des ehrwirdigen achtbarn und hochgelarten hern m wolfgangi amlingi uornehmen superintendenten des elbkreyses im furstenthumb anhalt und pfarern der gemein zu s niclaus so wol theologiae professoris publici in illustri gymnasio primarii zu zerbst welcher sanfft und selig im hern uerschieden dominica cantate anno und auf mittwochen drauff war der maii in sehr arosser uersamlung auf den lieben gottes acker begraben worden erkleret in der kirchen zu s niclass durch m casparum ulricum pfarern in der andern gemein und sschlosskirchen daselbst adiecta sunt epigrammata quaedam scripta a propinquis et amicis gedruckt zu heydelberg im iahr
523698,head,1,0,True,[2],IN AMLINGO MASTIGAS.,in amlingo mastigas,in amlingo mastigas
523698,body,2,0,True,[2],AMlingvm contra vivum mendacia folle,amlingvm contra vivum mendacia folle,amlingum contra uiuum mendacia folle
523698,body,3,0,True,[2],Vulcani pleno fudit & evomuit,vulcani pleno fudit & evomuit,uulcani pleno fudit et euomuit
523698,body,4,0,True,[2],"Sathan: quid mirum, hæc defuncto aſpergier, ipſum",sathan quid mirum hæc defuncto aſpergier ipſum,sathan quid mirum haec defuncto aspergier ipsum
523698,body,5,0,True,[2],Dicere vel dudum Dæmona quæ puduit?,dicere vel dudum dæmona quæ puduit,dicere uel dudum daemona quae puduit
523698,body,6,0,True,[2],"Perſonam Chriſti aſſeruit ſine Neſtoris œſtro,",perſonam chriſti aſſeruit ſine neſtoris œſtro,personam christi asseruit sine nestoris oestro
523698,body,7,0,True,[2],Confuſis larvis Eutyche & absꝙ tuis.,confuſis larvis eutyche & absꝙ tuis,confusis laruis eutyche et absquod tuis
523698,body,8,0,True,[2],"Pontificum fraude & Monachorum fece remota,",pontificum fraude & monachorum fece remota,pontificum fraude et monachorum fece remota
523698,body,9,0,True,[2],Purè reſtituit ſymbola ſacra gregi.,purè reſtituit ſymbola ſacra gregi,pure restituit symbola sacra gregi
523698,body,10,0,True,[2],"Quantumcunꝙ poteſt, facies tibi liveat atrox,",quantumcunꝙ poteſt facies tibi liveat atrox,quantumcunquod potest facies tibi liueat atrox
523698,body,11,0,True,[2],In cœli Amlingus ſede beatus ovat.,in cœli amlingus ſede beatus ovat,in coeli amlingus sede beatus ouat
523698,body,12,0,True,[2],"Mortuus, ut vivus, Chriſti eſt, ſancteꝙ́ ſepultus,",mortuus ut vivus chriſti eſt ſancteꝙ́ ſepultus,mortuus ut uiuus christi est sanctequod sepultus
523698,body,13,0,True,[2],Angelica excitus voce reſurget humo.,angelica excitus voce reſurget humo,angelica excitus uoce resurget humo
523698,body,14,0,True,[2],"Converte incautos quos præceps abripit error,",converte incautos quos præceps abripit error,conuerte incautos quos praeceps abripit error
523698,body,15,0,True,[2],Electi tandem Chriſte miſerte gregis.,electi tandem chriſte miſerte gregis,electi tandem christe miserte gregis
523698,body,16,0,True,[2],"Nomen, Chriſte, tuum precor, aſſere, viribus auſis",nomen chriſte tuum precor aſſere viribus auſis,nomen christe tuum precor assere uiribus ausis
523698,body,17,0,True,[2],Hoc Antichriſtus dum temerare ſuis.,hoc antichriſtus dum temerare ſuis,hoc antichristus dum temerare suis
523698,body,18,0,True,[2],C. V. M.,c v m,c u m
523698,body,19,0,True,[3],22. WOl dem/ der ſtets mit Gottes wort vmbgehet/ vnd daſſelb außleget/ vnd lehret.,wol dem der ſtets mit gottes wort vmbgehet vnd daſſelb außleget vnd lehret,wol dem der stets mit gottes wort umbgehet und dasselb aussleget und lehret
523698,body,20,0,True,[3],23. Ders von hertzen betracht/ vnd gruͤndlich verſtehen lernet/ vnd der weißheit jmmer weiter nachforſchet/ vnd ſchleichet jhr nach/ wo ſie hingehet.,ders von hertzen betracht vnd gruͤndlich verſtehen lernet vnd der weißheit jmmer weiter nachforſchet vnd ſchleichet jhr nach wo ſie hingehet,ders uon hertzen betracht und grundlich uerstehen lernet und der weissheit immer weiter nachforschet und schleichet ihr nach wo sie hingehet
523698,body,21,0,True,[3],24. Vnd gucket zu jhrem fenſter hineyn/ vnd horchet an der thůr.,vnd gucket zu jhrem fenſter hineyn vnd horchet an der thůr,und gucket zu ihrem fenster hineyn und horchet an der thur
