doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508113,head,0,0,True,[1],Eine Chriſtliche Predigt BEy der Leich vnd Adelichen Begräbnuß/ deß Weyland Edlen Geſtrengen vnd veſten Sigmundt Marſchalcks von vnd zu Ebnet/ auff Wildenberg vnd Weingartengereuth/ ꝛc. ſeligen. Welcher Montags den 13. Iunij diß 1608. Jahrs früe zwiſchen 8. vnd 9. vhrn zu Bamberg/ in warer anruffung/ erkant: vnd bekantnuß ſeines lieben Herrn vnd einigen Heylands Jeſu Chriſti ſelig eingeſchlaffen/ vnd Sontags hernacher den 19. Junij von dannen nacher Mühlhauſen/ Chriſtlichem vñ Adelichem brauch nach/ in Volckreicher verſamlung/ zur Erden beſtetigt worden/ Deſſen Seelen Gott gnedig geruhen/ dem Cörper aber am Jüngſten Tage eine fröliche Aufferſtehung zum Ewigen Leben verleyhen wolle/ Amen. Gethan/ vnd jetzo zu vnterthenigen Ehren vnd gefallen der hinterlaſſenen betrübten Fraw Wittiben/ vnd gantzen Adelichen Freundſchafft in Druck verfertiget/ Durch Wolfgang Haßfurtern/ der zeit Pfaꝛrern zu Aſpach vnd Heuchelheim. Gedruckt zu Nürmberg/ durch Abraham Wagenmann. M D C VIII.,eine chriſtliche predigt bey der leich vnd adelichen begräbnuß deß weyland edlen geſtrengen vnd veſten sigmundt marſchalcks von vnd zu ebnet auff wildenberg vnd weingartengereuth ꝛc ſeligen welcher montags den iunij diß jahrs früe zwiſchen vnd vhrn zu bamberg in warer anruffung erkant vnd bekantnuß ſeines lieben herrn vnd einigen heylands jeſu chriſti ſelig eingeſchlaffen vnd sontags hernacher den junij von dannen nacher mühlhauſen chriſtlichem vñ adelichem brauch nach in volckreicher verſamlung zur erden beſtetigt worden deſſen seelen gott gnedig geruhen dem cörper aber am jüngſten tage eine fröliche aufferſtehung zum ewigen leben verleyhen wolle amen gethan vnd jetzo zu vnterthenigen ehren vnd gefallen der hinterlaſſenen betrübten fraw wittiben vnd gantzen adelichen freundſchafft in druck verfertiget durch wolfgang haßfurtern der zeit pfaꝛrern zu aſpach vnd heuchelheim gedruckt zu nürmberg durch abraham wagenmann m d c viii,eine christliche predigt bey der leich und adelichen begrabnuss dess weyland edlen gestrengen und uesten sigmundt marschalcks uon und zu ebnet auff wildenberg und weingartengereuth c seligen welcher montags den iunii diss iahrs frue zwischen und uhrn zu bamberg in warer anruffung erkant und bekantnuss seines lieben herrn und einigen heylands iesu christi selig eingeschlaffen und sontags hernacher den iunii uon dannen nacher muhlhausen christlichem und adelichem brauch nach in uolckreicher uersamlung zur erden bestetigt worden dessen seelen gott gnedig geruhen dem corper aber am iungsten tage eine froliche aufferstehung zum ewigen leben uerleyhen wolle amen gethan und ietzo zu unterthenigen ehren und gefallen der hinterlassenen betrubten fraw wittiben und gantzen adelichen freundschafft in druck uerfertiget durch wolfgang hassfurtern der zeit pfarern zu aspach und heuchelheim gedruckt zu nurmberg durch abraham wagenmann m d c uiii
508113,body,1,0,True,[3],DEiñ Edlen Geſtrengen vnd veſten/ Veit Vlrich Marſchalck von Ebnet zu Frenßdorff/ ꝛc. Meinem Jnſonders Großgünſtigen Junckern vnd geneigten Förderer/ Vnd Denen auch Edlen vnd Ehren vieltungentreichen Frawen Catharinen Marſchalckin/ gebornen Schenckin von Symaw/ Frauen Amalien von Kindtsberg vnd Frawen Vrſulen von Wallenfelß/ beyde geborne Marſchalckin von Ebnet/ Wittiben zu Weingartgereuth/ Thurnaw vnd Culmbach/ ꝛc. Meinen in gebühr günſtigen Frawen/ ſampt vnd ſonders.,deiñ edlen geſtrengen vnd veſten veit vlrich marſchalck von ebnet zu frenßdorff ꝛc meinem jnſonders großgünſtigen junckern vnd geneigten förderer vnd denen auch edlen vnd ehren vieltungentreichen frawen catharinen marſchalckin gebornen schenckin von symaw frauen amalien von kindtsberg vnd frawen vrſulen von wallenfelß beyde geborne marſchalckin von ebnet wittiben zu weingartgereuth thurnaw vnd culmbach ꝛc meinen in gebühr günſtigen frawen ſampt vnd ſonders,deinn edlen gestrengen und uesten ueit ulrich marschalck uon ebnet zu frenssdorff c meinem insonders grossgunstigen iunckern und geneigten forderer und denen auch edlen und ehren uieltungentreichen frawen catharinen marschalckin gebornen schenckin uon symaw frauen amalien uon kindtsberg und frawen ursulen uon wallenfelss beyde geborne marschalckin uon ebnet wittiben zu weingartgereuth thurnaw und culmbach c meinen in gebuhr gunstigen frawen sampt und sonders
508113,body,2,0,False,[3],GEſtrenger Edler veſter ſonders Großgünſtiger Juncker/ vnd geneigter förderer/ Auch Edle Ehrnvieltugentreiche in gebühr günſtige Frawen.,geſtrenger edler veſter ſonders großgünſtiger juncker vnd geneigter förderer auch edle ehrnvieltugentreiche in gebühr günſtige frawen,gestrenger edler uester sonders grossgunstiger iuncker und geneigter forderer auch edle ehrnuieltugentreiche in gebuhr gunstige frawen
508113,body,2,1,True,[3],Mit beſonderm auch hertzlichem Chriſtlichem betrauren habe ich die verſchienene Tage vermerckt/ welcher geſtalt E. G. vnd V. auch E. Ad. T. den Weyland Geſtrengen Edlen vnd veſten Sigmundt Marſchalck von Ebnet/ ꝛc. Deroſelben geliebten Junckern vnd Brudern ſeeligen/ den der Allmechtige Gott nach ſeinem Vätterlichem und allein weiſen Rath von dieſem zergenglichem Jam̃erthal zu ſeinen ewigen frewden/ vnzweiffenlich/ abgefordert/ nebenſt andern vielen Chriſtlichen vnnd Gottſeligen Hertzen hohes vnd nidern ſtandes/ mit Hertzlichen threnen beklaget/ vnd ſind S. Veſt. ſeliger gedächtnuß eines ſolchen betraurens vnd viel höhers wehrt/ aber noch tauſentmahl mehr/ das S. Veſt. hinterlaſſener Chriſtlicher vñ Adelicher löblicher Name vnd gedächtnuß gegen allen Chriſt: Gottſeligen vnd Ehrliebenden Leuten gerühmet/ vnd deſſen warhafftes Lob/ von wegen S. V. Chriſtlichen vnd beſtendigen Glaubens/ Handels vnd Wandels bey allen nachkommen erhalten werde.,mit beſonderm auch hertzlichem chriſtlichem betrauren habe ich die verſchienene tage vermerckt welcher geſtalt e g vnd v auch e ad t den weyland geſtrengen edlen vnd veſten sigmundt marſchalck von ebnet ꝛc deroſelben geliebten junckern vnd brudern ſeeligen den der allmechtige gott nach ſeinem vätterlichem und allein weiſen rath von dieſem zergenglichem jam̃erthal zu ſeinen ewigen frewden vnzweiffenlich abgefordert nebenſt andern vielen chriſtlichen vnnd gottſeligen hertzen hohes vnd nidern ſtandes mit hertzlichen threnen beklaget vnd ſind s veſt ſeliger gedächtnuß eines ſolchen betraurens vnd viel höhers wehrt aber noch tauſentmahl mehr das s veſt hinterlaſſener chriſtlicher vñ adelicher löblicher name vnd gedächtnuß gegen allen chriſt gottſeligen vnd ehrliebenden leuten gerühmet vnd deſſen warhafftes lob von wegen s v chriſtlichen vnd beſtendigen glaubens handels vnd wandels bey allen nachkommen erhalten werde,mit besonderm auch hertzlichem christlichem betrauren habe ich die uerschienene tage uermerckt welcher gestalt e g und u auch e ad t den weyland gestrengen edlen und uesten sigmundt marschalck uon ebnet c deroselben geliebten iunckern und brudern seeligen den der allmechtige gott nach seinem uatterlichem und allein weisen rath uon diesem zergenglichem iammerthal zu seinen ewigen frewden unzweiffenlich abgefordert nebenst andern uielen christlichen unnd gottseligen hertzen hohes und nidern standes mit hertzlichen threnen beklaget und sind s uest seliger gedachtnuss eines solchen betraurens und uiel hohers wehrt aber noch tausentmahl mehr das s uest hinterlassener christlicher und adelicher loblicher name und gedachtnuss gegen allen christ gottseligen und ehrliebenden leuten geruhmet und dessen warhafftes lob uon wegen s u christlichen und bestendigen glaubens handels und wandels bey allen nachkommen erhalten werde
508113,body,3,0,True,[4],Wann dann von E. Geſtr. vnd V. auch E. Ad. T. auch wider meinen willen/ Ehrngemeltem meinem Großgünſtigem Junckern ſeligen die Leichpredigt zu thun mir G. anbefolen/ vnnd nach vorbringnuß derſelben/ zu S. Veſt. ſeligen Ehren ruhm vnd gedächtnuß/ auff bitt vnd begeren vornehmer anſehenlicher vom Adel vnd Herꝛn/ durch E. Geſtr. vnd Veſt: auch E. Ad. T. Großgünſtig bey mir vmb Publication der gethanen Predigt angehalten worden.,wann dann von e geſtr vnd v auch e ad t auch wider meinen willen ehrngemeltem meinem großgünſtigem junckern ſeligen die leichpredigt zu thun mir g anbefolen vnnd nach vorbringnuß derſelben zu s veſt ſeligen ehren ruhm vnd gedächtnuß auff bitt vnd begeren vornehmer anſehenlicher vom adel vnd herꝛn durch e geſtr vnd veſt auch e ad t großgünſtig bey mir vmb publication der gethanen predigt angehalten worden,wann dann uon e gestr und u auch e ad t auch wider meinen willen ehrngemeltem meinem grossgunstigem iunckern seligen die leichpredigt zu thun mir g anbefolen unnd nach uorbringnuss derselben zu s uest seligen ehren ruhm und gedachtnuss auff bitt und begeren uornehmer ansehenlicher uom adel und hern durch e gestr und uest auch e ad t grossgunstig bey mir umb publication der gethanen predigt angehalten worden
508113,body,4,0,False,[4],Als habe auff deroſelben Großgünſtiges begehren (ob wol ich meinen vnverſtandt vnd einfalt gar wol weiß vnd erkenne) Jedoch vnterdienſtlich denſelben damit erſcheinen/ vnd Ehrngemelten Gottſeligen Junckern/ vnd E. Geſtr. vnd Veſt. auch E. Ad T. vor vielfältige empfangene wolthaten vnterdienſt. vnd ehrngebürlich/ mit dieſer geringen Dedication danckbar erzeigen wollen/ bey neben dieſelben ſampt vnd ſonders bittend/ die wöllen/ wie biß anhero/ meine Großgünſtige Patronen vnd beförderer verbleiben.,als habe auff deroſelben großgünſtiges begehren ob wol ich meinen vnverſtandt vnd einfalt gar wol weiß vnd erkenne jedoch vnterdienſtlich denſelben damit erſcheinen vnd ehrngemelten gottſeligen junckern vnd e geſtr vnd veſt auch e ad t vor vielfältige empfangene wolthaten vnterdienſt vnd ehrngebürlich mit dieſer geringen dedication danckbar erzeigen wollen bey neben dieſelben ſampt vnd ſonders bittend die wöllen wie biß anhero meine großgünſtige patronen vnd beförderer verbleiben,als habe auff deroselben grossgunstiges begehren ob wol ich meinen unuerstandt und einfalt gar wol weiss und erkenne iedoch unterdienstlich denselben damit erscheinen und ehrngemelten gottseligen iunckern und e gestr und uest auch e ad t uor uielfaltige empfangene wolthaten unterdienst und ehrngeburlich mit dieser geringen dedication danckbar erzeigen wollen bey neben dieselben sampt und sonders bittend die wollen wie biss anhero meine grossgunstige patronen und beforderer uerbleiben
508113,body,4,1,False,[5],Das bin ich mit meinem ſchuldigem Gebet/ für deroſelbẽ beſtendige langwirige geſundheit vnd glückliche wolfahrt/ gegen GOtt dem Allmechtigen zu verbitten vnd dienen/ jederzeit ſchuldiges vnd beſtes fleiſſes vnterdienſtlich vnd Ehrengebührlich ingedenck.,das bin ich mit meinem ſchuldigem gebet für deroſelbẽ beſtendige langwirige geſundheit vnd glückliche wolfahrt gegen gott dem allmechtigen zu verbitten vnd dienen jederzeit ſchuldiges vnd beſtes fleiſſes vnterdienſtlich vnd ehrengebührlich ingedenck,das bin ich mit meinem schuldigem gebet fur deroselben bestendige langwirige gesundheit und gluckliche wolfahrt gegen gott dem allmechtigen zu uerbitten und dienen iederzeit schuldiges und bestes fleisses unterdienstlich und ehrengebuhrlich ingedenck
508113,body,4,2,True,[5],Damit dieſelben ſamptlichen Göttlicher gnediger Protection vnd Wort ſeiner gnaden empfehlendt/ Geben Aſpach den 25. Iunij Anno 1608.,damit dieſelben ſamptlichen göttlicher gnediger protection vnd wort ſeiner gnaden empfehlendt geben aſpach den iunij anno,damit dieselben samptlichen gottlicher gnediger protection und wort seiner gnaden empfehlendt geben aspach den iunii anno
508113,body,5,0,True,[5],E. Geſtr. vnd V. auch Ad. T Jn gebühr Vnterdienſtwilliger vnd gehorſamer Wolfgang Haßfurter Diener am Worte Gottes.,e geſtr vnd v auch ad t jn gebühr vnterdienſtwilliger vnd gehorſamer wolfgang haßfurter diener am worte gottes,e gestr und u auch ad t in gebuhr unterdienstwilliger und gehorsamer wolfgang hassfurter diener am worte gottes
508113,head,6,0,False,[6],TEXTUS.,textus,textus
