doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508442,head,0,0,True,[1],Eine Chriſtliche Leichpredigt Vber dem Toͤdtlichen abgang des weiland Ehrnveſten/ Erbarn vnd Wolweiſen Herrn Bernhard Palitzſchen Buͤrgermeiſters zum Hain/ Welcher den 5. Novembris dieſes innſtehenden 1609. Jahrs/ gegen Abend/ vmb 5. vhr/ ſeliglich entſchlaffen/ vnd folgends den 8. in der Pfarrkirchen/ bey groſſer Volckreicher verſamlung zur Erden beſtattet worden. Gehalten durch M. Georgium Langevoith/ Pfarrern vnd Superintendenten daſelbſt. Gedruckt zu Leipzig/ bey Michael Lantzenberger. Anno M. DC IX.,eine chriſtliche leichpredigt vber dem toͤdtlichen abgang des weiland ehrnveſten erbarn vnd wolweiſen herrn bernhard palitzſchen buͤrgermeiſters zum hain welcher den novembris dieſes innſtehenden jahrs gegen abend vmb vhr ſeliglich entſchlaffen vnd folgends den in der pfarrkirchen bey groſſer volckreicher verſamlung zur erden beſtattet worden gehalten durch m georgium langevoith pfarrern vnd superintendenten daſelbſt gedruckt zu leipzig bey michael lantzenberger anno m dc ix,eine christliche leichpredigt uber dem todtlichen abgang des weiland ehrnuesten erbarn und wolweisen herrn bernhard palitzschen burgermeisters zum hain welcher den nouembris dieses innstehenden iahrs gegen abend umb uhr seliglich entschlaffen und folgends den in der pfarrkirchen bey grosser uolckreicher uersamlung zur erden bestattet worden gehalten durch m georgium langeuoith pfarrern und superintendenten daselbst gedruckt zu leipzig bey michael lantzenberger anno m dc ix
508442,body,1,0,False,[2],Επιτύμϐιον.,επιτύμϐιον,
508442,body,1,1,True,[2],"Palitzscho cunas dat Dresda; ſed Hana mariti, Conſulis & tumuli mactat honore pia.",palitzscho cunas dat dresda ſed hana mariti conſulis & tumuli mactat honore pia,palitzscho cunas dat dresda sed hana mariti consulis et tumuli mactat honore pia
508442,body,2,0,True,[2],M. G. L. S.,m g l s,m g l s
508442,body,3,0,True,[3],Den Ehrenveſten/ Erbaren/ Wolweiſen vnd Ehrenwolgeachten/ auch Ehrentugendſamen/ des weiland auch Ehrnveſten/ Erbarn vnd Wolweiſen Herrn Bernhardi Palitzſchen/ Buͤrgermeiſters allhier zum Hain/ hinderlaſſenen Witwe vnd Erben/ ſampt vnd ſonders.,den ehrenveſten erbaren wolweiſen vnd ehrenwolgeachten auch ehrentugendſamen des weiland auch ehrnveſten erbarn vnd wolweiſen herrn bernhardi palitzſchen buͤrgermeiſters allhier zum hain hinderlaſſenen witwe vnd erben ſampt vnd ſonders,den ehrenuesten erbaren wolweisen und ehrenwolgeachten auch ehrentugendsamen des weiland auch ehrnuesten erbarn und wolweisen herrn bernhardi palitzschen burgermeisters allhier zum hain hinderlassenen witwe und erben sampt und sonders
508442,body,4,0,False,[3],Vnd Den Ehrnveſten/ Erbarn vnd Wolweiſen H. Michael Priſsnitzern/ Buͤrgermeiſtern.,vnd den ehrnveſten erbarn vnd wolweiſen h michael priſsnitzern buͤrgermeiſtern,und den ehrnuesten erbarn und wolweisen h michael prissnitzern burgermeistern
508442,body,4,1,False,[3],H. Martin Schrammen/ StadRichtern.,h martin schrammen stadrichtern,h martin schrammen stadrichtern
508442,body,4,2,False,[3],H. Jonas Zaulingen H. Johan Mattheuſſen H. Thomæ Rehen/Rathsfreunden.,h jonas zaulingen h johan mattheuſſen h thomæ rehen rathsfreunden,h ionas zaulingen h iohan mattheussen h thomae rehen rathsfreunden
508442,body,4,3,True,[3],Meinen großguͤnſtigen lieben Herren/ Freunden vnd Gevattern.,meinen großguͤnſtigen lieben herren freunden vnd gevattern,meinen grossgunstigen lieben herren freunden und geuattern
508442,body,5,0,False,[3],GOttes gnade vnd Troſt/ ſampt meinem Chriſtlichen Gebet/ vnd willigen dienſten zuuor.,gottes gnade vnd troſt ſampt meinem chriſtlichen gebet vnd willigen dienſten zuuor,gottes gnade und trost sampt meinem christlichen gebet und willigen diensten zuuor
508442,body,5,1,False,[3],"Ehrenveſte/ Erbare vnd wolweiſe/ auch Ehrentugentſame/ inſonders guͤnſtige Herren/ Freunde/ Freundin vnd Gevattern/ Vnſer lieber Gott hat euch Erben vnd den Rathſtand/ ſo wol auch gemeine Stadt/ jetzo eben weit in das Klaghauß kommen laſſen/ Jn dem er den regierenden Buͤrgermeiſter/ Herrn Bernhard Palitzſchen/ ewern geliebten Herrn Eheman/ Vater/ Schweher vnd Collegam, durch den zeitlichen Todt von dieſer Welt abgefodert hat: welches wir alle billich zu hertzen nemen.",ehrenveſte erbare vnd wolweiſe auch ehrentugentſame inſonders guͤnſtige herren freunde freundin vnd gevattern vnſer lieber gott hat euch erben vnd den rathſtand ſo wol auch gemeine stadt jetzo eben weit in das klaghauß kommen laſſen jn dem er den regierenden buͤrgermeiſter herrn bernhard palitzſchen ewern geliebten herrn eheman vater schweher vnd collegam durch den zeitlichen todt von dieſer welt abgefodert hat welches wir alle billich zu hertzen nemen,ehrenueste erbare und wolweise auch ehrentugentsame insonders gunstige herren freunde freundin und geuattern unser lieber gott hat euch erben und den rathstand so wol auch gemeine stadt ietzo eben weit in das klaghauss kommen lassen in dem er den regierenden burgermeister herrn bernhard palitzschen ewern geliebten herrn eheman uater schweher und collegam durch den zeitlichen todt uon dieser welt abgefodert hat welches wir alle billich zu hertzen nemen
508442,body,5,2,False,[4],Jſt wol vnd vernuͤnfftig zu erachten/ was fuͤr groſſes hertzleid vnd trawrigkeit Jhr allerſeits aus ſolchem toͤdlichen abgang geſchoͤpffet vnnd empfangen habet.,jſt wol vnd vernuͤnfftig zu erachten was fuͤr groſſes hertzleid vnd trawrigkeit jhr allerſeits aus ſolchem toͤdlichen abgang geſchoͤpffet vnnd empfangen habet,ist wol und uernunfftig zu erachten was fur grosses hertzleid und trawrigkeit ihr allerseits aus solchem todlichen abgang geschopffet unnd empfangen habet
