doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_ordnung_1609,body,0,0,True,[1],Ruͤmffens Ordnung Beneben erfahrne/ practicirte/ approbirte/ vnd authenſirte Articul/ ſo bey dieſer Kurtzweil/ von der Exercenten in guter obſervation ſollen gehalten werden. Jetzo den ehrlichen Ruͤmpffern guter Meynung in Druck geben Von einem Liebhaber derſelbigen Geſellſchafft. Jm Jahr/ 1609.,ruͤmffens ordnung beneben erfahrne practicirte approbirte vnd authenſirte articul ſo bey dieſer kurtzweil von der exercenten in guter obſervation ſollen gehalten werden jetzo den ehrlichen ruͤmpffern guter meynung in druck geben von einem liebhaber derſelbigen geſellſchafft jm jahr,rumffens ordnung beneben erfahrne practicirte approbirte und authensirte articul so bey dieser kurtzweil uon der exercenten in guter obseruation sollen gehalten werden ietzo den ehrlichen rumpffern guter meynung in druck geben uon einem liebhaber derselbigen gesellschafft im iahr
nn_ordnung_1609,body,1,0,True,[3],DJeſe Articul ſeynd geſtellt,djeſe articul ſeynd geſtellt,diese articul seynd gestellt
nn_ordnung_1609,body,2,0,True,[3],Dem/ der diß Ritterſpiel mit helt/,dem der diß ritterſpiel mit helt,dem der diss ritterspiel mit helt
nn_ordnung_1609,body,3,0,True,[3],Vnd treibts mit Maß nach ſeim Verſtand/,vnd treibts mit maß nach ſeim verſtand,und treibts mit mass nach seim uerstand
nn_ordnung_1609,body,4,0,True,[3],Zu Ehrn dem deutſchen Vaterland/,zu ehrn dem deutſchen vaterland,zu ehrn dem deutschen uaterland
nn_ordnung_1609,body,5,0,True,[3],Denn all Spitzbubn/ vnd jhr Genoſſn/,denn all spitzbubn vnd jhr genoſſn,denn all spitzbubn und ihr genossn
nn_ordnung_1609,body,6,0,True,[3],Hierbey gaͤntzlich ſind außgeſchloſſn/,hierbey gaͤntzlich ſind außgeſchloſſn,hierbey gantzlich sind aussgeschlossn
nn_ordnung_1609,body,7,0,True,[3],Drumb darff niemand zu dieſem Streit/,drumb darff niemand zu dieſem streit,drumb darff niemand zu diesem streit
nn_ordnung_1609,body,8,0,True,[3],Denn ehrlich tuͤchtig Biderleut/,denn ehrlich tuͤchtig biderleut,denn ehrlich tuchtig biderleut
nn_ordnung_1609,body,9,0,True,[3],Derer Gemuͤht die Kurtzweil liebt/,derer gemuͤht die kurtzweil liebt,derer gemuht die kurtzweil liebt
nn_ordnung_1609,body,10,0,True,[3],Kein Spiel zu eins Verderben uͤbt/,kein spiel zu eins verderben uͤbt,kein spiel zu eins uerderben ubt
nn_ordnung_1609,body,11,0,True,[3],Damit manch Vnmuht ſich verleuſt/,damit manch vnmuht ſich verleuſt,damit manch unmuht sich uerleust
nn_ordnung_1609,body,12,0,True,[3],Wann ein der Rauch zum Hauß nauß beiſt/,wann ein der rauch zum hauß nauß beiſt,wann ein der rauch zum hauss nauss beist
nn_ordnung_1609,body,13,0,True,[3],So kan er durch diß Mittel fein/,so kan er durch diß mittel fein,so kan er durch diss mittel fein
nn_ordnung_1609,body,14,0,True,[3],Bey ehrlichn Leuten ſicher ſeyn/,bey ehrlichn leuten ſicher ſeyn,bey ehrlichn leuten sicher seyn
nn_ordnung_1609,body,15,0,True,[3],Vnd ſein Vnmuht bald legen hin/,vnd ſein vnmuht bald legen hin,und sein unmuht bald legen hin
nn_ordnung_1609,body,16,0,True,[3],Mit kleinem Schadn/ vnd wenig Gewin/,mit kleinem schadn vnd wenig gewin,mit kleinem schadn und wenig gewin
