doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
faulhaber_instrument_1610,body,0,0,True,[1],Newe Geometriſche vnd Perſpectiuiſche Inuentiones Etlicher ſonderbahrer Inſtrument/ die zum Perſpectiuiſchen Grundreiſſen der Paſteyen vnnd Veſtungen/ wie auch zum Planimetriſchen Grundlegen der Staͤtt/ Feldlaͤger vnd Landtſchafften/ deßgleichen zur Buͤchſenmeiſterey ſehr nuͤtzlich vnnd gebrauchſam ſeynd. Auß demonſtriertem vnnd bewehrtem Fundament zuſammen geordnet/ vnd mit verſtaͤndlichen Kupfferſtuͤcken in Truck gegeben: Durch Johann Faulhabern Rechenmeiſtern vnd Modiſten/ ꝛc. in Vlm. Getruckt zu Franckfurt am Mayn/ bey Wolffgang Richtern/ in Verlegung Anthonj Hummen. M. DC. X.,newe geometriſche vnd perſpectiuiſche inuentiones etlicher ſonderbahrer inſtrument die zum perſpectiuiſchen grundreiſſen der paſteyen vnnd veſtungen wie auch zum planimetriſchen grundlegen der staͤtt feldlaͤger vnd landtſchafften deßgleichen zur buͤchſenmeiſterey ſehr nuͤtzlich vnnd gebrauchſam ſeynd auß demonſtriertem vnnd bewehrtem fundament zuſammen geordnet vnd mit verſtaͤndlichen kupfferſtuͤcken in truck gegeben durch johann faulhabern rechenmeiſtern vnd modiſten ꝛc in vlm getruckt zu franckfurt am mayn bey wolffgang richtern in verlegung anthonj hummen m dc x,newe geometrische und perspectiuische inuentiones etlicher sonderbahrer instrument die zum perspectiuischen grundreissen der pasteyen unnd uestungen wie auch zum planimetrischen grundlegen der statt feldlager und landtschafften dessgleichen zur buchsenmeisterey sehr nutzlich unnd gebrauchsam seynd auss demonstriertem unnd bewehrtem fundament zusammen geordnet und mit uerstandlichen kupfferstucken in truck gegeben durch iohann faulhabern rechenmeistern und modisten c in ulm getruckt zu franckfurt am mayn bey wolffgang richtern in uerlegung anthoni hummen m dc x
faulhaber_instrument_1610,body,1,0,True,[3],Dem Edlen/ Veſten vnnd Weyſen Junckhern/ Wilhelm Schnoͤden/ deß Raths/ vnd verordneten Zeug vnd Bawherꝛn/ ꝛc. zu Vlm/ Meinem Großgůnſtigen vnd gepietenden Junckhern.,dem edlen veſten vnnd weyſen junckhern wilhelm schnoͤden deß raths vnd verordneten zeug vnd bawherꝛn ꝛc zu vlm meinem großgůnſtigen vnd gepietenden junckhern,dem edlen uesten unnd weysen iunckhern wilhelm schnoden dess raths und uerordneten zeug und bawhern c zu ulm meinem grossgunstigen und gepietenden iunckhern
faulhaber_instrument_1610,body,2,0,False,[3],EDler Veſter/ ꝛc. Großguͤnſtiger Junckher/ Es iſt maͤnniglich kundtbar/ was die Geometriſche vnd Perſpectiuiſche Kůnſten/ in Baw vnd Kriegsweſen fuͤr groſſen mercklichen Nutzen ſchaffen/ vnd derowegen die jenige/ ſo ſelbige wiſſen fruchtbarlich zu adhibiren/ jeder zeit von groſſen Herꝛn vnnd Communen lieb vnd werth gehalten worden.,edler veſter ꝛc großguͤnſtiger junckher es iſt maͤnniglich kundtbar was die geometriſche vnd perſpectiuiſche kůnſten in baw vnd kriegsweſen fuͤr groſſen mercklichen nutzen ſchaffen vnd derowegen die jenige ſo ſelbige wiſſen fruchtbarlich zu adhibiren jeder zeit von groſſen herꝛn vnnd communen lieb vnd werth gehalten worden,edler uester c grossgunstiger iunckher es ist manniglich kundtbar was die geometrische und perspectiuische kunsten in baw und kriegswesen fur grossen mercklichen nutzen schaffen und derowegen die ienige so selbige wissen fruchtbarlich zu adhibiren ieder zeit uon grossen hern unnd communen lieb und werth gehalten worden
faulhaber_instrument_1610,body,2,1,False,4,Nun ſeynd darunder die gebraͤuchlichſte vnnd nutzbarſte/ das Grundlegen/ abmeſſen vnd perſpectiuiſch Reiſſen/ dieweil ohne Gebrauch derſelben die Baw: Quartier: Schantz vnnd Buͤchſenmeiſter jhre Anſchlaͤg nicht wuͤrcklich ins Werck ſetzen vnd bringen moͤgen.,nun ſeynd darunder die gebraͤuchlichſte vnnd nutzbarſte das grundlegen abmeſſen vnd perſpectiuiſch reiſſen dieweil ohne gebrauch derſelben die baw quartier schantz vnnd buͤchſenmeiſter jhre anſchlaͤg nicht wuͤrcklich ins werck ſetzen vnd bringen moͤgen,nun seynd darunder die gebrauchlichste unnd nutzbarste das grundlegen abmessen und perspectiuisch reissen dieweil ohne gebrauch derselben die baw quartier schantz unnd buchsenmeister ihre anschlag nicht wurcklich ins werck setzen und bringen mogen
faulhaber_instrument_1610,body,2,2,False,4,"Wann dann der liebe Gott durch die Mathematic mir (ohne Ruhm zu melden) etlicher geheimer Inſtrumenten Nutz vnd Gebrauch zu ergreiffen geben/ vnd aber omne bonum ſui ſit communicatiuum, vnd beyneben raͤthlich vnd foͤrderlich iſt/ daß die jenige/ welche etwas publiciren woͤllen/ jhnen nach Patronen vmbſehen/ denen ſie ſolches dediciren vnd zuſchreiben/ darmit ſie ſelbiges wider die Vnverſtaͤndige vnd Mißguͤnſtige beſchirmen vnd handhaben/ In maſſen es die beruͤhmbteſte Authores auch fuͤr gut angeſehen/ daß ſie jhre Inuentiones vnd Lucubrationes ſolchen Perſonen zugeſchrieben/ die nicht allein darzu luſt vnd lieb/ ſondern auch derſelben nicht ein geringe Wiſſenſchafft vnd Erfahrung gehabt/ So hab ich demnach nicht vnterlaſſen ſollen/ noch woͤllen/ dieſe newe Stuͤcklein E. V. vnd Gunſten Cenſur gantz gehorſamlich zu ſubijciren vnd dediciren.",wann dann der liebe gott durch die mathematic mir ohne ruhm zu melden etlicher geheimer inſtrumenten nutz vnd gebrauch zu ergreiffen geben vnd aber omne bonum ſui ſit communicatiuum vnd beyneben raͤthlich vnd foͤrderlich iſt daß die jenige welche etwas publiciren woͤllen jhnen nach patronen vmbſehen denen ſie ſolches dediciren vnd zuſchreiben darmit ſie ſelbiges wider die vnverſtaͤndige vnd mißguͤnſtige beſchirmen vnd handhaben in maſſen es die beruͤhmbteſte authores auch fuͤr gut angeſehen daß ſie jhre inuentiones vnd lucubrationes ſolchen perſonen zugeſchrieben die nicht allein darzu luſt vnd lieb ſondern auch derſelben nicht ein geringe wiſſenſchafft vnd erfahrung gehabt so hab ich demnach nicht vnterlaſſen ſollen noch woͤllen dieſe newe stuͤcklein e v vnd gunſten cenſur gantz gehorſamlich zu ſubijciren vnd dediciren,wann dann der liebe gott durch die mathematic mir ohne ruhm zu melden etlicher geheimer instrumenten nutz und gebrauch zu ergreiffen geben und aber omne bonum sui sit communicatiuum und beyneben rathlich und forderlich ist dass die ienige welche etwas publiciren wollen ihnen nach patronen umbsehen denen sie solches dediciren und zuschreiben darmit sie selbiges wider die unuerstandige und missgunstige beschirmen und handhaben in massen es die beruhmbteste authores auch fur gut angesehen dass sie ihre inuentiones und lucubrationes solchen personen zugeschrieben die nicht allein darzu lust und lieb sondern auch derselben nicht ein geringe wissenschafft und erfahrung gehabt so hab ich demnach nicht unterlassen sollen noch wollen diese newe stucklein e u und gunsten censur gantz gehorsamlich zu subiiciren und dediciren
faulhaber_instrument_1610,body,2,3,True,4,Vnd das zwar auß folgenden Vrſachen.,vnd das zwar auß folgenden vrſachen,und das zwar auss folgenden ursachen
faulhaber_instrument_1610,body,3,0,True,5,Dieweil maͤnniglich diß Orths bewuſt/ was ſelbige nicht allein fuͤr ein groſſen Luſt vnd Begierd zu den Mathemanſchen/ Geometriſchen/ Perſpectiuiſchen vnd dergleichen Kuͤnſten tragen/ vnd derenthalben allen denen welche ſolche profitiren oder exerciren mit ſondern Gunſten wol gewogen ſind ſondern auch deren ſelbſt vollkommene Cognition vnd Experientz haben/ wie dann das hieſig Bauweſen/ vnd die zween wunderbarliche Proportz vnd Meßzirckel/ ſo E. V vnd Gunſten ſelber neben andern Dingen erfunden/ gnugſam zu erkennen geben.,dieweil maͤnniglich diß orths bewuſt was ſelbige nicht allein fuͤr ein groſſen luſt vnd begierd zu den mathemanſchen geometriſchen perſpectiuiſchen vnd dergleichen kuͤnſten tragen vnd derenthalben allen denen welche ſolche profitiren oder exerciren mit ſondern gunſten wol gewogen ſind ſondern auch deren ſelbſt vollkommene cognition vnd experientz haben wie dann das hieſig bauweſen vnd die zween wunderbarliche proportz vnd meßzirckel ſo e v vnd gunſten ſelber neben andern dingen erfunden gnugſam zu erkennen geben,dieweil manniglich diss orths bewust was selbige nicht allein fur ein grossen lust und begierd zu den mathemanschen geometrischen perspectiuischen und dergleichen kunsten tragen und derenthalben allen denen welche solche profitiren oder exerciren mit sondern gunsten wol gewogen sind sondern auch deren selbst uollkommene cognition und experientz haben wie dann das hiesig bauwesen und die zween wunderbarliche proportz und messzirckel so e u und gunsten selber neben andern dingen erfunden gnugsam zu erkennen geben
faulhaber_instrument_1610,body,4,0,False,5,Weil auch ſelbige ſeythero ſie meine Inuentiones verſtanden/ vnnd juſt befunden/ mir viel Wol-vnd Gutthaten erzeigt vnd bewieſen/ mit dem/ daß dieſelbe mir zu meinen fuͤr genommenen Inſtrumenten allerley Befoͤrderung gethan/ vnd zur Fundierung ſolcher mit mir die Prob fuͤr die Handt genommen/ die Inſtrument darauff gleich von Meſſing kuͤnſtlich zugerichtet/ daran E. V. vnnd Gunſten hoher Verſtand vnd Scharpffſinnigkeit handgreifflich zu ſpuͤren.,weil auch ſelbige ſeythero ſie meine inuentiones verſtanden vnnd juſt befunden mir viel wolvnd gutthaten erzeigt vnd bewieſen mit dem daß dieſelbe mir zu meinen fuͤr genommenen inſtrumenten allerley befoͤrderung gethan vnd zur fundierung ſolcher mit mir die prob fuͤr die handt genommen die inſtrument darauff gleich von meſſing kuͤnſtlich zugerichtet daran e v vnnd gunſten hoher verſtand vnd scharpffſinnigkeit handgreifflich zu ſpuͤren,weil auch selbige seythero sie meine inuentiones uerstanden unnd iust befunden mir uiel wolund gutthaten erzeigt und bewiesen mit dem dass dieselbe mir zu meinen fur genommenen instrumenten allerley beforderung gethan und zur fundierung solcher mit mir die prob fur die handt genommen die instrument darauff gleich uon messing kunstlich zugerichtet daran e u unnd gunsten hoher uerstand und scharpffsinnigkeit handgreifflich zu spuren
faulhaber_instrument_1610,body,4,1,False,5,Zu dem hat ſelbige mir vor beruͤrte Newerfundene Zirckel/ Sphæram Cœleſtem vnnd Terreſtrem von Meſſing artlich zubereitet/ deßgleichen kuͤnſtliche Quadranten/ Nocturnal vnnd andere mehr Inſtrument/ Großguͤnſtig verehrt/ Alſo daß ich ſolche Beneficien nicht gnugſam ruͤhmen/ viel weniger wider verdienen kan/ darmit ich aber ein wenig mein danckbares Gemuͤth erzeige/ hab ich mich ſchuldig erkeñt diß opuſculum E. V. vnd Gunſten hiemit gehorſamlich zu offeriren vnd zu dediciren/ vnterthaͤnig bittend ſolches Großgůnſtig von mir auff vnd an zu nemen/ vnd hinfuͤrter mein großguͤnſtiger Junckher ſeyn vnd bleiben/ darmit denſelben zu lang beſtaͤndiger Wolfahrt/ Glůckſeligkeit vnd Geſundheit Gott dem Allmaͤchtigen befehlend/ vnd mich zu derſelben Gunſt vnd Dienſten recommendirend.,zu dem hat ſelbige mir vor beruͤrte newerfundene zirckel sphæram cœleſtem vnnd terreſtrem von meſſing artlich zubereitet deßgleichen kuͤnſtliche quadranten nocturnal vnnd andere mehr inſtrument großguͤnſtig verehrt alſo daß ich ſolche beneficien nicht gnugſam ruͤhmen viel weniger wider verdienen kan darmit ich aber ein wenig mein danckbares gemuͤth erzeige hab ich mich ſchuldig erkeñt diß opuſculum e v vnd gunſten hiemit gehorſamlich zu offeriren vnd zu dediciren vnterthaͤnig bittend ſolches großgůnſtig von mir auff vnd an zu nemen vnd hinfuͤrter mein großguͤnſtiger junckher ſeyn vnd bleiben darmit denſelben zu lang beſtaͤndiger wolfahrt glůckſeligkeit vnd geſundheit gott dem allmaͤchtigen befehlend vnd mich zu derſelben gunſt vnd dienſten recommendirend,zu dem hat selbige mir uor berurte newerfundene zirckel sphaeram coelestem unnd terrestrem uon messing artlich zubereitet dessgleichen kunstliche quadranten nocturnal unnd andere mehr instrument grossgunstig uerehrt also dass ich solche beneficien nicht gnugsam ruhmen uiel weniger wider uerdienen kan darmit ich aber ein wenig mein danckbares gemuth erzeige hab ich mich schuldig erkennt diss opusculum e u und gunsten hiemit gehorsamlich zu offeriren und zu dediciren unterthanig bittend solches grossgunstig uon mir auff und an zu nemen und hinfurter mein grossgunstiger iunckher seyn und bleiben darmit denselben zu lang bestandiger wolfahrt gluckseligkeit und gesundheit gott dem allmachtigen befehlend und mich zu derselben gunst und diensten recommendirend
faulhaber_instrument_1610,body,4,2,True,6,Datum in Vlm den 24. Septembris.,datum in vlm den septembris,datum in ulm den septembris
