doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_encoenia_1610,head,0,0,True,1,"Encoenia Riddageshusana, Eine Christliche Predigt/ Gethan In der Kirchen des Closters Riddageshausen/ Als dieselbige in etwas wieder angerichtet/vnd ein Newer Pastor eingeführet worden/ Durch Basilium Satler D. Hoffpredigern zu Wolffenbüttel. Helmstadt/ Gedruckt durch Jacobum Lucium/ Anno 1610.",encoenia riddageshusana eine christliche predigt gethan in der kirchen des closters riddageshausen als dieselbige in etwas wieder angerichtet vnd ein newer pastor eingeführet worden durch basilium satler d hoffpredigern zu wolffenbüttel helmstadt gedruckt durch jacobum lucium anno,encoenia riddageshusana eine christliche predigt gethan in der kirchen des closters riddageshausen als dieselbige in etwas wieder angerichtet und ein newer pastor eingefuhret worden durch basilium satler d hoffpredigern zu wolffenbuttel helmstadt gedruckt durch iacobum lucium anno
sattler_encoenia_1610,head,1,0,True,2,Dem Ehrwürdigen / vnd Großachtbarn / auch Würdigen vnd Andechtigen Herrn PETRO Abten / Priori vnnd Semptlichen Conuents Personen des Closters Riddageshausen / Meinen günstigen Derrn Gefattern vnd Freunden.,dem ehrwürdigen vnd großachtbarn auch würdigen vnd andechtigen herrn petro abten priori vnnd semptlichen conuents personen des closters riddageshausen meinen günstigen derrn gefattern vnd freunden,dem ehrwurdigen und grossachtbarn auch wurdigen und andechtigen herrn petro abten priori unnd semptlichen conuents personen des closters riddageshausen meinen gunstigen derrn gefattern und freunden
sattler_encoenia_1610,head,2,0,True,2,Gnade vnd Friede von Gott dem Vater / vnd dem HErrn JEsu Christo zuuor.,gnade vnd friede von gott dem vater vnd dem herrn jesu christo zuuor,gnade und friede uon gott dem uater und dem herrn iesu christo zuuor
sattler_encoenia_1610,body,3,0,False,2,"EHrwürdiger vnnd Großachtbar Herr Abt / Auch Würdige vnd Andechtige günstige liebe Herrn Geuattern vnd Freunde / Daß das liebe Closter Riddageshausen / welches bißhero / wie notorium, ein schöne Schul / vnd rechtes Gotteshauß / verae pietatis, virtutis & bonarum artium sedes ac domicilium gewesen / vnuerschuldeter Sachen / so jämmerlich zerstöret vnd verwüstet ist / daß einem / der es zuuor gesehen / da es in flore gewesen ist / vnd jetzund dasselbige / oder vielmehr noch etliche vbrige rudera anschawet / die Augen vbergehen / das gehet den Herrn sampt vnd sonders nicht vnbillig sehr zu Hertzen.",ehrwürdiger vnnd großachtbar herr abt auch würdige vnd andechtige günstige liebe herrn geuattern vnd freunde daß das liebe closter riddageshausen welches bißhero wie notorium ein schöne schul vnd rechtes gotteshauß verae pietatis virtutis & bonarum artium sedes ac domicilium gewesen vnuerschuldeter sachen so jämmerlich zerstöret vnd verwüstet ist daß einem der es zuuor gesehen da es in flore gewesen ist vnd jetzund dasselbige oder vielmehr noch etliche vbrige rudera anschawet die augen vbergehen das gehet den herrn sampt vnd sonders nicht vnbillig sehr zu hertzen,ehrwurdiger unnd grossachtbar herr abt auch wurdige und andechtige gunstige liebe herrn geuattern und freunde dass das liebe closter riddageshausen welches bisshero wie notorium ein schone schul und rechtes gotteshauss uerae pietatis uirtutis et bonarum artium sedes ac domicilium gewesen unuerschuldeter sachen so iammerlich zerstoret und uerwustet ist dass einem der es zuuor gesehen da es in flore gewesen ist und ietzund dasselbige oder uielmehr noch etliche ubrige rudera anschawet die augen ubergehen das gehet den herrn sampt und sonders nicht unbillig sehr zu hertzen
sattler_encoenia_1610,body,3,1,False,2,Vnd haben zwar diese wiedersetzige Vnterthanen / wenn man des andern allen / was sie angerichtet geschweigen wolte / was für Leut sie seyn / gnugsam an Tag gegeben.,vnd haben zwar diese wiedersetzige vnterthanen wenn man des andern allen was sie angerichtet geschweigen wolte was für leut sie seyn gnugsam an tag gegeben,und haben zwar diese wiedersetzige unterthanen wenn man des andern allen was sie angerichtet geschweigen wolte was fur leut sie seyn gnugsam an tag gegeben
sattler_encoenia_1610,body,3,2,False,4,Aber was wollen wir machen?,aber was wollen wir machen,aber was wollen wir machen
sattler_encoenia_1610,body,3,3,False,4,GOtt der HErr ist der es verhenget / vnd vns dieses grosse Vnglück zugeschicket hat.,gott der herr ist der es verhenget vnd vns dieses grosse vnglück zugeschicket hat,gott der herr ist der es uerhenget und uns dieses grosse ungluck zugeschicket hat
sattler_encoenia_1610,body,3,4,False,4,Auff den / der vns schlecht / vnd es doch als ein Vater gut meynet / der es auch endern vnd bessern kan vnd wil / vnd nicht auff die Ruten / das ist / auff die Leut / die vns den Schaden gethan / Sollen wir dißfals / wie in allem andern Vnglück sehen / vnd jhm gedültig außhalten / Wie Hiob thut / da jhm die Feinde fast alle seine Guter namen / da lest er die Feinde fahren / vnd sagt / Der HErr hats gegeben / der HErr hats genommen / der Name des HErren sey gelobet.,auff den der vns schlecht vnd es doch als ein vater gut meynet der es auch endern vnd bessern kan vnd wil vnd nicht auff die ruten das ist auff die leut die vns den schaden gethan sollen wir dißfals wie in allem andern vnglück sehen vnd jhm gedültig außhalten wie hiob thut da jhm die feinde fast alle seine guter namen da lest er die feinde fahren vnd sagt der herr hats gegeben der herr hats genommen der name des herren sey gelobet,auff den der uns schlecht und es doch als ein uater gut meynet der es auch endern und bessern kan und wil und nicht auff die ruten das ist auff die leut die uns den schaden gethan sollen wir dissfals wie in allem andern ungluck sehen und ihm gedultig ausshalten wie hiob thut da ihm die feinde fast alle seine guter namen da lest er die feinde fahren und sagt der herr hats gegeben der herr hats genommen der name des herren sey gelobet
sattler_encoenia_1610,body,3,5,False,4,Wo wir das bedencken / so werden wir vnser Seel mit gedult fassen / vnd vns mit der Kirchen Gottes Thren. 3. trösten / die da sagt / wie der Tempel vnd Jerusalem in Aschen lag / Die güte des HErrn ist / daß wir nicht gar aus seyn / vnd seine Barmhertzigkeit hat noch kein ende / sondern sie ist alle Morgen new / Vnd hernach spricht er / Der HErr verstost nicht ewiglich / sondern er betrübet wol / aber er erbarmet sich wieder / nach seiner grossen güte.,wo wir das bedencken so werden wir vnser seel mit gedult fassen vnd vns mit der kirchen gottes thren trösten die da sagt wie der tempel vnd jerusalem in aschen lag die güte des herrn ist daß wir nicht gar aus seyn vnd seine barmhertzigkeit hat noch kein ende sondern sie ist alle morgen new vnd hernach spricht er der herr verstost nicht ewiglich sondern er betrübet wol aber er erbarmet sich wieder nach seiner grossen güte,wo wir das bedencken so werden wir unser seel mit gedult fassen und uns mit der kirchen gottes thren trosten die da sagt wie der tempel und ierusalem in aschen lag die gute des herrn ist dass wir nicht gar aus seyn und seine barmhertzigkeit hat noch kein ende sondern sie ist alle morgen new und hernach spricht er der herr uerstost nicht ewiglich sondern er betrubet wol aber er erbarmet sich wieder nach seiner grossen gute
sattler_encoenia_1610,body,3,6,True,4,Denn er nicht von Hertzen die Menschen plaget vnd betrübet.,denn er nicht von hertzen die menschen plaget vnd betrübet,denn er nicht uon hertzen die menschen plaget und betrubet
