doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509343,body,0,0,True,1,Chriſtliche Leichpredigt/ Bey dem adelichen vnd volckreichen Begraͤbnis Der Edelen vnd viel Ehrentugendſamen Frawen BERTHÆ/ gebornen Pfuͤlin aus der Marck/ des Edelen/ Geſtrengen vnd Ehrenveſten Wolff Gotfried von Haugwitz auff Floͤßberg weiland ehegeliebten Hausfrawen/ Welche den 16. Novemb. dieſes inſtehenden 1609. Jahrs/ zwiſchen 1. vnd 2. Vhr in der nacht/ in wahrer erkentnis vnd hertzlicher anruffung jhres Erloͤſers vnd Seligmachers Jeſu Chriſti/ ſanfft vnd ſelig eingeſchlaffen/ vnd den 24. hernach Adelich vnd Chriſtlich zur Erden beſtattet worden. Gethan durch IACOBVM TEVBENERN Pfarrern daſelbſt. Gedruckt zu Leipzig bey Michael Lantzenberger. Anno IesV ChrIſtI reDeMtorIs noſtrI.,chriſtliche leichpredigt bey dem adelichen vnd volckreichen begraͤbnis der edelen vnd viel ehrentugendſamen frawen berthæ gebornen pfuͤlin aus der marck des edelen geſtrengen vnd ehrenveſten wolff gotfried von haugwitz auff floͤßberg weiland ehegeliebten hausfrawen welche den novemb dieſes inſtehenden jahrs zwiſchen vnd vhr in der nacht in wahrer erkentnis vnd hertzlicher anruffung jhres erloͤſers vnd seligmachers jeſu chriſti ſanfft vnd ſelig eingeſchlaffen vnd den hernach adelich vnd chriſtlich zur erden beſtattet worden gethan durch iacobvm tevbenern pfarrern daſelbſt gedruckt zu leipzig bey michael lantzenberger anno iesv chriſti redemtoris noſtri,christliche leichpredigt bey dem adelichen und uolckreichen begrabnis der edelen und uiel ehrentugendsamen frawen berthae gebornen pfulin aus der marck des edelen gestrengen und ehrenuesten wolff gotfried uon haugwitz auff flossberg weiland ehegeliebten hausfrawen welche den nouemb dieses instehenden iahrs zwischen und uhr in der nacht in wahrer erkentnis und hertzlicher anruffung ihres erlosers und seligmachers iesu christi sanfft und selig eingeschlaffen und den hernach adelich und christlich zur erden bestattet worden gethan durch iacobum teubenern pfarrern daselbst gedruckt zu leipzig bey michael lantzenberger anno iesu christi redemtoris nostri
509343,body,1,0,False,3,Dem Edlen/ Geſtrengen vnd Ehrenvehſten Wolff Gottfried von Haugwitz auff Floͤſſberg/ meinem großguͤnſtigen Juncker/ Herrn Gevattern vnd geneigten Foͤrderer.,dem edlen geſtrengen vnd ehrenvehſten wolff gottfried von haugwitz auff floͤſſberg meinem großguͤnſtigen juncker herrn gevattern vnd geneigten foͤrderer,dem edlen gestrengen und ehrenuehsten wolff gottfried uon haugwitz auff flossberg meinem grossgunstigen iuncker herrn geuattern und geneigten forderer
509343,body,1,1,True,3,Gottes Gnade vnd Segen/ ſampt aller zeitlichen vnd ewigen Wolfarth/ durch vnſern einigen Mittler vnd Seligmacher Jeſum Chriſtum zuuor.,gottes gnade vnd segen ſampt aller zeitlichen vnd ewigen wolfarth durch vnſern einigen mittler vnd seligmacher jeſum chriſtum zuuor,gottes gnade und segen sampt aller zeitlichen und ewigen wolfarth durch unsern einigen mittler und seligmacher iesum christum zuuor
509343,body,2,0,False,3,"EDler/ Geſtrenger/ vnd Ehrnvehſter/ großguͤnſtiger lieber-Juncker/ etc. daß E. E. G. beneben etlichen andern rechten liebhabern goͤttliches Worts/ bey mir angehalten/ daß ich die einfeltige Leichpredigt/ ſo ich bey dem Chriſtlichen vnd volckreichen Begraͤbnis E. E. G. vielgeliebten Haußfrawen gethan/ dem Druck vntergeben wolte/ bin ich noch wol eingedenck/ habe aber/ als der aller vnwirdigſte vnd geringſte vnter den Dienern im Hauſe des Herrn/ deſſen billich bedencken getragen/ vnd ohne rath vnd einwilligung meines getrewen lieben Herrn Inſpectoris, des Ehrwirdigen/ Achtbarn vnd Wolgelarten Herrn/ M. Dauid Teubers/ Pfarherrn vnd Superintendenten zu Borna/ meines großguͤnſtigen Herrn Gevatters vnd mechtigen Foͤrderers/ welcher E. E. G. ſelige liebe Haußfraw zu jhrem Ruhebettlein begleiten helffen/ vnd dieſe einfeltige Leichpredigt mit angehoͤret/ mich nicht dazu wollen bereden laſſen.",edler geſtrenger vnd ehrnvehſter großguͤnſtiger lieberjuncker etc daß e e g beneben etlichen andern rechten liebhabern goͤttliches worts bey mir angehalten daß ich die einfeltige leichpredigt ſo ich bey dem chriſtlichen vnd volckreichen begraͤbnis e e g vielgeliebten haußfrawen gethan dem druck vntergeben wolte bin ich noch wol eingedenck habe aber als der aller vnwirdigſte vnd geringſte vnter den dienern im hauſe des herrn deſſen billich bedencken getragen vnd ohne rath vnd einwilligung meines getrewen lieben herrn inſpectoris des ehrwirdigen achtbarn vnd wolgelarten herrn m dauid teubers pfarherrn vnd superintendenten zu borna meines großguͤnſtigen herrn gevatters vnd mechtigen foͤrderers welcher e e g ſelige liebe haußfraw zu jhrem ruhebettlein begleiten helffen vnd dieſe einfeltige leichpredigt mit angehoͤret mich nicht dazu wollen bereden laſſen,edler gestrenger und ehrnuehster grossgunstiger lieberiuncker etc dass e e g beneben etlichen andern rechten liebhabern gottliches worts bey mir angehalten dass ich die einfeltige leichpredigt so ich bey dem christlichen und uolckreichen begrabnis e e g uielgeliebten haussfrawen gethan dem druck untergeben wolte bin ich noch wol eingedenck habe aber als der aller unwirdigste und geringste unter den dienern im hause des herrn dessen billich bedencken getragen und ohne rath und einwilligung meines getrewen lieben herrn inspectoris des ehrwirdigen achtbarn und wolgelarten herrn m dauid teubers pfarherrn und superintendenten zu borna meines grossgunstigen herrn geuatters und mechtigen forderers welcher e e g selige liebe haussfraw zu ihrem ruhebettlein begleiten helffen und diese einfeltige leichpredigt mit angehoret mich nicht dazu wollen bereden lassen
509343,body,2,1,True,3,"Wann aber wolgedachter Herr Superintendens, ſo wol als die andern/ mit dieſer geringen Predigt gantz wol begnuͤgt vnd zu frieden geweſen/ vnd demnach mir nicht widerrathen/ E. E. G. vnd andern gottfuͤrchtigen Chriſten/ welche dieſelbe von mir gebeten/ damit zu willfahren: So habe ich mich auch ſchuͤldig erkant/ dieſem ehrlichen begeren eine gnuͤge zu thun: Jn erwegung der vielfeltigen wolthaten/ ſo von E. E. G. vnd deroſelben gottſeligen Haußfrawen/ ich vnd die meinigen empfangen/ weil ich mich ſonſt auff keine andere weiſe dafuͤr danckbar erzeigen kan.",wann aber wolgedachter herr superintendens ſo wol als die andern mit dieſer geringen predigt gantz wol begnuͤgt vnd zu frieden geweſen vnd demnach mir nicht widerrathen e e g vnd andern gottfuͤrchtigen chriſten welche dieſelbe von mir gebeten damit zu willfahren so habe ich mich auch ſchuͤldig erkant dieſem ehrlichen begeren eine gnuͤge zu thun jn erwegung der vielfeltigen wolthaten ſo von e e g vnd deroſelben gottſeligen haußfrawen ich vnd die meinigen empfangen weil ich mich ſonſt auff keine andere weiſe dafuͤr danckbar erzeigen kan,wann aber wolgedachter herr superintendens so wol als die andern mit dieser geringen predigt gantz wol begnugt und zu frieden gewesen und demnach mir nicht widerrathen e e g und andern gottfurchtigen christen welche dieselbe uon mir gebeten damit zu willfahren so habe ich mich auch schuldig erkant diesem ehrlichen begeren eine gnuge zu thun in erwegung der uielfeltigen wolthaten so uon e e g und deroselben gottseligen haussfrawen ich und die meinigen empfangen weil ich mich sonst auff keine andere weise dafur danckbar erzeigen kan
509343,body,3,0,False,4,So were es auch nicht recht/ daß einer ſolchen tugendreichen Adelsperſon Chriſtlicher Glaube/ gottſeliger Wandel/ vnd ſo ſchoͤnes/ ſanfftes vnd ſeliges ende ſo bald ſolte erleſchen oder gar verſchwiegen bleiben/ vnd nicht andern zum Exempel vorgehalten werden.,so were es auch nicht recht daß einer ſolchen tugendreichen adelsperſon chriſtlicher glaube gottſeliger wandel vnd ſo ſchoͤnes ſanfftes vnd ſeliges ende ſo bald ſolte erleſchen oder gar verſchwiegen bleiben vnd nicht andern zum exempel vorgehalten werden,so were es auch nicht recht dass einer solchen tugendreichen adelsperson christlicher glaube gottseliger wandel und so schones sanfftes und seliges ende so bald solte erleschen oder gar uerschwiegen bleiben und nicht andern zum exempel uorgehalten werden
509343,body,3,1,False,4,Thue demnach E. E. G. dieſe meine Predigt/ welche ich aus gelerter Leute Schrifften zuſammen getragen/ debitâ humilitate vberantworten/ dienſtlich bittende/ E. E. G. wolten ſie von mir willig auff vnd annemen/ vnd jhr dieſelbe nicht alleine in jhrem betruͤbten Witwerſtande einen troſt/ ſondern auch ein denckmal hertzlicher liebe gegen jhr gottſeliges vnd nimmermehr vergeſſendes liebes Weib ſeyn laſſen/ vnd alſo mein vnd der meinigen/ wie bißanhero geſchehen/ auch forthin guͤnſtiger Juncker vnd geneigter Foͤrderer ſeyn vnd bleiben.,thue demnach e e g dieſe meine predigt welche ich aus gelerter leute schrifften zuſammen getragen debitâ humilitate vberantworten dienſtlich bittende e e g wolten ſie von mir willig auff vnd annemen vnd jhr dieſelbe nicht alleine in jhrem betruͤbten witwerſtande einen troſt ſondern auch ein denckmal hertzlicher liebe gegen jhr gottſeliges vnd nimmermehr vergeſſendes liebes weib ſeyn laſſen vnd alſo mein vnd der meinigen wie bißanhero geſchehen auch forthin guͤnſtiger juncker vnd geneigter foͤrderer ſeyn vnd bleiben,thue demnach e e g diese meine predigt welche ich aus gelerter leute schrifften zusammen getragen debita humilitate uberantworten dienstlich bittende e e g wolten sie uon mir willig auff und annemen und ihr dieselbe nicht alleine in ihrem betrubten witwerstande einen trost sondern auch ein denckmal hertzlicher liebe gegen ihr gottseliges und nimmermehr uergessendes liebes weib seyn lassen und also mein und der meinigen wie bissanhero geschehen auch forthin gunstiger iuncker und geneigter forderer seyn und bleiben
509343,body,3,2,False,4,Der allmechtige Gott/ welcher iſt ein Gott des troſtes/ gedult vnd ſtercke/ wolle E. E. G. durch den HErrn Jeſum Chriſtum vnd den heiligen Geiſt/ als ſeine beyde Troͤſter/ in jhrem betruͤbnis troͤſten/ vnd die trawrigkeit ſelbſt tragen helffen/ auch E. E. G. ſampt derſelben lieben Tochter/ Jungfraw Maria Eliſabeth/ bey guter beſtendiger geſundheit lange zeit erhalten/ vnd alles jhres leides reichlich ergetzen/ Amen.,der allmechtige gott welcher iſt ein gott des troſtes gedult vnd ſtercke wolle e e g durch den herrn jeſum chriſtum vnd den heiligen geiſt als ſeine beyde troͤſter in jhrem betruͤbnis troͤſten vnd die trawrigkeit ſelbſt tragen helffen auch e e g ſampt derſelben lieben tochter jungfraw maria eliſabeth bey guter beſtendiger geſundheit lange zeit erhalten vnd alles jhres leides reichlich ergetzen amen,der allmechtige gott welcher ist ein gott des trostes gedult und stercke wolle e e g durch den herrn iesum christum und den heiligen geist als seine beyde troster in ihrem betrubnis trosten und die trawrigkeit selbst tragen helffen auch e e g sampt derselben lieben tochter iungfraw maria elisabeth bey guter bestendiger gesundheit lange zeit erhalten und alles ihres leides reichlich ergetzen amen
509343,body,3,3,True,4,Hiemit goͤttlichen gnaden gantz trewlich befehlende/ Datum Floͤßberg 1609.,hiemit goͤttlichen gnaden gantz trewlich befehlende datum floͤßberg,hiemit gottlichen gnaden gantz trewlich befehlende datum flossberg
509343,body,4,0,False,4,E. E. G. Dienſtw.,e e g dienſtw,e e g dienstw
