doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
magirus_baptisterium_1611,head,0,0,True,1,"BAPTISTERIUM Oder TAUFSTEIN, Das ist: PREDIGT, Von der heiligen Tauf-fe/vber das Euangelium von der Tauffe Jesu Christi vnsers HERrn / Aus dem 3. Capit. S. Matthaei. Zu Christlicher Einweihung dessen in Fürstlicher Stiffes Kirchen S. Blasti in Braunschweig new erbawten Tauffsteins/am Sontag Esto mihi/ im Jar nach Christi Geburt: 1609. Gehalten/von Ehrn Johanne Magiro am Wort Gottes Diener daselbst. Gedruckt zu Magdeburg/durch Wilhelm Roß.",baptisterium oder taufstein das ist predigt von der heiligen tauffe vber das euangelium von der tauffe jesu christi vnsers herrn aus dem capit s matthaei zu christlicher einweihung dessen in fürstlicher stiffes kirchen s blasti in braunschweig new erbawten tauffsteins am sontag esto mihi im jar nach christi geburt gehalten von ehrn johanne magiro am wort gottes diener daselbst gedruckt zu magdeburg durch wilhelm roß,baptisterium oder taufstein das ist predigt uon der heiligen tauffe uber das euangelium uon der tauffe iesu christi unsers herrn aus dem capit s matthaei zu christlicher einweihung dessen in furstlicher stiffes kirchen s blasti in braunschweig new erbawten tauffsteins am sontag esto mihi im iar nach christi geburt gehalten uon ehrn iohanne magiro am wort gottes diener daselbst gedruckt zu magdeburg durch wilhelm ross
magirus_baptisterium_1611,head,1,0,True,2,CYPRIANUS Supra verba Ezechiel: cap. 47. v. 1. & 9.,cyprianus supra verba ezechiel cap v &,cyprianus supra uerba ezechiel cap u et
magirus_baptisterium_1611,body,2,0,True,2,"BAptismi aquam vidit Propheta, cum ait: Vidi aquam egredientẽ de templo, à latere dextero, & omnes ad quos pervenerit aqua ist a, salvi facti sunt: Hanc aquam effudit latus Christi, lanceâ militis in cruce transfixum, in remissionem peccatorum, quâ sanctificata est Ecclesia, à maculisquesuis emundata.",baptismi aquam vidit propheta cum ait vidi aquam egredientẽ de templo à latere dextero & omnes ad quos pervenerit aqua ist a salvi facti sunt hanc aquam effudit latus christi lanceâ militis in cruce transfixum in remissionem peccatorum quâ sanctificata est ecclesia à maculisquesuis emundata,baptismi aquam uidit propheta cum ait uidi aquam egredienten de templo a latere dextero et omnes ad quos peruenerit aqua ist a salui facti sunt hanc aquam effudit latus christi lancea militis in cruce transfixum in remissionem peccatorum qua sanctificata est ecclesia a maculisquesuis emundata
magirus_baptisterium_1611,head,3,0,True,2,Eadem sententia versibus expressa.,eadem sententia versibus expressa,eadem sententia uersibus expressa
magirus_baptisterium_1611,body,4,0,True,2,"VIsa fuit sacri Baptismatis unda Prophetae, Cum templi dextrũ rumperet unda latus: Vidit & hac omnes, ad quos ventura er at illa, Mundatos maculâ, criminis esse, sui. Undam hanc ex dextro latere effluxîsse docemur, Militis extract a cuspide, Christe tuo. Christe tui hac sancti munda nos sanguinis undâ, Turba tua ut simus sanctificata tibi.",visa fuit sacri baptismatis unda prophetae cum templi dextrũ rumperet unda latus vidit & hac omnes ad quos ventura er at illa mundatos maculâ criminis esse sui undam hanc ex dextro latere effluxîsse docemur militis extract a cuspide christe tuo christe tui hac sancti munda nos sanguinis undâ turba tua ut simus sanctificata tibi,uisa fuit sacri baptismatis unda prophetae cum templi dextrum rumperet unda latus uidit et hac omnes ad quos uentura er at illa mundatos macula criminis esse sui undam hanc ex dextro latere effluxisse docemur militis extract a cuspide christe tuo christe tui hac sancti munda nos sanguinis unda turba tua ut simus sanctificata tibi
magirus_baptisterium_1611,body,5,0,True,2,J. M.,j m,i m
magirus_baptisterium_1611,head,6,0,True,3,Dem Ehrwürdigen / Ehrnvesten / Achtbarn vnd Hochgelarten Herrn Valentino Mollero / Beyder Rechten Doctori / vnd Fürstliches Stiffts S. Blasii in Braunschweig Canonico / Meinem großgünstigen Herrn Gevattern / vnd besonders guten Freunde.,dem ehrwürdigen ehrnvesten achtbarn vnd hochgelarten herrn valentino mollero beyder rechten doctori vnd fürstliches stiffts s blasii in braunschweig canonico meinem großgünstigen herrn gevattern vnd besonders guten freunde,dem ehrwurdigen ehrnuesten achtbarn und hochgelarten herrn ualentino mollero beyder rechten doctori und furstliches stiffts s blasii in braunschweig canonico meinem grossgunstigen herrn geuattern und besonders guten freunde
magirus_baptisterium_1611,head,7,0,True,3,Vnd Der Erbarn / Ehr vnd Tugentsamen Frawen Margaretae Schraders / Wolgemeltes Herrn Doctoris Ehelichen lieben Haußfrawen / Meiner großgünstigen lieben Gevattern: vnd Freund in.,vnd der erbarn ehr vnd tugentsamen frawen margaretae schraders wolgemeltes herrn doctoris ehelichen lieben haußfrawen meiner großgünstigen lieben gevattern vnd freund in,und der erbarn ehr und tugentsamen frawen margaretae schraders wolgemeltes herrn doctoris ehelichen lieben haussfrawen meiner grossgunstigen lieben geuattern und freund in
magirus_baptisterium_1611,head,8,0,True,3,Gottes Gnad vnd Segen / durch Jesum Christum zuvor:,gottes gnad vnd segen durch jesum christum zuvor,gottes gnad und segen durch iesum christum zuuor
magirus_baptisterium_1611,body,9,0,True,3,EHrwürdiger / Ehrnvester / Achtbar vñ Hochgelarter Herr Doctor / Freundlicher lieber Gevatter / Auch Erbare / Ehr vnnd Tugentsame Fraw Doctorin / Freundliche liebe Gevattersche / Es ist niemals weder Gott / noch Christlichen vnd vernünfftigen Biederleuten entjegen gewesen / wañ deren / die Gotte mit jhrem milten Gaben / zu seines Nahmens Ehren / aus gleubigem vnd wolmeinendem Hertzen trewlich gedienet / in seinem heiligen Wort / vnd andern Schrifften rühmlich vnnd ehrlich gedacht / vnd jhre Dienste Wolthat vnd Miltigkeit löblich angezogen worden / Ja es haben die Heiligen Gottes / nach solchen Leuten sich vmbgesehen / nach jhnen gefragt / vnd gesagt: Wo sind die / so wollen wir sie loben: Syr. 31. 9.,ehrwürdiger ehrnvester achtbar vñ hochgelarter herr doctor freundlicher lieber gevatter auch erbare ehr vnnd tugentsame fraw doctorin freundliche liebe gevattersche es ist niemals weder gott noch christlichen vnd vernünfftigen biederleuten entjegen gewesen wañ deren die gotte mit jhrem milten gaben zu seines nahmens ehren aus gleubigem vnd wolmeinendem hertzen trewlich gedienet in seinem heiligen wort vnd andern schrifften rühmlich vnnd ehrlich gedacht vnd jhre dienste wolthat vnd miltigkeit löblich angezogen worden ja es haben die heiligen gottes nach solchen leuten sich vmbgesehen nach jhnen gefragt vnd gesagt wo sind die so wollen wir sie loben syr,ehrwurdiger ehrnuester achtbar und hochgelarter herr doctor freundlicher lieber geuatter auch erbare ehr unnd tugentsame fraw doctorin freundliche liebe geuattersche es ist niemals weder gott noch christlichen und uernunfftigen biederleuten entiegen gewesen wann deren die gotte mit ihrem milten gaben zu seines nahmens ehren aus gleubigem und wolmeinendem hertzen trewlich gedienet in seinem heiligen wort und andern schrifften ruhmlich unnd ehrlich gedacht und ihre dienste wolthat und miltigkeit loblich angezogen worden ia es haben die heiligen gottes nach solchen leuten sich umbgesehen nach ihnen gefragt und gesagt wo sind die so wollen wir sie loben syr
