doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
527028,head,0,0,True,[1],"Goͤttlicher Liebe vnd GnadenSpiegel der rechtglaͤubigen Kinder GOttes/ Vber den hochtroͤſtlichen hertzerquickenden guͤldenen Spruch S. Pauli Rom. 5. Darumb preyſet GOTT ſeine Liebe gegen vns/ etc. Zur LeichPredigt/ Bey dem Begrebnuͤs deß Edlen/ Geſtrengen vnnd Ehrenvehſten Junckern PETER von der Marwitz auff Berfelde vnnd Wreche/ etc. Erbſaſſen/ welcher Anno 1612. den 24. Julij zwiſchen 1. vnnd 2. Vhr nach Mittnacht/ ſeines Alters ins 55. Jahr/ auß dieſem JammerLeben nach dem willen Gottes abgefodert/ vnd ſeliglichen eingeſchlaffen/ vnnd folgig darauff am Tage Ægidij, war der 1. Septembr. zu Berfelde von vielen vornehmen Adelichen/ vnnd anders Standes Chriſtlichen Perſonen/ zu ſeiner in der Kirchen daſelbſt zubereiter newer Grabeſtett vnd Ruhe Kammer beleitet/ vnd Adelichen gebrauch nach gantz Ehrlich vnd Chriſtlich zur Erden beſtattet worden/ Gehalten/ vnd auff begehren in Druck gegeben Durch LUCAM JANTICO VIUM zu Berfelde vnd Gruͤenrade Pfarherrn vnd Seelſorgern. Gedruckt zu Franckfurt an der Oder bey Nickel Voltzen/ im Jahr 1612.",goͤttlicher liebe vnd gnadenspiegel der rechtglaͤubigen kinder gottes vber den hochtroͤſtlichen hertzerquickenden guͤldenen spruch s pauli rom darumb preyſet gott ſeine liebe gegen vns etc zur leichpredigt bey dem begrebnuͤs deß edlen geſtrengen vnnd ehrenvehſten junckern peter von der marwitz auff berfelde vnnd wreche etc erbſaſſen welcher anno den julij zwiſchen vnnd vhr nach mittnacht ſeines alters ins jahr auß dieſem jammerleben nach dem willen gottes abgefodert vnd ſeliglichen eingeſchlaffen vnnd folgig darauff am tage ægidij war der septembr zu berfelde von vielen vornehmen adelichen vnnd anders standes chriſtlichen perſonen zu ſeiner in der kirchen daſelbſt zubereiter newer grabeſtett vnd ruhe kammer beleitet vnd adelichen gebrauch nach gantz ehrlich vnd chriſtlich zur erden beſtattet worden gehalten vnd auff begehren in druck gegeben durch lucam jantico vium zu berfelde vnd gruͤenrade pfarherrn vnd seelſorgern gedruckt zu franckfurt an der oder bey nickel voltzen im jahr,gottlicher liebe und gnadenspiegel der rechtglaubigen kinder gottes uber den hochtrostlichen hertzerquickenden guldenen spruch s pauli rom darumb preyset gott seine liebe gegen uns etc zur leichpredigt bey dem begrebnus dess edlen gestrengen unnd ehrenuehsten iunckern peter uon der marwitz auff berfelde unnd wreche etc erbsassen welcher anno den iulii zwischen unnd uhr nach mittnacht seines alters ins iahr auss diesem iammerleben nach dem willen gottes abgefodert und seliglichen eingeschlaffen unnd folgig darauff am tage aegidii war der septembr zu berfelde uon uielen uornehmen adelichen unnd anders standes christlichen personen zu seiner in der kirchen daselbst zubereiter newer grabestett und ruhe kammer beleitet und adelichen gebrauch nach gantz ehrlich und christlich zur erden bestattet worden gehalten und auff begehren in druck gegeben durch lucam iantico uium zu berfelde und gruenrade pfarherrn und seelsorgern gedruckt zu franckfurt an der oder bey nickel uoltzen im iahr
527028,body,1,0,False,[2],Der Edlen vnnd Ehrenvieltugendtſamen Frawen Anna geborne von Sacken/ deß Edlen/ Geſtrengen vnnd Ehrenveſten Peter von der Marwitz ſeligen/ weilandt Erbſaſſen auff Berfelde vnnd Wreche etc. hinterlaſſenen Witwen.,der edlen vnnd ehrenvieltugendtſamen frawen anna geborne von sacken deß edlen geſtrengen vnnd ehrenveſten peter von der marwitz ſeligen weilandt erbſaſſen auff berfelde vnnd wreche etc hinterlaſſenen witwen,der edlen unnd ehrenuieltugendtsamen frawen anna geborne uon sacken dess edlen gestrengen unnd ehrenuesten peter uon der marwitz seligen weilandt erbsassen auff berfelde unnd wreche etc hinterlassenen witwen
527028,body,1,1,False,[2],Zuſampt jhren hertzlieben Kindern/ Den Edlen vnnd Ehrenveſten jungen Junckern/ Georg/ Moritz/ Sigmundt/ David vnd Baltzer Friederich von der Marwitz auff Berfelde vnd Wreche Erbſeſſen/ etc.,zuſampt jhren hertzlieben kindern den edlen vnnd ehrenveſten jungen junckern georg moritz sigmundt david vnd baltzer friederich von der marwitz auff berfelde vnd wreche erbſeſſen etc,zusampt ihren hertzlieben kindern den edlen unnd ehrenuesten iungen iunckern georg moritz sigmundt dauid und baltzer friederich uon der marwitz auff berfelde und wreche erbsessen etc
527028,body,1,2,False,[2],Jngleichen/ Den Edlen vnd Ehrenvieltugendtreichen Jungfrawen/ Jungffer Adell/ Catharina vnd Anna von der Marwitz.,jngleichen den edlen vnd ehrenvieltugendtreichen jungfrawen jungffer adell catharina vnd anna von der marwitz,ingleichen den edlen und ehrenuieltugendtreichen iungfrawen iungffer adell catharina und anna uon der marwitz
527028,body,1,3,False,[2],So wol Den Edlen/ Geſtrengen vnd Ehrenveſten Junckern/ Baltzer/ David/ vnd Clauß von der Marwitz auff Hohenwalde/ Sellin vnd Lehna/ etc.,so wol den edlen geſtrengen vnd ehrenveſten junckern baltzer david vnd clauß von der marwitz auff hohenwalde sellin vnd lehna etc,so wol den edlen gestrengen und ehrenuesten iunckern baltzer dauid und clauss uon der marwitz auff hohenwalde sellin und lehna etc
527028,body,1,4,False,[2],Vnnd deroſelben freundlichen/ vielgeliebſten Fraw Schweſter/ Vrſula von der Marwitz/ deß Edlen/ Geſtrengen vnd Ehrenveſten Churt von der Marwitz ſeligen/ weiland Erbſaſſen zu Marwitz etc. hinderlaſſenen Wittwen.,vnnd deroſelben freundlichen vielgeliebſten fraw schweſter vrſula von der marwitz deß edlen geſtrengen vnd ehrenveſten churt von der marwitz ſeligen weiland erbſaſſen zu marwitz etc hinderlaſſenen wittwen,unnd deroselben freundlichen uielgeliebsten fraw schwester ursula uon der marwitz dess edlen gestrengen und ehrenuesten churt uon der marwitz seligen weiland erbsassen zu marwitz etc hinderlassenen wittwen
527028,body,1,5,False,[2],Vnd denn auch Dem Edlen/ Geſtrengen vnd Ehrenveſten Junckern Hanß von der Marwitz auff Grüenrade/ Berfelde/ Sellin/ etc. Erbſaſſen.,vnd denn auch dem edlen geſtrengen vnd ehrenveſten junckern hanß von der marwitz auff grüenrade berfelde sellin etc erbſaſſen,und denn auch dem edlen gestrengen und ehrenuesten iunckern hanss uon der marwitz auff gruenrade berfelde sellin etc erbsassen
527028,body,1,6,True,[2],Als ſeiner/ vnd ſeinen guͤnſtigen/ Fraw Patronin/ Junckern/ Patronen/ Gefattern vnd mechtigen Foͤrderern,als ſeiner vnd ſeinen guͤnſtigen fraw patronin junckern patronen gefattern vnd mechtigen foͤrderern,als seiner und seinen gunstigen fraw patronin iunckern patronen gefattern und mechtigen forderern
527028,body,2,0,True,[2],Offeriret vnd dediciret diefe Troſtpredigt Lucas Janticovius Pfarherr vnnd rëſpectivè Seelſorger daſelbſt.,offeriret vnd dediciret diefe troſtpredigt lucas janticovius pfarherr vnnd rëſpectivè seelſorger daſelbſt,offeriret und dediciret diefe trostpredigt lucas ianticouius pfarherr unnd respectiue seelsorger daselbst
527028,head,3,0,True,[3],VOTVM.,votvm,uotum
