doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
527026,head,0,0,True,[1],"Chriſtliche Leichpredigt/ Vom Abſterben vnd Begraͤbnuͤß deß Ertzvaters Jacobs/ aus dem 49 vnd 50. Capitel des Erſten Buchs Moyſis. Bey dem Begraͤbnuͤß des Edlen/ Geſtrengen/ Ehrnveſten vnd Wolbenambten Herrn Daniel Preuſſen/ Von Preuſſendorff/ zu Blanckenaw vnd Zweybrodt/ weiland dreyer Roͤmiſcher Keyſer/ als Ferdinandi des I Maximiliani des II. Rudolphi des II. geweſenen Raths/ Ober-Saltz-AmptHerrn in Schleſien vnd Laußnitz/ vnd Comitis Palatini, Chriſtſeliger gedechtnuͤß; Welcher im LXXXII. Jahr ſeines Alters zur Freyſtadt in Schleſien auff ſeinem Adelichen Ritterſitz ſelig verſchieden/ vnnd drauff Adelichen brauch nach mit Chriſtlichen vnd anſehnlichen Ceremonien in der Pfarrkirchen zur Freyſtadt in ſein Ruhebettlein iſt eingeſetzet worden. Jn groſſer Adelicher/ wie auch ſonſt Volckreicher verſamlung gehalten/ durch M. Caſparum Stillern von Leipzig/ damals Diener am Wort Gottes zur Freyſtadt/ an jtzo aber Pfarrern vnd Seelſorgern der Chriſtlichen Gemeine zu Herwigsdorff. Vnd in druck verfertiget Anno Chriſti FIDe, ſeD CVI VIDe. Gedruckt zu Leipzig bey Valentin am Ende.",chriſtliche leichpredigt vom abſterben vnd begraͤbnuͤß deß ertzvaters jacobs aus dem vnd capitel des erſten buchs moyſis bey dem begraͤbnuͤß des edlen geſtrengen ehrnveſten vnd wolbenambten herrn daniel preuſſen von preuſſendorff zu blanckenaw vnd zweybrodt weiland dreyer roͤmiſcher keyſer als ferdinandi des i maximiliani des ii rudolphi des ii geweſenen raths obersaltzamptherrn in schleſien vnd laußnitz vnd comitis palatini chriſtſeliger gedechtnuͤß welcher im lxxxii jahr ſeines alters zur freyſtadt in schleſien auff ſeinem adelichen ritterſitz ſelig verſchieden vnnd drauff adelichen brauch nach mit chriſtlichen vnd anſehnlichen ceremonien in der pfarrkirchen zur freyſtadt in ſein ruhebettlein iſt eingeſetzet worden jn groſſer adelicher wie auch ſonſt volckreicher verſamlung gehalten durch m caſparum stillern von leipzig damals diener am wort gottes zur freyſtadt an jtzo aber pfarrern vnd seelſorgern der chriſtlichen gemeine zu herwigsdorff vnd in druck verfertiget anno chriſti fide ſed cvi vide gedruckt zu leipzig bey valentin am ende,christliche leichpredigt uom absterben und begrabnuss dess ertzuaters iacobs aus dem und capitel des ersten buchs moysis bey dem begrabnuss des edlen gestrengen ehrnuesten und wolbenambten herrn daniel preussen uon preussendorff zu blanckenaw und zweybrodt weiland dreyer romischer keyser als ferdinandi des i maximiliani des ii rudolphi des ii gewesenen raths obersaltzamptherrn in schlesien und laussnitz und comitis palatini christseliger gedechtnuss welcher im lxxxii iahr seines alters zur freystadt in schlesien auff seinem adelichen rittersitz selig uerschieden unnd drauff adelichen brauch nach mit christlichen und ansehnlichen ceremonien in der pfarrkirchen zur freystadt in sein ruhebettlein ist eingesetzet worden in grosser adelicher wie auch sonst uolckreicher uersamlung gehalten durch m casparum stillern uon leipzig damals diener am wort gottes zur freystadt an itzo aber pfarrern und seelsorgern der christlichen gemeine zu herwigsdorff und in druck uerfertiget anno christi fide sed cui uide gedruckt zu leipzig bey ualentin am ende
527026,body,1,0,False,[3],EDler/ Geſtrenger/ Ehrnveſter/ vnd Wolbenambter Herr vnd Gevatter/ aus was vrſachen die bey ewer G. Herrn Vatern/ ſeligen/ Begraͤbnuͤs von mir gehaltene Leichpredigt biß hieher in winckel blieben/ wird Ewer G. faſt beſſer/ als mir ſelbſt bewuſt ſeyn.,edler geſtrenger ehrnveſter vnd wolbenambter herr vnd gevatter aus was vrſachen die bey ewer g herrn vatern ſeligen begraͤbnuͤs von mir gehaltene leichpredigt biß hieher in winckel blieben wird ewer g faſt beſſer als mir ſelbſt bewuſt ſeyn,edler gestrenger ehrnuester und wolbenambter herr und geuatter aus was ursachen die bey ewer g herrn uatern seligen begrabnus uon mir gehaltene leichpredigt biss hieher in winckel blieben wird ewer g fast besser als mir selbst bewust seyn
527026,body,1,1,False,[3],Vnd wiewol meiner perſon wegen dieſelbe wol gar hette koͤnnen vngedrucket bleiben/ jedoch weilich ohne gefehr inne worden/ daß man die Station vnd Predigt/ die bey abfuͤhrung der Adelichen Leiche im Hofe gehalten worden genommen/ die Perſonalien/ ſo eigentlich zu meiner Predigt gehoͤret/ auch von mir oͤffentlich in der Pfarrkirchen zur Freyſtadt/ nach geendeter meiner Predigt publice verleſen worden/ dabey gefuͤget/ vnd beydes zuſammen/ deren ich doch Ewer G. Jhres theils wil entſchuldigt halten/ drucken laſſen/ bin ich verurſachet worden/ habe es auch faſt fuͤr noͤtig zu ſeyn erachtet/ meine Leichpredigt/ wie ich ſie durch Gottes gnaden/ damals oͤffentlich gehalten/ vnd die Perſonalien/ wie ſie mir abzuleſen vbergeben worden/ darzu gethan/ durch den Druck zu publiciren/ hiermit/ neben andern vrſachen/ vieler gedancken die ſich bekuͤmmern moͤchten/ was doch wol von mir moͤchte ſeyn gepredigt worden/ abzuhelffen/ vnd meine gefuͤhrete lehre vngeſchewet an tag zu geben Vnd ſolche geringe Arbeit wil ich hirmit Ewer G. wolmeynend aus gutem hertzen dediciret vnd offeriret haben.,vnd wiewol meiner perſon wegen dieſelbe wol gar hette koͤnnen vngedrucket bleiben jedoch weilich ohne gefehr inne worden daß man die station vnd predigt die bey abfuͤhrung der adelichen leiche im hofe gehalten worden genommen die perſonalien ſo eigentlich zu meiner predigt gehoͤret auch von mir oͤffentlich in der pfarrkirchen zur freyſtadt nach geendeter meiner predigt publice verleſen worden dabey gefuͤget vnd beydes zuſammen deren ich doch ewer g jhres theils wil entſchuldigt halten drucken laſſen bin ich verurſachet worden habe es auch faſt fuͤr noͤtig zu ſeyn erachtet meine leichpredigt wie ich ſie durch gottes gnaden damals oͤffentlich gehalten vnd die perſonalien wie ſie mir abzuleſen vbergeben worden darzu gethan durch den druck zu publiciren hiermit neben andern vrſachen vieler gedancken die ſich bekuͤmmern moͤchten was doch wol von mir moͤchte ſeyn gepredigt worden abzuhelffen vnd meine gefuͤhrete lehre vngeſchewet an tag zu geben vnd ſolche geringe arbeit wil ich hirmit ewer g wolmeynend aus gutem hertzen dediciret vnd offeriret haben,und wiewol meiner person wegen dieselbe wol gar hette konnen ungedrucket bleiben iedoch weilich ohne gefehr inne worden dass man die station und predigt die bey abfuhrung der adelichen leiche im hofe gehalten worden genommen die personalien so eigentlich zu meiner predigt gehoret auch uon mir offentlich in der pfarrkirchen zur freystadt nach geendeter meiner predigt publice uerlesen worden dabey gefuget und beydes zusammen deren ich doch ewer g ihres theils wil entschuldigt halten drucken lassen bin ich uerursachet worden habe es auch fast fur notig zu seyn erachtet meine leichpredigt wie ich sie durch gottes gnaden damals offentlich gehalten und die personalien wie sie mir abzulesen ubergeben worden darzu gethan durch den druck zu publiciren hiermit neben andern ursachen uieler gedancken die sich bekummern mochten was doch wol uon mir mochte seyn gepredigt worden abzuhelffen und meine gefuhrete lehre ungeschewet an tag zu geben und solche geringe arbeit wil ich hirmit ewer g wolmeynend aus gutem hertzen dediciret und offeriret haben
527026,body,1,2,False,[4],Befehle hiermit Ewer G. vnd alle die Jhrigen in den ſchutz Gottes/ mit bitte Ewer G. wolle wie bißher/ alſo auch kuͤnfftig mein vnd der meinigen Großguͤnſtiger Herr vnd befoͤrderer bleiben.,befehle hiermit ewer g vnd alle die jhrigen in den ſchutz gottes mit bitte ewer g wolle wie bißher alſo auch kuͤnfftig mein vnd der meinigen großguͤnſtiger herr vnd befoͤrderer bleiben,befehle hiermit ewer g und alle die ihrigen in den schutz gottes mit bitte ewer g wolle wie bissher also auch kunfftig mein und der meinigen grossgunstiger herr und beforderer bleiben
527026,body,1,3,True,[4],"Datum Herwigsdorff den 4. Junii, Anno Chriſti 1613.",datum herwigsdorff den junii anno chriſti,datum herwigsdorff den iunii anno christi
527026,body,2,0,True,[4],Ewer E. G. Dienſtwilliger vnd Gebetſchuldiger M. Caſparus Stiller/ Pſarrer allda.,ewer e g dienſtwilliger vnd gebetſchuldiger m caſparus stiller pſarrer allda,ewer e g dienstwilliger und gebetschuldiger m casparus stiller psarrer allda
527026,body,3,0,True,[5],Soſchreibet Moſes der Mann GOttes/ in ſeinem I. Buch am 49. vnd 50. Capitel.,soſchreibet moſes der mann gottes in ſeinem i buch am vnd capitel,soschreibet moses der mann gottes in seinem i buch am und capitel
527026,head,4,0,True,[7],Erklerung dieſes Texts.,erklerung dieſes texts,erklerung dieses texts
527026,body,5,0,False,[7],"GEliebten freunde in Chriſto dem Herrn/ Der Menſchenwuͤrger der Todt/ fuͤhret in ſeinem Wapen ein Koͤnigliches Zepter vnd eine Bawerhacke creutzweiſe vber ein ander geſchrencket/ vnd einen Todtenkopff oben darauff geſeſetzet mit dieſer Vberſchrifft: Mors Sceptra Ligonibus æquat, Der Todt macht alle Menſchen gleich/ Jn allen ſtenden Arm vnd Reich.",geliebten freunde in chriſto dem herrn der menſchenwuͤrger der todt fuͤhret in ſeinem wapen ein koͤnigliches zepter vnd eine bawerhacke creutzweiſe vber ein ander geſchrencket vnd einen todtenkopff oben darauff geſeſetzet mit dieſer vberſchrifft mors sceptra ligonibus æquat der todt macht alle menſchen gleich jn allen ſtenden arm vnd reich,geliebten freunde in christo dem herrn der menschenwurger der todt fuhret in seinem wapen ein konigliches zepter und eine bawerhacke creutzweise uber ein ander geschrencket und einen todtenkopff oben darauff gesesetzet mit dieser uberschrifft mors sceptra ligonibus aequat der todt macht alle menschen gleich in allen stenden arm und reich
527026,body,5,1,False,[7],Vnd zwar diß Wapen fuͤhret der Todt billich vnnd mit allem recht/ ſintemal doch ſeine Bottmeſſigkeit vnd Regierung ſich eben ſo wol erſtrecket vber groſſe Keyſer/ Koͤnige/ Fuͤrſten/ Grafen/ Herren/ Edelleute/ Hochgelarte/ Vorneme/ Reiche/ Tapffere vnd Anſehnliche Perſonen/ alß vber gemeine Buͤrger vnd Bawren/ vnd arme Tagloͤhner vnd Bettler/ wie ſolches nicht allein bezeugen die hellen vnd klaren Spruͤche heiliger Goͤttlicher Schrifft vnd weiſer Leute in der Heydenſchafft/ Sondern auch die Exempel/ ſo in der Heiligen Schrifft/ vnd anderer Hiſtorien auffgezeichnet ſein/ wie in gleichen die taͤgliche erfahrung/ vnd die jetzt fuͤr Augen ſtehende Todtenpar.,vnd zwar diß wapen fuͤhret der todt billich vnnd mit allem recht ſintemal doch ſeine bottmeſſigkeit vnd regierung ſich eben ſo wol erſtrecket vber groſſe keyſer koͤnige fuͤrſten grafen herren edelleute hochgelarte vorneme reiche tapffere vnd anſehnliche perſonen alß vber gemeine buͤrger vnd bawren vnd arme tagloͤhner vnd bettler wie ſolches nicht allein bezeugen die hellen vnd klaren spruͤche heiliger goͤttlicher schrifft vnd weiſer leute in der heydenſchafft sondern auch die exempel ſo in der heiligen schrifft vnd anderer hiſtorien auffgezeichnet ſein wie in gleichen die taͤgliche erfahrung vnd die jetzt fuͤr augen ſtehende todtenpar,und zwar diss wapen fuhret der todt billich unnd mit allem recht sintemal doch seine bottmessigkeit und regierung sich eben so wol erstrecket uber grosse keyser konige fursten grafen herren edelleute hochgelarte uorneme reiche tapffere und ansehnliche personen alss uber gemeine burger und bawren und arme taglohner und bettler wie solches nicht allein bezeugen die hellen und klaren spruche heiliger gottlicher schrifft und weiser leute in der heydenschafft sondern auch die exempel so in der heiligen schrifft und anderer historien auffgezeichnet sein wie in gleichen die tagliche erfahrung und die ietzt fur augen stehende todtenpar
