doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
526011,body,0,0,True,[1],"ΓΛΤΚΤΠΙΚΡΑ CHRISTIANORUM verorum propria Zu dulden iſt ſtets Lieb vnd Leidt/ Dazu ein rechter Chriſt bereit. Davon Lehr vnd Troſt eingefuͤrt Bey der Adelichen anſehenlichen Leichbegaͤngniß Der weiland Edelen/ Ehrentugentreichen Frawen/ nun mehr in Chriſto ſelig ruhenden/ Fraw MAGDALENEN Armgard/ Gebornen Kanninnen/ Des Edlen/ Geſtrengen/ Ehrenveſten Junckern Chriſtoff von Drandorff auff Boltzen vnd Werichaw Erbſaſſen/ geweſenen vielgeliebten Ehegemahl/ Welche am ſtillen Freytag in froͤlicher Geburts Hoffnung Selig geſtorben den 2. Aprilis, Anno 1613. vnd den 12. Aprilis zu jhrem Ruhebetlein beneben der Frucht jhres Letbes/ ſo bey jhr geblieben/ Chriſtlich vnd Adelich begleitet/ Geſchehen auff der ſeligen Frawen Chriſtliches begeren/ vnd zulaſſung des Pfarres daſelbſt/ zur Colochaw/ Durch M. FELICIANUM CLARUM, Pfarrer vnd Superintendenten zu Hertzberg. Gedruckt zu Wittemberg/ bey Johan Gorman.",γλτκτπικρα christianorum verorum propria zu dulden iſt ſtets lieb vnd leidt dazu ein rechter chriſt bereit davon lehr vnd troſt eingefuͤrt bey der adelichen anſehenlichen leichbegaͤngniß der weiland edelen ehrentugentreichen frawen nun mehr in chriſto ſelig ruhenden fraw magdalenen armgard gebornen kanninnen des edlen geſtrengen ehrenveſten junckern chriſtoff von drandorff auff boltzen vnd werichaw erbſaſſen geweſenen vielgeliebten ehegemahl welche am ſtillen freytag in froͤlicher geburts hoffnung selig geſtorben den aprilis anno vnd den aprilis zu jhrem ruhebetlein beneben der frucht jhres letbes ſo bey jhr geblieben chriſtlich vnd adelich begleitet geſchehen auff der ſeligen frawen chriſtliches begeren vnd zulaſſung des pfarres daſelbſt zur colochaw durch m felicianum clarum pfarrer vnd superintendenten zu hertzberg gedruckt zu wittemberg bey johan gorman,christianorum uerorum propria zu dulden ist stets lieb und leidt dazu ein rechter christ bereit dauon lehr und trost eingefurt bey der adelichen ansehenlichen leichbegangniss der weiland edelen ehrentugentreichen frawen nun mehr in christo selig ruhenden fraw magdalenen armgard gebornen kanninnen des edlen gestrengen ehrenuesten iunckern christoff uon drandorff auff boltzen und werichaw erbsassen gewesenen uielgeliebten ehegemahl welche am stillen freytag in frolicher geburts hoffnung selig gestorben den aprilis anno und den aprilis zu ihrem ruhebetlein beneben der frucht ihres letbes so bey ihr geblieben christlich und adelich begleitet geschehen auff der seligen frawen christliches begeren und zulassung des pfarres daselbst zur colochaw durch m felicianum clarum pfarrer und superintendenten zu hertzberg gedruckt zu wittemberg bey iohan gorman
526011,body,1,0,False,[3],DEDICATIO.,dedicatio,dedicatio
526011,body,1,1,False,[3],Der Edlen/ Ehrentugentreichen/ Adelichen/ Chriſtlichen Matronen/ Fraw ANNÆ/ gebornen Schwartzinnin/ des weiland Edlen/ Geſtrengen/ Ehrenveſten Junckern Arnd Kannen auff Cloͤden hinderlaſſenen Witwen.,der edlen ehrentugentreichen adelichen chriſtlichen matronen fraw annæ gebornen schwartzinnin des weiland edlen geſtrengen ehrenveſten junckern arnd kannen auff cloͤden hinderlaſſenen witwen,der edlen ehrentugentreichen adelichen christlichen matronen fraw annae gebornen schwartzinnin des weiland edlen gestrengen ehrenuesten iunckern arnd kannen auff cloden hinderlassenen witwen
526011,body,1,2,False,[3],Dem Edlen/ Geſtrengen vnd Ehrenveſten Junckern/ Bernd Ludolff Kannen/ Erbſaſſen auff Cloͤden vnd Luͤden.,dem edlen geſtrengen vnd ehrenveſten junckern bernd ludolff kannen erbſaſſen auff cloͤden vnd luͤden,dem edlen gestrengen und ehrenuesten iunckern bernd ludolff kannen erbsassen auff cloden und luden
526011,body,1,3,False,[3],Dem Edlen/ Geſtrengen vnd Ehrenveſten Junckern Chriſtian von Bocken auff Salhauſen vnd Kliphauſen Erbſaſſen/ Vnd Der Edlen/ Ehrentugentreichen Frawen/ Fraw Eliſabeth/ gebornen Kanninnen/ ſeinem vielgeliebten Ehegemal.,dem edlen geſtrengen vnd ehrenveſten junckern chriſtian von bocken auff salhauſen vnd kliphauſen erbſaſſen vnd der edlen ehrentugentreichen frawen fraw eliſabeth gebornen kanninnen ſeinem vielgeliebten ehegemal,dem edlen gestrengen und ehrenuesten iunckern christian uon bocken auff salhausen und kliphausen erbsassen und der edlen ehrentugentreichen frawen fraw elisabeth gebornen kanninnen seinem uielgeliebten ehegemal
526011,body,1,4,True,[3],Wie auch Dem Edlen/ Geſtrengen vnd Ehrenveſten Junckern Chriſtoff von Drandorff auff Boltzen vnd Werichaw/ ſampt ſeinen dreyen Soͤhnen vnnd Waiſen/ J. J. J. Hans Chriſtoff/ Melchior Arnd/ vnd Bernhard Heinrich/,wie auch dem edlen geſtrengen vnd ehrenveſten junckern chriſtoff von drandorff auff boltzen vnd werichaw ſampt ſeinen dreyen soͤhnen vnnd waiſen j j j hans chriſtoff melchior arnd vnd bernhard heinrich,wie auch dem edlen gestrengen und ehrenuesten iunckern christoff uon drandorff auff boltzen und werichaw sampt seinen dreyen sohnen unnd waisen i i i hans christoff melchior arnd und bernhard heinrich
526011,body,2,0,True,[3],Wuͤnſche ich Gottes milde Guͤt vnd Gnad/ vnd durch Chriſtum voͤlligen Troſt vnd ſeelige Geduldt im Heiligen Geiſt/ vnd ſonſt geſunden langen Lebens/ Leibes vnd Seelen heilſame Wolfart.,wuͤnſche ich gottes milde guͤt vnd gnad vnd durch chriſtum voͤlligen troſt vnd ſeelige geduldt im heiligen geiſt vnd ſonſt geſunden langen lebens leibes vnd seelen heilſame wolfart,wunsche ich gottes milde gut und gnad und durch christum uolligen trost und seelige geduldt im heiligen geist und sonst gesunden langen lebens leibes und seelen heilsame wolfart
526011,body,3,0,False,[4],E Edle/ Ehꝛentugentreiche Frawen/ auch Edle/ Geſtrenge/ Ehrenveſte Junckern/ Chriſtliche wolgeneigete Freundinnen vnd Freunde/ von den Elephanten ſchreiben die Naturkuͤndiger/ das/ wenn eins von Jaͤgern vnd die jhnen nachſtellen geengſtet wird vnd nohtleidet/ ſo kommen jhme die andern Elephanten alle zu huͤlffe/ vnd zu troſte/ ſtehen jhme bey/ verlaſſen es nicht.,e edle ehꝛentugentreiche frawen auch edle geſtrenge ehrenveſte junckern chriſtliche wolgeneigete freundinnen vnd freunde von den elephanten ſchreiben die naturkuͤndiger das wenn eins von jaͤgern vnd die jhnen nachſtellen geengſtet wird vnd nohtleidet ſo kommen jhme die andern elephanten alle zu huͤlffe vnd zu troſte ſtehen jhme bey verlaſſen es nicht,e edle ehentugentreiche frawen auch edle gestrenge ehrenueste iunckern christliche wolgeneigete freundinnen und freunde uon den elephanten schreiben die naturkundiger das wenn eins uon iagern und die ihnen nachstellen geengstet wird und nohtleidet so kommen ihme die andern elephanten alle zu hulffe und zu troste stehen ihme bey uerlassen es nicht
526011,body,3,1,False,[4],Wie viel mehr ſol ſolche Liebe bey vernuͤnfftigen Menſchen/ ja warenſeligen Chriſten ſich im Creutz vnd nothfall ereignen vnd beweiſen/ wann wir ſehen/ mercken vnd vernemen/ das es mennichen Chriſten/ aller Staͤnde Menſchen/ durch Creutz/ Anfechtung vnd Widerwertigkeit/ alſo ergehet/ das ſie mit dem Gottſeligen Koͤnige Ezechia muͤſſen ſagen vnnd ſchreyen/ Eſa. 38. Sihe vmb Troſt war oder iſt mir bange/ Demnach da ich verneme/ erkenne vnd weiß/ das wegen toͤdtlichen Abgangs/ der weiland Edlen/ Ehrentugendreichen Gottſeligen Frawen/ Fraw Magdalenen Armgard Kanninnen/ Ewrer hertzliebſten Tochter/ Schweſter/ Schwigerinnen/ ja viel geliebten hertzliebſten Ehegatten vnnd Mutter/ jhr mit einander Hertzlich vnnd Schmertzlich betruͤbt ſeid/ auch die Fraw Kanninne/ die alte liebe Fraw Mutter/ ſonderlich hoͤchlich bekuͤmmert/ das jhr ſo eine fromme liebe Tochter in jhrem hohen Alter/ gleich aus dem Hertzen geriſſen/ ſo hab ich mich ſchuͤldig erachtet in Chriſto/ nicht allein der ſeligen Frawen/ auff jhr Hertzliches begeren/ als meiner lieben Landsmannin vnd Chriſtlichen Liebhaberinnen/ wegen des Worts vnd ſeeliger Lehr Chriſti/ die Leichpredigt/ auff bewilligung des Herrn Pfarrers zur Colachaw/ in Chriſtlicher Einfalt zu verrichten/ Beſondern habe auch dieſelbe euch ſehr betruͤbten Hertzen/ wegen vnverſehenden toͤdlichen Abganges/ ewer liebſten Tochter/ Schweſter/ Schwigerinne/ ja lieben Ehegatten zu ſondern Troſt/ nachleſung vnd heilſamer Betrachtung/ zu erweckung ſeeliger Gedult/ auff Ewer begeren/ wie ich vernommen/ ferner in den Druck zu geben mich bereit willig erkant/ mit freundlichſter/ demuͤtigſter Bitte/ E. E. EE. EETT. wie auch EEEEE. EEEEE. GGGGG. vnd E. E. EE. E. wollen dieſe ſeliges Troſts arbeit vnd gethane Publicirte Leichpredigte Großguͤnſtig/ von mir Diener Jeſu Chriſti/ auff vnd annemen/ vnd durch Troſt des Heiligen Geiſtes deren zu beſtendiger Gedult vnd Hoffnung kuͤnfftigen ewigen Lebens/ jederzeit wol gebrauchen.,wie viel mehr ſol ſolche liebe bey vernuͤnfftigen menſchen ja warenſeligen chriſten ſich im creutz vnd nothfall ereignen vnd beweiſen wann wir ſehen mercken vnd vernemen das es mennichen chriſten aller staͤnde menſchen durch creutz anfechtung vnd widerwertigkeit alſo ergehet das ſie mit dem gottſeligen koͤnige ezechia muͤſſen ſagen vnnd ſchreyen eſa sihe vmb troſt war oder iſt mir bange demnach da ich verneme erkenne vnd weiß das wegen toͤdtlichen abgangs der weiland edlen ehrentugendreichen gottſeligen frawen fraw magdalenen armgard kanninnen ewrer hertzliebſten tochter schweſter schwigerinnen ja viel geliebten hertzliebſten ehegatten vnnd mutter jhr mit einander hertzlich vnnd schmertzlich betruͤbt ſeid auch die fraw kanninne die alte liebe fraw mutter ſonderlich hoͤchlich bekuͤmmert das jhr ſo eine fromme liebe tochter in jhrem hohen alter gleich aus dem hertzen geriſſen ſo hab ich mich ſchuͤldig erachtet in chriſto nicht allein der ſeligen frawen auff jhr hertzliches begeren als meiner lieben landsmannin vnd chriſtlichen liebhaberinnen wegen des worts vnd ſeeliger lehr chriſti die leichpredigt auff bewilligung des herrn pfarrers zur colachaw in chriſtlicher einfalt zu verrichten beſondern habe auch dieſelbe euch ſehr betruͤbten hertzen wegen vnverſehenden toͤdlichen abganges ewer liebſten tochter schweſter schwigerinne ja lieben ehegatten zu ſondern troſt nachleſung vnd heilſamer betrachtung zu erweckung ſeeliger gedult auff ewer begeren wie ich vernommen ferner in den druck zu geben mich bereit willig erkant mit freundlichſter demuͤtigſter bitte e e ee eett wie auch eeeee eeeee ggggg vnd e e ee e wollen dieſe ſeliges troſts arbeit vnd gethane publicirte leichpredigte großguͤnſtig von mir diener jeſu chriſti auff vnd annemen vnd durch troſt des heiligen geiſtes deren zu beſtendiger gedult vnd hoffnung kuͤnfftigen ewigen lebens jederzeit wol gebrauchen,wie uiel mehr sol solche liebe bey uernunfftigen menschen ia warenseligen christen sich im creutz und nothfall ereignen und beweisen wann wir sehen mercken und uernemen das es mennichen christen aller stande menschen durch creutz anfechtung und widerwertigkeit also ergehet das sie mit dem gottseligen konige ezechia mussen sagen unnd schreyen esa sihe umb trost war oder ist mir bange demnach da ich uerneme erkenne und weiss das wegen todtlichen abgangs der weiland edlen ehrentugendreichen gottseligen frawen fraw magdalenen armgard kanninnen ewrer hertzliebsten tochter schwester schwigerinnen ia uiel geliebten hertzliebsten ehegatten unnd mutter ihr mit einander hertzlich unnd schmertzlich betrubt seid auch die fraw kanninne die alte liebe fraw mutter sonderlich hochlich bekummert das ihr so eine fromme liebe tochter in ihrem hohen alter gleich aus dem hertzen gerissen so hab ich mich schuldig erachtet in christo nicht allein der seligen frawen auff ihr hertzliches begeren als meiner lieben landsmannin und christlichen liebhaberinnen wegen des worts und seeliger lehr christi die leichpredigt auff bewilligung des herrn pfarrers zur colachaw in christlicher einfalt zu uerrichten besondern habe auch dieselbe euch sehr betrubten hertzen wegen unuersehenden todlichen abganges ewer liebsten tochter schwester schwigerinne ia lieben ehegatten zu sondern trost nachlesung und heilsamer betrachtung zu erweckung seeliger gedult auff ewer begeren wie ich uernommen ferner in den druck zu geben mich bereit willig erkant mit freundlichster demutigster bitte e e ee eett wie auch eeeee eeeee ggggg und e e ee e wollen diese seliges trosts arbeit und gethane publicirte leichpredigte grossgunstig uon mir diener iesu christi auff und annemen und durch trost des heiligen geistes deren zu bestendiger gedult und hoffnung kunfftigen ewigen lebens iederzeit wol gebrauchen
526011,body,3,2,False,[6],Mit meinem Gebet vnd Vater vnſer/ wil ich ſolchen wolmeinenden Troſt/ vnd Chriſtliche liebe Dienſte ferner vnd taͤglich zu mehren/ in Chriſto nichts vnterlaſſen.,mit meinem gebet vnd vater vnſer wil ich ſolchen wolmeinenden troſt vnd chriſtliche liebe dienſte ferner vnd taͤglich zu mehren in chriſto nichts vnterlaſſen,mit meinem gebet und uater unser wil ich solchen wolmeinenden trost und christliche liebe dienste ferner und taglich zu mehren in christo nichts unterlassen
