doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
510585,body,0,0,True,[1],"Ehren-Kroͤnlin Jungfꝛaͤulicher Heꝛtzen. Zum Ehrengedaͤchtnuß/ Vber dem toͤdtlichen ableiben/ Der weilandt Erbaren vnd Tugendtreichen Jungfrawen MARIÆ, Des Ehrenveſten/ Wolgeachten vnd Weiſen-Herrn Fabiani Ludowigs/ Buͤrgers vnd Wolverordneten StadtSchoͤppens in Groß Glogaw/ Hertzgeliebten Einigen Tochter. Welche am 11. tage Septembris/ inſtehenden 1613. Jahres/ in wahrem Erkaͤndtniß vnd Bekaͤndtniß jhres Heylandes vnd Erloͤſers CHRiſti JEſu/ zum Guhr/ ſanfft vnd Selig entſchlaffen/ Vnd den 13. hernach Chriſtlichen zur Erden beſtattet worden. Betrachtet auß Gottes Wort/ in der Pfarr Kirchen daſelbſt/ in groſſer Volckreicher Verſamlung/ Von M. MARTINO ETNERO, GURAN. SIL. Dienern am Worte JEſu daſelbſten. Anno In ManV DIVIna Corona. Von Der HanD Vnſers Gottes habẽ wIr DIe reCht feIne Kꝛone. Gedruckt zu Groß Glogaw/ durch Joach. Funck.",ehrenkroͤnlin jungfꝛaͤulicher heꝛtzen zum ehrengedaͤchtnuß vber dem toͤdtlichen ableiben der weilandt erbaren vnd tugendtreichen jungfrawen mariæ des ehrenveſten wolgeachten vnd weiſenherrn fabiani ludowigs buͤrgers vnd wolverordneten stadtschoͤppens in groß glogaw hertzgeliebten einigen tochter welche am tage septembris inſtehenden jahres in wahrem erkaͤndtniß vnd bekaͤndtniß jhres heylandes vnd erloͤſers chriſti jeſu zum guhr ſanfft vnd selig entſchlaffen vnd den hernach chriſtlichen zur erden beſtattet worden betrachtet auß gottes wort in der pfarr kirchen daſelbſt in groſſer volckreicher verſamlung von m martino etnero guran sil dienern am worte jeſu daſelbſten anno in manv divina corona von der hand vnſers gottes habẽ wir die recht feine kꝛone gedruckt zu groß glogaw durch joach funck,ehrenkronlin iungfaulicher hetzen zum ehrengedachtnuss uber dem todtlichen ableiben der weilandt erbaren und tugendtreichen iungfrawen mariae des ehrenuesten wolgeachten und weisenherrn fabiani ludowigs burgers und woluerordneten stadtschoppens in gross glogaw hertzgeliebten einigen tochter welche am tage septembris instehenden iahres in wahrem erkandtniss und bekandtniss ihres heylandes und erlosers christi iesu zum guhr sanfft und selig entschlaffen und den hernach christlichen zur erden bestattet worden betrachtet auss gottes wort in der pfarr kirchen daselbst in grosser uolckreicher uersamlung uon m martino etnero guran sil dienern am worte iesu daselbsten anno in manu diuina corona uon der hand unsers gottes haben wir die recht feine kone gedruckt zu gross glogaw durch ioach funck
510585,body,1,0,True,[2],"JUDICIUM VERITATIS, de morte filiæ Jairi, Matth. 9.",judicium veritatis de morte filiæ jairi matth,iudicium ueritatis de morte filiae iairi matth
510585,head,2,0,True,1,Eingang.,eingang,eingang
510585,body,3,0,True,1,DEr GOTT alles Troſtes/ Der allein kraͤfftiglich troͤſten kan in aller Betruͤbniß/ Der verleihe vns allen ſeinen Gnaden vnd TroſtGeiſt/ Damit wir vns des Troſtes ſeines Goͤttlichen Worttes nuͤtzlichen erjnnern moͤchten/ AMEN.,der gott alles troſtes der allein kraͤfftiglich troͤſten kan in aller betruͤbniß der verleihe vns allen ſeinen gnaden vnd troſtgeiſt damit wir vns des troſtes ſeines goͤttlichen worttes nuͤtzlichen erjnnern moͤchten amen,der gott alles trostes der allein krafftiglich trosten kan in aller betrubniss der uerleihe uns allen seinen gnaden und trostgeist damit wir uns des trostes seines gottlichen worttes nutzlichen erinnern mochten amen
510585,body,4,0,False,1,ANdaͤchtige/ Geliebete in CHRiſto JEſu/ Vnſer Hertze iſt betruͤbet/ vnd vnſer Augen ſind finſter worden/ klaget die betruͤbete Chriſtliche Gemeine altes Teſtaments/ in KlagLiedern Jeremiæ/ am 5. Cap. Welche betruͤbete JammerKlage/ Jhr/ meine Geliebten/ wir alleſampt/ in dieſen boͤſen betruͤbten Zeitten/ wol widerholen koͤnnen/ Da vieler frommer Chriſten Hertzen/ vber der ZornRutten/ ſo vns die Goͤttliche Majeſtat nur von ferne ein wenig weiſet/ hertzlich betruͤbet/ vnd gleichſam gar beſtuͤrtzet ſind.,andaͤchtige geliebete in chriſto jeſu vnſer hertze iſt betruͤbet vnd vnſer augen ſind finſter worden klaget die betruͤbete chriſtliche gemeine altes teſtaments in klagliedern jeremiæ am cap welche betruͤbete jammerklage jhr meine geliebten wir alleſampt in dieſen boͤſen betruͤbten zeitten wol widerholen koͤnnen da vieler frommer chriſten hertzen vber der zornrutten ſo vns die goͤttliche majeſtat nur von ferne ein wenig weiſet hertzlich betruͤbet vnd gleichſam gar beſtuͤrtzet ſind,andachtige geliebete in christo iesu unser hertze ist betrubet und unser augen sind finster worden klaget die betrubete christliche gemeine altes testaments in klagliedern ieremiae am cap welche betrubete iammerklage ihr meine geliebten wir allesampt in diesen bosen betrubten zeitten wol widerholen konnen da uieler frommer christen hertzen uber der zornrutten so uns die gottliche maiestat nur uon ferne ein wenig weiset hertzlich betrubet und gleichsam gar besturtzet sind
510585,body,4,1,True,2,Jnſonderheit aber werden zweifels ohne die hochbetruͤbten Eltern dieſer Seligen Jungfrawen/ derer Leichbegaͤngniß wir jtzo halten/ in Jhrem groſſen Hauß vnd Hertzens Creutze/ Damit ſie GOTT/ nach ſeinem VaterRath heimſuchet/ offt erſeufftzen/ ſagen vnd klagen:,jnſonderheit aber werden zweifels ohne die hochbetruͤbten eltern dieſer seligen jungfrawen derer leichbegaͤngniß wir jtzo halten in jhrem groſſen hauß vnd hertzens creutze damit ſie gott nach ſeinem vaterrath heimſuchet offt erſeufftzen ſagen vnd klagen,insonderheit aber werden zweifels ohne die hochbetrubten eltern dieser seligen iungfrawen derer leichbegangniss wir itzo halten in ihrem grossen hauss und hertzens creutze damit sie gott nach seinem uaterrath heimsuchet offt erseufftzen sagen und klagen
510585,body,5,0,False,2,Denn/ ſolte Jhr zartes Vater vnd Mutter Hertze nicht hoͤchlich betruͤbet ſein/ da GOtt ein vornehmes Stuͤcke von demſelben/ Jhre Hertzliebſte/ Einige Tochter/ durch den zeitlichen Todt hinweg geriſſen?,denn ſolte jhr zartes vater vnd mutter hertze nicht hoͤchlich betruͤbet ſein da gott ein vornehmes stuͤcke von demſelben jhre hertzliebſte einige tochter durch den zeitlichen todt hinweg geriſſen,denn solte ihr zartes uater und mutter hertze nicht hochlich betrubet sein da gott ein uornehmes stucke uon demselben ihre hertzliebste einige tochter durch den zeitlichen todt hinweg gerissen
510585,body,5,1,False,2,Solten Jhre Augen nicht finſter werden/ Sintemal das Vater vnd Mutter Hertze das Waſſer auß den Augen Hauffen weiſe vber die Backen heruͤber jaget?,solten jhre augen nicht finſter werden sintemal das vater vnd mutter hertze das waſſer auß den augen hauffen weiſe vber die backen heruͤber jaget,solten ihre augen nicht finster werden sintemal das uater und mutter hertze das wasser auss den augen hauffen weise uber die backen heruber iaget
510585,body,5,2,True,2,Vnd zwar ſolches Jhr Hauß vnnd Hertzens Leidt/ wird/ ohne zweiffel/ dardurch vermehret/ daß ſie/ auß Schuldt der Zeit/ ſelbſten bey dem Leichbegaͤngniß Jhres lieben Kindes nicht koͤnnen gegenwertig ſein/ vnd anhoͤren den Troſt/ deſſen wir vns jtzo auß Goͤttlichem Worte erjnnern wollen.,vnd zwar ſolches jhr hauß vnnd hertzens leidt wird ohne zweiffel dardurch vermehret daß ſie auß schuldt der zeit ſelbſten bey dem leichbegaͤngniß jhres lieben kindes nicht koͤnnen gegenwertig ſein vnd anhoͤren den troſt deſſen wir vns jtzo auß goͤttlichem worte erjnnern wollen,und zwar solches ihr hauss unnd hertzens leidt wird ohne zweiffel dardurch uermehret dass sie auss schuldt der zeit selbsten bey dem leichbegangniss ihres lieben kindes nicht konnen gegenwertig sein und anhoren den trost dessen wir uns itzo auss gottlichem worte erinnern wollen
510585,body,6,0,False,3,Das ſie alſo ſeufftzen vnd wehklagen/ kan Jhnen kein Chriſtliches Hertz vor uͤbel halten/ Denn es nicht wider GOttes Wort iſt.,das ſie alſo ſeufftzen vnd wehklagen kan jhnen kein chriſtliches hertz vor uͤbel halten denn es nicht wider gottes wort iſt,das sie also seufftzen und wehklagen kan ihnen kein christliches hertz uor ubel halten denn es nicht wider gottes wort ist
