doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
holtzmann_leichpredigt_1613,body,0,0,True,1,"In nomine IESV CHRISTI nostri Emanuelis AMEN. Leich: vnd Leydtpredigt/ Aus dem schönen Gleichnüß Christi/ Luce am 13. Vom Feigenbaum/etc. Dem Weyland Hochwürdigen/Durchleuchtigen vnd Hochgebornen Fürsten vnd Herrn/ Herrn HENRICO IVLIO, Postulirten Bischoffen deß Stiffts Halberstadt/ vnd Hertzogen zu Braunschweig vnd Lüneburg / etc. So nach Gottes wunderbarlichem Rath vnd Verhengnüß zu Prag den 20. Julij zwischen 8. vnd 9. Vhren / gegen Abend seliglich im HErrn Christo entschlaffen / zu Christlichem Ehren gedächtnüß / in hochschüldiger Vnterthenigkeit zu Hauß Grüningen den 6. Sept. dieses lauffenden 1613. Jahrs / als S. F. G. Leichnamb in der Bischofflichen Schloß Kirchen daselbst auff zwo Nachtruhe nidergesetzet worden. Gehalten durch Georgium Holtzman / verordneten Pfarherrn deß Orts. Magdeburg / gedruckt bey Wilhelm Roß / Anno. HenrICVs IVLIVs EpIsCopVs HaLberstaDensIs, DVX BrVnsVI Censls aC LVnaebVrgensIs.",in nomine iesv christi nostri emanuelis amen leich vnd leydtpredigt aus dem schönen gleichnüß christi luce am vom feigenbaum etc dem weyland hochwürdigen durchleuchtigen vnd hochgebornen fürsten vnd herrn herrn henrico ivlio postulirten bischoffen deß stiffts halberstadt vnd hertzogen zu braunschweig vnd lüneburg etc so nach gottes wunderbarlichem rath vnd verhengnüß zu prag den julij zwischen vnd vhren gegen abend seliglich im herrn christo entschlaffen zu christlichem ehren gedächtnüß in hochschüldiger vnterthenigkeit zu hauß grüningen den sept dieses lauffenden jahrs als s f g leichnamb in der bischofflichen schloß kirchen daselbst auff zwo nachtruhe nidergesetzet worden gehalten durch georgium holtzman verordneten pfarherrn deß orts magdeburg gedruckt bey wilhelm roß anno henricvs ivlivs episcopvs halberstadensis dvx brvnsvi censls ac lvnaebvrgensis,in nomine iesu christi nostri emanuelis amen leich und leydtpredigt aus dem schonen gleichnuss christi luce am uom feigenbaum etc dem weyland hochwurdigen durchleuchtigen und hochgebornen fursten und herrn herrn henrico iulio postulirten bischoffen dess stiffts halberstadt und hertzogen zu braunschweig und luneburg etc so nach gottes wunderbarlichem rath und uerhengnuss zu prag den iulii zwischen und uhren gegen abend seliglich im herrn christo entschlaffen zu christlichem ehren gedachtnuss in hochschuldiger unterthenigkeit zu hauss gruningen den sept dieses lauffenden iahrs als s f g leichnamb in der bischofflichen schloss kirchen daselbst auff zwo nachtruhe nidergesetzet worden gehalten durch georgium holtzman uerordneten pfarherrn dess orts magdeburg gedruckt bey wilhelm ross anno henricus iulius episcopus halberstadensis dux brunsui censls ac lunaeburgensis
holtzmann_leichpredigt_1613,body,1,0,False,3,"Der Durchleuchtigen / Hochgebornen Fürstin vnd Frawen / Frawen ELISABETH, Geborner aus Königlichem Stamm Dennemarck / Hertzogin zu Braunschweig vnd Lüneburg / etc.",der durchleuchtigen hochgebornen fürstin vnd frawen frawen elisabeth geborner aus königlichem stamm dennemarck hertzogin zu braunschweig vnd lüneburg etc,der durchleuchtigen hochgebornen furstin und frawen frawen elisabeth geborner aus koniglichem stamm dennemarck hertzogin zu braunschweig und luneburg etc
holtzmann_leichpredigt_1613,body,1,1,True,3,Itzo Hochbetrübten Wittwen / Meiner gnedigen Fürstin vnd Frawen / etc.,itzo hochbetrübten wittwen meiner gnedigen fürstin vnd frawen etc,itzo hochbetrubten wittwen meiner gnedigen furstin und frawen etc
holtzmann_leichpredigt_1613,body,2,0,False,3,"So wol auch Dem Durchleuchtigen / Hochgebornen Fürsten vnd Herrn / Herrn FRIDERICH VLRICHEN, Hertzogen zu Braunschweig vnd Lüneburg / etc.",so wol auch dem durchleuchtigen hochgebornen fürsten vnd herrn herrn friderich vlrichen hertzogen zu braunschweig vnd lüneburg etc,so wol auch dem durchleuchtigen hochgebornen fursten und herrn herrn friderich ulrichen hertzogen zu braunschweig und luneburg etc
holtzmann_leichpredigt_1613,body,2,1,True,3,Meinem gnedigen Fürsten vnd Herrn / etc.,meinem gnedigen fürsten vnd herrn etc,meinem gnedigen fursten und herrn etc
holtzmann_leichpredigt_1613,body,3,0,True,3,Gnade vnnd Friede / Trost vnd Segen / von Gott dem himlischen Vater / vmb JEsu Christi seines lieben Sohns / vnsers Heylandes willen / durch selige Regierung deß heyligen Geistes / sampt meinem inbrünstigen demütigen Gebet / vnd gehorsamen müglichen Diensten zuvor:,gnade vnnd friede trost vnd segen von gott dem himlischen vater vmb jesu christi seines lieben sohns vnsers heylandes willen durch selige regierung deß heyligen geistes sampt meinem inbrünstigen demütigen gebet vnd gehorsamen müglichen diensten zuvor,gnade unnd friede trost und segen uon gott dem himlischen uater umb iesu christi seines lieben sohns unsers heylandes willen durch selige regierung dess heyligen geistes sampt meinem inbrunstigen demutigen gebet und gehorsamen muglichen diensten zuuor
holtzmann_leichpredigt_1613,body,4,0,False,3,DVrchleuchtige / Hochgeborne gnedige Fürstin vnnd Fraw / wie auch gnediger Fürst vnnd HErr / Gleich wie die Hochbekümmerte / Sorgfeltige Martha / als jhr lieber Bruder Lazarus gestorben war / in diese Gedancken gerieth / vnd zum HERRN Christo sprach: HERre werestu hie gewesen / mein Bruder wehr nicht gestorben.,dvrchleuchtige hochgeborne gnedige fürstin vnnd fraw wie auch gnediger fürst vnnd herr gleich wie die hochbekümmerte sorgfeltige martha als jhr lieber bruder lazarus gestorben war in diese gedancken gerieth vnd zum herrn christo sprach herre werestu hie gewesen mein bruder wehr nicht gestorben,durchleuchtige hochgeborne gnedige furstin unnd fraw wie auch gnediger furst unnd herr gleich wie die hochbekummerte sorgfeltige martha als ihr lieber bruder lazarus gestorben war in diese gedancken gerieth und zum herrn christo sprach herre werestu hie gewesen mein bruder wehr nicht gestorben
holtzmann_leichpredigt_1613,body,4,1,False,4,Also möchten sich E. E. F. F. G. G. vnd viel andere fromme Christliche Leute / etwan auch diese trawerige Gedancken machen / vnd vielleicht / wo nicht offentlich mit dem Munde / doch heimlich bey sich im Hertzen sprechen: Wehre vnser Hertzlieber Herr Gemahl / frommer Vater vnd Landeßfürst nicht zu dem leidigen Praag / sondern allhie bey Land vnnd Leuten vnnd bey den jhrigen geblieben vnd gewesen / so wehre Er nicht gestorben.,also möchten sich e e f f g g vnd viel andere fromme christliche leute etwan auch diese trawerige gedancken machen vnd vielleicht wo nicht offentlich mit dem munde doch heimlich bey sich im hertzen sprechen wehre vnser hertzlieber herr gemahl frommer vater vnd landeßfürst nicht zu dem leidigen praag sondern allhie bey land vnnd leuten vnnd bey den jhrigen geblieben vnd gewesen so wehre er nicht gestorben,also mochten sich e e f f g g und uiel andere fromme christliche leute etwan auch diese trawerige gedancken machen und uielleicht wo nicht offentlich mit dem munde doch heimlich bey sich im hertzen sprechen wehre unser hertzlieber herr gemahl frommer uater und landessfurst nicht zu dem leidigen praag sondern allhie bey land unnd leuten unnd bey den ihrigen geblieben und gewesen so wehre er nicht gestorben
holtzmann_leichpredigt_1613,body,4,2,False,4,Dieses sind zwar Menschliche vnd Fleischliche Gedancken / vnd haben jhre scheinbahre Evidents vnnd beypflichtende Vrsachen für der Vernunfft.,dieses sind zwar menschliche vnd fleischliche gedancken vnd haben jhre scheinbahre evidents vnnd beypflichtende vrsachen für der vernunfft,dieses sind zwar menschliche und fleischliche gedancken und haben ihre scheinbahre euidents unnd beypflichtende ursachen fur der uernunfft
holtzmann_leichpredigt_1613,body,4,3,False,4,Aber wie dem allen / wenn wir bedencken was Syrach sagt: Es kömpt alles von GOTT / Glück vnd Vnglück / Leben vnd Todt / Armuth vnnd Reichthumb / so bleibets billich vnnd gewiß bey dem Göttlichen Enunciato vnd Außspruch deß Heiligen Geistes: Der Mensch vom Weibe geborn / lebt eine kurtze Zeit / vnd ist voll vnruhe / Gehet auff wie eine Blume / vnnd fellet abe / Fleucht wie ein Schatte / vnd bleibt nicht etc.,aber wie dem allen wenn wir bedencken was syrach sagt es kömpt alles von gott glück vnd vnglück leben vnd todt armuth vnnd reichthumb so bleibets billich vnnd gewiß bey dem göttlichen enunciato vnd außspruch deß heiligen geistes der mensch vom weibe geborn lebt eine kurtze zeit vnd ist voll vnruhe gehet auff wie eine blume vnnd fellet abe fleucht wie ein schatte vnd bleibt nicht etc,aber wie dem allen wenn wir bedencken was syrach sagt es kompt alles uon gott gluck und ungluck leben und todt armuth unnd reichthumb so bleibets billich unnd gewiss bey dem gottlichen enunciato und aussspruch dess heiligen geistes der mensch uom weibe geborn lebt eine kurtze zeit und ist uoll unruhe gehet auff wie eine blume unnd fellet abe fleucht wie ein schatte und bleibt nicht etc
