doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
holwein_beschreibung_1613,body,0,0,True,1,Beschreibung der Verordnung / Wie es mit Weilandt des Hoch-würdigen Durchleuchtigen Hochgebornen Fürsten vnd Herrn/ Herrn Heinrich Julij/ Postulirten Bischoffen des Stiffts Halberstadt/vnd Hertzogen zu Braunschweigt vnd Lüneburgk/etc. Hochlöblicher vnd Christmil der Gedechtniß/ Fürstlichen Begrebniß / den 4. Octobris / Anno 1613.zu Wulffenbüttel gehalten worden/vntertheuigst verfertigt. So bin ich auch den gantzen Proceß des Weylandt hochgemelten J. F. G. Begrebniß Persönlich in Holtz außfürlichen zuschneiden vorhabens / welcher dann bey mir Elias Holwein/ Formschneider zu Wulffenbüttel/ auff der F. Damvestung wonhafftig in der Löwenkulen/ auff die negst bevohrstehende Ostern oder Pfingsten zubekommen sein sol.,beschreibung der verordnung wie es mit weilandt des hochwürdigen durchleuchtigen hochgebornen fürsten vnd herrn herrn heinrich julij postulirten bischoffen des stiffts halberstadt vnd hertzogen zu braunschweigt vnd lüneburgk etc hochlöblicher vnd christmil der gedechtniß fürstlichen begrebniß den octobris anno zu wulffenbüttel gehalten worden vntertheuigst verfertigt so bin ich auch den gantzen proceß des weylandt hochgemelten j f g begrebniß persönlich in holtz außfürlichen zuschneiden vorhabens welcher dann bey mir elias holwein formschneider zu wulffenbüttel auff der f damvestung wonhafftig in der löwenkulen auff die negst bevohrstehende ostern oder pfingsten zubekommen sein sol,beschreibung der uerordnung wie es mit weilandt des hochwurdigen durchleuchtigen hochgebornen fursten und herrn herrn heinrich iulii postulirten bischoffen des stiffts halberstadt und hertzogen zu braunschweigt und luneburgk etc hochloblicher und christmil der gedechtniss furstlichen begrebniss den octobris anno zu wulffenbuttel gehalten worden untertheuigst uerfertigt so bin ich auch den gantzen process des weylandt hochgemelten i f g begrebniss personlich in holtz aussfurlichen zuschneiden uorhabens welcher dann bey mir elias holwein formschneider zu wulffenbuttel auff der f damuestung wonhafftig in der lowenkulen auff die negst beuohrstehende ostern oder pfingsten zubekommen sein sol
holwein_beschreibung_1613,body,1,0,True,2,Bildniß Henrici Julij p. m.,bildniß henrici julij p m,bildniss henrici iulii p m
holwein_beschreibung_1613,body,2,0,True,2,ERstlich sol man auff bemelten Tag / Morgens vmb sechs Vhr / das leuten zugleich in der Schloß vnnd Heinrichstadt Kirchen / auch mit den newen auffgehangten Glocken anfangen / vnd nicht ehe / biß der Hoffprediger Basilius Satler / der heiligen Schrifft Doctor / in der Heinrichstedter Kirchen / dahin die Leiche gebracht werden sol / zum predigen auffgestiegen / auffgehöret / vnd nach gehaltener Leichpredigt vnd Gebet widerumb biß die Fürsten vnd Herrn / vnd andere Personen ins Schloß kommen / gleutet werden / etc.,erstlich sol man auff bemelten tag morgens vmb sechs vhr das leuten zugleich in der schloß vnnd heinrichstadt kirchen auch mit den newen auffgehangten glocken anfangen vnd nicht ehe biß der hoffprediger basilius satler der heiligen schrifft doctor in der heinrichstedter kirchen dahin die leiche gebracht werden sol zum predigen auffgestiegen auffgehöret vnd nach gehaltener leichpredigt vnd gebet widerumb biß die fürsten vnd herrn vnd andere personen ins schloß kommen gleutet werden etc,erstlich sol man auff bemelten tag morgens umb sechs uhr das leuten zugleich in der schloss unnd heinrichstadt kirchen auch mit den newen auffgehangten glocken anfangen und nicht ehe biss der hoffprediger basilius satler der heiligen schrifft doctor in der heinrichstedter kirchen dahin die leiche gebracht werden sol zum predigen auffgestiegen auffgehoret und nach gehaltener leichpredigt und gebet widerumb biss die fursten und herrn und andere personen ins schloss kommen gleutet werden etc
holwein_beschreibung_1613,body,3,0,True,2,Ordnung an was Orten die Fürstliche vnd Gräffliche Personen / auch Chur vnd Fürstliche Gesandten / Praelaten / vom Adel / Rähte / Professorn vnd andere gemeine Diener zusammen kommen vnd auffwarten sollen. etc.,ordnung an was orten die fürstliche vnd gräffliche personen auch chur vnd fürstliche gesandten praelaten vom adel rähte professorn vnd andere gemeine diener zusammen kommen vnd auffwarten sollen etc,ordnung an was orten die furstliche und graffliche personen auch chur und furstliche gesandten praelaten uom adel rahte professorn und andere gemeine diener zusammen kommen und auffwarten sollen etc
holwein_beschreibung_1613,body,4,0,False,2,WAnn das leuten / wie gesetzt / angefangen / sollen die Fürstin / Gräfin / Frewlein vnd Adeliche Frawen in der Fürstl.,wann das leuten wie gesetzt angefangen sollen die fürstin gräfin frewlein vnd adeliche frawen in der fürstl,wann das leuten wie gesetzt angefangen sollen die furstin grafin frewlein und adeliche frawen in der furstl
holwein_beschreibung_1613,body,4,1,False,2,Witwen Gemach / vnd auff dem Gange vor dem Frawenzimmer auffm Schloß zusammen kommen / Die Chur vnd Fürstl.,witwen gemach vnd auff dem gange vor dem frawenzimmer auffm schloß zusammen kommen die chur vnd fürstl,witwen gemach und auff dem gange uor dem frawenzimmer auffm schloss zusammen kommen die chur und furstl
holwein_beschreibung_1613,body,4,2,True,2,Gesandten aber sollen jre Versamlung auff der Bergkstuben auffm Schlosse haben / etc.,gesandten aber sollen jre versamlung auff der bergkstuben auffm schlosse haben etc,gesandten aber sollen ire uersamlung auff der bergkstuben auffm schlosse haben etc
holwein_beschreibung_1613,body,5,0,False,2,Die Grafen vnd Herrn / so die Fürstl.,die grafen vnd herrn so die fürstl,die grafen und herrn so die furstl
holwein_beschreibung_1613,body,5,1,True,2,Leiche tragen helffen / sollen im Schloßplatz für der Kirchen auffwarten / er.,leiche tragen helffen sollen im schloßplatz für der kirchen auffwarten er,leiche tragen helffen sollen im schlossplatz fur der kirchen auffwarten er
holwein_beschreibung_1613,body,6,0,False,2,Die zwölff vom Adel / so neben den Grafen vnd Herrn die Fürl.,die zwölff vom adel so neben den grafen vnd herrn die fürl,die zwolff uom adel so neben den grafen und herrn die furl
holwein_beschreibung_1613,body,6,1,True,2,Leiche wechsels weiß tragen helffen / auch die andere zwölff vom Adel / so schwartze brennende Fackeln neben der Leiche her tragen / sollen in der Schloß Capel zusammen kommen / er.,leiche wechsels weiß tragen helffen auch die andere zwölff vom adel so schwartze brennende fackeln neben der leiche her tragen sollen in der schloß capel zusammen kommen er,leiche wechsels weiss tragen helffen auch die andere zwolff uom adel so schwartze brennende fackeln neben der leiche her tragen sollen in der schloss capel zusammen kommen er
holwein_beschreibung_1613,body,7,0,False,4,Die Fürstl.,die fürstl,die furstl
holwein_beschreibung_1613,body,7,1,False,4,Cantzeley Rähte / so der Fürst.,cantzeley rähte so der fürst,cantzeley rahte so der furst
holwein_beschreibung_1613,body,7,2,True,4,Leich folgen vorm Marstall / etc.,leich folgen vorm marstall etc,leich folgen uorm marstall etc
holwein_beschreibung_1613,body,8,0,True,4,Der Frömbden Fürsten vnd Herrn / Graffen / auch die Braunschweigischen / Wulffenbüttelschen vnd Calenbergischen / Theils Hoffjunckern vnd Landsassen / so nicht zu dienst bestellet / sampt den andern Br. vnd frömder H. Rähten vnd Dienern / so vor der Leich hergehen / sollen vff der Rennebahn hinter dem Schloß jhre Versamlung haben / etc.,der frömbden fürsten vnd herrn graffen auch die braunschweigischen wulffenbüttelschen vnd calenbergischen theils hoffjunckern vnd landsassen so nicht zu dienst bestellet sampt den andern br vnd frömder h rähten vnd dienern so vor der leich hergehen sollen vff der rennebahn hinter dem schloß jhre versamlung haben etc,der frombden fursten und herrn graffen auch die braunschweigischen wulffenbuttelschen und calenbergischen theils hoffiunckern und landsassen so nicht zu dienst bestellet sampt den andern br und fromder h rahten und dienern so uor der leich hergehen sollen uff der rennebahn hinter dem schloss ihre uersamlung haben etc
holwein_beschreibung_1613,body,9,0,True,4,"Die Rähte vnd Secretarien, auch andere Weiber sollen im Schloß auff dem vntersten Gange auffwarten / etc.",die rähte vnd secretarien auch andere weiber sollen im schloß auff dem vntersten gange auffwarten etc,die rahte und secretarien auch andere weiber sollen im schloss auff dem untersten gange auffwarten etc
