doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kale_leichpredigt_1613,head,0,0,True,1,Eine Chriſtliche Leichpredigt/ Am tage der Begrebniß / des weylandt Hochwirdigen / Durchleuchtigen / Hochgebornen Fürſten vnd Herrn / Herrn Heinrichen Julij / Poſtulierten Biſchoff zu Halberſtadt/vnd Hertzogen zu Braunſchweig vnd Lüneburg / ꝛc. Welcher in der Königlichen alten Heuptſtadt Prage Anno 1613. am 20. Julij/zwey vierthel vff 9. gegen abend/bey guter vernunfft vnd in wahrem ſtandhafftigem Glauben an Jeſum Chriſtum/ ſelig entſchlaffen. Gehalten in Fürſtlicher freyer Bergkſtadt Wildeman / am 4. Octobris oben gedachtes Jahrs/ Durch Jacobum Kalenium/ Predigern daſelbſt. Gedruckt zu Goßlar/bey Johann Vogt/ Im Jahr 1613.,eine chriſtliche leichpredigt am tage der begrebniß des weylandt hochwirdigen durchleuchtigen hochgebornen fürſten vnd herrn herrn heinrichen julij poſtulierten biſchoff zu halberſtadt vnd hertzogen zu braunſchweig vnd lüneburg ꝛc welcher in der königlichen alten heuptſtadt prage anno am julij zwey vierthel vff gegen abend bey guter vernunfft vnd in wahrem ſtandhafftigem glauben an jeſum chriſtum ſelig entſchlaffen gehalten in fürſtlicher freyer bergkſtadt wildeman am octobris oben gedachtes jahrs durch jacobum kalenium predigern daſelbſt gedruckt zu goßlar bey johann vogt im jahr,eine christliche leichpredigt am tage der begrebniss des weylandt hochwirdigen durchleuchtigen hochgebornen fursten und herrn herrn heinrichen iulii postulierten bischoff zu halberstadt und hertzogen zu braunschweig und luneburg c welcher in der koniglichen alten heuptstadt prage anno am iulii zwey uierthel uff gegen abend bey guter uernunfft und in wahrem standhafftigem glauben an iesum christum selig entschlaffen gehalten in furstlicher freyer bergkstadt wildeman am octobris oben gedachtes iahrs durch iacobum kalenium predigern daselbst gedruckt zu gosslar bey iohann uogt im iahr
kale_leichpredigt_1613,head,1,0,True,2,"CARMEN FUNEBRE, IN Praematurum & insperatum quidem nihilominus tamen beatum, immò beatißimum obitum Reuerendissimi nec non Illustrissimi principis Domini HEN RICI JULII, (piae memoriae) postulati Episcopi Halbersta densis, Ducis Brunsuicensis ac Lunaeburgensis, compositum à lacobo Kalenio, verbi divini ministro Ecclesiae Wildemannensis.",carmen funebre in praematurum & insperatum quidem nihilominus tamen beatum immò beatißimum obitum reuerendissimi nec non illustrissimi principis domini hen rici julii piae memoriae postulati episcopi halbersta densis ducis brunsuicensis ac lunaeburgensis compositum à lacobo kalenio verbi divini ministro ecclesiae wildemannensis,carmen funebre in praematurum et insperatum quidem nihilominus tamen beatum immo beatissimum obitum reuerendissimi nec non illustrissimi principis domini hen rici iulii piae memoriae postulati episcopi halbersta densis ducis brunsuicensis ac lunaeburgensis compositum a lacobo kalenio uerbi diuini ministro ecclesiae wildemannensis
kale_leichpredigt_1613,body,2,0,True,3,"PRaeditus HENRICVS praeclaro est nomine princeps JULIUS, ac functus principis officio. Officiumfecit mansueti principis omni Tempore, quem luget subdita turba sibi: Illum nam rapuit durae inclementia mortis In nos quae miseros dira venena vomit. At nunc aethereo est civis transscriptus Olympo Percipit & nitidig audia magna poli. Dilexit Verbum Christi, coluitque ministros Tractantes summi dogmata pura DEI. Charam constanter patriam defendit ab hoste, Defenditque sacrae relligionis opus. Servavit pacem, servavit Juris & usum. Atque illi populi maxima cura fuit. Sed dux ille pius Pragae disceßit & orbum Heu liquit, populum raptus ab orbe suum Principis ast corpus rursum de morte resurget Interea tumulo molliter oßa cubent.",praeditus henricvs praeclaro est nomine princeps julius ac functus principis officio officiumfecit mansueti principis omni tempore quem luget subdita turba sibi illum nam rapuit durae inclementia mortis in nos quae miseros dira venena vomit at nunc aethereo est civis transscriptus olympo percipit & nitidig audia magna poli dilexit verbum christi coluitque ministros tractantes summi dogmata pura dei charam constanter patriam defendit ab hoste defenditque sacrae relligionis opus servavit pacem servavit juris & usum atque illi populi maxima cura fuit sed dux ille pius pragae disceßit & orbum heu liquit populum raptus ab orbe suum principis ast corpus rursum de morte resurget interea tumulo molliter oßa cubent,praeditus henricus praeclaro est nomine princeps iulius ac functus principis officio officiumfecit mansueti principis omni tempore quem luget subdita turba sibi illum nam rapuit durae inclementia mortis in nos quae miseros dira uenena uomit at nunc aethereo est ciuis transscriptus olympo percipit et nitidig audia magna poli dilexit uerbum christi coluitque ministros tractantes summi dogmata pura dei charam constanter patriam defendit ab hoste defenditque sacrae relligionis opus seruauit pacem seruauit iuris et usum atque illi populi maxima cura fuit sed dux ille pius pragae discessit et orbum heu liquit populum raptus ab orbe suum principis ast corpus rursum de morte resurget interea tumulo molliter ossa cubent
kale_leichpredigt_1613,head,3,0,True,3,Den Ehrnvesten / Achtbaren / Wollweisen / Ehrn vnd Vornehmen Richter vnd Schepffen der Fürstlichen freyen Bergkstadt Wildeman / Meinen großgünstigen Herren / freundtlichen Gefattern vnd lieben Zuhörern.,den ehrnvesten achtbaren wollweisen ehrn vnd vornehmen richter vnd schepffen der fürstlichen freyen bergkstadt wildeman meinen großgünstigen herren freundtlichen gefattern vnd lieben zuhörern,den ehrnuesten achtbaren wollweisen ehrn und uornehmen richter und schepffen der furstlichen freyen bergkstadt wildeman meinen grossgunstigen herren freundtlichen gefattern und lieben zuhorern
kale_leichpredigt_1613,head,4,0,True,3,So wol Den vier Schetzern Fürstlicher Bergkstadt Ernst Bergman / Asmus Hessen / Paul Erißbach vnd Adam Müller: Vnd dann Allen meinen lieben Zuhörern der löblichen Christlichen Gemein zum Wildeman.,so wol den vier schetzern fürstlicher bergkstadt ernst bergman asmus hessen paul erißbach vnd adam müller vnd dann allen meinen lieben zuhörern der löblichen christlichen gemein zum wildeman,so wol den uier schetzern furstlicher bergkstadt ernst bergman asmus hessen paul erissbach und adam muller und dann allen meinen lieben zuhorern der loblichen christlichen gemein zum wildeman
kale_leichpredigt_1613,head,5,0,True,3,Gottes Heyl / Trost vnd Seligkeit an Leib vnd Seel / durch Jesum Christum vnsern Erlöser jederzeit zuvor.,gottes heyl trost vnd seligkeit an leib vnd seel durch jesum christum vnsern erlöser jederzeit zuvor,gottes heyl trost und seligkeit an leib und seel durch iesum christum unsern erloser iederzeit zuuor
kale_leichpredigt_1613,body,6,0,False,3,"EHrnveste / Achtbare / Wollweyse / Ehr vnd Vornehme / großgünstige Herren / freundtliche Gefatteru vnd liebe Zuhörer / So bald ich durch Gottes hülffe diese Leichpredigt / die mir / wie auch allen anderen Pastoribus dieses löblichen Fürstenthumbs Braunschweig aufferlegt / in einer rühmlichen / feinen vnd Christlichen Frequentia vnd versamlung am 4. Octobris, dieses instehenden 1613 Jahrs / Gott dem HErrn zu Lob / vnd vnserem Gottseligem gewesenem frommen regierendem Landesfürsten / vnd derselbigen hochbetrübter nachgelassener Widtwen vnd Kindern / beyde Herlein vnd Frewlein / sampt allen angehörigen vnd verwanten / zu Christlicher Liebe / Ehrerbietunge / schüldigem gehorsam vnd pflicht / verrichtet / haben etzliche fromme Pfarkinder auß meiner befohlen Pfar Wildeman so sie gehört / davon Copey vnd Abschrifft begehret / vnd die drücken zulassen sich erbotten.",ehrnveste achtbare wollweyse ehr vnd vornehme großgünstige herren freundtliche gefatteru vnd liebe zuhörer so bald ich durch gottes hülffe diese leichpredigt die mir wie auch allen anderen pastoribus dieses löblichen fürstenthumbs braunschweig aufferlegt in einer rühmlichen feinen vnd christlichen frequentia vnd versamlung am octobris dieses instehenden jahrs gott dem herrn zu lob vnd vnserem gottseligem gewesenem frommen regierendem landesfürsten vnd derselbigen hochbetrübter nachgelassener widtwen vnd kindern beyde herlein vnd frewlein sampt allen angehörigen vnd verwanten zu christlicher liebe ehrerbietunge schüldigem gehorsam vnd pflicht verrichtet haben etzliche fromme pfarkinder auß meiner befohlen pfar wildeman so sie gehört davon copey vnd abschrifft begehret vnd die drücken zulassen sich erbotten,ehrnueste achtbare wollweyse ehr und uornehme grossgunstige herren freundtliche gefatteru und liebe zuhorer so bald ich durch gottes hulffe diese leichpredigt die mir wie auch allen anderen pastoribus dieses loblichen furstenthumbs braunschweig aufferlegt in einer ruhmlichen feinen und christlichen frequentia und uersamlung am octobris dieses instehenden iahrs gott dem herrn zu lob und unserem gottseligem gewesenem frommen regierendem landesfursten und derselbigen hochbetrubter nachgelassener widtwen und kindern beyde herlein und frewlein sampt allen angehorigen und uerwanten zu christlicher liebe ehrerbietunge schuldigem gehorsam und pflicht uerrichtet haben etzliche fromme pfarkinder auss meiner befohlen pfar wildeman so sie gehort dauon copey und abschrifft begehret und die drucken zulassen sich erbotten
kale_leichpredigt_1613,body,6,1,True,4,Ob ich aber wol hierüber anfenglich allerley bedencken getragen / solchesnicht zu willigen / sonderlich weil ich mich befürchtet / mir solches / alß das es ingenij & ostentandigratia geschehe / zum ergesten ausgelegt / vnd das ich etwa vor anderen gesehen sein wolte / verarget werden möchte / da mir doch meine tenuitas vnd vnvermügen gantz wol bewust ist / Jedoch aber jhnen hernach die zusagung gethan / jhrer gethanen Bitte halben / so bald ich Amptes wegen die zeit haben könte / mein Concept rein zuschreiben / vnnd zum druck kommen zulassen / aus folgenden Vrsachen:,ob ich aber wol hierüber anfenglich allerley bedencken getragen solchesnicht zu willigen sonderlich weil ich mich befürchtet mir solches alß das es ingenij & ostentandigratia geschehe zum ergesten ausgelegt vnd das ich etwa vor anderen gesehen sein wolte verarget werden möchte da mir doch meine tenuitas vnd vnvermügen gantz wol bewust ist jedoch aber jhnen hernach die zusagung gethan jhrer gethanen bitte halben so bald ich amptes wegen die zeit haben könte mein concept rein zuschreiben vnnd zum druck kommen zulassen aus folgenden vrsachen,ob ich aber wol hieruber anfenglich allerley bedencken getragen solchesnicht zu willigen sonderlich weil ich mich befurchtet mir solches alss das es ingenii et ostentandigratia geschehe zum ergesten ausgelegt und das ich etwa uor anderen gesehen sein wolte uerarget werden mochte da mir doch meine tenuitas und unuermugen gantz wol bewust ist iedoch aber ihnen hernach die zusagung gethan ihrer gethanen bitte halben so bald ich amptes wegen die zeit haben konte mein concept rein zuschreiben unnd zum druck kommen zulassen aus folgenden ursachen
kale_leichpredigt_1613,body,7,0,False,4,Erstlich / weil ich mich erinnerte / das es nicht wider Gott vnd sein Gebott / sondern vielmehr sein Befehl / vnd ich armer vnwirdiger Diener Göttliches Wortes jhnen hierinnen zu gratificiren vnd zuwilfahren schüldig were.,erstlich weil ich mich erinnerte das es nicht wider gott vnd sein gebott sondern vielmehr sein befehl vnd ich armer vnwirdiger diener göttliches wortes jhnen hierinnen zu gratificiren vnd zuwilfahren schüldig were,erstlich weil ich mich erinnerte das es nicht wider gott und sein gebott sondern uielmehr sein befehl und ich armer unwirdiger diener gottliches wortes ihnen hierinnen zu gratificiren und zuwilfahren schuldig were
kale_leichpredigt_1613,body,7,1,False,4,Darnach weil Syrach sagt am 19 Cap. das offt geringe Klugheit mit Gottesfurcht besser sey / denn grosse Klugheit mit Gottes verachtunge / vnnd ein Seelsorger sich Gottes Worts vnd seines Evangelij nicht schemen / wie Paulus sagt / zun Rom. am 1. Cap. sonderen viel mehr auff sein Ampt trotzen sol / wie Syr. am 10. cap. sagt.,darnach weil syrach sagt am cap das offt geringe klugheit mit gottesfurcht besser sey denn grosse klugheit mit gottes verachtunge vnnd ein seelsorger sich gottes worts vnd seines evangelij nicht schemen wie paulus sagt zun rom am cap sonderen viel mehr auff sein ampt trotzen sol wie syr am cap sagt,darnach weil syrach sagt am cap das offt geringe klugheit mit gottesfurcht besser sey denn grosse klugheit mit gottes uerachtunge unnd ein seelsorger sich gottes worts und seines euangelii nicht schemen wie paulus sagt zun rom am cap sonderen uiel mehr auff sein ampt trotzen sol wie syr am cap sagt
