doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
tuckermann_predigt_1613,head,0,0,True,1,"Ein Chriſtliche Predigt / Gethan zu Wolffenbüttel den 8. Septembris, Als die Leich des Weilandt Hochwürdigen / Durchleuchtigen / Hochgebornen Fürſten vnd Herꝛn/Herꝛn HEINRICH IVLII, Poſtulirten Biſchoffen zu Halberstadt / vnd Hertzogen zu Braunſchweig vnd Lüneburg / ꝛc. vnſers allerſeits geweſenen G. F. vnd Herrn anhero gebracht / vnd in der F. Schloß Kirchen niedergeſetzt.Durch M. Petrum Tuckerman / Hoff Caplan daſelbſt. Heinrichſtadt Durch Julium Adolphum von Söhne / ANNO M. DC. XIII.",ein chriſtliche predigt gethan zu wolffenbüttel den septembris als die leich des weilandt hochwürdigen durchleuchtigen hochgebornen fürſten vnd herꝛn herꝛn heinrich ivlii poſtulirten biſchoffen zu halberstadt vnd hertzogen zu braunſchweig vnd lüneburg ꝛc vnſers allerſeits geweſenen g f vnd herrn anhero gebracht vnd in der f schloß kirchen niedergeſetzt durch m petrum tuckerman hoff caplan daſelbſt heinrichſtadt durch julium adolphum von söhne anno m dc xiii,ein christliche predigt gethan zu wolffenbuttel den septembris als die leich des weilandt hochwurdigen durchleuchtigen hochgebornen fursten und hern hern heinrich iulii postulirten bischoffen zu halberstadt und hertzogen zu braunschweig und luneburg c unsers allerseits gewesenen g f und herrn anhero gebracht und in der f schloss kirchen niedergesetzt durch m petrum tuckerman hoff caplan daselbst heinrichstadt durch iulium adolphum uon sohne anno m dc xiii
tuckermann_predigt_1613,head,1,0,True,3,Psal: 39.,psal,psal
tuckermann_predigt_1613,head,2,0,True,3,ICh bin beyde dein Pilgrim / vnd dein Bürger / wie alle meine Väter.,ich bin beyde dein pilgrim vnd dein bürger wie alle meine väter,ich bin beyde dein pilgrim und dein burger wie alle meine uater
tuckermann_predigt_1613,body,3,0,False,3,WIr haben langzeit Hertzlich gewünscht vnd gebeten / das wir einmahl vnsern gnädigen lieben Landeßfürsten vnd Herrn müchtẽ auß frembden Landen wieder zu Hauß kriegen: Da haben wir nun S. F. G. Den Verstandt aber vnd die meinung hats gleichwol mit vnserm Wunsch vnd Gebet im geringsten nicht gehabt / deñ wir haben gewünscht vnd gebeten / S. F. G. möchten lebendig ankom̃en / vnd S. G. hertzliebe Gemahlin / Junge Herrn vnd Frewlein / vnd Landt vnd Leut mit seiner ankunfft höchlich erfrewen / so werden sie vns jetzo Tod zugeführet / vnd ist trawrigkeit vnd betrübniß / wo man sich hinkehret vnd wendet.,wir haben langzeit hertzlich gewünscht vnd gebeten das wir einmahl vnsern gnädigen lieben landeßfürsten vnd herrn müchtẽ auß frembden landen wieder zu hauß kriegen da haben wir nun s f g den verstandt aber vnd die meinung hats gleichwol mit vnserm wunsch vnd gebet im geringsten nicht gehabt deñ wir haben gewünscht vnd gebeten s f g möchten lebendig ankom̃en vnd s g hertzliebe gemahlin junge herrn vnd frewlein vnd landt vnd leut mit seiner ankunfft höchlich erfrewen so werden sie vns jetzo tod zugeführet vnd ist trawrigkeit vnd betrübniß wo man sich hinkehret vnd wendet,wir haben langzeit hertzlich gewunscht und gebeten das wir einmahl unsern gnadigen lieben landessfursten und herrn muchten auss frembden landen wieder zu hauss kriegen da haben wir nun s f g den uerstandt aber und die meinung hats gleichwol mit unserm wunsch und gebet im geringsten nicht gehabt denn wir haben gewunscht und gebeten s f g mochten lebendig ankommen und s g hertzliebe gemahlin iunge herrn und frewlein und landt und leut mit seiner ankunfft hochlich erfrewen so werden sie uns ietzo tod zugefuhret und ist trawrigkeit und betrubniss wo man sich hinkehret und wendet
tuckermann_predigt_1613,body,3,1,False,3,"Das mag wol heissen: Homo proponit, sed Deus disponit.",das mag wol heissen homo proponit sed deus disponit,das mag wol heissen homo proponit sed deus disponit
tuckermann_predigt_1613,body,3,2,False,3,Der Mensch setzt jm etwas für / aber Gott versetzt es / vnd macht es anders / Deñ wir haben vns den Herrn in vnsere Gedancken vnd Hertzen jm̃er lebendig mit frewden fürgesetzt vnd eingebildet / so kömpt Gott / kehret es vmb / vnd setzt vns denselben in der that Todt für / mit Schmertzen vnd Weinen.,der mensch setzt jm etwas für aber gott versetzt es vnd macht es anders deñ wir haben vns den herrn in vnsere gedancken vnd hertzen jm̃er lebendig mit frewden fürgesetzt vnd eingebildet so kömpt gott kehret es vmb vnd setzt vns denselben in der that todt für mit schmertzen vnd weinen,der mensch setzt im etwas fur aber gott uersetzt es und macht es anders denn wir haben uns den herrn in unsere gedancken und hertzen immer lebendig mit frewden furgesetzt und eingebildet so kompt gott kehret es umb und setzt uns denselben in der that todt fur mit schmertzen und weinen
tuckermann_predigt_1613,body,3,3,False,4,Vnd weñ mans recht bedenckt / wem solte es nicht schmertzen?,vnd weñ mans recht bedenckt wem solte es nicht schmertzen,und wenn mans recht bedenckt wem solte es nicht schmertzen
tuckermann_predigt_1613,body,3,4,False,4,Wer wolte nicht drüber Weinen?,wer wolte nicht drüber weinen,wer wolte nicht druber weinen
tuckermann_predigt_1613,body,3,5,False,4,Deñ die hochlöbliche Landeßfürstin hat dran gehabt jhr Heupt / deñ der Mañ ist des Weibes Heupt / schreibt Paulus zun Ephes. 5. das hat sie verlohren / vnd ist in den betrübten Witwen Standt gerahten: Junge Herrn vnd Frewlein haben dran gehabt jhren Herrn Vater / dessen sind sie beraubet / vnnd zu Einsamen Waisen worden: Landt vnd Leut haben dran gehabt jhren jrrdischen Gott / deñ Oberkeiten werden im 82. Psalm Götter geheissen / den haben sie zugesetzt.,deñ die hochlöbliche landeßfürstin hat dran gehabt jhr heupt deñ der mañ ist des weibes heupt schreibt paulus zun ephes das hat sie verlohren vnd ist in den betrübten witwen standt gerahten junge herrn vnd frewlein haben dran gehabt jhren herrn vater dessen sind sie beraubet vnnd zu einsamen waisen worden landt vnd leut haben dran gehabt jhren jrrdischen gott deñ oberkeiten werden im psalm götter geheissen den haben sie zugesetzt,denn die hochlobliche landessfurstin hat dran gehabt ihr heupt denn der mann ist des weibes heupt schreibt paulus zun ephes das hat sie uerlohren und ist in den betrubten witwen standt gerahten iunge herrn und frewlein haben dran gehabt ihren herrn uater dessen sind sie beraubet unnd zu einsamen waisen worden landt und leut haben dran gehabt ihren irrdischen gott denn oberkeiten werden im psalm gotter geheissen den haben sie zugesetzt
tuckermann_predigt_1613,body,3,6,False,4,Vnd das sonderlich zubeklagen / wenn ja S. F. G. hetten sterben sollen / wie deñ kein Mensch lebt / der nicht den Todt solt sehen / im 89. Psalm / so were es noch etlicher massen hingangen / so sie in seiner hertzlieben Gemahlin armen gestorben / welches nicht geschehen / vnnd so Junge Herrn vnd Frewlein (die jhren lieben Herren Vater zum theil in etlichen Jahren / zum theil gar nicht gesehen) im letzten vmbs Bette hergestanden / vnd Väterliche Vermahnung vnd Segen / wie Salomo Davids Sohn / im ersten Buch der Könige am 2. angehöret vnd empfangen / welches verblieben / vnnd so Landt vnd Leut auffgewartet / welches jhnen nicht hat wiederfahren können.,vnd das sonderlich zubeklagen wenn ja s f g hetten sterben sollen wie deñ kein mensch lebt der nicht den todt solt sehen im psalm so were es noch etlicher massen hingangen so sie in seiner hertzlieben gemahlin armen gestorben welches nicht geschehen vnnd so junge herrn vnd frewlein die jhren lieben herren vater zum theil in etlichen jahren zum theil gar nicht gesehen im letzten vmbs bette hergestanden vnd väterliche vermahnung vnd segen wie salomo davids sohn im ersten buch der könige am angehöret vnd empfangen welches verblieben vnnd so landt vnd leut auffgewartet welches jhnen nicht hat wiederfahren können,und das sonderlich zubeklagen wenn ia s f g hetten sterben sollen wie denn kein mensch lebt der nicht den todt solt sehen im psalm so were es noch etlicher massen hingangen so sie in seiner hertzlieben gemahlin armen gestorben welches nicht geschehen unnd so iunge herrn und frewlein die ihren lieben herren uater zum theil in etlichen iahren zum theil gar nicht gesehen im letzten umbs bette hergestanden und uaterliche uermahnung und segen wie salomo dauids sohn im ersten buch der konige am angehoret und empfangen welches uerblieben unnd so landt und leut auffgewartet welches ihnen nicht hat wiederfahren konnen
