doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
526022,body,0,0,True,[1],"Chriſtliche Leichpredigt/ Gehalten bey der Begraͤbnuß/ Weyland deß Zuͤchtigen vnd Tugentſamen Jungfraͤwlins Evę Reginę/ deß Ehrnveſten vnd HochAchtbarn/ Herꝛn Caſpari Schmiden/ Graͤfflichen/ Hanaw-Liechtenbergiſchen Rahts vnd Secretarij zu Buchßweyler/ wie auch Frawen Catharina Schmiden geborner Fachingerin ſeiner Ehelichen Haußfrawen/ Ehelichen Doͤchterlins/ Welches Mitwochs den 30. Junij/ dieſes lauffenden 1613. Jahrs/ zu 10. vhrn vormittag/ in wahrer Erkandtnuß vnd Bekandtnuß/ ſeines Heylands/ Erloͤſers/ vnd Seligmachers Jeſu Chriſti ſelig geſtorben/ vnd negſtfolgenden Donnerſtags/ zwiſchen 1. vnd 2. vhr nachmittag/ mit Chriſtlichen Ceremonien/ daſelbſten zur Erden beſtattet worden. Durch M. Joannem VVeſterfeldium Cronbergenſem, Pfarrern vnd Superintendenten alda/ Gedruckt zu Straßburg/ bey Johann Carolo.",chriſtliche leichpredigt gehalten bey der begraͤbnuß weyland deß zuͤchtigen vnd tugentſamen jungfraͤwlins evę reginę deß ehrnveſten vnd hochachtbarn herꝛn caſpari schmiden graͤfflichen hanawliechtenbergiſchen rahts vnd secretarij zu buchßweyler wie auch frawen catharina schmiden geborner fachingerin ſeiner ehelichen haußfrawen ehelichen doͤchterlins welches mitwochs den junij dieſes lauffenden jahrs zu vhrn vormittag in wahrer erkandtnuß vnd bekandtnuß ſeines heylands erloͤſers vnd seligmachers jeſu chriſti ſelig geſtorben vnd negſtfolgenden donnerſtags zwiſchen vnd vhr nachmittag mit chriſtlichen ceremonien daſelbſten zur erden beſtattet worden durch m joannem vveſterfeldium cronbergenſem pfarrern vnd superintendenten alda gedruckt zu straßburg bey johann carolo,christliche leichpredigt gehalten bey der begrabnuss weyland dess zuchtigen und tugentsamen iungfrawlins eue regine dess ehrnuesten und hochachtbarn hern caspari schmiden grafflichen hanawliechtenbergischen rahts und secretarii zu buchssweyler wie auch frawen catharina schmiden geborner fachingerin seiner ehelichen haussfrawen ehelichen dochterlins welches mitwochs den iunii dieses lauffenden iahrs zu uhrn uormittag in wahrer erkandtnuss und bekandtnuss seines heylands erlosers und seligmachers iesu christi selig gestorben und negstfolgenden donnerstags zwischen und uhr nachmittag mit christlichen ceremonien daselbsten zur erden bestattet worden durch m ioannem uuesterfeldium cronbergensem pfarrern und superintendenten alda gedruckt zu strassburg bey iohann carolo
526022,body,1,0,True,[2],Dem Ehrenveſten vnd HochAchtbahren Herꝛen Caſparo Schmiden/ Graͤfflichen Hanaw Liechtenbergiſchen Raht vnd Secretario/ meinem inſonders Großguͤnſtigen Herꝛen Gevattern.,dem ehrenveſten vnd hochachtbahren herꝛen caſparo schmiden graͤfflichen hanaw liechtenbergiſchen raht vnd secretario meinem inſonders großguͤnſtigen herꝛen gevattern,dem ehrenuesten und hochachtbahren heren casparo schmiden grafflichen hanaw liechtenbergischen raht und secretario meinem insonders grossgunstigen heren geuattern
526022,body,2,0,False,[2],EHrenveſter/ HochAchtbar/ inſonders Großguͤnſtiger Herꝛ Gevatter.,ehrenveſter hochachtbar inſonders großguͤnſtiger herꝛ gevatter,ehrenuester hochachtbar insonders grossgunstiger her geuatter
526022,body,2,1,False,[2],Welcher maſſen derſelbe/ kurtz verꝛuckter tagen/ vnderſchiedlich von mir begeret/ die/ bey der Begraͤbnuß vnd Leichbegaͤngnuß/ ſeines verſtorbenen lieben Doͤchterleins/ Evæ Reginæ ſeligen/ von mir juͤngſt gehaltene Leichpredig/ jhme ſchrifftlich zuzuſtellen/ vielleicht damit dieſelbe/ ſampt etlicher gelehrten Herꝛn vnd Maͤnner Epicedijs/ auch moͤchte in offentlichen Truck gegeben werden/ deſſen wird ſich der Herꝛ Gevatter/ zweiffels ohn/ noch großguͤnſtig zuentſinnen wiſſen.,welcher maſſen derſelbe kurtz verꝛuckter tagen vnderſchiedlich von mir begeret die bey der begraͤbnuß vnd leichbegaͤngnuß ſeines verſtorbenen lieben doͤchterleins evæ reginæ ſeligen von mir juͤngſt gehaltene leichpredig jhme ſchrifftlich zuzuſtellen vielleicht damit dieſelbe ſampt etlicher gelehrten herꝛn vnd maͤnner epicedijs auch moͤchte in offentlichen truck gegeben werden deſſen wird ſich der herꝛ gevatter zweiffels ohn noch großguͤnſtig zuentſinnen wiſſen,welcher massen derselbe kurtz ueruckter tagen underschiedlich uon mir begeret die bey der begrabnuss und leichbegangnuss seines uerstorbenen lieben dochterleins euae reginae seligen uon mir iungst gehaltene leichpredig ihme schrifftlich zuzustellen uielleicht damit dieselbe sampt etlicher gelehrten hern und manner epicediis auch mochte in offentlichen truck gegeben werden dessen wird sich der her geuatter zweiffels ohn noch grossgunstig zuentsinnen wissen
526022,body,2,2,False,[2],"Wiewol mir aber nicht ohnbewuſt/ das ich fuͤr mein Perſohn der jenige nicht bin/ welcher billich ſeine ringfuͤgige arbeit ſolte publiciren laſſen/ bevorab gegenwertige Leichpredig/ ſo nicht allein in der eyle/ neben andern geſchaͤfften/ von mir verfertiget wordẽ/ ſondern auch/ (wie bewuſt) von betruͤbten/ bekuͤmmerten/ vnd mitleidenden Gemuͤth vnd hertzen hergefloſſen: Auch/ ſonder zweiffel/ vngleiche judica, wie braͤuchlich/ hieruͤber vielleicht erfolgen moͤchten: Jedoch hab ich endlich/ E. E. begeren willfahren/ vnnd dieſe Predig/ wie ſie gehalten worden/ vbergeben wollen/ theils/ wegen der vielfaltigen gut vnd wolthaten/ mir vnd den meinigen/ wie nit weniger vnſerm gantzem Miniſterio, biß anhero in der that vielfaltig erwieſen/ mich nach gelegenheit etlicher maſſen danckbar zuerzeigen: theils auch E. E. ſampt deren vielgeliebten/ hocybetruͤbten Haußfrawen/ der Fraw Gevatterin/ zum Troſt in jhrem zugeſtandenen Leyd vnd Hauß Creutz/ damit ſie dieſe ſchlechte vnd einfaͤltige/ gleichwol Schrifftmaͤſige/ Chriſtliche Leichpredig/ zum gedaͤchtnuß behalten/ vnd ſich etwann mit gelegenheit darauß erinnern vnd troͤſten moͤgen/ was vielleicht bey fuͤrgefallenem Leyd vnd Traurigkeit/ nicht allerdings moͤchte vernommen/ oder wider entſuncken ſein.",wiewol mir aber nicht ohnbewuſt das ich fuͤr mein perſohn der jenige nicht bin welcher billich ſeine ringfuͤgige arbeit ſolte publiciren laſſen bevorab gegenwertige leichpredig ſo nicht allein in der eyle neben andern geſchaͤfften von mir verfertiget wordẽ ſondern auch wie bewuſt von betruͤbten bekuͤmmerten vnd mitleidenden gemuͤth vnd hertzen hergefloſſen auch ſonder zweiffel vngleiche judica wie braͤuchlich hieruͤber vielleicht erfolgen moͤchten jedoch hab ich endlich e e begeren willfahren vnnd dieſe predig wie ſie gehalten worden vbergeben wollen theils wegen der vielfaltigen gut vnd wolthaten mir vnd den meinigen wie nit weniger vnſerm gantzem miniſterio biß anhero in der that vielfaltig erwieſen mich nach gelegenheit etlicher maſſen danckbar zuerzeigen theils auch e e ſampt deren vielgeliebten hocybetruͤbten haußfrawen der fraw gevatterin zum troſt in jhrem zugeſtandenen leyd vnd hauß creutz damit ſie dieſe ſchlechte vnd einfaͤltige gleichwol schrifftmaͤſige chriſtliche leichpredig zum gedaͤchtnuß behalten vnd ſich etwann mit gelegenheit darauß erinnern vnd troͤſten moͤgen was vielleicht bey fuͤrgefallenem leyd vnd traurigkeit nicht allerdings moͤchte vernommen oder wider entſuncken ſein,wiewol mir aber nicht ohnbewust das ich fur mein persohn der ienige nicht bin welcher billich seine ringfugige arbeit solte publiciren lassen beuorab gegenwertige leichpredig so nicht allein in der eyle neben andern geschafften uon mir uerfertiget worden sondern auch wie bewust uon betrubten bekummerten und mitleidenden gemuth und hertzen hergeflossen auch sonder zweiffel ungleiche iudica wie brauchlich hieruber uielleicht erfolgen mochten iedoch hab ich endlich e e begeren willfahren unnd diese predig wie sie gehalten worden ubergeben wollen theils wegen der uielfaltigen gut und wolthaten mir und den meinigen wie nit weniger unserm gantzem ministerio biss anhero in der that uielfaltig erwiesen mich nach gelegenheit etlicher massen danckbar zuerzeigen theils auch e e sampt deren uielgeliebten hocybetrubten haussfrawen der fraw geuatterin zum trost in ihrem zugestandenen leyd und hauss creutz damit sie diese schlechte und einfaltige gleichwol schrifftmasige christliche leichpredig zum gedachtnuss behalten und sich etwann mit gelegenheit darauss erinnern und trosten mogen was uielleicht bey furgefallenem leyd und traurigkeit nicht allerdings mochte uernommen oder wider entsuncken sein
526022,body,2,3,False,[2],Thue hiemit den Herꝛn Gevatter/ ſampt ſeinen angehoͤrigẽ/ beneben vns/ Goͤttlicher bewahrung vnd Allmacht/ mich aber demſelben/ zu beharꝛlichen gunſten/ dienſtfreundlich empfehlen.,thue hiemit den herꝛn gevatter ſampt ſeinen angehoͤrigẽ beneben vns goͤttlicher bewahrung vnd allmacht mich aber demſelben zu beharꝛlichen gunſten dienſtfreundlich empfehlen,thue hiemit den hern geuatter sampt seinen angehorigen beneben uns gottlicher bewahrung und allmacht mich aber demselben zu beharlichen gunsten dienstfreundlich empfehlen
526022,body,2,4,True,[2],"Datum Buchßweiller/ Mitwochs den 14. Julij, im Jahr Chriſti/ 1613.",datum buchßweiller mitwochs den julij im jahr chriſti,datum buchssweiller mitwochs den iulii im iahr christi
526022,body,3,0,True,[2],"E. E. Dienſtwilliger M. Joannes VVeſterfeldius Cronbergenſis, loci Paſtor.",e e dienſtwilliger m joannes vveſterfeldius cronbergenſis loci paſtor,e e dienstwilliger m ioannes uuesterfeldius cronbergensis loci pastor
526022,head,4,0,True,[3],TEXT.,text,text
526022,body,5,0,False,[3],Der Gerechte/ ob er gleich zu zeitlich ſtirbt/ iſt er doch in der Ruhe/ (dann das iſt ehrlich/ nicht das lang lebet/ oder viel Jahr hat/ Klugheit vnder den Menſchen iſt das rechte grawe Haar/ vnd ein Vnbeflecktes Leben/ iſt das rechte Alter/) dann der gefaͤlt Gott wol/ vnnd iſt lieb/ vnd wird weggenom̃en/ auß dem Leben/ vnder den Suͤndern/ vnd wird hingeruckt/ daß die Boßheit ſeinen verſtand nicht verkehre/ noch falſche Lehre ſeine Seel betriege.,der gerechte ob er gleich zu zeitlich ſtirbt iſt er doch in der ruhe dann das iſt ehrlich nicht das lang lebet oder viel jahr hat klugheit vnder den menſchen iſt das rechte grawe haar vnd ein vnbeflecktes leben iſt das rechte alter dann der gefaͤlt gott wol vnnd iſt lieb vnd wird weggenom̃en auß dem leben vnder den suͤndern vnd wird hingeruckt daß die boßheit ſeinen verſtand nicht verkehre noch falſche lehre ſeine seel betriege,der gerechte ob er gleich zu zeitlich stirbt ist er doch in der ruhe dann das ist ehrlich nicht das lang lebet oder uiel iahr hat klugheit under den menschen ist das rechte grawe haar und ein unbeflecktes leben ist das rechte alter dann der gefalt gott wol unnd ist lieb und wird weggenommen auss dem leben under den sundern und wird hingeruckt dass die bossheit seinen uerstand nicht uerkehre noch falsche lehre seine seel betriege
