doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
395595,body,0,0,True,[1],"LEJCH SERMON/ Dem weilandt Ehrwuͤrdigen Achtbaren vnd wolgelahrten Herren Valentino Profio, trewfleiſſigen Archidiacono, der Kirche GOttes in ſeinem Vaterlande zum Jawer vber die 34 Jahr; Welcher den 14 Januarij, dieſes 1614 Jahres/ ſanfft vnd ſelig im Herren entſchlaffen/ vnd darauff den 17 Ianuarij Chriſtlich vnd ehrlich zur erden beſtattet worden: Nach gehalten/ von M. Adamo Hentschelio, der Kayſerlichen vnd Koͤnig: Stadt Jawer PfarErrn. Gedruckt in der Fuͤrſtlichen Stadt Briegk/ bey Caſparo Sigfried. Jn vorlegung Martin Gniſers vnd David Moͤllers/ bede Buchhaͤndler zu Breßlaw. Anno 1614.",lejch sermon dem weilandt ehrwuͤrdigen achtbaren vnd wolgelahrten herren valentino profio trewfleiſſigen archidiacono der kirche gottes in ſeinem vaterlande zum jawer vber die jahr welcher den januarij dieſes jahres ſanfft vnd ſelig im herren entſchlaffen vnd darauff den ianuarij chriſtlich vnd ehrlich zur erden beſtattet worden nach gehalten von m adamo hentschelio der kayſerlichen vnd koͤnig stadt jawer pfarerrn gedruckt in der fuͤrſtlichen stadt briegk bey caſparo sigfried jn vorlegung martin gniſers vnd david moͤllers bede buchhaͤndler zu breßlaw anno,leich sermon dem weilandt ehrwurdigen achtbaren und wolgelahrten herren ualentino profio trewfleissigen archidiacono der kirche gottes in seinem uaterlande zum iawer uber die iahr welcher den ianuarii dieses iahres sanfft und selig im herren entschlaffen und darauff den ianuarii christlich und ehrlich zur erden bestattet worden nach gehalten uon m adamo hentschelio der kayserlichen und konig stadt iawer pfarerrn gedruckt in der furstlichen stadt briegk bey casparo sigfried in uorlegung martin gnisers und dauid mollers bede buchhandler zu bresslaw anno
395595,body,1,0,False,[2],Der Erbaren Tugendtſamen Frawen Vrſulæ: Auch Dem Ehrwuͤrdigen Wolgelehrten Herren Joachimo Profio trewſleiſſigen PfarErrn zu Mertzdorff im Fuͤrſtenthum Jawer; Des inn GOttſeligen Herren Valentini Profij &c. hinterlaſſenen Fraw Wittwen/ vnd Herren Sohne.,der erbaren tugendtſamen frawen vrſulæ auch dem ehrwuͤrdigen wolgelehrten herren joachimo profio trewſleiſſigen pfarerrn zu mertzdorff im fuͤrſtenthum jawer des inn gottſeligen herren valentini profij &c hinterlaſſenen fraw wittwen vnd herren sohne,der erbaren tugendtsamen frawen ursulae auch dem ehrwurdigen wolgelehrten herren ioachimo profio trewsleissigen pfarerrn zu mertzdorff im furstenthum iawer des inn gottseligen herren ualentini profii etc hinterlassenen fraw wittwen und herren sohne
395595,body,1,1,True,[2],Auff jhr begeren/ vberſandt; Auch zu Ehren dediciret vnd zugeſchrieben: durch M. Adamum Hentschelium.,auff jhr begeren vberſandt auch zu ehren dediciret vnd zugeſchrieben durch m adamum hentschelium,auff ihr begeren ubersandt auch zu ehren dediciret und zugeschrieben durch m adamum hentschelium
395595,body,2,0,False,[3],"WJr haben jtzt inn einer anſehnlichen Leich proceſſion allher zu ſeiner Ruheſtadt beleittet/ den Weilandt Ehrwuͤrdigen Achtbarn vnd Wolgelahrten Herren Valentinum Profium, welcher in die vier-vnd-dreiſſig Jahr/ ein trewfleiſſiger Seelen-Sorger dieſer Gemeine/ vnd demnach von den Elteſten vnd vornembſten Prieſtern im gantzen Fuͤrſtenthumb/ gewieß einer geweſen iſt.",wjr haben jtzt inn einer anſehnlichen leich proceſſion allher zu ſeiner ruheſtadt beleittet den weilandt ehrwuͤrdigen achtbarn vnd wolgelahrten herren valentinum profium welcher in die viervnddreiſſig jahr ein trewfleiſſiger seelensorger dieſer gemeine vnd demnach von den elteſten vnd vornembſten prieſtern im gantzen fuͤrſtenthumb gewieß einer geweſen iſt,wir haben itzt inn einer ansehnlichen leich procession allher zu seiner ruhestadt beleittet den weilandt ehrwurdigen achtbarn und wolgelahrten herren ualentinum profium welcher in die uierunddreissig iahr ein trewfleissiger seelensorger dieser gemeine und demnach uon den eltesten und uornembsten priestern im gantzen furstenthumb gewiess einer gewesen ist
395595,body,2,1,True,[3],Bey ſolcher ſeiner ehrlichen Leichbeſtettung/ wollen wir etwas nuͤtzliches/ vnd der abgeleibten Perſon gemes vnnd gleichfoͤrmiges/ aus Gottes Wort/ vor vns nemen; Die heilige Dreyfaltigkeit aber fuͤr allen dingẽ vmb Segen vnd Gedeyen anruffen mit einem glaͤubigen Vater vnſer.,bey ſolcher ſeiner ehrlichen leichbeſtettung wollen wir etwas nuͤtzliches vnd der abgeleibten perſon gemes vnnd gleichfoͤrmiges aus gottes wort vor vns nemen die heilige dreyfaltigkeit aber fuͤr allen dingẽ vmb segen vnd gedeyen anruffen mit einem glaͤubigen vater vnſer,bey solcher seiner ehrlichen leichbestettung wollen wir etwas nutzliches und der abgeleibten person gemes unnd gleichformiges aus gottes wort uor uns nemen die heilige dreyfaltigkeit aber fur allen dingen umb segen und gedeyen anruffen mit einem glaubigen uater unser
395595,head,3,0,True,[3],TEXTVS,textvs,textus
395595,body,4,0,False,[3],WArumb Jch/ Jhr meine Geliebte/ die jetzt abgeleſene Wort/ habe zum Fundament vnd grunde angeſtelter Leich-Sermen vor vielen andern wehlen wollen; Mercket/ meines erachtens/ ein jeglicher vnter euch aus vnnd von ſich ſelber.,warumb jch jhr meine geliebte die jetzt abgeleſene wort habe zum fundament vnd grunde angeſtelter leichsermen vor vielen andern wehlen wollen mercket meines erachtens ein jeglicher vnter euch aus vnnd von ſich ſelber,warumb ich ihr meine geliebte die ietzt abgelesene wort habe zum fundament und grunde angestelter leichsermen uor uielen andern wehlen wollen mercket meines erachtens ein ieglicher unter euch aus unnd uon sich selber
395595,body,4,1,False,[4],"Denn Einmahl iſts geſchehen Ob defuncti Congruentiam, weil dieſe Wort ſich auff vnſern ſeligen Herren Valentinum eigentlich ſchiecken vnnd reimen; So gar/ das Jch nicht wuſte/ ob in der Biblia ein Text zufinden ſey/ der ſeiner Perſon gleichfoͤrmiger were.",denn einmahl iſts geſchehen ob defuncti congruentiam weil dieſe wort ſich auff vnſern ſeligen herren valentinum eigentlich ſchiecken vnnd reimen so gar das jch nicht wuſte ob in der biblia ein text zufinden ſey der ſeiner perſon gleichfoͤrmiger were,denn einmahl ists geschehen ob defuncti congruentiam weil diese wort sich auff unsern seligen herren ualentinum eigentlich schiecken unnd reimen so gar das ich nicht wuste ob in der biblia ein text zufinden sey der seiner person gleichformiger were
395595,body,4,2,False,[4],Denn in kuͤrtzen (geliebts Gott) werden Ewre Liebe/ aus meinen ordentlichen Freytagspredigten/ vber das erſte buch Moſis hoͤren/ das Abraham vom Nahmen des Herren gepredigt habe/ vnd ein Knecht Gottes geweſen ſey; vnſer Herr Senior auch.,denn in kuͤrtzen geliebts gott werden ewre liebe aus meinen ordentlichen freytagspredigten vber das erſte buch moſis hoͤren das abraham vom nahmen des herren gepredigt habe vnd ein knecht gottes geweſen ſey vnſer herr senior auch,denn in kurtzen geliebts gott werden ewre liebe aus meinen ordentlichen freytagspredigten uber das erste buch mosis horen das abraham uom nahmen des herren gepredigt habe und ein knecht gottes gewesen sey unser herr senior auch
395595,body,4,3,False,[4],Abraham ſtundt in ſeinem beruff aus/ nicht allein viel muͤhe vnd arbeit/ ſondern auch viel wiederwertigkeit; vnſer Herr Valentinus auch.,abraham ſtundt in ſeinem beruff aus nicht allein viel muͤhe vnd arbeit ſondern auch viel wiederwertigkeit vnſer herr valentinus auch,abraham stundt in seinem beruff aus nicht allein uiel muhe und arbeit sondern auch uiel wiederwertigkeit unser herr ualentinus auch
