doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
526001,head,0,0,True,[1],Chriſtliche Predigt/ Bey der Hochtrawrigen Leich vnnd Begraͤbnuß/ deß weiland Wolgebornen Herꝛn/ Herꝛn Reicharden/ Herꝛn von Starhemberg/ Erbherꝛn auff Wildtberg/ Riedegg/ vnd Lobenſtein/ ꝛc. Roͤmiſcher Keyſerlicher May. Hoff Cammer Rath: Welcher den 8. Tag Februarii/ deß inſtehenden 1613. Jahrs/ zu Wien im HERRN ſelig entſchlaffen/ vnd hernach den letzten Aprilis zu Helmansoͤd/ in ſeiner Erbbegraͤbnuß/ gantz ehrlich/ in beyſein vieler anſehenlicher Herꝛn vnd Frawen/ zur Erden beſtattet worden: Gehalten Durch M. Ehrnfrid Muͤrſchl/ dieſer zeit Pfarꝛherꝛn zu Eferding. Matth. 24. Marc. 13. Wachet vnd betet/ denn jhr wiſſet nicht/ welche Stundt ewer Herr kommen wirdt. Gedruckt zu Marpurg/ Durch Paul Egenolff/ im Jahr 1614.,chriſtliche predigt bey der hochtrawrigen leich vnnd begraͤbnuß deß weiland wolgebornen herꝛn herꝛn reicharden herꝛn von starhemberg erbherꝛn auff wildtberg riedegg vnd lobenſtein ꝛc roͤmiſcher keyſerlicher may hoff cammer rath welcher den tag februarii deß inſtehenden jahrs zu wien im herrn ſelig entſchlaffen vnd hernach den letzten aprilis zu helmansoͤd in ſeiner erbbegraͤbnuß gantz ehrlich in beyſein vieler anſehenlicher herꝛn vnd frawen zur erden beſtattet worden gehalten durch m ehrnfrid muͤrſchl dieſer zeit pfarꝛherꝛn zu eferding matth marc wachet vnd betet denn jhr wiſſet nicht welche stundt ewer herr kommen wirdt gedruckt zu marpurg durch paul egenolff im jahr,christliche predigt bey der hochtrawrigen leich unnd begrabnuss dess weiland wolgebornen hern hern reicharden hern uon starhemberg erbhern auff wildtberg riedegg und lobenstein c romischer keyserlicher may hoff cammer rath welcher den tag februarii dess instehenden iahrs zu wien im herrn selig entschlaffen und hernach den letzten aprilis zu helmansod in seiner erbbegrabnuss gantz ehrlich in beysein uieler ansehenlicher hern und frawen zur erden bestattet worden gehalten durch m ehrnfrid murschl dieser zeit pfarhern zu eferding matth marc wachet und betet denn ihr wisset nicht welche stundt ewer herr kommen wirdt gedruckt zu marpurg durch paul egenolff im iahr
526001,head,1,0,True,3,Eingang.,eingang,eingang
526001,body,2,0,True,3,GEliebte in Chriſto dem HErꝛn/ wir ſind auff dißmal nach Gottes Willen/ auß Chriſtlichem ſchuldigem mitleiden verſammlet/ bey der Hochtrawrigen Leich vnd Begrebnuß/ deß weiland Wolgebornen/ vnnd vmb das gemeyne Vatterland Hochverdienten/ nun aber in GOtt ſeligen Herꝛn/ Herꝛn Reicharden/ Herꝛn von Starhemberg/ Erbherꝛn auff Wildberg/ Riedegg/ vnd Lobenſtein/ Herꝛn der Graffſchafft Schaunberg/ ꝛc. Roͤm. Key. May. geweſnen Hoff Cammer Raths/ meines weiland gnedigen Herꝛn: Jhme zwar/ nu mehr in der Hand Gottes ruhenden Herꝛn/ den letzten Dienſt Chriſtlicher liebe vnd freundſchafft zu erzeygen/ ſo ein Menſch/ viel mehr aber ein Chriſt dem andern zu leyſten vnd zu erzeygen ſchuldig.,geliebte in chriſto dem herꝛn wir ſind auff dißmal nach gottes willen auß chriſtlichem ſchuldigem mitleiden verſammlet bey der hochtrawrigen leich vnd begrebnuß deß weiland wolgebornen vnnd vmb das gemeyne vatterland hochverdienten nun aber in gott ſeligen herꝛn herꝛn reicharden herꝛn von starhemberg erbherꝛn auff wildberg riedegg vnd lobenſtein herꝛn der graffſchafft schaunberg ꝛc roͤm key may geweſnen hoff cammer raths meines weiland gnedigen herꝛn jhme zwar nu mehr in der hand gottes ruhenden herꝛn den letzten dienſt chriſtlicher liebe vnd freundſchafft zu erzeygen ſo ein menſch viel mehr aber ein chriſt dem andern zu leyſten vnd zu erzeygen ſchuldig,geliebte in christo dem hern wir sind auff dissmal nach gottes willen auss christlichem schuldigem mitleiden uersammlet bey der hochtrawrigen leich und begrebnuss dess weiland wolgebornen unnd umb das gemeyne uatterland hochuerdienten nun aber in gott seligen hern hern reicharden hern uon starhemberg erbhern auff wildberg riedegg und lobenstein hern der graffschafft schaunberg c rom key may gewesnen hoff cammer raths meines weiland gnedigen hern ihme zwar nu mehr in der hand gottes ruhenden hern den letzten dienst christlicher liebe und freundschafft zu erzeygen so ein mensch uiel mehr aber ein christ dem andern zu leysten und zu erzeygen schuldig
526001,body,3,0,True,3,Damit aber hierunder nicht allein dem abgeſtorbenen Herꝛn/ ſondern auch vns lebendigen gedienet werde/ vnd damit vnſer trawren nicht ohne troſt abgehe/ oder ein trawren ſey/ wie der andern/ die keine hoffnung haben: Sondern daß wir alſo trawren/ damit gleichwol darbey Gott geehret/ wir vnder einander gelehret vnnd getroͤſtet werden: So woͤllen wir vns vor allem fůr der hohen Goͤttlichen Mayeſtaͤt demuͤtigen/ den Vatter aller gnaden/ troſtes vnd barmhertzigkeit vmb aſſiſtentz vnd beyſtand deß heiligen Geyſtes erſuchen/ vnnd in glaubiger andacht mit einander beten vnd ſprechen das heilige Vatter vnſer/ ꝛc.,damit aber hierunder nicht allein dem abgeſtorbenen herꝛn ſondern auch vns lebendigen gedienet werde vnd damit vnſer trawren nicht ohne troſt abgehe oder ein trawren ſey wie der andern die keine hoffnung haben sondern daß wir alſo trawren damit gleichwol darbey gott geehret wir vnder einander gelehret vnnd getroͤſtet werden so woͤllen wir vns vor allem fůr der hohen goͤttlichen mayeſtaͤt demuͤtigen den vatter aller gnaden troſtes vnd barmhertzigkeit vmb aſſiſtentz vnd beyſtand deß heiligen geyſtes erſuchen vnnd in glaubiger andacht mit einander beten vnd ſprechen das heilige vatter vnſer ꝛc,damit aber hierunder nicht allein dem abgestorbenen hern sondern auch uns lebendigen gedienet werde und damit unser trawren nicht ohne trost abgehe oder ein trawren sey wie der andern die keine hoffnung haben sondern dass wir also trawren damit gleichwol darbey gott geehret wir under einander gelehret unnd getrostet werden so wollen wir uns uor allem fur der hohen gottlichen mayestat demutigen den uatter aller gnaden trostes und barmhertzigkeit umb assistentz und beystand dess heiligen geystes ersuchen unnd in glaubiger andacht mit einander beten und sprechen das heilige uatter unser c
526001,head,4,0,True,4,Text.,text,text
526001,head,5,0,True,5,Außlegung.,außlegung,ausslegung
526001,body,6,0,False,5,WIr leſen/ geliebte in Chriſto dem HErꝛn/ 2. Sam. 1. als Jonathan/ Sauls Sohn/ ein dapfferer Mann im Feldt vnd ſtreit wider die Philiſter/ auff dem Gebirg Gilboa vmbkommen/ vnd ſolcher Todtfall dem frommen David/ ſo damaln zu Zicklag war/ verkuͤndiget worden/ ſey er dieſer trawrigen Zeitung vnd Bottſchafft dermaſſen erſchrocken/ daß er daruͤber bitterlich geweynet/ ja vor vnmuht vnd hertzenleydt ſeine Kleyder zerꝛiſſen/ vnnd biß auff den Abendt gefaſtet habe.,wir leſen geliebte in chriſto dem herꝛn sam als jonathan sauls sohn ein dapfferer mann im feldt vnd ſtreit wider die philiſter auff dem gebirg gilboa vmbkommen vnd ſolcher todtfall dem frommen david ſo damaln zu zicklag war verkuͤndiget worden ſey er dieſer trawrigen zeitung vnd bottſchafft dermaſſen erſchrocken daß er daruͤber bitterlich geweynet ja vor vnmuht vnd hertzenleydt ſeine kleyder zerꝛiſſen vnnd biß auff den abendt gefaſtet habe,wir lesen geliebte in christo dem hern sam als ionathan sauls sohn ein dapfferer mann im feldt und streit wider die philister auff dem gebirg gilboa umbkommen und solcher todtfall dem frommen dauid so damaln zu zicklag war uerkundiget worden sey er dieser trawrigen zeitung und bottschafft dermassen erschrocken dass er daruber bitterlich geweynet ia uor unmuht und hertzenleydt seine kleyder zerissen unnd biss auff den abendt gefastet habe
526001,body,6,1,False,5,Vnnd zwar iſt dieſer ſchnelle Todtfall Jonathans/ dem lieben David nicht vnbillich ſo ſtarck zu Hertzen gangen.,vnnd zwar iſt dieſer ſchnelle todtfall jonathans dem lieben david nicht vnbillich ſo ſtarck zu hertzen gangen,unnd zwar ist dieser schnelle todtfall ionathans dem lieben dauid nicht unbillich so starck zu hertzen gangen
526001,body,6,2,False,5,Dann Jonathan nicht allein Davids guter Freund// den er lieb gehabt/ wie ſein eygen Hertz/ ſondern ein fuͤrneme Seul deß gantzen Landes vnd Koͤnigreichs Jſrael geweſen/ welcher auff ein zeit ſelb ander die Feind angriffen/ vnd in die Flucht geſchlagen.,dann jonathan nicht allein davids guter freund den er lieb gehabt wie ſein eygen hertz ſondern ein fuͤrneme seul deß gantzen landes vnd koͤnigreichs jſrael geweſen welcher auff ein zeit ſelb ander die feind angriffen vnd in die flucht geſchlagen,dann ionathan nicht allein dauids guter freund den er lieb gehabt wie sein eygen hertz sondern ein furneme seul dess gantzen landes und konigreichs israel gewesen welcher auff ein zeit selb ander die feind angriffen und in die flucht geschlagen
526001,body,6,3,False,5,"Jn Summa/ der Bogen Jonathan/ wie David ſingt in ſeinem Epitaphio, hat nie gefehlt/ vnd ſein Schwert iſt nie leer wider kommen/ von dem Blut der erſchlagenen/ vnd vom Fett der Helden.",jn summa der bogen jonathan wie david ſingt in ſeinem epitaphio hat nie gefehlt vnd ſein schwert iſt nie leer wider kommen von dem blut der erſchlagenen vnd vom fett der helden,in summa der bogen ionathan wie dauid singt in seinem epitaphio hat nie gefehlt und sein schwert ist nie leer wider kommen uon dem blut der erschlagenen und uom fett der helden
